<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INL_PB,D,20080121,000000,1.73404,1.73404,1.73404,1.73404,0,0
INL_PB,D,20080122,000000,1.65769,1.82257,1.65769,1.82257,0,0
INL_PB,D,20080123,000000,1.83071,1.89113,1.81048,1.89113,0,0
INL_PB,D,20080124,000000,1.90313,1.91118,1.90313,1.91118,0,0
INL_PB,D,20080125,000000,1.89113,1.91521,1.83465,1.91521,0,0
INL_PB,D,20080128,000000,1.81048,1.89113,1.81048,1.89113,0,0
INL_PB,D,20080129,000000,1.81048,1.87896,1.81048,1.87896,0,0
INL_PB,D,20080130,000000,1.87896,1.92729,1.79446,1.92729,0,0
INL_PB,D,20080131,000000,1.8991,1.96749,1.89113,1.89113,0,0
INL_PB,D,20080201,000000,1.89113,1.89113,1.83465,1.88291,0,0
INL_PB,D,20080204,000000,1.83071,1.83071,1.76233,1.7823,0,0
INL_PB,D,20080205,000000,1.71794,1.7823,1.68186,1.77449,0,0
INL_PB,D,20080206,000000,1.71399,1.73404,1.71399,1.73404,0,0
INL_PB,D,20080207,000000,1.65769,1.65769,1.65769,1.65769,0,0
INL_PB,D,20080208,000000,1.7823,1.7823,1.72599,1.72599,0,0
INL_PB,D,20080211,000000,1.66163,1.71399,1.63755,1.71399,0,0
INL_PB,D,20080212,000000,1.70988,1.71399,1.70988,1.71399,0,0
INL_PB,D,20080213,000000,1.72599,1.7823,1.64963,1.70611,0,0
INL_PB,D,20080214,000000,1.73404,1.73404,1.69788,1.72993,0,0
INL_PB,D,20080215,000000,1.73404,1.73404,1.67783,1.73404,0,0
INL_PB,D,20080218,000000,1.72196,1.72196,1.72196,1.72196,0,0
INL_PB,D,20080219,000000,1.72196,1.72196,1.66163,1.71399,0,0
INL_PB,D,20080220,000000,1.70988,1.71399,1.62153,1.69394,0,0
INL_PB,D,20080221,000000,1.62967,1.69394,1.62153,1.6738,0,0
INL_PB,D,20080222,000000,1.6738,1.6738,1.6738,1.6738,0,0
INL_PB,D,20080225,000000,1.63755,1.67783,1.6013,1.67783,0,0
INL_PB,D,20080226,000000,1.67783,1.67783,1.6013,1.6738,0,0
INL_PB,D,20080227,000000,1.58108,1.66566,1.58108,1.66163,0,0
INL_PB,D,20080228,000000,1.66163,1.66163,0.925428,0.925428,0,0
INL_PB,D,20080229,000000,0.913256,0.917371,0.913256,0.917371,0,0
INL_PB,D,20080303,000000,0.921312,0.921312,0.921312,0.921312,0,0
INL_PB,D,20080304,000000,0.881121,0.921312,0.881121,0.917371,0,0
INL_PB,D,20080305,000000,0.873065,0.901173,0.861069,0.901173,0,0
INL_PB,D,20080306,000000,0.921312,0.921312,0.861069,0.917371,0,0
INL_PB,D,20080307,000000,0.869213,0.909315,0.869213,0.909315,0,0
INL_PB,D,20080310,000000,0.909315,0.909315,0.901173,0.901173,0,0
INL_PB,D,20080311,000000,0.852926,0.893117,0.840843,0.881121,0,0
INL_PB,D,20080312,000000,0.844958,0.881121,0.844958,0.869213,0,0
INL_PB,D,20080313,000000,0.865097,0.869213,0.828847,0.861069,0,0
INL_PB,D,20080314,000000,0.848986,0.848986,0.848986,0.848986,0,0
INL_PB,D,20080317,000000,0.832875,0.861069,0.832875,0.848986,0,0
