<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INP_MV,D,20110322,000000,172.852,172.852,172.852,172.852,0,0
INP_MV,D,20110323,000000,173.111,173.111,170.177,172.133,0,0
INP_MV,D,20110324,000000,172.133,172.133,168.738,169.955,0,0
INP_MV,D,20110325,000000,169.955,169.955,165.581,167.529,0,0
INP_MV,D,20110328,000000,165.102,169.467,160.479,169.467,0,0
INP_MV,D,20110329,000000,169.955,169.955,165.102,169.955,0,0
INP_MV,D,20110330,000000,171.893,171.893,165.581,171.643,0,0
INP_MV,D,20110331,000000,171.653,171.893,168.968,171.893,0,0
INP_MV,D,20110401,000000,171.893,171.893,167.769,171.643,0,0
INP_MV,D,20110404,000000,165.821,171.164,165.821,171.164,0,0
INP_MV,D,20110405,000000,171.164,172.382,167.529,172.133,0,0
INP_MV,D,20110406,000000,171.893,172.622,171.643,171.643,0,0
INP_MV,D,20110407,000000,172.382,181.849,169.697,174.809,0,0
INP_MV,D,20110408,000000,178.933,178.933,171.164,177.227,0,0
INP_MV,D,20110411,000000,177.227,177.227,172.133,176.018,0,0
INP_MV,D,20110412,000000,174.809,176.018,172.133,174.31,0,0
INP_MV,D,20110413,000000,174.31,174.31,174.31,174.31,0,0
INP_MV,D,20110414,000000,172.382,174.31,172.382,172.382,0,0
INP_MV,D,20110415,000000,172.382,173.111,172.133,173.111,0,0
INP_MV,D,20110418,000000,173.111,173.111,170.444,173.111,0,0
INP_MV,D,20110419,000000,173.111,173.111,170.177,172.852,0,0
INP_MV,D,20110420,000000,171.164,173.111,171.164,173.111,0,0
INP_MV,D,20110421,000000,173.111,173.111,170.177,170.177,0,0
INP_MV,D,20110426,000000,172.382,172.622,170.177,172.622,0,0
INP_MV,D,20110427,000000,172.622,173.111,172.382,173.111,0,0
INP_MV,D,20110428,000000,172.382,173.111,172.382,172.382,0,0
INP_MV,D,20110429,000000,173.111,173.111,170.177,172.852,0,0
INP_MV,D,20110502,000000,172.382,172.852,172.382,172.382,0,0
INP_MV,D,20110504,000000,172.382,172.382,168.738,172.382,0,0
INP_MV,D,20110505,000000,169.955,172.382,169.955,172.133,0,0
INP_MV,D,20110506,000000,172.133,172.133,171.164,171.164,0,0
INP_MV,D,20110509,000000,163.635,172.382,163.635,172.382,0,0
INP_MV,D,20110510,000000,172.852,172.852,167.769,172.382,0,0
INP_MV,D,20110511,000000,172.622,172.622,171.643,171.643,0,0
INP_MV,D,20110512,000000,171.164,171.164,168.738,168.738,0,0
INP_MV,D,20110513,000000,171.164,171.893,168.738,171.893,0,0
INP_MV,D,20110516,000000,172.133,172.133,167.529,169.467,0,0
INP_MV,D,20110517,000000,169.955,171.164,168.738,171.164,0,0
INP_MV,D,20110518,000000,171.164,171.164,171.164,171.164,0,0
INP_MV,D,20110519,000000,171.164,171.164,170.915,170.915,0,0
INP_MV,D,20110520,000000,170.915,171.164,166.8,170.915,0,0
INP_MV,D,20110523,000000,170.915,170.915,170.915,170.915,0,0
INP_MV,D,20110524,000000,169.955,170.915,167.529,169.955,0,0
INP_MV,D,20110525,000000,169.955,171.413,169.955,171.413,0,0
INP_MV,D,20110526,000000,171.413,171.413,169.955,169.955,0,0
INP_MV,D,20110527,000000,169.955,171.164,169.955,171.164,0,0
INP_MV,D,20110530,000000,171.164,171.164,171.164,171.164,0,0
INP_MV,D,20110531,000000,171.164,171.164,170.675,170.675,0,0
INP_MV,D,20110601,000000,169.955,169.955,169.955,169.955,0,0
INP_MV,D,20110602,000000,169.697,169.697,169.226,169.226,0,0
INP_MV,D,20110603,000000,169.226,169.226,169.226,169.226,0,0
INP_MV,D,20110606,000000,168.738,168.738,168.738,168.738,0,0
INP_MV,D,20110607,000000,168.738,168.738,166.311,168.738,0,0
INP_MV,D,20110608,000000,168.738,168.738,166.311,168.498,0,0
INP_MV,D,20110609,000000,168.498,171.164,166.311,171.164,0,0
INP_MV,D,20110610,000000,171.164,171.164,168.498,168.498,0,0
INP_MV,D,20110613,000000,171.164,173.6,171.164,173.6,0,0
INP_MV,D,20110614,000000,173.6,173.6,170.444,172.382,0,0
INP_MV,D,20110615,000000,172.382,172.382,171.164,171.164,0,0
INP_MV,D,20110616,000000,171.164,171.164,167.529,170.675,0,0
INP_MV,D,20110617,000000,171.164,171.164,170.675,170.675,0,0
INP_MV,D,20110620,000000,170.444,170.675,162.666,170.675,0,0
INP_MV,D,20110621,000000,171.164,172.373,167.03,171.164,0,0
INP_MV,D,20110622,000000,172.133,172.133,165.102,169.955,0,0
INP_MV,D,20110624,000000,167.529,171.653,167.529,171.653,0,0
INP_MV,D,20110627,000000,171.653,171.653,166.311,171.164,0,0
INP_MV,D,20110628,000000,171.893,171.893,171.164,171.893,0,0
INP_MV,D,20110629,000000,171.893,171.893,166.79,171.893,0,0
INP_MV,D,20110630,000000,171.893,172.852,171.893,172.852,0,0
INP_MV,D,20110701,000000,178.361,178.361,178.361,178.361,0,0
INP_MV,D,20110704,000000,178.361,178.361,177.844,177.844,0,0
INP_MV,D,20110705,000000,177.844,177.844,172.373,177.355,0,0
INP_MV,D,20110706,000000,177.355,177.355,174.845,177.355,0,0
INP_MV,D,20110707,000000,159.87,174.845,159.87,174.845,0,0
INP_MV,D,20110708,000000,176.101,176.101,176.101,176.101,0,0
INP_MV,D,20110711,000000,176.857,176.857,171.607,175.612,0,0
INP_MV,D,20110712,000000,171.367,171.367,171.367,171.367,0,0
INP_MV,D,20110713,000000,171.367,171.367,167.362,171.367,0,0
INP_MV,D,20110714,000000,171.367,171.367,171.367,171.367,0,0
INP_MV,D,20110715,000000,154.869,171.367,154.869,171.367,0,0
INP_MV,D,20110718,000000,171.367,171.367,167.362,171.367,0,0
INP_MV,D,20110719,000000,171.367,171.367,164.871,171.367,0,0
INP_MV,D,20110720,000000,165.877,171.367,161.356,171.367,0,0
INP_MV,D,20110721,000000,174.597,174.597,168.608,170.361,0,0
INP_MV,D,20110722,000000,173.618,173.618,169.854,169.854,0,0
INP_MV,D,20110725,000000,173.361,173.361,173.361,173.361,0,0
INP_MV,D,20110726,000000,173.361,173.361,173.361,173.361,0,0
INP_MV,D,20110727,000000,173.361,173.361,173.361,173.361,0,0
INP_MV,D,20110728,000000,165.111,165.111,165.111,165.111,0,0
INP_MV,D,20110729,000000,157.868,159.87,157.369,158.625,0,0
INP_MV,D,20110801,000000,158.625,158.625,150.126,151.62,0,0
INP_MV,D,20110802,000000,149.867,152.369,149.867,152.369,0,0
INP_MV,D,20110803,000000,152.369,152.369,152.369,152.369,0,0
INP_MV,D,20110804,000000,152.369,152.369,144.876,144.876,0,0
INP_MV,D,20110805,000000,152.369,152.369,144.876,151.113,0,0
INP_MV,D,20110808,000000,137.393,137.393,136.147,136.147,0,0
INP_MV,D,20110810,000000,132.142,132.142,132.142,132.142,0,0
INP_MV,D,20110811,000000,132.373,132.641,132.373,132.641,0,0
INP_MV,D,20110812,000000,132.373,132.641,132.373,132.373,0,0
INP_MV,D,20110817,000000,134.892,137.393,132.373,137.393,0,0
INP_MV,D,20110819,000000,137.393,137.393,137.393,137.393,0,0
INP_MV,D,20110822,000000,137.393,137.393,137.393,137.393,0,0
INP_MV,D,20110823,000000,137.393,137.393,137.393,137.393,0,0
INP_MV,D,20110824,000000,137.393,137.393,136.894,136.894,0,0
INP_MV,D,20110830,000000,130.887,130.887,130.887,130.887,0,0
INP_MV,D,20110831,000000,130.887,130.887,130.887,130.887,0,0
INP_MV,D,20110901,000000,124.89,130.887,124.89,124.89,0,0
INP_MV,D,20110905,000000,118.662,124.89,107.395,107.395,0,0
INP_MV,D,20110907,000000,107.395,107.395,107.395,107.395,0,0
INP_MV,D,20110908,000000,107.395,107.395,107.395,107.395,0,0
