<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPE_MV,D,20090526,000000,96.5787,96.5787,96.5787,96.5787,0,0
IPE_MV,D,20090527,000000,99.3847,101.355,96.5787,98.8899,0,0
IPE_MV,D,20090528,000000,103.325,103.325,95.1029,95.4274,0,0
IPE_MV,D,20090529,000000,94.9411,103.658,94.9411,103.658,0,0
IPE_MV,D,20090601,000000,107.769,116.818,103.658,115.172,0,0
IPE_MV,D,20090602,000000,120.112,120.112,111.88,114.345,0,0
IPE_MV,D,20090603,000000,118.132,118.132,106.942,110.234,0,0
IPE_MV,D,20090604,000000,110.234,113.203,108.588,111.718,0,0
IPE_MV,D,20090605,000000,114.345,115.01,112.213,113.356,0,0
IPE_MV,D,20090608,000000,114.345,114.345,102.165,110.234,0,0
IPE_MV,D,20090609,000000,108.588,111.88,108.588,109.748,0,0
IPE_MV,D,20090610,000000,108.588,110.89,108.588,108.588,0,0
IPE_MV,D,20090612,000000,110.234,110.234,106.294,109.416,0,0
IPE_MV,D,20090615,000000,108.435,108.435,102.83,106.626,0,0
IPE_MV,D,20090616,000000,102.83,105.79,102.83,103.658,0,0
IPE_MV,D,20090617,000000,103.325,103.658,100.366,103.658,0,0
IPE_MV,D,20090618,000000,100.033,103.811,99.5379,103.811,0,0
IPE_MV,D,20090619,000000,106.455,106.455,101.184,105.304,0,0
IPE_MV,D,20090622,000000,105.304,105.304,99.0517,99.0517,0,0
IPE_MV,D,20090623,000000,102.029,110.72,102.029,108.588,0,0
IPE_MV,D,20090624,000000,111.88,111.88,106.122,108.435,0,0
IPE_MV,D,20090625,000000,108.588,108.588,102.668,102.668,0,0
IPE_MV,D,20090626,000000,108.435,109.416,108.435,108.588,0,0
IPE_MV,D,20090629,000000,105.961,111.718,105.961,111.718,0,0
IPE_MV,D,20090630,000000,111.07,111.718,106.942,111.718,0,0
IPE_MV,D,20090701,000000,106.942,107.769,106.942,107.769,0,0
IPE_MV,D,20090702,000000,108.758,110.234,106.122,106.122,0,0
IPE_MV,D,20090703,000000,105.304,109.91,103.991,109.91,0,0
IPE_MV,D,20090706,000000,109.748,109.748,109.748,109.748,0,0
IPE_MV,D,20090707,000000,109.416,109.416,101.184,105.134,0,0
IPE_MV,D,20090708,000000,99.5379,102.029,98.7196,102.029,0,0
IPE_MV,D,20090709,000000,103.658,103.658,99.5379,101.526,0,0
IPE_MV,D,20090710,000000,103.658,103.658,98.8899,98.8899,0,0
IPE_MV,D,20090713,000000,98.8899,101.184,98.8899,101.184,0,0
IPE_MV,D,20090714,000000,101.184,101.184,98.8899,100.852,0,0
IPE_MV,D,20090715,000000,101.022,102.029,99.7092,101.526,0,0
IPE_MV,D,20090716,000000,100.366,101.85,99.8709,100.033,0,0
IPE_MV,D,20090717,000000,100.366,100.366,100.203,100.203,0,0
IPE_MV,D,20090720,000000,99.7092,100.527,98.7196,100.527,0,0
IPE_MV,D,20090721,000000,101.022,101.022,99.8709,99.8709,0,0
IPE_MV,D,20090722,000000,100.366,100.366,99.5379,100.366,0,0
IPE_MV,D,20090723,000000,99.5379,100.698,98.7196,98.7196,0,0
IPE_MV,D,20090724,000000,100.366,100.366,96.2542,98.2333,0,0
IPE_MV,D,20090727,000000,98.3866,101.022,98.3866,100.698,0,0
IPE_MV,D,20090728,000000,100.698,100.698,98.7196,100.203,0,0
IPE_MV,D,20090729,000000,98.5569,99.2144,96.749,98.7196,0,0
IPE_MV,D,20090730,000000,98.7196,99.5379,97.2438,99.2144,0,0
IPE_MV,D,20090731,000000,99.7092,100.203,99.3847,100.033,0,0
IPE_MV,D,20090803,000000,100.366,106.122,100.366,104.485,0,0
IPE_MV,D,20090804,000000,104.485,106.942,104.485,106.626,0,0
IPE_MV,D,20090805,000000,106.626,120.112,106.626,109.91,0,0
IPE_MV,D,20090806,000000,112.699,116.648,111.88,113.535,0,0
IPE_MV,D,20090807,000000,113.535,119.617,113.535,117.646,0,0
IPE_MV,D,20090810,000000,119.779,134.927,117.646,133.605,0,0
IPE_MV,D,20090811,000000,133.928,134.1,128.82,133.272,0,0
IPE_MV,D,20090812,000000,124.222,133.272,124.222,128.334,0,0
IPE_MV,D,20090813,000000,129.98,134.927,129.98,134.1,0,0
IPE_MV,D,20090814,000000,134.748,143.14,134.748,134.927,0,0
IPE_MV,D,20090817,000000,136.556,136.556,132.462,133.605,0,0
IPE_MV,D,20090818,000000,133.928,134.748,131.473,131.473,0,0
IPE_MV,D,20090819,000000,131.617,131.617,120.938,129.98,0,0
IPE_MV,D,20090820,000000,131.14,131.14,125.05,129.16,0,0
IPE_MV,D,20090821,000000,130.79,130.79,122.243,129.16,0,0
IPE_MV,D,20090824,000000,129.98,129.98,120.938,127.02,0,0
IPE_MV,D,20090825,000000,121.749,122.243,118.464,119.779,0,0
IPE_MV,D,20090826,000000,120.112,126.193,118.627,124.222,0,0
IPE_MV,D,20090827,000000,124.222,125.05,118.464,125.05,0,0
IPE_MV,D,20090828,000000,124.06,127.02,123.412,126.696,0,0
IPE_MV,D,20090831,000000,127.02,128.334,127.02,128.018,0,0
IPE_MV,D,20090901,000000,123.557,123.557,115.172,115.172,0,0
IPE_MV,D,20090902,000000,114.84,115.172,106.122,106.122,0,0
IPE_MV,D,20090903,000000,106.122,106.78,102.029,106.285,0,0
IPE_MV,D,20090904,000000,106.285,110.234,106.285,110.234,0,0
IPE_MV,D,20090907,000000,110.234,114.677,110.234,114.677,0,0
IPE_MV,D,20090908,000000,111.88,113.203,109.416,112.451,0,0
IPE_MV,D,20090909,000000,112.955,114.951,112.451,112.623,0,0
IPE_MV,D,20090910,000000,116.452,116.452,115.292,115.446,0,0
IPE_MV,D,20090911,000000,117.024,117.381,113.868,115.974,0,0
IPE_MV,D,20090914,000000,109.484,112.648,109.321,109.321,0,0
IPE_MV,D,20090915,000000,108.613,110.362,102.83,108.435,0,0
IPE_MV,D,20090916,000000,108.801,112.119,108.613,112.119,0,0
IPE_MV,D,20090917,000000,115.616,115.974,112.119,114.055,0,0
IPE_MV,D,20090918,000000,113.868,114.218,113.868,113.868,0,0
IPE_MV,D,20090921,000000,112.997,114.747,112.997,114.747,0,0
IPE_MV,D,20090922,000000,112.997,119.122,110.55,119.122,0,0
IPE_MV,D,20090923,000000,120,120.879,113.868,120.879,0,0
IPE_MV,D,20090924,000000,119.122,119.122,119.122,119.122,0,0
IPE_MV,D,20090925,000000,112.46,119.122,112.46,117.381,0,0
IPE_MV,D,20090928,000000,112.997,120,112.298,120,0,0
IPE_MV,D,20091001,000000,113.177,118.073,112.46,114.055,0,0
IPE_MV,D,20091002,000000,113.868,116.495,112.648,116.153,0,0
IPE_MV,D,20091005,000000,113.868,116.153,113.868,115.974,0,0
IPE_MV,D,20091006,000000,116.153,116.153,112.648,115.616,0,0
IPE_MV,D,20091007,000000,115.974,115.974,113.339,115.284,0,0
IPE_MV,D,20091008,000000,113.868,115.616,113.868,115.616,0,0
IPE_MV,D,20091009,000000,115.616,115.616,111.94,111.94,0,0
IPE_MV,D,20091012,000000,115.974,115.974,108.613,113.526,0,0
IPE_MV,D,20091013,000000,109.484,113.526,106.865,108.613,0,0
IPE_MV,D,20091014,000000,108.613,111.94,107.215,110.362,0,0
IPE_MV,D,20091015,000000,111.94,111.94,107.556,111.07,0,0
IPE_MV,D,20091016,000000,110.191,110.191,107.734,107.734,0,0
IPE_MV,D,20091019,000000,104.408,106.686,104.408,106.166,0,0
IPE_MV,D,20091020,000000,107.215,111.07,107.215,111.07,0,0
IPE_MV,D,20091021,000000,111.24,116.495,107.394,116.495,0,0
IPE_MV,D,20091022,000000,112.46,115.616,112.46,115.616,0,0
IPE_MV,D,20091023,000000,112.119,117.381,111.24,113.868,0,0
IPE_MV,D,20091026,000000,115.616,120.358,114.747,120.358,0,0
IPE_MV,D,20091027,000000,117.381,122.636,117.381,122.636,0,0
IPE_MV,D,20091028,000000,122.457,122.636,116.153,122.457,0,0
IPE_MV,D,20091029,000000,114.747,131.387,114.747,131.387,0,0
IPE_MV,D,20091030,000000,131.387,133.144,122.986,133.144,0,0
IPE_MV,D,20091104,000000,120.879,130.867,120.879,130.867,0,0
IPE_MV,D,20091105,000000,129.638,130.33,122.636,130.33,0,0
IPE_MV,D,20091106,000000,123.855,129.638,123.855,129.638,0,0
IPE_MV,D,20091109,000000,129.468,131.037,129.468,131.037,0,0
IPE_MV,D,20091110,000000,129.638,129.638,123.685,123.685,0,0
IPE_MV,D,20091112,000000,131.037,135.063,125.433,135.063,0,0
IPE_MV,D,20091113,000000,134.022,135.063,129.638,133.144,0,0
IPE_MV,D,20091116,000000,133.144,146.271,133.144,145.41,0,0
IPE_MV,D,20091117,000000,145.23,145.23,140.155,141.025,0,0
IPE_MV,D,20091118,000000,132.257,140.155,132.257,140.155,0,0
IPE_MV,D,20091119,000000,137.69,140.155,137.52,140.155,0,0
IPE_MV,D,20091120,000000,141.725,141.725,141.725,141.725,0,0
IPE_MV,D,20091123,000000,141.725,141.725,140.155,140.155,0,0
IPE_MV,D,20091124,000000,138.399,144.352,138.049,143.635,0,0
IPE_MV,D,20091125,000000,143.311,143.482,143.311,143.482,0,0
IPE_MV,D,20091126,000000,138.91,143.482,138.91,143.482,0,0
IPE_MV,D,20091127,000000,139.967,143.132,138.748,142.774,0,0
IPE_MV,D,20091130,000000,141.025,143.635,138.399,143.311,0,0
IPE_MV,D,20091201,000000,140.155,143.311,140.155,143.311,0,0
IPE_MV,D,20091202,000000,141.205,141.895,140.326,141.895,0,0
IPE_MV,D,20091203,000000,138.399,141.895,138.399,141.895,0,0
IPE_MV,D,20091204,000000,140.676,141.545,140.155,140.155,0,0
IPE_MV,D,20091207,000000,138.399,139.805,137.52,137.52,0,0
IPE_MV,D,20091208,000000,140.155,140.155,140.155,140.155,0,0
IPE_MV,D,20091209,000000,139.967,139.967,139.967,139.967,0,0
IPE_MV,D,20091210,000000,139.618,141.545,138.399,141.545,0,0
IPE_MV,D,20091211,000000,140.155,141.545,139.098,141.545,0,0
IPE_MV,D,20091214,000000,136.991,140.155,136.991,140.155,0,0
IPE_MV,D,20091215,000000,138.399,139.805,137.52,139.805,0,0
IPE_MV,D,20091216,000000,137.52,141.545,136.649,141.545,0,0
IPE_MV,D,20091217,000000,138.227,140.155,135.243,140.155,0,0
IPE_MV,D,20091218,000000,139.967,139.967,139.967,139.967,0,0
IPE_MV,D,20091221,000000,138.227,139.967,137.52,137.52,0,0
IPE_MV,D,20091222,000000,137.52,139.805,137.52,139.805,0,0
IPE_MV,D,20091223,000000,137.52,139.967,137.52,139.967,0,0
IPE_MV,D,20091228,000000,143.132,143.132,139.967,140.326,0,0
IPE_MV,D,20091229,000000,141.895,141.895,140.326,141.895,0,0
IPE_MV,D,20091230,000000,140.155,140.155,138.91,140.155,0,0
IPE_MV,D,20091231,000000,141.895,141.895,141.895,141.895,0,0
IPE_MV,D,20100104,000000,141.895,141.895,141.725,141.725,0,0
IPE_MV,D,20100105,000000,140.155,140.155,139.285,139.285,0,0
IPE_MV,D,20100106,000000,138.399,139.805,137.341,139.805,0,0
IPE_MV,D,20100107,000000,139.805,140.155,139.805,140.155,0,0
IPE_MV,D,20100108,000000,140.155,140.155,137.69,137.69,0,0
IPE_MV,D,20100111,000000,137.52,137.52,137.52,137.52,0,0
IPE_MV,D,20100113,000000,129.809,134.901,129.809,131.387,0,0
IPE_MV,D,20100114,000000,137.52,137.52,132.257,132.257,0,0
IPE_MV,D,20100115,000000,132.444,132.444,132.444,132.444,0,0
IPE_MV,D,20100118,000000,133.144,133.144,133.144,133.144,0,0
IPE_MV,D,20100119,000000,128.06,132.257,127.89,132.257,0,0
IPE_MV,D,20100120,000000,133.144,133.144,132.257,133.144,0,0
IPE_MV,D,20100121,000000,134.022,134.022,129.101,131.387,0,0
IPE_MV,D,20100122,000000,126.133,126.133,126.133,126.133,0,0
IPE_MV,D,20100125,000000,131.208,131.208,131.208,131.208,0,0
IPE_MV,D,20100126,000000,125.433,128.769,125.254,125.254,0,0
IPE_MV,D,20100127,000000,122.798,136.649,122.636,136.649,0,0
IPE_MV,D,20100128,000000,135.771,136.649,125.254,136.649,0,0
IPE_MV,D,20100129,000000,130.696,136.649,130.696,136.649,0,0
IPE_MV,D,20100203,000000,131.387,136.649,131.387,136.649,0,0
IPE_MV,D,20100204,000000,133.144,136.3,133.144,136.3,0,0
IPE_MV,D,20100205,000000,127.89,136.649,127.89,136.649,0,0
IPE_MV,D,20100208,000000,132.257,134.551,130.159,133.144,0,0
IPE_MV,D,20100209,000000,131.387,131.387,130.526,130.526,0,0
IPE_MV,D,20100211,000000,130.526,130.526,130.526,130.526,0,0
IPE_MV,D,20100215,000000,128.06,132.087,128.06,132.087,0,0
IPE_MV,D,20100219,000000,128.769,133.144,128.06,133.144,0,0
IPE_MV,D,20100223,000000,140.155,140.155,140.155,140.155,0,0
IPE_MV,D,20100224,000000,152.591,152.591,140.155,140.155,0,0
IPE_MV,D,20100225,000000,132.257,136.12,132.257,134.551,0,0
IPE_MV,D,20100226,000000,134.551,140.155,134.551,140.155,0,0
IPE_MV,D,20100301,000000,140.155,140.155,131.566,131.566,0,0
IPE_MV,D,20100302,000000,133.493,133.493,131.566,132.794,0,0
IPE_MV,D,20100303,000000,132.257,134.022,132.257,134.022,0,0
IPE_MV,D,20100304,000000,134.022,143.635,134.022,143.635,0,0
IPE_MV,D,20100305,000000,143.311,145.41,140.496,145.41,0,0
IPE_MV,D,20100308,000000,138.569,141.895,138.049,141.895,0,0
IPE_MV,D,20100309,000000,140.155,142.254,140.155,142.254,0,0
IPE_MV,D,20100310,000000,141.895,145.41,141.895,145.41,0,0
IPE_MV,D,20100311,000000,147.687,151.533,146.271,151.533,0,0
IPE_MV,D,20100312,000000,166.605,166.605,160.293,166.426,0,0
IPE_MV,D,20100315,000000,175.007,190.947,175.007,183.936,0,0
IPE_MV,D,20100316,000000,188.141,188.141,177.813,183.936,0,0
IPE_MV,D,20100317,000000,191.826,200.586,185.694,185.881,0,0
IPE_MV,D,20100318,000000,195.503,195.503,183.936,183.936,0,0
IPE_MV,D,20100319,000000,192.697,192.697,183.936,184.116,0,0
IPE_MV,D,20100322,000000,188.67,188.67,177.292,177.292,0,0
IPE_MV,D,20100323,000000,178.683,178.683,170.111,175.194,0,0
IPE_MV,D,20100324,000000,175.194,175.194,166.605,175.194,0,0
IPE_MV,D,20100325,000000,169.931,180.098,169.931,175.194,0,0
IPE_MV,D,20100326,000000,170.81,182.197,170.281,182.197,0,0
IPE_MV,D,20100329,000000,183.067,183.067,175.194,175.194,0,0
IPE_MV,D,20100330,000000,175.535,181.497,175.194,175.194,0,0
IPE_MV,D,20100331,000000,180.96,180.96,172.038,175.194,0,0
IPE_MV,D,20100401,000000,175.194,178.512,175.194,175.194,0,0
IPE_MV,D,20100406,000000,175.194,175.194,172.038,172.558,0,0
IPE_MV,D,20100407,000000,171.851,173.437,171.851,173.257,0,0
IPE_MV,D,20100408,000000,173.257,173.437,171.689,173.437,0,0
IPE_MV,D,20100409,000000,172.038,173.437,172.038,173.437,0,0
IPE_MV,D,20100412,000000,172.217,173.437,172.038,173.437,0,0
IPE_MV,D,20100413,000000,173.437,173.437,172.038,172.038,0,0
IPE_MV,D,20100414,000000,173.437,173.437,167.304,173.087,0,0
IPE_MV,D,20100415,000000,173.087,173.087,173.087,173.087,0,0
IPE_MV,D,20100416,000000,167.654,172.908,167.654,172.908,0,0
IPE_MV,D,20100419,000000,166.426,172.558,166.426,172.558,0,0
IPE_MV,D,20100420,000000,172.729,172.729,172.729,172.729,0,0
IPE_MV,D,20100421,000000,157.674,172.379,157.674,172.379,0,0
IPE_MV,D,20100422,000000,168.353,172.038,168.183,172.038,0,0
IPE_MV,D,20100423,000000,172.379,172.379,172.379,172.379,0,0
IPE_MV,D,20100426,000000,172.379,175.194,171.689,175.194,0,0
IPE_MV,D,20100427,000000,168.524,175.194,166.426,175.194,0,0
IPE_MV,D,20100428,000000,174.844,174.844,166.426,173.257,0,0
IPE_MV,D,20100429,000000,168.353,174.844,168.353,174.844,0,0
IPE_MV,D,20100430,000000,175.007,175.194,172.038,174.844,0,0
IPE_MV,D,20100504,000000,190.078,190.078,168.703,175.194,0,0
IPE_MV,D,20100505,000000,169.394,174.315,169.394,174.315,0,0
IPE_MV,D,20100506,000000,170.98,174.128,169.752,174.128,0,0
IPE_MV,D,20100507,000000,169.752,169.752,168.183,168.183,0,0
IPE_MV,D,20100510,000000,173.437,173.437,169.931,169.931,0,0
IPE_MV,D,20100511,000000,172.379,172.379,171.851,171.851,0,0
IPE_MV,D,20100512,000000,171.689,172.558,170.111,172.558,0,0
IPE_MV,D,20100513,000000,172.558,172.558,169.062,172.558,0,0
IPE_MV,D,20100514,000000,167.134,175.007,167.134,175.007,0,0
IPE_MV,D,20100517,000000,174.844,175.194,168.183,175.194,0,0
IPE_MV,D,20100518,000000,175.007,175.194,168.524,173.437,0,0
IPE_MV,D,20100519,000000,171.689,171.689,161.172,171.689,0,0
IPE_MV,D,20100520,000000,172.217,172.217,161.172,171.689,0,0
IPE_MV,D,20100521,000000,164.677,171.689,164.677,171.689,0,0
IPE_MV,D,20100524,000000,173.257,173.257,168.183,168.183,0,0
IPE_MV,D,20100525,000000,170.81,170.81,165.556,165.556,0,0
IPE_MV,D,20100526,000000,168.183,168.183,168.183,168.183,0,0
IPE_MV,D,20100527,000000,170.81,173.966,170.81,170.81,0,0
IPE_MV,D,20100528,000000,173.778,173.966,171.689,171.689,0,0
IPE_MV,D,20100531,000000,173.437,173.437,168.183,171.689,0,0
IPE_MV,D,20100601,000000,174.844,174.844,174.844,174.844,0,0
IPE_MV,D,20100602,000000,173.966,173.966,173.966,173.966,0,0
IPE_MV,D,20100604,000000,169.232,173.437,169.062,169.062,0,0
IPE_MV,D,20100607,000000,159.415,173.087,159.415,173.087,0,0
IPE_MV,D,20100608,000000,170.623,170.623,163.1,166.255,0,0
IPE_MV,D,20100609,000000,170.81,170.81,170.81,170.81,0,0
IPE_MV,D,20100610,000000,169.232,176.951,162.929,176.951,0,0
IPE_MV,D,20100611,000000,167.304,176.422,167.304,175.007,0,0
IPE_MV,D,20100614,000000,192.525,192.525,175.194,175.194,0,0
IPE_MV,D,20100615,000000,175.007,175.194,169.232,175.194,0,0
IPE_MV,D,20100616,000000,171.851,175.194,170.281,175.194,0,0
IPE_MV,D,20100617,000000,175.007,175.194,170.81,175.194,0,0
IPE_MV,D,20100618,000000,171.339,175.194,170.81,175.194,0,0
IPE_MV,D,20100621,000000,175.007,175.194,175.007,175.194,0,0
IPE_MV,D,20100622,000000,176.951,176.951,174.844,175.194,0,0
IPE_MV,D,20100623,000000,175.007,175.194,170.623,175.194,0,0
IPE_MV,D,20100624,000000,173.437,175.007,173.437,175.007,0,0
IPE_MV,D,20100625,000000,175.007,187.451,175.007,175.194,0,0
IPE_MV,D,20100628,000000,175.194,180.431,175.194,175.706,0,0
IPE_MV,D,20100629,000000,180.431,180.431,175.194,175.194,0,0
IPE_MV,D,20100630,000000,175.194,175.194,168.865,170.281,0,0
IPE_MV,D,20100701,000000,170.623,171.501,168.183,168.183,0,0
IPE_MV,D,20100702,000000,170.451,170.451,169.062,169.062,0,0
IPE_MV,D,20100705,000000,174.657,175.194,169.062,169.232,0,0
IPE_MV,D,20100706,000000,173.437,179.569,168.183,179.569,0,0
IPE_MV,D,20100707,000000,175.194,178.512,175.194,178.512,0,0
IPE_MV,D,20100708,000000,178.163,224.229,178.163,224.229,0,0
IPE_MV,D,20100709,000000,245.254,245.254,205.67,213.73,0,0
IPE_MV,D,20100712,000000,211.981,215.487,201.815,215.487,0,0
IPE_MV,D,20100713,000000,214.608,227.744,201.465,215.291,0,0
IPE_MV,D,20100714,000000,211.094,227.744,211.094,227.744,0,0
IPE_MV,D,20100715,000000,229.662,236.503,229.662,236.503,0,0
IPE_MV,D,20100716,000000,236.503,236.503,236.503,236.503,0,0
IPE_MV,D,20100719,000000,236.503,236.503,229.484,234.056,0,0
IPE_MV,D,20100720,000000,233.876,233.876,228.613,232.998,0,0
IPE_MV,D,20100721,000000,233.876,233.876,227.923,229.484,0,0
IPE_MV,D,20100722,000000,231.761,231.761,224.229,224.229,0,0
IPE_MV,D,20100723,000000,229.484,229.484,224.758,224.758,0,0
IPE_MV,D,20100726,000000,224.938,231.07,218.634,231.07,0,0
IPE_MV,D,20100727,000000,227.744,232.818,227.744,230.9,0,0
IPE_MV,D,20100728,000000,231.249,231.249,227.744,227.744,0,0
IPE_MV,D,20100729,000000,218.976,230.9,218.976,230.9,0,0
IPE_MV,D,20100730,000000,232.818,232.818,223.889,227.556,0,0
IPE_MV,D,20100802,000000,227.744,227.744,226.856,227.556,0,0
IPE_MV,D,20100803,000000,225.996,245.254,225.996,231.249,0,0
IPE_MV,D,20100804,000000,231.249,234.746,224.229,230.729,0,0
IPE_MV,D,20100805,000000,234.746,234.746,225.108,227.744,0,0
IPE_MV,D,20100806,000000,235.454,235.454,217.227,226.336,0,0
IPE_MV,D,20100809,000000,222.481,222.481,217.227,217.227,0,0
IPE_MV,D,20100810,000000,229.322,229.322,206.539,217.227,0,0
IPE_MV,D,20100811,000000,210.224,217.227,210.224,217.227,0,0
IPE_MV,D,20100812,000000,211.094,225.108,211.094,224.938,0,0
IPE_MV,D,20100813,000000,224.076,224.076,224.076,224.076,0,0
IPE_MV,D,20100816,000000,220.733,220.733,220.733,220.733,0,0
IPE_MV,D,20100817,000000,220.204,229.151,218.976,224.076,0,0
IPE_MV,D,20100818,000000,218.976,222.481,218.097,222.481,0,0
IPE_MV,D,20100819,000000,225.108,225.108,217.227,222.139,0,0
IPE_MV,D,20100820,000000,218.976,227.744,217.755,227.744,0,0
IPE_MV,D,20100823,000000,227.744,227.744,227.744,227.744,0,0
IPE_MV,D,20100824,000000,227.744,227.744,225.108,227.744,0,0
IPE_MV,D,20100825,000000,227.744,227.744,218.976,224.229,0,0
IPE_MV,D,20100826,000000,225.816,225.816,222.481,222.481,0,0
IPE_MV,D,20100827,000000,219.342,222.481,219.163,219.163,0,0
IPE_MV,D,20100830,000000,225.996,225.996,215.487,223.547,0,0
IPE_MV,D,20100831,000000,223.018,223.018,216.528,222.481,0,0
IPE_MV,D,20100901,000000,221.082,221.082,221.082,221.082,0,0
IPE_MV,D,20100902,000000,221.611,225.295,217.927,223.547,0,0
IPE_MV,D,20100903,000000,223.547,224.076,222.481,224.076,0,0
