<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZO_MV,D,20071023,000000,27.74,27.74,27.74,27.74,0,0
IZO_MV,D,20071024,000000,27.4772,27.4772,27.4772,27.4772,0,0
IZO_MV,D,20071025,000000,24.0413,24.0413,24.0413,24.0413,0,0
IZO_MV,D,20071026,000000,21.1603,21.1603,21.1603,21.1603,0,0
IZO_MV,D,20071029,000000,21.3063,21.3063,21.3063,21.3063,0,0
IZO_MV,D,20071030,000000,19.9339,19.9339,19.9339,19.9339,0,0
IZO_MV,D,20071031,000000,19.5251,19.5251,19.5251,19.5251,0,0
IZO_MV,D,20071102,000000,19.6419,19.6419,19.6419,19.6419,0,0
IZO_MV,D,20071105,000000,19.8657,19.8657,19.8657,19.8657,0,0
IZO_MV,D,20071106,000000,19.6419,19.6419,19.6419,19.6419,0,0
IZO_MV,D,20071107,000000,18.4933,18.4933,18.4933,18.4933,0,0
IZO_MV,D,20071108,000000,19.0481,19.0481,19.0481,19.0481,0,0
IZO_MV,D,20071109,000000,19.6029,19.6029,17.2767,18.4933,0,0
IZO_MV,D,20071112,000000,19.6029,19.6029,17.9385,18.4933,0,0
IZO_MV,D,20071113,000000,18.4933,18.7561,17.6173,18.4544,0,0
IZO_MV,D,20071114,000000,19.1941,19.1941,18.4641,18.7367,0,0
IZO_MV,D,20071115,000000,19.1941,19.1941,16.8679,17.1209,0,0
IZO_MV,D,20071116,000000,15.6415,17.1209,15.6415,15.9043,0,0
IZO_MV,D,20071119,000000,16.6829,16.6829,14.9796,15.1645,0,0
IZO_MV,D,20071120,000000,14.7947,14.7947,13.7435,13.7435,0,0
IZO_MV,D,20071121,000000,13.724,14.5708,13.3541,14.0549,0,0
IZO_MV,D,20071122,000000,14.4248,14.5903,13.4807,14.5903,0,0
IZO_MV,D,20071123,000000,14.5903,14.7071,13.6948,13.7824,0,0
IZO_MV,D,20071126,000000,14.6097,14.6097,13.6851,14.0452,0,0
IZO_MV,D,20071127,000000,14.0452,14.0452,13.0913,13.14,0,0
IZO_MV,D,20071128,000000,14.0452,14.5708,12.9843,14.5027,0,0
IZO_MV,D,20071129,000000,15.1645,19.8949,15.0867,19.8949,0,0
IZO_MV,D,20071130,000000,20.4497,22.1336,19.2331,20.1188,0,0
IZO_MV,D,20071203,000000,20.1188,20.4887,18.8632,19.9144,0,0
IZO_MV,D,20071204,000000,19.1455,19.1455,17.4908,17.9288,0,0
IZO_MV,D,20071205,000000,17.7536,19.6029,17.4227,19.1552,0,0
IZO_MV,D,20071206,000000,18.7853,19.0481,17.7925,18.4155,0,0
IZO_MV,D,20071207,000000,18.4739,18.4933,17.7536,18.3863,0,0
IZO_MV,D,20071210,000000,18.1235,19.1455,17.3837,17.5687,0,0
IZO_MV,D,20071211,000000,18.0845,18.1429,17.2377,17.8899,0,0
IZO_MV,D,20071212,000000,17.2183,17.6076,16.6635,17.3448,0,0
IZO_MV,D,20071213,000000,16.7219,17.1599,16.644,17.1209,0,0
IZO_MV,D,20071214,000000,16.3131,16.7413,16.3131,16.7413,0,0
IZO_MV,D,20071217,000000,16.8289,17.9385,16.2547,17.2377,0,0
IZO_MV,D,20071218,000000,17.3837,17.3837,16.1476,16.644,0,0
IZO_MV,D,20071219,000000,16.7511,16.7511,16.4007,16.4493,0,0
IZO_MV,D,20071220,000000,16.4201,16.498,15.9432,15.9432,0,0
IZO_MV,D,20071221,000000,16.5661,16.5661,15.1645,16.2741,0,0
IZO_MV,D,20071227,000000,15.5344,16.644,15.5344,16.4591,0,0
IZO_MV,D,20071228,000000,15.7193,16.2547,15.476,15.9043,0,0
IZO_MV,D,20080102,000000,16.2741,16.4591,15.6123,16.2741,0,0
IZO_MV,D,20080103,000000,16.2741,16.3131,15.4565,15.9043,0,0
IZO_MV,D,20080104,000000,15.9043,16.1963,14.8336,16.0892,0,0
IZO_MV,D,20080107,000000,15.8848,15.8848,15.1645,15.7193,0,0
IZO_MV,D,20080108,000000,15.5344,15.7193,14.8725,15.1159,0,0
IZO_MV,D,20080109,000000,15.1159,15.1159,14.3372,14.7947,0,0
IZO_MV,D,20080110,000000,14.7947,15.4468,14.1815,14.4345,0,0
IZO_MV,D,20080111,000000,14.0549,14.7947,14.0549,14.7752,0,0
IZO_MV,D,20080114,000000,14.4151,14.4151,14.4151,14.4151,0,0
IZO_MV,D,20080115,000000,13.87,14.4248,13.7629,14.4053,0,0
IZO_MV,D,20080116,000000,13.7045,13.7921,12.5755,13.7921,0,0
IZO_MV,D,20080117,000000,14.162,14.162,13.5001,13.9771,0,0
IZO_MV,D,20080118,000000,13.3931,14.3859,13.3152,14.3469,0,0
IZO_MV,D,20080121,000000,13.5099,13.8311,13.3931,13.6851,0,0
IZO_MV,D,20080122,000000,12.7604,13.3152,12.7604,13.2957,0,0
IZO_MV,D,20080123,000000,13.3152,13.6851,12.6339,13.5001,0,0
IZO_MV,D,20080124,000000,13.6851,14.6097,13.6851,14.6097,0,0
IZO_MV,D,20080125,000000,15.3397,15.5344,15.1645,15.5149,0,0
IZO_MV,D,20080128,000000,14.7947,15.1256,14.1523,15.1256,0,0
IZO_MV,D,20080129,000000,15.1645,16.2741,15.1256,16.2352,0,0
IZO_MV,D,20080130,000000,16.2741,16.2741,15.9627,16.2741,0,0
IZO_MV,D,20080131,000000,15.2911,15.9043,15.1645,15.1645,0,0
IZO_MV,D,20080201,000000,15.5344,15.8653,15.0575,15.8653,0,0
IZO_MV,D,20080204,000000,16.3131,16.3131,15.3884,15.9043,0,0
IZO_MV,D,20080205,000000,15.9043,16.2741,15.7193,16.2741,0,0
IZO_MV,D,20080206,000000,16.0892,19.1941,16.0892,17.7925,0,0
IZO_MV,D,20080207,000000,17.7536,18.1235,17.0333,17.812,0,0
IZO_MV,D,20080208,000000,17.1599,17.8996,17.1599,17.7147,0,0
IZO_MV,D,20080211,000000,17.5687,17.7536,17.1015,17.7049,0,0
IZO_MV,D,20080212,000000,17.8315,19.5251,17.8315,18.6004,0,0
IZO_MV,D,20080213,000000,18.0359,18.0359,16.8387,17.0528,0,0
IZO_MV,D,20080214,000000,17.3837,17.3837,16.2936,16.644,0,0
IZO_MV,D,20080215,000000,16.3228,16.3228,15.1645,15.2035,0,0
IZO_MV,D,20080218,000000,15.476,15.7193,15.3884,15.5344,0,0
IZO_MV,D,20080219,000000,15.1645,15.6901,14.9796,15.6901,0,0
IZO_MV,D,20080220,000000,15.1645,15.4468,14.9991,15.4468,0,0
IZO_MV,D,20080221,000000,15.7193,15.7193,15.0769,15.0769,0,0
IZO_MV,D,20080222,000000,15.0185,15.3884,15.0185,15.1645,0,0
IZO_MV,D,20080225,000000,15.2132,15.4955,14.7947,14.9017,0,0
IZO_MV,D,20080226,000000,14.9115,15.1645,14.7947,14.8141,0,0
IZO_MV,D,20080227,000000,15.1645,15.1645,14.8725,15.1645,0,0
IZO_MV,D,20080228,000000,14.892,14.9796,14.8433,14.9796,0,0
IZO_MV,D,20080229,000000,14.7947,15.3397,14.7947,14.9796,0,0
