<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZO_PE,D,20071023,000000,27.448,27.448,27.448,27.448,0,0
IZO_PE,D,20071024,000000,27.156,27.156,27.156,27.156,0,0
IZO_PE,D,20071025,000000,23.7493,23.7493,23.7493,23.7493,0,0
IZO_PE,D,20071026,000000,20.9267,20.9267,20.9267,20.9267,0,0
IZO_PE,D,20071029,000000,21.316,21.316,21.316,21.316,0,0
IZO_PE,D,20071030,000000,19.9533,19.9533,19.9533,19.9533,0,0
IZO_PE,D,20071031,000000,19.4667,19.4667,19.4667,19.4667,0,0
IZO_PE,D,20071102,000000,19.6613,19.6613,19.6613,19.6613,0,0
IZO_PE,D,20071105,000000,19.856,19.856,19.856,19.856,0,0
IZO_PE,D,20071106,000000,19.6613,19.6613,19.6613,19.6613,0,0
IZO_PE,D,20071107,000000,18.4933,18.4933,18.4933,18.4933,0,0
IZO_PE,D,20071108,000000,19.0773,19.0773,19.0773,19.0773,0,0
IZO_PE,D,20071109,000000,19.6613,19.6613,17.3253,18.4933,0,0
IZO_PE,D,20071112,000000,19.564,19.564,17.9093,18.4933,0,0
IZO_PE,D,20071113,000000,18.4933,18.7853,17.6173,18.396,0,0
IZO_PE,D,20071114,000000,19.1747,19.1747,18.396,18.688,0,0
IZO_PE,D,20071115,000000,19.1747,19.1747,16.8387,17.1307,0,0
IZO_PE,D,20071116,000000,15.6707,17.1307,15.6707,15.8653,0,0
IZO_PE,D,20071119,000000,16.644,16.644,14.9893,15.184,0,0
IZO_PE,D,20071120,000000,14.7947,14.7947,13.724,13.724,0,0
IZO_PE,D,20071121,000000,14.016,14.016,14.016,14.016,0,0
IZO_PE,D,20071122,000000,14.4053,14.6,13.432,14.6,0,0
IZO_PE,D,20071123,000000,14.6,14.6973,13.724,13.724,0,0
IZO_PE,D,20071126,000000,14.5027,14.6,13.6267,14.016,0,0
IZO_PE,D,20071127,000000,14.016,14.016,13.0427,13.14,0,0
IZO_PE,D,20071128,000000,14.016,14.6,12.9453,14.5027,0,0
IZO_PE,D,20071129,000000,15.184,19.856,15.0867,19.856,0,0
IZO_PE,D,20071130,000000,20.44,22.0947,19.1747,20.148,0,0
IZO_PE,D,20071203,000000,20.148,20.5373,18.8827,19.856,0,0
IZO_PE,D,20071204,000000,19.0773,19.0773,17.4227,17.9093,0,0
IZO_PE,D,20071205,000000,17.7147,19.564,17.4227,19.1747,0,0
IZO_PE,D,20071206,000000,18.7853,19.0773,17.812,18.396,0,0
IZO_PE,D,20071207,000000,18.4933,18.4933,17.7147,18.396,0,0
IZO_PE,D,20071210,000000,18.104,19.1747,17.4227,17.52,0,0
IZO_PE,D,20071211,000000,18.0067,18.104,17.228,17.9093,0,0
IZO_PE,D,20071212,000000,17.228,17.6173,16.644,17.3253,0,0
IZO_PE,D,20071213,000000,16.7413,17.1307,16.644,17.1307,0,0
IZO_PE,D,20071214,000000,16.352,16.7413,16.352,16.7413,0,0
