<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZS_PB,D,20110216,000000,3.29027,3.29027,3.29027,3.29027,0,0
IZS_PB,D,20110217,000000,3.23247,3.29027,3.18189,3.19646,0,0
IZS_PB,D,20110218,000000,3.18189,3.19646,3.18189,3.19646,0,0
IZS_PB,D,20110221,000000,3.21808,3.21808,3.18904,3.18904,0,0
IZS_PB,D,20110222,000000,3.21808,3.21808,3.09505,3.18904,0,0
IZS_PB,D,20110223,000000,3.22514,3.26874,3.20352,3.20352,0,0
IZS_PB,D,20110224,000000,3.21808,3.21808,3.16018,3.20352,0,0
IZS_PB,D,20110225,000000,3.20352,3.21808,3.18189,3.20352,0,0
IZS_PB,D,20110228,000000,3.22514,3.33379,3.21808,3.25418,0,0
IZS_PB,D,20110301,000000,3.22514,3.31207,3.22514,3.29027,0,0
IZS_PB,D,20110302,000000,3.26874,3.33379,3.26874,3.29027,0,0
IZS_PB,D,20110303,000000,3.3555,3.3555,1.46077,1.46077,0,0
IZS_PB,D,20110304,000000,1.46077,1.46077,1.44638,1.46077,0,0
IZS_PB,D,20110307,000000,1.47525,1.48248,1.44638,1.48248,0,0
IZS_PB,D,20110308,000000,1.48972,1.49695,1.48248,1.49695,0,0
IZS_PB,D,20110309,000000,1.49695,1.49695,1.48248,1.48972,0,0
IZS_PB,D,20110310,000000,1.48248,1.5838,1.48248,1.57648,0,0
IZS_PB,D,20110311,000000,1.57648,1.57648,1.54029,1.54029,0,0
IZS_PB,D,20110314,000000,1.54761,1.59095,1.53314,1.5619,0,0
IZS_PB,D,20110315,000000,1.55476,1.55476,1.48248,1.51848,0,0
IZS_PB,D,20110316,000000,1.54029,1.54029,1.48248,1.51848,0,0
IZS_PB,D,20110317,000000,1.48972,1.51848,1.48972,1.50428,0,0
IZS_PB,D,20110318,000000,1.50428,1.50428,1.47525,1.48248,0,0
IZS_PB,D,20110321,000000,1.48248,1.50428,1.42476,1.49695,0,0
IZS_PB,D,20110322,000000,1.49695,1.49695,1.48248,1.49695,0,0
IZS_PB,D,20110323,000000,1.49695,1.49695,1.46077,1.49695,0,0
IZS_PB,D,20110324,000000,1.49695,1.49695,1.48248,1.48972,0,0
IZS_PB,D,20110325,000000,1.49695,1.49695,1.47525,1.49695,0,0
IZS_PB,D,20110328,000000,1.49695,1.49695,1.47525,1.48248,0,0
