<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JWW_PB,D,20140813,000000,4.2517,5.10015,4.2517,5.10015,0,0
JWW_PB,D,20140814,000000,6.10887,7.32499,5.88261,7.32499,0,0
JWW_PB,D,20140818,000000,8.43741,8.43741,6.72164,6.72164,0,0
JWW_PB,D,20140819,000000,7.28728,7.28728,6.20314,7.19301,0,0
JWW_PB,D,20140820,000000,6.95732,6.95732,6.74049,6.8442,0,0
JWW_PB,D,20140821,000000,6.81591,7.19301,6.81591,6.95732,0,0
JWW_PB,D,20140822,000000,6.88191,8.13573,6.86305,7.0893,0,0
JWW_PB,D,20140825,000000,7.55124,7.55124,6.95732,7.30613,0,0
JWW_PB,D,20140826,000000,7.30613,7.30613,7.30613,7.30613,0,0
JWW_PB,D,20140827,000000,7.02332,7.54181,6.90076,7.54181,0,0
JWW_PB,D,20140828,000000,7.51353,7.51353,6.95732,7.21186,0,0
JWW_PB,D,20140829,000000,7.21186,7.21186,6.8442,7.18357,0,0
JWW_PB,D,20140901,000000,6.95732,6.95732,6.0146,6.0146,0,0
JWW_PB,D,20140902,000000,6.13715,6.13715,6.13715,6.13715,0,0
JWW_PB,D,20140903,000000,6.37283,6.38226,6.37283,6.38226,0,0
JWW_PB,D,20140904,000000,6.42939,7.54181,6.42939,7.54181,0,0
JWW_PB,D,20140905,000000,7.66437,7.78692,7.31556,7.78692,0,0
JWW_PB,D,20140908,000000,7.55124,7.66437,7.4004,7.66437,0,0
JWW_PB,D,20140909,000000,7.31556,8.77678,7.31556,8.38084,0,0
JWW_PB,D,20140910,000000,8.82392,10.502,8.82392,10.502,0,0
JWW_PB,D,20140911,000000,10.502,10.502,8.3997,9.20101,0,0
JWW_PB,D,20140912,000000,9.32357,9.32357,7.49467,8.38084,0,0
JWW_PB,D,20140915,000000,8.0226,8.0226,7.07988,7.28728,0,0
JWW_PB,D,20140916,000000,7.31556,8.38084,7.31556,8.38084,0,0
JWW_PB,D,20140917,000000,8.38084,8.38084,8.38084,8.38084,0,0
JWW_PB,D,20140918,000000,8.0226,8.0226,7.07988,7.0893,0,0
JWW_PB,D,20140919,000000,7.09873,7.13644,7.09873,7.13644,0,0
