<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JWW_PE,D,20140813,000000,58.449,58.449,58.449,58.449,0,0
JWW_PE,D,20140814,000000,84.0912,100.777,80.9802,83.997,0,0
JWW_PE,D,20140818,000000,96.7238,96.7238,77.115,77.115,0,0
JWW_PE,D,20140819,000000,83.6199,83.6199,71.1759,82.5829,0,0
JWW_PE,D,20140820,000000,79.9433,79.9433,77.3036,78.5292,0,0
JWW_PE,D,20140821,000000,78.2463,82.5829,78.2463,79.849,0,0
JWW_PE,D,20140822,000000,78.8119,93.3299,78.7177,81.3573,0,0
JWW_PE,D,20140825,000000,86.7309,86.7309,79.9433,83.8084,0,0
JWW_PE,D,20140826,000000,83.8084,83.8084,83.8084,83.8084,0,0
JWW_PE,D,20140827,000000,80.6031,86.5423,79.2833,86.448,0,0
JWW_PE,D,20140828,000000,86.1652,86.1652,79.7547,82.6771,0,0
JWW_PE,D,20140829,000000,82.6771,82.6771,78.4348,82.3943,0,0
JWW_PE,D,20140901,000000,79.7547,79.7547,69.0076,69.0076,0,0
JWW_PE,D,20140902,000000,70.3274,70.3274,70.3274,70.3274,0,0
JWW_PE,D,20140903,000000,73.0613,73.2499,73.0613,73.2499,0,0
JWW_PE,D,20140904,000000,73.8155,86.5423,73.8155,86.448,0,0
JWW_PE,D,20140905,000000,87.9564,89.2762,83.9027,89.2762,0,0
JWW_PE,D,20140908,000000,86.5423,87.9564,84.8454,87.9564,0,0
JWW_PE,D,20140909,000000,83.9027,100.589,83.9027,96.0638,0,0
JWW_PE,D,20140910,000000,101.155,120.481,101.155,120.481,0,0
JWW_PE,D,20140911,000000,120.575,120.575,96.4409,105.586,0,0
JWW_PE,D,20140912,000000,107,107,85.9766,96.0638,0,0
JWW_PE,D,20140915,000000,92.0101,92.0101,81.1687,83.6199,0,0
JWW_PE,D,20140916,000000,83.9027,96.0638,83.9027,96.0638,0,0
JWW_PE,D,20140917,000000,96.0638,96.0638,96.0638,96.0638,0,0
JWW_PE,D,20140918,000000,92.0101,92.0101,81.1687,81.3573,0,0
JWW_PE,D,20140919,000000,81.5458,81.9229,81.5458,81.8287,0,0
JWW_PE,D,20140922,000000,81.8287,82.4885,81.1687,81.1687,0,0
