<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGH_PB,D,20070813,000000,1.05668,1.05668,1.05668,1.05668,0,0
KGH_PB,D,20070814,000000,1.03232,1.03232,1.03232,1.03232,0,0
KGH_PB,D,20070816,000000,0.973766,0.973766,0.973766,0.973766,0,0
KGH_PB,D,20070817,000000,1.30012,1.30012,1.30012,1.30012,0,0
KGH_PB,D,20070820,000000,1.28548,1.28548,1.28548,1.28548,0,0
KGH_PB,D,20070821,000000,1.24166,1.24166,1.24166,1.24166,0,0
KGH_PB,D,20070822,000000,1.30984,1.30984,1.30984,1.30984,0,0
KGH_PB,D,20070823,000000,1.34393,1.34393,1.34393,1.34393,0,0
KGH_PB,D,20070824,000000,1.37321,1.37321,1.37321,1.37321,0,0
KGH_PB,D,20070827,000000,1.37812,1.37812,1.37812,1.37812,0,0
KGH_PB,D,20070828,000000,1.36338,1.36338,1.36338,1.36338,0,0
KGH_PB,D,20070829,000000,1.36338,1.36338,1.36338,1.36338,0,0
KGH_PB,D,20070830,000000,1.36338,1.36338,1.36338,1.36338,0,0
KGH_PB,D,20070831,000000,1.41703,1.41703,1.41703,1.41703,0,0
KGH_PB,D,20070903,000000,1.41703,1.41703,1.41703,1.41703,0,0
KGH_PB,D,20070904,000000,1.40248,1.40248,1.40248,1.40248,0,0
KGH_PB,D,20070905,000000,1.36839,1.36839,1.36839,1.36839,0,0
KGH_PB,D,20070906,000000,1.34884,1.34884,1.34884,1.34884,0,0
KGH_PB,D,20070907,000000,1.31957,1.31957,1.31957,1.31957,0,0
KGH_PB,D,20070910,000000,1.31957,1.31957,1.31957,1.31957,0,0
KGH_PB,D,20070911,000000,1.33912,1.33912,1.33912,1.33912,0,0
KGH_PB,D,20070912,000000,1.38293,1.38293,1.38293,1.38293,0,0
KGH_PB,D,20070913,000000,1.41202,1.41202,1.41202,1.41202,0,0
KGH_PB,D,20070914,000000,1.40248,1.40248,1.40248,1.40248,0,0
KGH_PB,D,20070917,000000,1.42676,1.42676,1.42676,1.42676,0,0
KGH_PB,D,20070918,000000,1.45112,1.45112,1.45112,1.45112,0,0
KGH_PB,D,20070919,000000,1.55339,1.55339,1.55339,1.55339,0,0
KGH_PB,D,20070920,000000,1.51439,1.51439,1.51439,1.51439,0,0
KGH_PB,D,20070921,000000,1.52922,1.52922,1.52922,1.52922,0,0
KGH_PB,D,20070924,000000,1.54347,1.54347,1.54347,1.54347,0,0
KGH_PB,D,20070925,000000,1.51439,1.51439,1.51439,1.51439,0,0
KGH_PB,D,20070926,000000,1.52922,1.52922,1.52922,1.52922,0,0
KGH_PB,D,20070927,000000,1.51939,1.51939,1.51939,1.51939,0,0
KGH_PB,D,20070928,000000,1.51439,1.51439,1.51439,1.51439,0,0
KGH_PB,D,20071001,000000,1.53403,1.53403,1.53403,1.53403,0,0
KGH_PB,D,20071002,000000,1.57785,1.57785,1.57785,1.57785,0,0
KGH_PB,D,20071003,000000,1.5581,1.5581,1.5581,1.5581,0,0
KGH_PB,D,20071004,000000,1.57294,1.57294,1.57294,1.57294,0,0
KGH_PB,D,20071005,000000,1.57785,1.57785,1.57785,1.57785,0,0
KGH_PB,D,20071008,000000,1.56302,1.56302,1.56302,1.56302,0,0
KGH_PB,D,20071009,000000,1.59239,1.59239,1.59239,1.59239,0,0
KGH_PB,D,20071010,000000,1.59239,1.59239,1.59239,1.59239,0,0
KGH_PB,D,20071011,000000,1.69456,1.69456,1.69456,1.69456,0,0
KGH_PB,D,20071012,000000,1.68974,1.68974,1.68974,1.68974,0,0
KGH_PB,D,20071015,000000,1.75301,1.75301,1.75301,1.75301,0,0
KGH_PB,D,20071016,000000,1.70929,1.70929,1.70929,1.70929,0,0
KGH_PB,D,20071017,000000,1.70419,1.70419,1.70419,1.70419,0,0
KGH_PB,D,20071018,000000,1.62638,1.62638,1.62638,1.62638,0,0
KGH_PB,D,20071019,000000,1.65575,1.65575,1.65575,1.65575,0,0
KGH_PB,D,20071022,000000,1.62638,1.62638,1.62638,1.62638,0,0
KGH_PB,D,20071023,000000,1.66047,1.66047,1.66047,1.66047,0,0
KGH_PB,D,20071024,000000,1.65074,1.65074,1.65074,1.65074,0,0
KGH_PB,D,20071025,000000,1.66538,1.66538,1.66538,1.66538,0,0
KGH_PB,D,20071026,000000,1.68974,1.68974,1.68974,1.68974,0,0
KGH_PB,D,20071029,000000,1.69947,1.69947,1.69947,1.69947,0,0
KGH_PB,D,20071030,000000,1.66538,1.66538,1.66538,1.66538,0,0
KGH_PB,D,20071031,000000,1.64593,1.64593,1.64593,1.64593,0,0
KGH_PB,D,20071102,000000,1.58266,1.58266,1.58266,1.58266,0,0
