<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KMP_PB,D,20070813,000000,6.92277,6.92277,6.92277,6.92277,0,0
KMP_PB,D,20070814,000000,6.83003,6.83003,6.83003,6.83003,0,0
KMP_PB,D,20070816,000000,5.37976,5.37976,5.37976,5.37976,0,0
KMP_PB,D,20070817,000000,5.80972,5.80972,5.80972,5.80972,0,0
KMP_PB,D,20070820,000000,7.02397,7.02397,7.02397,7.02397,0,0
KMP_PB,D,20070821,000000,7.33601,7.33601,7.33601,7.33601,0,0
KMP_PB,D,20070822,000000,7.74914,7.74914,7.74914,7.74914,0,0
KMP_PB,D,20070823,000000,7.74914,7.74914,7.74914,7.74914,0,0
KMP_PB,D,20070824,000000,8.23849,8.23849,8.23849,8.23849,0,0
KMP_PB,D,20070827,000000,8.58425,8.58425,8.58425,8.58425,0,0
KMP_PB,D,20070828,000000,8.14546,8.14546,8.14546,8.14546,0,0
KMP_PB,D,20070829,000000,8.09482,8.09482,8.09482,8.09482,0,0
KMP_PB,D,20070830,000000,7.85024,7.85024,7.85024,7.85024,0,0
KMP_PB,D,20070831,000000,8.08646,8.08646,8.08646,8.08646,0,0
KMP_PB,D,20070903,000000,8.13701,8.13701,8.13701,8.13701,0,0
KMP_PB,D,20070904,000000,8.28058,8.28058,8.28058,8.28058,0,0
KMP_PB,D,20070905,000000,8.13701,8.13701,8.13701,8.13701,0,0
KMP_PB,D,20070906,000000,8.22984,8.22984,8.22984,8.22984,0,0
KMP_PB,D,20070907,000000,8.04427,8.04427,8.04427,8.04427,0,0
KMP_PB,D,20070910,000000,7.86716,7.86716,7.86716,7.86716,0,0
KMP_PB,D,20070911,000000,8.14546,8.14546,8.14546,8.14546,0,0
KMP_PB,D,20070912,000000,8.25475,8.25475,8.25475,8.25475,0,0
KMP_PB,D,20070913,000000,8.47414,8.47414,8.47414,8.47414,0,0
KMP_PB,D,20070914,000000,8.43204,8.43204,8.43204,8.43204,0,0
KMP_PB,D,20070917,000000,8.26339,8.26339,8.26339,8.26339,0,0
KMP_PB,D,20070918,000000,8.39841,8.39841,8.39841,8.39841,0,0
KMP_PB,D,20070919,000000,8.8622,8.8622,8.8622,8.8622,0,0
KMP_PB,D,20070920,000000,9.15676,9.15676,9.15676,9.15676,0,0
KMP_PB,D,20070921,000000,8.81136,8.81136,8.81136,8.81136,0,0
KMP_PB,D,20070924,000000,8.76063,8.76063,8.76063,8.76063,0,0
KMP_PB,D,20070925,000000,8.71844,8.71844,8.71844,8.71844,0,0
KMP_PB,D,20070926,000000,8.8371,8.8371,8.8371,8.8371,0,0
KMP_PB,D,20070927,000000,8.95511,8.95511,8.95511,8.95511,0,0
KMP_PB,D,20070928,000000,9.08149,9.08149,9.08149,9.08149,0,0
KMP_PB,D,20071001,000000,9.05641,9.05641,9.05641,9.05641,0,0
KMP_PB,D,20071002,000000,9.45227,9.45227,9.45227,9.45227,0,0
KMP_PB,D,20071003,000000,9.35097,9.35097,9.35097,9.35097,0,0
KMP_PB,D,20071004,000000,9.24969,9.24969,9.24969,9.24969,0,0
KMP_PB,D,20071005,000000,9.14839,9.14839,9.14839,9.14839,0,0
KMP_PB,D,20071008,000000,9.19951,9.19951,9.19951,9.19951,0,0
KMP_PB,D,20071009,000000,8.92166,8.92166,8.92166,8.92166,0,0
KMP_PB,D,20071010,000000,9.18278,9.18278,9.18278,9.18278,0,0
KMP_PB,D,20071011,000000,9.05641,9.05641,9.05641,9.05641,0,0
KMP_PB,D,20071012,000000,8.8371,8.8371,8.8371,8.8371,0,0
KMP_PB,D,20071015,000000,8.47414,8.47414,8.47414,8.47414,0,0
KMP_PB,D,20071016,000000,8.43204,8.43204,8.43204,8.43204,0,0
KMP_PB,D,20071017,000000,8.81136,8.81136,8.81136,8.81136,0,0
KMP_PB,D,20071018,000000,8.8371,8.8371,8.8371,8.8371,0,0
KMP_PB,D,20071019,000000,9.0053,9.0053,9.0053,9.0053,0,0
KMP_PB,D,20071022,000000,8.91237,8.91237,8.91237,8.91237,0,0
KMP_PB,D,20071023,000000,9.0053,9.0053,9.0053,9.0053,0,0
KMP_PB,D,20071024,000000,10.388,10.388,10.388,10.388,0,0
KMP_PB,D,20071025,000000,9.93358,9.93358,9.93358,9.93358,0,0
KMP_PB,D,20071026,000000,9.54514,9.54514,9.54514,9.54514,0,0
KMP_PB,D,20071029,000000,9.31009,9.31009,9.31009,9.31009,0,0
KMP_PB,D,20071030,000000,8.81136,8.81136,8.81136,8.81136,0,0
KMP_PB,D,20071031,000000,6.29878,6.29878,6.29878,6.29878,0,0
KMP_PB,D,20071102,000000,5.83499,5.83499,5.83499,5.83499,0,0
KMP_PB,D,20071105,000000,5.78445,5.78445,5.78445,5.78445,0,0
KMP_PB,D,20071106,000000,5.54832,5.54832,5.54832,5.54832,0,0
KMP_PB,D,20071107,000000,5.08454,5.08454,5.08454,5.08454,0,0
KMP_PB,D,20071108,000000,4.64612,4.64612,4.64612,4.64612,0,0
KMP_PB,D,20071109,000000,4.84005,4.84005,4.53656,4.65458,0,0
