<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KMP_PE,D,20080218,000000,3.96313,3.96313,3.96313,3.96313,0,0
KMP_PE,D,20080219,000000,3.87875,3.96313,3.87875,3.96313,0,0
KMP_PE,D,20080220,000000,3.96313,3.96313,3.79447,3.87875,0,0
KMP_PE,D,20080221,000000,3.96313,3.96313,3.79447,3.79447,0,0
KMP_PE,D,20080222,000000,3.79447,3.87875,3.79447,3.79447,0,0
KMP_PE,D,20080225,000000,3.79447,3.87875,3.62581,3.71019,0,0
KMP_PE,D,20080226,000000,3.79447,3.79447,3.62581,3.71019,0,0
KMP_PE,D,20080227,000000,3.71019,3.71019,3.62581,3.62581,0,0
KMP_PE,D,20080228,000000,3.54144,3.62581,3.54144,3.62581,0,0
KMP_PE,D,20080229,000000,3.54144,3.71019,3.37287,3.71019,0,0
KMP_PE,D,20080303,000000,3.62581,3.62581,3.45716,3.45716,0,0
KMP_PE,D,20080304,000000,3.45716,3.54144,3.45716,3.54144,0,0
KMP_PE,D,20080305,000000,3.62581,3.62581,3.54144,3.62581,0,0
KMP_PE,D,20080306,000000,3.62581,3.71019,3.54144,3.54144,0,0
KMP_PE,D,20080307,000000,3.45716,3.54144,3.45716,3.54144,0,0
KMP_PE,D,20080310,000000,3.54144,3.62581,3.54144,3.62581,0,0
KMP_PE,D,20080311,000000,3.62581,3.79447,3.62581,3.71019,0,0
KMP_PE,D,20080312,000000,3.79447,3.87875,3.71019,3.79447,0,0
KMP_PE,D,20080313,000000,3.79447,3.79447,3.71019,3.71019,0,0
KMP_PE,D,20080314,000000,3.71019,3.96313,3.71019,3.71019,0,0
KMP_PE,D,20080317,000000,3.71019,3.71019,3.71019,3.71019,0,0
KMP_PE,D,20080318,000000,3.71019,3.79447,3.62581,3.79447,0,0
KMP_PE,D,20080319,000000,3.79447,3.79447,3.71019,3.71019,0,0
KMP_PE,D,20080320,000000,3.71019,3.79447,3.54144,3.62581,0,0
