<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KPL_PE,D,20110527,000000,8.0096,8.0096,8.0096,8.0096,0,0
KPL_PE,D,20110530,000000,7.89878,8.33838,7.84502,8.11872,0,0
KPL_PE,D,20110531,000000,8.11872,8.11872,7.84502,7.89878,0,0
KPL_PE,D,20110601,000000,7.84502,7.9533,7.78966,7.9533,0,0
KPL_PE,D,20110602,000000,7.9533,8.0096,7.78966,8.0096,0,0
KPL_PE,D,20110603,000000,7.84502,8.06337,7.84502,8.0096,0,0
KPL_PE,D,20110606,000000,7.78966,7.9533,7.78966,7.89878,0,0
KPL_PE,D,20110607,000000,7.89878,7.9533,7.18632,7.78966,0,0
KPL_PE,D,20110608,000000,7.78966,7.9533,7.78966,7.9533,0,0
KPL_PE,D,20110609,000000,7.78966,7.89878,7.78966,7.84502,0,0
KPL_PE,D,20110610,000000,7.84502,7.84502,7.78966,7.84502,0,0
KPL_PE,D,20110613,000000,7.78966,7.84502,7.78966,7.78966,0,0
KPL_PE,D,20110614,000000,7.51529,7.84502,7.51529,7.73505,0,0
KPL_PE,D,20110615,000000,7.51529,7.73505,7.29545,7.67894,0,0
KPL_PE,D,20110616,000000,7.35034,7.73505,7.35034,7.51529,0,0
KPL_PE,D,20110617,000000,7.24122,7.51529,7.24122,7.35034,0,0
KPL_PE,D,20110620,000000,7.29545,7.35034,7.02231,7.24122,0,0
KPL_PE,D,20110621,000000,7.13144,7.13144,7.02231,7.13144,0,0
KPL_PE,D,20110622,000000,7.13144,7.18632,7.0757,7.13144,0,0
KPL_PE,D,20110624,000000,7.02231,7.02231,7.02231,7.02231,0,0
KPL_PE,D,20110627,000000,7.02231,7.13144,6.91158,7.0757,0,0
KPL_PE,D,20110628,000000,6.91158,7.0757,6.85641,6.91158,0,0
KPL_PE,D,20110629,000000,6.91158,7.13144,6.91158,7.0757,0,0
KPL_PE,D,20110630,000000,7.02231,7.0757,6.80246,7.0757,0,0
