<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRK_MV,D,20120411,000000,4345.79,4345.79,4345.79,4345.79,0,0
KRK_MV,D,20120417,000000,4387.19,4397.52,4387.19,4397.52,0,0
KRK_MV,D,20120418,000000,4304.4,4304.4,4304.4,4304.4,0,0
KRK_MV,D,20120419,000000,4203.01,4304.4,4203.01,4203.01,0,0
KRK_MV,D,20120906,000000,3876.24,4203.01,3876.24,3886.92,0,0
KRK_MV,D,20120910,000000,3908.28,3908.28,3886.92,3886.92,0,0
KRK_MV,D,20120912,000000,3880.51,3886.92,3880.51,3880.51,0,0
KRK_MV,D,20120914,000000,4015.06,4164.56,4015.06,4143.19,0,0
KRK_MV,D,20120918,000000,4079.13,4143.19,4079.13,4079.13,0,0
KRK_MV,D,20120919,000000,4057.78,4057.78,4053.5,4053.5,0,0
KRK_MV,D,20120924,000000,4271.35,4271.35,4271.35,4271.35,0,0
KRK_MV,D,20120927,000000,4378.11,4431.53,4378.11,4427.25,0,0
KRK_MV,D,20120928,000000,4414.42,4427.25,4414.42,4414.42,0,0
KRK_MV,D,20121001,000000,4356.77,4356.77,4356.77,4356.77,0,0
KRK_MV,D,20121002,000000,4388.81,4388.81,4388.81,4388.81,0,0
KRK_MV,D,20121004,000000,4369.58,4388.81,4369.58,4371.73,0,0
KRK_MV,D,20121005,000000,4356.77,4358.91,4356.77,4358.91,0,0
KRK_MV,D,20121009,000000,4207.27,4358.91,4207.27,4207.27,0,0
KRK_MV,D,20121010,000000,4185.92,4196.6,4185.92,4196.6,0,0
KRK_MV,D,20121011,000000,4132.53,4196.6,4132.53,4132.53,0,0
KRK_MV,D,20121012,000000,4047.09,4132.53,4047.09,4047.09,0,0
KRK_MV,D,20121015,000000,4036.42,4036.42,4036.42,4036.42,0,0
KRK_MV,D,20121016,000000,4036.42,4036.42,4036.42,4036.42,0,0
KRK_MV,D,20121018,000000,4230.75,4378.11,4036.42,4378.11,0,0
KRK_MV,D,20121022,000000,4271.35,4378.11,4247.86,4247.86,0,0
KRK_MV,D,20121023,000000,4262.8,4262.8,4247.86,4247.86,0,0
KRK_MV,D,20121025,000000,4215.8,4215.8,4215.8,4215.8,0,0
KRK_MV,D,20121026,000000,4222.22,4222.22,4222.22,4222.22,0,0
KRK_MV,D,20121029,000000,4177.37,4222.22,4177.37,4177.37,0,0
KRK_MV,D,20121105,000000,4271.35,4271.35,4183.78,4183.78,0,0
KRK_MV,D,20121106,000000,4235.04,4235.04,4183.78,4235.04,0,0
KRK_MV,D,20121108,000000,4341.8,4341.8,4341.8,4341.8,0,0
KRK_MV,D,20121109,000000,4207.27,4207.27,4207.27,4207.27,0,0
KRK_MV,D,20121128,000000,4314.06,4314.06,4207.27,4314.06,0,0
KRK_MV,D,20121212,000000,4143.19,4143.19,4143.19,4143.19,0,0
KRK_MV,D,20121213,000000,4147.47,4147.47,4143.19,4147.47,0,0
KRK_MV,D,20121214,000000,4141.08,4141.08,4141.08,4141.08,0,0
KRK_MV,D,20121217,000000,4153.88,4153.88,4153.88,4153.88,0,0
KRK_MV,D,20121218,000000,4203.01,4203.01,4203.01,4203.01,0,0
KRK_MV,D,20121219,000000,4292.69,4292.69,4203.01,4292.69,0,0
KRK_MV,D,20121220,000000,4309.77,4719.83,4309.77,4719.83,0,0
KRK_MV,D,20121221,000000,4484.92,5125.61,4484.92,5125.61,0,0
KRK_MV,D,20121227,000000,4719.83,4719.83,4698.49,4698.49,0,0
KRK_MV,D,20130102,000000,4433.67,4433.67,4433.67,4433.67,0,0
KRK_MV,D,20130103,000000,4540.43,4540.43,4540.43,4540.43,0,0
KRK_MV,D,20130104,000000,4912.05,4912.05,4540.43,4713.42,0,0
KRK_MV,D,20130107,000000,4792.44,4792.44,4792.44,4792.44,0,0
KRK_MV,D,20130108,000000,4912.05,4922.73,4912.05,4922.73,0,0
KRK_MV,D,20130109,000000,4847.96,4847.96,4847.96,4847.96,0,0
KRK_MV,D,20130111,000000,4914.16,4914.16,4914.16,4914.16,0,0
KRK_MV,D,20130129,000000,4914.16,4914.16,4914.16,4914.16,0,0
KRK_MV,D,20130204,000000,4837.3,4837.3,4837.3,4837.3,0,0
KRK_MV,D,20130206,000000,4747.59,4747.59,4747.59,4747.59,0,0
KRK_MV,D,20130312,000000,4747.59,4747.59,4747.59,4747.59,0,0
KRK_MV,D,20130313,000000,4527.61,4527.61,4527.61,4527.61,0,0
KRK_MV,D,20130314,000000,4378.11,4378.11,4378.11,4378.11,0,0
KRK_MV,D,20130315,000000,4109.03,4378.11,4109.03,4185.92,0,0
KRK_MV,D,20130328,000000,4164.56,4164.56,4160.29,4160.29,0,0
KRK_MV,D,20130517,000000,4378.11,4521.22,4378.11,4521.22,0,0
KRK_MV,D,20130521,000000,4495.58,4495.58,4495.58,4495.58,0,0
KRK_MV,D,20130522,000000,4500.92,4500.92,4500.92,4500.92,0,0
KRK_MV,D,20130524,000000,4511.6,4511.6,4511.6,4511.6,0,0
KRK_MV,D,20130527,000000,4518,4518,4518,4518,0,0
KRK_MV,D,20130528,000000,4516.94,4516.94,4516.94,4516.94,0,0
KRK_MV,D,20130620,000000,4442.2,4442.2,4378.11,4378.11,0,0
KRK_MV,D,20130624,000000,4634.4,4634.4,4634.4,4634.4,0,0
KRK_MV,D,20130703,000000,4655.76,4655.76,4634.4,4655.76,0,0
KRK_MV,D,20130711,000000,4764.96,4764.96,4764.96,4764.96,0,0
KRK_MV,D,20130726,000000,4875.25,4875.25,4875.25,4875.25,0,0
KRK_MV,D,20130808,000000,5316.46,5316.46,4632.61,4632.61,0,0
KRK_MV,D,20130903,000000,4787.03,4787.03,4787.03,4787.03,0,0
KRK_MV,D,20130916,000000,4760.55,4760.55,4760.55,4760.55,0,0
KRK_MV,D,20130919,000000,4665.69,4665.69,4665.69,4665.69,0,0
KRK_MV,D,20130926,000000,4948.06,4948.06,4948.06,4948.06,0,0
KRK_MV,D,20130927,000000,5010.92,5010.92,5010.92,5010.92,0,0
KRK_MV,D,20130930,000000,5261.31,5261.31,5076.01,5076.01,0,0
KRK_MV,D,20131001,000000,5130.04,5130.04,5130.04,5130.04,0,0
KRK_MV,D,20131002,000000,5139.99,5139.99,5010.92,5010.92,0,0
KRK_MV,D,20131003,000000,4981.14,5010.92,4981.14,5006.53,0,0
KRK_MV,D,20131015,000000,4998.79,4998.79,4998.79,4998.79,0,0
KRK_MV,D,20131016,000000,5007.62,5007.62,4998.79,5007.62,0,0
KRK_MV,D,20131017,000000,5070.48,5070.48,5070.48,5070.48,0,0
KRK_MV,D,20131018,000000,5073.8,5073.8,5073.8,5073.8,0,0
KRK_MV,D,20131021,000000,5087.03,5087.03,5087.03,5087.03,0,0
KRK_MV,D,20131022,000000,5117.92,5144.41,5117.92,5144.41,0,0
KRK_MV,D,20131023,000000,5053.94,5121.23,5051.74,5121.23,0,0
KRK_MV,D,20131025,000000,5179.69,5179.69,5133.37,5133.37,0,0
KRK_MV,D,20131028,000000,5167.54,5167.54,5167.54,5167.54,0,0
KRK_MV,D,20131104,000000,5173.07,5173.07,5173.07,5173.07,0,0
KRK_MV,D,20131105,000000,5178.58,5178.58,5178.58,5178.58,0,0
KRK_MV,D,20131107,000000,5200.65,5200.65,5170.86,5170.86,0,0
KRK_MV,D,20131118,000000,5360.58,5360.58,5338.52,5360.58,0,0
KRK_MV,D,20131119,000000,5351.75,5360.58,5351.75,5356.16,0,0
KRK_MV,D,20131120,000000,5447.71,5448.82,5447.71,5448.82,0,0
KRK_MV,D,20131121,000000,5483,5483,5483,5483,0,0
KRK_MV,D,20131122,000000,5735.6,5735.6,5735.6,5735.6,0,0
KRK_MV,D,20131125,000000,5735.6,5735.6,5735.6,5735.6,0,0
KRK_MV,D,20131126,000000,5735.6,5735.6,5515,5515,0,0
KRK_MV,D,20131209,000000,5515,5515,5515,5515,0,0
KRK_MV,D,20131212,000000,5515,5515,5515,5515,0,0
KRK_MV,D,20131213,000000,5625.29,5625.29,5515,5515,0,0
KRK_MV,D,20131216,000000,5521.62,5938.55,5515,5938.55,0,0
KRK_MV,D,20131217,000000,5938.55,5938.55,5524.92,5524.92,0,0
KRK_MV,D,20131218,000000,5524.92,5612.06,5524.92,5612.06,0,0
KRK_MV,D,20131219,000000,5614.28,5614.28,5612.06,5614.28,0,0
KRK_MV,D,20131220,000000,5381.53,5912.07,5029.68,5912.07,0,0
KRK_MV,D,20131230,000000,5507.29,5507.29,5507.29,5507.29,0,0
KRK_MV,D,20140102,000000,5515,5735.6,5316.46,5735.6,0,0
KRK_MV,D,20140103,000000,5515,5581.17,5515,5559.11,0,0
KRK_MV,D,20140107,000000,5546.98,5546.98,5546.98,5546.98,0,0
KRK_MV,D,20140108,000000,5459.86,5459.86,5459.86,5459.86,0,0
KRK_MV,D,20140115,000000,5735.6,5735.6,5735.6,5735.6,0,0
KRK_MV,D,20140117,000000,5746.63,5759.87,5740.02,5757.67,0,0
KRK_MV,D,20140120,000000,5757.67,5773.1,5757.67,5768.69,0,0
KRK_MV,D,20140121,000000,5775.3,5775.3,5770.89,5770.89,0,0
KRK_MV,D,20140122,000000,5773.1,5773.1,5770.89,5773.1,0,0
KRK_MV,D,20140123,000000,5735.6,5773.1,5735.6,5735.6,0,0
KRK_MV,D,20140204,000000,5735.6,5735.6,5735.6,5735.6,0,0
KRK_MV,D,20140207,000000,5532.65,5532.65,5532.65,5532.65,0,0
KRK_MV,D,20140210,000000,5492.93,5492.93,5492.93,5492.93,0,0
KRK_MV,D,20140219,000000,5517.21,5559.11,5517.21,5559.11,0,0
KRK_MV,D,20140224,000000,5559.11,5735.6,5512.8,5735.6,0,0
KRK_MV,D,20140227,000000,5603.23,5603.23,5603.23,5603.23,0,0
KRK_MV,D,20140306,000000,5581.17,5581.17,5294.4,5294.4,0,0
KRK_MV,D,20140307,000000,5541.47,5651.77,5541.47,5651.77,0,0
KRK_MV,D,20140310,000000,5625.29,5651.77,5556.91,5556.91,0,0
KRK_MV,D,20140311,000000,5625.29,5625.29,5625.29,5625.29,0,0
KRK_MV,D,20140312,000000,5625.29,5625.29,5537.06,5537.06,0,0
KRK_MV,D,20140314,000000,5404.71,5435.59,5404.71,5435.59,0,0
KRK_MV,D,20140320,000000,5515,5515,5029.68,5029.68,0,0
KRK_MV,D,20140321,000000,4632.61,4632.61,4632.61,4632.61,0,0
KRK_MV,D,20140324,000000,5294.4,5294.4,5294.4,5294.4,0,0
KRK_MV,D,20140325,000000,5369.41,5369.41,5369.41,5369.41,0,0
KRK_MV,D,20140326,000000,5498.45,5498.45,5498.45,5498.45,0,0
KRK_MV,D,20140327,000000,5515,5515,5515,5515,0,0
KRK_MV,D,20140328,000000,5535.94,5535.94,5535.94,5535.94,0,0
KRK_MV,D,20140331,000000,5470.88,5537.06,5470.88,5537.06,0,0
KRK_MV,D,20140401,000000,5625.29,5625.29,5625.29,5625.29,0,0
KRK_MV,D,20140402,000000,5735.6,5735.6,5735.6,5735.6,0,0
KRK_MV,D,20140407,000000,5956.21,5956.21,5956.21,5956.21,0,0
KRK_MV,D,20140411,000000,5956.21,5956.21,5956.21,5956.21,0,0
KRK_MV,D,20140425,000000,5912.07,5956.21,5912.07,5956.21,0,0
KRK_MV,D,20140429,000000,5956.21,5956.21,5956.21,5956.21,0,0
KRK_MV,D,20140430,000000,5912.07,5956.21,5912.07,5934.14,0,0
KRK_MV,D,20140509,000000,5340.72,5801.79,5340.72,5801.79,0,0
KRK_MV,D,20140522,000000,5890.02,5920.91,5890.02,5920.91,0,0
KRK_MV,D,20140527,000000,5735.6,6000.31,5735.6,6000.31,0,0
KRK_MV,D,20140528,000000,5516.11,5873.48,5516.11,5873.48,0,0
KRK_MV,D,20140602,000000,6265.04,6265.04,6265.04,6265.04,0,0
KRK_MV,D,20140603,000000,6584.91,6584.91,6584.91,6584.91,0,0
KRK_MV,D,20140609,000000,6584.91,6584.91,6584.91,6584.91,0,0
KRK_MV,D,20140612,000000,6595.93,6595.93,6595.93,6595.93,0,0
KRK_MV,D,20140618,000000,6618,6618,6595.93,6618,0,0
KRK_MV,D,20140620,000000,5956.21,5956.21,5845.9,5845.9,0,0
KRK_MV,D,20140623,000000,6265.04,6304.75,5845.9,5845.9,0,0
KRK_MV,D,20140624,000000,6397.4,6397.4,6397.4,6397.4,0,0
KRK_MV,D,20140630,000000,6506.59,6507.71,6506.59,6507.71,0,0
KRK_MV,D,20140701,000000,6496.66,6496.66,6495.57,6495.57,0,0
KRK_MV,D,20140702,000000,6397.4,6496.66,6397.4,6496.66,0,0
KRK_MV,D,20140703,000000,6496.66,6562.85,6004.73,6176.79,0,0
KRK_MV,D,20140704,000000,6761.93,6761.93,6259.41,6259.41,0,0
KRK_MV,D,20140710,000000,5584.98,5606.08,5561.81,5561.81,0,0
KRK_MV,D,20140711,000000,5561.81,5561.81,5517.55,5517.55,0,0
KRK_MV,D,20140714,000000,5517.55,5517.55,5517.55,5517.55,0,0
KRK_MV,D,20140715,000000,5500.7,5500.7,5434.31,5434.31,0,0
KRK_MV,D,20140716,000000,5479.62,5479.62,5479.62,5479.62,0,0
KRK_MV,D,20140717,000000,5584.98,6109.76,5584.98,6109.76,0,0
KRK_MV,D,20140723,000000,6109.76,6109.76,6109.76,6109.76,0,0
KRK_MV,D,20140730,000000,5901.13,5901.13,5901.13,5901.13,0,0
KRK_MV,D,20140731,000000,5774.67,5901.13,5774.67,5901.13,0,0
KRK_MV,D,20140801,000000,5627.14,5627.14,5627.14,5627.14,0,0
KRK_MV,D,20140804,000000,5901.13,5901.13,5901.13,5901.13,0,0
KRK_MV,D,20140806,000000,5711.45,5711.45,5711.45,5711.45,0,0
KRK_MV,D,20140807,000000,5375.29,5375.29,5374.25,5374.25,0,0
KRK_MV,D,20140808,000000,5546.01,5546.01,5546.01,5546.01,0,0
KRK_MV,D,20140819,000000,5541.8,5541.8,5540.75,5540.75,0,0
KRK_MV,D,20140828,000000,5540.75,5540.75,5540.75,5540.75,0,0
KRK_MV,D,20140902,000000,5480.68,5480.68,5437.46,5437.46,0,0
KRK_MV,D,20140905,000000,4963.28,4963.28,4963.28,4963.28,0,0
KRK_MV,D,20140908,000000,5532.31,5532.31,5479.62,5479.62,0,0
KRK_MV,D,20140909,000000,5479.62,5479.62,5479.62,5479.62,0,0
KRK_MV,D,20140919,000000,5690.37,5690.37,5479.62,5479.62,0,0
KRK_MV,D,20140924,000000,5268.86,5268.86,5268.86,5268.86,0,0
KRK_MV,D,20140925,000000,5584.98,5584.98,5584.98,5584.98,0,0
KRK_MV,D,20140929,000000,5901.13,5901.13,5479.62,5479.62,0,0
KRK_MV,D,20141006,000000,4973.81,5479.62,4973.81,5479.62,0,0
KRK_MV,D,20141013,000000,5375.29,5375.29,5374.25,5374.25,0,0
KRK_MV,D,20141016,000000,4953.78,5275.2,4953.78,5275.2,0,0
KRK_MV,D,20141021,000000,5269.92,5269.92,5226.72,5226.72,0,0
KRK_MV,D,20141022,000000,5269.92,5412.19,5237.25,5237.25,0,0
KRK_MV,D,20141023,000000,5269.92,5269.92,5268.86,5268.86,0,0
KRK_MV,D,20141030,000000,5268.86,5268.86,5268.86,5268.86,0,0
KRK_MV,D,20141103,000000,5268.86,5268.86,5268.86,5268.86,0,0
KRK_MV,D,20141104,000000,5332.09,5332.09,5164.54,5164.54,0,0
KRK_MV,D,20141105,000000,5176.13,5176.13,5174.03,5174.03,0,0
KRK_MV,D,20141107,000000,5174.03,5174.03,5174.03,5174.03,0,0
KRK_MV,D,20141126,000000,5164.54,5164.54,5164.54,5164.54,0,0
KRK_MV,D,20141127,000000,5163.48,5163.48,5163.48,5163.48,0,0
KRK_MV,D,20141202,000000,5478.56,5478.56,5478.56,5478.56,0,0
KRK_MV,D,20141216,000000,5015.96,5015.96,5015.96,5015.96,0,0
KRK_MV,D,20150105,000000,4741.97,4741.97,4741.97,4741.97,0,0
KRK_MV,D,20150112,000000,5322.61,5322.61,5322.61,5322.61,0,0
KRK_MV,D,20150114,000000,5479.62,5479.62,5479.62,5479.62,0,0
KRK_MV,D,20150205,000000,5123.45,5125.55,5123.45,5125.55,0,0
KRK_MV,D,20150212,000000,5126.6,5126.6,5126.6,5126.6,0,0
KRK_MV,D,20150217,000000,5058.1,5058.1,5058.1,5058.1,0,0
KRK_MV,D,20150218,000000,5116.08,5125.55,5116.08,5121.34,0,0
KRK_MV,D,20150227,000000,5285.73,5285.73,5285.73,5285.73,0,0
KRK_MV,D,20150302,000000,5283.62,5283.62,5283.62,5283.62,0,0
KRK_MV,D,20150303,000000,5058.1,5058.1,5058.1,5058.1,0,0
KRK_MV,D,20150304,000000,5276.24,5277.29,5276.24,5277.29,0,0
KRK_MV,D,20150305,000000,5268.86,5268.86,5268.86,5268.86,0,0
KRK_MV,D,20150310,000000,5374.25,5374.25,5373.19,5374.25,0,0
KRK_MV,D,20150311,000000,5584.98,5584.98,5227.75,5227.75,0,0
KRK_MV,D,20150313,000000,5227.75,5227.75,5205.64,5205.64,0,0
KRK_MV,D,20150316,000000,5479.62,5479.62,5458.54,5458.54,0,0
KRK_MV,D,20150317,000000,5458.54,5458.54,5458.54,5458.54,0,0
KRK_MV,D,20150318,000000,5479.62,5479.62,5479.62,5479.62,0,0
KRK_MV,D,20150320,000000,5311.03,5311.03,5163.48,5163.48,0,0
KRK_MV,D,20150324,000000,5669.3,5669.3,5669.3,5669.3,0,0
KRK_MV,D,20150326,000000,5479.62,5479.62,5374.25,5374.25,0,0
KRK_MV,D,20150330,000000,5245.68,5479.62,5207.75,5207.75,0,0
KRK_MV,D,20150401,000000,5268.86,5268.86,5268.86,5268.86,0,0
KRK_MV,D,20150410,000000,5268.86,5268.86,5268.86,5268.86,0,0
KRK_MV,D,20150413,000000,5268.86,5268.86,5268.86,5268.86,0,0
KRK_MV,D,20150415,000000,5584.98,5627.14,5584.98,5627.14,0,0
KRK_MV,D,20150416,000000,5606.08,5690.37,5606.08,5690.37,0,0
KRK_MV,D,20150417,000000,5795.75,5795.75,5795.75,5795.75,0,0
KRK_MV,D,20150420,000000,5603.96,5603.96,5603.96,5603.96,0,0
KRK_MV,D,20150423,000000,5746.23,5746.23,5746.23,5746.23,0,0
KRK_MV,D,20150429,000000,5746.23,5746.23,5746.23,5746.23,0,0
KRK_MV,D,20150504,000000,5837.92,5837.92,5837.92,5837.92,0,0
KRK_MV,D,20150512,000000,5837.92,5837.92,5627.14,5627.14,0,0
KRK_MV,D,20150518,000000,5627.14,5627.14,5584.98,5584.98,0,0
KRK_MV,D,20150601,000000,6006.51,6006.51,6006.51,6006.51,0,0
KRK_MV,D,20150610,000000,6006.51,6006.51,6006.51,6006.51,0,0
KRK_MV,D,20150618,000000,5795.75,5795.75,5795.75,5795.75,0,0
KRK_MV,D,20150701,000000,5778.3,5926.58,5778.3,5926.58,0,0
KRK_MV,D,20150709,000000,5778.3,5778.3,5778.3,5778.3,0,0
KRK_MV,D,20150710,000000,5778.3,5778.3,5778.3,5778.3,0,0
KRK_MV,D,20150714,000000,5863.35,5872.08,5863.35,5872.08,0,0
KRK_MV,D,20150715,000000,5806.67,5806.67,5806.67,5806.67,0,0
KRK_MV,D,20150716,000000,5793.58,5793.58,5793.58,5793.58,0,0
KRK_MV,D,20150717,000000,5776.12,5776.12,5776.12,5776.12,0,0
KRK_MV,D,20150720,000000,5778.3,5778.3,5778.3,5778.3,0,0
KRK_MV,D,20150721,000000,5669.28,5802.3,5669.28,5802.3,0,0
KRK_MV,D,20150722,000000,5856.81,5856.81,5856.81,5856.81,0,0
KRK_MV,D,20150723,000000,5865.53,5865.53,5865.53,5865.53,0,0
KRK_MV,D,20150724,000000,5850.25,5850.25,5850.25,5850.25,0,0
KRK_MV,D,20150727,000000,5880.79,5880.79,5880.79,5880.79,0,0
KRK_MV,D,20150728,000000,5856.81,5856.81,5856.81,5856.81,0,0
KRK_MV,D,20150729,000000,5920.05,5920.05,5920.05,5920.05,0,0
KRK_MV,D,20150730,000000,5922.23,5922.23,5922.23,5922.23,0,0
KRK_MV,D,20150731,000000,5932.05,5932.05,5911.31,5911.31,0,0
KRK_MV,D,20150803,000000,5911.31,5911.31,5911.31,5911.31,0,0
KRK_MV,D,20150805,000000,5811.02,5811.02,5811.02,5811.02,0,0
KRK_MV,D,20150806,000000,5830.64,5830.64,5830.64,5830.64,0,0
KRK_MV,D,20150807,000000,5821.92,5821.92,5821.92,5821.92,0,0
KRK_MV,D,20150810,000000,5839.36,5839.36,5839.36,5839.36,0,0
KRK_MV,D,20150813,000000,5887.33,5887.33,5887.33,5887.33,0,0
KRK_MV,D,20150824,000000,5887.33,5887.33,5778.3,5778.3,0,0
KRK_MV,D,20150921,000000,5575.51,5575.51,5575.51,5575.51,0,0
KRK_MV,D,20150923,000000,5531.92,5531.92,5531.92,5531.92,0,0
KRK_MV,D,20150928,000000,5516.63,5516.63,5516.63,5516.63,0,0
KRK_MV,D,20151007,000000,5608.22,5608.22,5608.22,5608.22,0,0
KRK_MV,D,20151012,000000,5887.33,5887.33,5887.33,5887.33,0,0
KRK_MV,D,20151014,000000,5887.33,5887.33,5887.33,5887.33,0,0
KRK_MV,D,20151015,000000,5801.2,5823.02,5494.85,5823.02,0,0
KRK_MV,D,20151016,000000,5538.46,5538.46,5494.85,5494.85,0,0
