<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRU_MV,D,20110510,000000,541.051,541.051,541.051,541.051,0,0
KRU_MV,D,20110511,000000,539.743,541.051,531.962,531.962,0,0
KRU_MV,D,20110512,000000,527.941,538.31,519.13,531.837,0,0
KRU_MV,D,20110513,000000,526.643,531.837,524.055,525.738,0,0
KRU_MV,D,20110516,000000,526.008,529.23,525.084,527.941,0,0
KRU_MV,D,20110517,000000,527.941,528.989,524.055,524.171,0,0
KRU_MV,D,20110518,000000,525.354,526.527,524.171,525.354,0,0
KRU_MV,D,20110519,000000,525.354,526.008,516.264,526.008,0,0
KRU_MV,D,20110520,000000,526.383,526.383,524.709,525.354,0,0
KRU_MV,D,20110523,000000,525.479,525.479,521.718,522.757,0,0
KRU_MV,D,20110524,000000,518.861,525.354,517.572,525.354,0,0
KRU_MV,D,20110525,000000,524.055,531.837,524.055,531.837,0,0
KRU_MV,D,20110526,000000,528.585,537.04,527.941,527.941,0,0
KRU_MV,D,20110527,000000,524.171,529.23,524.171,528.585,0,0
KRU_MV,D,20110530,000000,524.825,526.643,520.15,520.294,0,0
KRU_MV,D,20110531,000000,519.4,540.657,518.861,535.722,0,0
KRU_MV,D,20110601,000000,537.81,537.81,525.354,536.376,0,0
KRU_MV,D,20110602,000000,535.722,535.722,525.354,534.299,0,0
KRU_MV,D,20110603,000000,526.008,534.299,525.354,526.008,0,0
KRU_MV,D,20110606,000000,524.171,531.837,521.449,531.837,0,0
KRU_MV,D,20110607,000000,525.354,531.837,525.354,531.837,0,0
KRU_MV,D,20110608,000000,525.354,531.837,525.354,531.837,0,0
KRU_MV,D,20110609,000000,529.23,529.23,525.354,525.354,0,0
KRU_MV,D,20110610,000000,524.055,525.354,520.15,525.354,0,0
KRU_MV,D,20110613,000000,524.055,526.008,524.055,526.008,0,0
KRU_MV,D,20110614,000000,519.4,526.008,519.4,522.882,0,0
KRU_MV,D,20110615,000000,518.986,561.644,518.986,561.644,0,0
KRU_MV,D,20110616,000000,530.009,555.671,530.009,554.988,0,0
KRU_MV,D,20110617,000000,552.901,554.988,549.429,554.988,0,0
KRU_MV,D,20110620,000000,534.164,554.988,534.164,550.833,0,0
KRU_MV,D,20110621,000000,548.053,554.988,548.053,550.833,0,0
KRU_MV,D,20110622,000000,548.198,561.789,548.198,554.988,0,0
KRU_MV,D,20110624,000000,554.854,557.768,552.362,554.988,0,0
KRU_MV,D,20110627,000000,553.873,555.671,553.594,554.988,0,0
KRU_MV,D,20110628,000000,543.889,554.988,543.889,554.988,0,0
KRU_MV,D,20110629,000000,553.594,557.768,553.594,557.768,0,0
KRU_MV,D,20110630,000000,561.923,561.923,554.988,561.923,0,0
KRU_MV,D,20110701,000000,568.868,595.925,568.868,593.972,0,0
KRU_MV,D,20110704,000000,593.135,603.552,593.135,603.552,0,0
KRU_MV,D,20110705,000000,605.63,606.322,597.031,600.772,0,0
KRU_MV,D,20110706,000000,598.839,600.772,588.99,600.772,0,0
KRU_MV,D,20110707,000000,600.772,607.698,591.616,603.552,0,0
KRU_MV,D,20110708,000000,600.772,607.024,583.43,583.43,0,0
KRU_MV,D,20110711,000000,583.017,595.232,582.343,584.123,0,0
KRU_MV,D,20110712,000000,592.731,592.731,552.218,582.459,0,0
KRU_MV,D,20110713,000000,568.868,587.595,568.868,582.738,0,0
KRU_MV,D,20110714,000000,570.388,582.603,570.388,582.459,0,0
KRU_MV,D,20110715,000000,582.459,582.459,575.803,579.958,0,0
KRU_MV,D,20110718,000000,570.532,570.532,561.923,567.464,0,0
KRU_MV,D,20110719,000000,564.693,567.464,555.267,561.923,0,0
KRU_MV,D,20110720,000000,561.923,566.781,556.787,556.931,0,0
KRU_MV,D,20110721,000000,560.519,560.519,548.198,554.988,0,0
KRU_MV,D,20110722,000000,555.123,566.781,555.123,566.781,0,0
KRU_MV,D,20110725,000000,568.454,568.454,559.134,568.175,0,0
