<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRU_PB,D,20110510,000000,4.09672,4.09672,4.09672,4.09672,0,0
KRU_PB,D,20110511,000000,4.08845,4.09672,4.03083,4.03083,0,0
KRU_PB,D,20110512,000000,3.99813,4.08037,3.93243,4.03083,0,0
KRU_PB,D,20110513,000000,3.98986,4.03083,3.9735,3.98168,0,0
KRU_PB,D,20110516,000000,3.98168,4.0063,3.98168,3.99813,0,0
KRU_PB,D,20110517,000000,3.99813,4.0063,3.58751,3.58751,0,0
KRU_PB,D,20110518,000000,3.59588,3.60415,3.58751,3.59588,0,0
KRU_PB,D,20110519,000000,3.59588,3.60415,3.53827,3.60415,0,0
KRU_PB,D,20110520,000000,3.60415,3.60415,3.59588,3.59588,0,0
KRU_PB,D,20110523,000000,3.59588,3.59588,3.57126,3.57943,0,0
KRU_PB,D,20110524,000000,3.55471,3.59588,3.54654,3.59588,0,0
KRU_PB,D,20110525,000000,3.58751,3.64522,3.58751,3.64522,0,0
KRU_PB,D,20110526,000000,3.6206,3.67793,3.61223,3.61223,0,0
KRU_PB,D,20110527,000000,3.58751,3.6206,3.58751,3.6206,0,0
KRU_PB,D,20110530,000000,3.59588,3.60415,3.56289,3.56289,0,0
KRU_PB,D,20110531,000000,3.55471,3.70274,3.55471,3.66985,0,0
KRU_PB,D,20110601,000000,3.6862,3.6862,3.59588,3.66985,0,0
KRU_PB,D,20110602,000000,3.66985,3.66985,3.59588,3.66158,0,0
KRU_PB,D,20110603,000000,3.60415,3.66158,3.59588,3.60415,0,0
KRU_PB,D,20110606,000000,3.58751,3.64522,3.57126,3.64522,0,0
KRU_PB,D,20110607,000000,3.59588,3.64522,3.59588,3.64522,0,0
KRU_PB,D,20110608,000000,3.59588,3.64522,3.59588,3.64522,0,0
KRU_PB,D,20110609,000000,3.6206,3.6206,3.59588,3.59588,0,0
