<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRU_PE,D,20110510,000000,15.0232,15.0232,15.0232,15.0232,0,0
KRU_PE,D,20110511,000000,15.0232,15.0232,14.7769,14.7769,0,0
KRU_PE,D,20110512,000000,14.6952,14.9404,14.4489,14.7769,0,0
KRU_PE,D,20110513,000000,14.6124,14.7769,14.5307,14.6124,0,0
KRU_PE,D,20110516,000000,14.6124,14.6952,14.6124,14.6124,0,0
KRU_PE,D,20110517,000000,14.6124,14.6124,12.2338,12.2338,0,0
KRU_PE,D,20110518,000000,12.2338,12.3146,12.2338,12.2338,0,0
KRU_PE,D,20110519,000000,12.2338,12.2338,11.9876,12.2338,0,0
KRU_PE,D,20110520,000000,12.2338,12.2338,12.2338,12.2338,0,0
KRU_PE,D,20110523,000000,12.2338,12.2338,12.1511,12.1511,0,0
KRU_PE,D,20110524,000000,12.0684,12.2338,12.0684,12.2338,0,0
KRU_PE,D,20110525,000000,12.2338,12.3963,12.2338,12.3963,0,0
KRU_PE,D,20110526,000000,12.3146,12.4791,12.3146,12.3146,0,0
KRU_PE,D,20110527,000000,12.2338,12.3146,12.2338,12.3146,0,0
KRU_PE,D,20110530,000000,12.2338,12.2338,12.0684,12.0684,0,0
KRU_PE,D,20110531,000000,12.0684,12.5608,12.0684,12.4791,0,0
KRU_PE,D,20110601,000000,12.4791,12.4791,12.1511,12.4791,0,0
KRU_PE,D,20110602,000000,12.4791,12.4791,12.2338,12.3963,0,0
KRU_PE,D,20110603,000000,12.2338,12.3963,12.1511,12.2338,0,0
KRU_PE,D,20110606,000000,12.1511,12.3963,12.1511,12.3963,0,0
KRU_PE,D,20110607,000000,12.2338,12.3963,12.2338,12.3963,0,0
KRU_PE,D,20110608,000000,12.2338,12.3963,12.2338,12.3963,0,0
KRU_PE,D,20110609,000000,12.3146,12.3146,12.2338,12.2338,0,0
KRU_PE,D,20110610,000000,12.2338,12.2338,12.1511,12.2338,0,0
KRU_PE,D,20110613,000000,12.2338,12.2338,12.2338,12.2338,0,0
KRU_PE,D,20110614,000000,12.0684,12.2338,12.0684,12.1511,0,0
KRU_PE,D,20110615,000000,12.0684,13.0533,12.0684,13.0533,0,0
KRU_PE,D,20110616,000000,12.3146,12.8898,12.3146,12.8898,0,0
KRU_PE,D,20110617,000000,12.808,12.8898,12.7253,12.8898,0,0
KRU_PE,D,20110620,000000,12.3963,12.8898,12.3963,12.808,0,0
KRU_PE,D,20110621,000000,12.7253,12.8898,12.7253,12.808,0,0
KRU_PE,D,20110622,000000,12.7253,13.0533,12.7253,12.8898,0,0
KRU_PE,D,20110624,000000,12.8898,12.9725,12.808,12.8898,0,0
KRU_PE,D,20110627,000000,12.8898,12.8898,12.8898,12.8898,0,0
KRU_PE,D,20110628,000000,12.6426,12.8898,12.6426,12.8898,0,0
KRU_PE,D,20110629,000000,12.8898,12.9725,12.8898,12.9725,0,0
KRU_PE,D,20110630,000000,13.0533,13.0533,12.8898,13.0533,0,0
KRU_PE,D,20110701,000000,13.2178,13.8737,13.2178,13.793,0,0
KRU_PE,D,20110704,000000,13.793,14.0392,13.793,14.0392,0,0
KRU_PE,D,20110705,000000,14.12,14.12,13.8737,13.9565,0,0
KRU_PE,D,20110706,000000,13.8737,13.9565,13.7093,13.9565,0,0
KRU_PE,D,20110707,000000,13.9565,14.12,13.7093,14.0392,0,0
KRU_PE,D,20110708,000000,13.9565,14.12,13.5458,13.5458,0,0
KRU_PE,D,20110711,000000,13.5458,13.793,13.5458,13.6275,0,0
KRU_PE,D,20110712,000000,13.793,13.793,12.8898,13.5458,0,0
KRU_PE,D,20110713,000000,13.2178,13.6275,13.2178,13.5458,0,0
KRU_PE,D,20110714,000000,13.3005,13.5458,13.3005,13.5458,0,0
KRU_PE,D,20110715,000000,13.5458,13.5458,13.3822,13.463,0,0
KRU_PE,D,20110718,000000,13.2178,13.2178,13.0533,13.2178,0,0
KRU_PE,D,20110719,000000,13.135,13.2178,12.9725,13.0533,0,0
KRU_PE,D,20110720,000000,13.0533,13.135,12.9725,12.9725,0,0
KRU_PE,D,20110721,000000,13.0533,13.0533,12.808,12.8898,0,0
KRU_PE,D,20110722,000000,12.8898,13.2178,12.8898,13.2178,0,0
KRU_PE,D,20110725,000000,13.2178,13.2178,13.0533,13.2178,0,0
KRU_PE,D,20110726,000000,13.2178,13.3822,13.135,13.2178,0,0
KRU_PE,D,20110727,000000,13.2178,13.3005,13.0533,13.0533,0,0
KRU_PE,D,20110728,000000,13.0533,13.0533,12.808,12.9725,0,0
KRU_PE,D,20110729,000000,13.135,13.135,12.8898,13.135,0,0
KRU_PE,D,20110801,000000,12.8898,12.9725,12.7253,12.7253,0,0
KRU_PE,D,20110802,000000,12.808,12.808,12.7253,12.7253,0,0
KRU_PE,D,20110803,000000,12.8898,12.8898,12.1511,12.3963,0,0
KRU_PE,D,20110804,000000,11.9039,12.4791,11.9039,11.9039,0,0
KRU_PE,D,20110805,000000,10.262,11.9876,10.262,11.9039,0,0
KRU_PE,D,20110808,000000,11.0017,11.8221,11.0017,11.2479,0,0
KRU_PE,D,20110809,000000,10.9199,10.9199,9.93304,10.8362,0,0
KRU_PE,D,20110810,000000,11.1661,11.3306,10.0985,10.3438,0,0
KRU_PE,D,20110811,000000,10.5092,11.0017,10.262,11.0017,0,0
KRU_PE,D,20110812,000000,11.4932,11.5759,11.0017,11.4932,0,0
