<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KTY_MV,D,20070813,000000,713.244,713.244,713.244,713.244,0,0
KTY_MV,D,20070814,000000,698.46,698.46,698.46,698.46,0,0
KTY_MV,D,20070816,000000,682.934,682.934,682.934,682.934,0,0
KTY_MV,D,20070817,000000,665.2,665.2,665.2,665.2,0,0
KTY_MV,D,20070820,000000,665.2,665.2,665.2,665.2,0,0
KTY_MV,D,20070821,000000,657.824,657.824,657.824,657.824,0,0
KTY_MV,D,20070822,000000,689.226,689.226,689.226,689.226,0,0
KTY_MV,D,20070823,000000,718.052,718.052,718.052,718.052,0,0
KTY_MV,D,20070824,000000,683.675,683.675,683.675,683.675,0,0
KTY_MV,D,20070827,000000,720.636,720.636,720.636,720.636,0,0
KTY_MV,D,20070828,000000,739.112,739.112,739.112,739.112,0,0
KTY_MV,D,20070829,000000,746.496,746.496,746.496,746.496,0,0
KTY_MV,D,20070830,000000,739.112,739.112,739.112,739.112,0,0
KTY_MV,D,20070831,000000,768.681,768.681,768.681,768.681,0,0
KTY_MV,D,20070903,000000,809.334,809.334,809.334,809.334,0,0
KTY_MV,D,20070904,000000,809.334,809.334,809.334,809.334,0,0
KTY_MV,D,20070905,000000,794.549,794.549,794.549,794.549,0,0
KTY_MV,D,20070906,000000,790.474,790.474,790.474,790.474,0,0
KTY_MV,D,20070907,000000,776.064,776.064,776.064,776.064,0,0
KTY_MV,D,20070910,000000,750.205,750.205,750.205,750.205,0,0
KTY_MV,D,20070911,000000,772.381,772.381,772.381,772.381,0,0
KTY_MV,D,20070912,000000,772.006,772.006,772.006,772.006,0,0
KTY_MV,D,20070913,000000,779.764,779.764,779.764,779.764,0,0
KTY_MV,D,20070914,000000,750.205,750.205,750.205,750.205,0,0
KTY_MV,D,20070917,000000,739.112,739.112,739.112,739.112,0,0
KTY_MV,D,20070918,000000,755.746,755.746,755.746,755.746,0,0
KTY_MV,D,20070919,000000,784.573,784.573,784.573,784.573,0,0
KTY_MV,D,20070920,000000,808.584,808.584,808.584,808.584,0,0
KTY_MV,D,20070921,000000,764.989,764.989,764.989,764.989,0,0
KTY_MV,D,20070924,000000,772.006,772.006,772.006,772.006,0,0
KTY_MV,D,20070925,000000,728.02,728.02,728.02,728.02,0,0
KTY_MV,D,20070926,000000,735.42,735.42,735.42,735.42,0,0
KTY_MV,D,20070927,000000,733.57,733.57,733.57,733.57,0,0
KTY_MV,D,20070928,000000,716.944,716.944,716.944,716.944,0,0
KTY_MV,D,20071001,000000,698.46,698.46,698.46,698.46,0,0
KTY_MV,D,20071002,000000,705.852,705.852,705.852,705.852,0,0
KTY_MV,D,20071003,000000,700.31,700.31,700.31,700.31,0,0
KTY_MV,D,20071004,000000,698.835,698.835,698.835,698.835,0,0
KTY_MV,D,20071005,000000,702.168,702.168,702.168,702.168,0,0
KTY_MV,D,20071008,000000,705.852,705.852,705.852,705.852,0,0
KTY_MV,D,20071009,000000,701.418,701.418,701.418,701.418,0,0
KTY_MV,D,20071010,000000,708.81,708.81,708.81,708.81,0,0
KTY_MV,D,20071011,000000,717.686,717.686,717.686,717.686,0,0
KTY_MV,D,20071012,000000,709.552,709.552,709.552,709.552,0,0
KTY_MV,D,20071015,000000,727.653,727.653,727.653,727.653,0,0
KTY_MV,D,20071016,000000,716.944,716.944,716.944,716.944,0,0
KTY_MV,D,20071017,000000,720.636,720.636,720.636,720.636,0,0
KTY_MV,D,20071018,000000,713.244,713.244,713.244,713.244,0,0
KTY_MV,D,20071019,000000,713.244,713.244,713.244,713.244,0,0
KTY_MV,D,20071022,000000,707.702,707.702,707.702,707.702,0,0
KTY_MV,D,20071023,000000,719.536,719.536,719.536,719.536,0,0
KTY_MV,D,20071024,000000,714.736,714.736,714.736,714.736,0,0
KTY_MV,D,20071025,000000,698.46,698.46,698.46,698.46,0,0
KTY_MV,D,20071026,000000,694.759,694.759,694.759,694.759,0,0
KTY_MV,D,20071029,000000,702.168,702.168,702.168,702.168,0,0
KTY_MV,D,20071030,000000,698.46,698.46,698.46,698.46,0,0
