<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KTY_PB,D,20070813,000000,1.06198,1.06198,1.06198,1.06198,0,0
KTY_PB,D,20070814,000000,1.04065,1.04065,1.04065,1.04065,0,0
KTY_PB,D,20070816,000000,1.01948,1.01948,1.01948,1.01948,0,0
KTY_PB,D,20070817,000000,0.989723,0.989723,0.989723,0.989723,0,0
KTY_PB,D,20070820,000000,0.989723,0.989723,0.989723,0.989723,0,0
KTY_PB,D,20070821,000000,0.981228,0.981228,0.981228,0.981228,0,0
KTY_PB,D,20070822,000000,1.02381,1.02381,1.02381,1.02381,0,0
KTY_PB,D,20070823,000000,1.0704,1.0704,1.0704,1.0704,0,0
KTY_PB,D,20070824,000000,1.01948,1.01948,1.01948,1.01948,0,0
KTY_PB,D,20070827,000000,1.07473,1.07473,1.07473,1.07473,0,0
KTY_PB,D,20070828,000000,1.10015,1.10015,1.10015,1.10015,0,0
KTY_PB,D,20070829,000000,1.11281,1.11281,1.11281,1.11281,0,0
KTY_PB,D,20070830,000000,1.10865,1.10865,1.10865,1.10865,0,0
KTY_PB,D,20070831,000000,1.15541,1.15541,1.15541,1.15541,0,0
KTY_PB,D,20070903,000000,1.21491,1.21491,1.21491,1.21491,0,0
KTY_PB,D,20070904,000000,1.21491,1.21491,1.21491,1.21491,0,0
KTY_PB,D,20070905,000000,1.19358,1.19358,1.19358,1.19358,0,0
KTY_PB,D,20070906,000000,1.18516,1.18516,1.18516,1.18516,0,0
KTY_PB,D,20070907,000000,1.16399,1.16399,1.16399,1.16399,0,0
KTY_PB,D,20070910,000000,1.12565,1.12565,1.12565,1.12565,0,0
KTY_PB,D,20070911,000000,1.15965,1.15965,1.15965,1.15965,0,0
KTY_PB,D,20070912,000000,1.15965,1.15965,1.15965,1.15965,0,0
KTY_PB,D,20070913,000000,1.17233,1.17233,1.17233,1.17233,0,0
KTY_PB,D,20070914,000000,1.12565,1.12565,1.12565,1.12565,0,0
KTY_PB,D,20070917,000000,1.10865,1.10865,1.10865,1.10865,0,0
KTY_PB,D,20070918,000000,1.13848,1.13848,1.13848,1.13848,0,0
KTY_PB,D,20070919,000000,1.17666,1.17666,1.17666,1.17666,0,0
KTY_PB,D,20070920,000000,1.21491,1.21491,1.21491,1.21491,0,0
KTY_PB,D,20070921,000000,1.15116,1.15116,1.15116,1.15116,0,0
KTY_PB,D,20070924,000000,1.15965,1.15965,1.15965,1.15965,0,0
KTY_PB,D,20070925,000000,1.09165,1.09165,1.09165,1.09165,0,0
KTY_PB,D,20070926,000000,1.10448,1.10448,1.10448,1.10448,0,0
KTY_PB,D,20070927,000000,1.10015,1.10015,1.10015,1.10015,0,0
KTY_PB,D,20070928,000000,1.07898,1.07898,1.07898,1.07898,0,0
KTY_PB,D,20071001,000000,1.04923,1.04923,1.04923,1.04923,0,0
KTY_PB,D,20071002,000000,1.06198,1.06198,1.06198,1.06198,0,0
KTY_PB,D,20071003,000000,1.05357,1.05357,1.05357,1.05357,0,0
KTY_PB,D,20071004,000000,1.04923,1.04923,1.04923,1.04923,0,0
KTY_PB,D,20071005,000000,1.05357,1.05357,1.05357,1.05357,0,0
KTY_PB,D,20071008,000000,1.06198,1.06198,1.06198,1.06198,0,0
KTY_PB,D,20071009,000000,1.05357,1.05357,1.05357,1.05357,0,0
KTY_PB,D,20071010,000000,1.06615,1.06615,1.06615,1.06615,0,0
KTY_PB,D,20071011,000000,1.07898,1.07898,1.07898,1.07898,0,0
KTY_PB,D,20071012,000000,1.06615,1.06615,1.06615,1.06615,0,0
KTY_PB,D,20071015,000000,1.09165,1.09165,1.09165,1.09165,0,0
KTY_PB,D,20071016,000000,1.07898,1.07898,1.07898,1.07898,0,0
KTY_PB,D,20071017,000000,1.08315,1.08315,1.08315,1.08315,0,0
KTY_PB,D,20071018,000000,1.07473,1.07473,1.07473,1.07473,0,0
KTY_PB,D,20071019,000000,1.07473,1.07473,1.07473,1.07473,0,0
KTY_PB,D,20071022,000000,1.06615,1.06615,1.06615,1.06615,0,0
KTY_PB,D,20071023,000000,1.08315,1.08315,1.08315,1.08315,0,0
KTY_PB,D,20071024,000000,1.07473,1.07473,1.07473,1.07473,0,0
KTY_PB,D,20071025,000000,1.04923,1.04923,1.04923,1.04923,0,0
KTY_PB,D,20071026,000000,1.0449,1.0449,1.0449,1.0449,0,0
KTY_PB,D,20071029,000000,1.02381,1.02381,1.02381,1.02381,0,0
KTY_PB,D,20071030,000000,1.01948,1.01948,1.01948,1.01948,0,0
KTY_PB,D,20071031,000000,1.01514,1.01514,1.01514,1.01514,0,0
KTY_PB,D,20071102,000000,0.947312,0.947312,0.947312,0.947312,0,0
KTY_PB,D,20071105,000000,0.959977,0.959977,0.959977,0.959977,0,0
KTY_PB,D,20071106,000000,0.947312,0.947312,0.947312,0.947312,0,0
KTY_PB,D,20071107,000000,0.934474,0.934474,0.934474,0.934474,0,0
KTY_PB,D,20071108,000000,0.959977,0.959977,0.959977,0.959977,0,0
KTY_PB,D,20071109,000000,0.989723,0.989723,0.913222,0.921727,0,0
KTY_PB,D,20071112,000000,0.926061,0.938561,0.921727,0.934474,0,0
KTY_PB,D,20071113,000000,0.938561,0.947312,0.917557,0.917557,0,0
KTY_PB,D,20071114,000000,0.947312,0.947312,0.917557,0.930222,0,0
KTY_PB,D,20071115,000000,0.947312,0.947312,0.887805,0.887805,0,0
KTY_PB,D,20071116,000000,0.887805,0.887805,0.819801,0.870887,0,0
KTY_PB,D,20071119,000000,0.858053,0.887805,0.858053,0.879304,0,0
KTY_PB,D,20071120,000000,0.858053,0.879304,0.849635,0.86222,0,0
KTY_PB,D,20071121,000000,0.858053,0.858053,0.798549,0.798549,0,0
KTY_PB,D,20071122,000000,0.781548,0.85372,0.781548,0.824051,0,0
KTY_PB,D,20071123,000000,0.824051,0.85372,0.824051,0.841135,0,0
KTY_PB,D,20071126,000000,0.86222,0.887805,0.86222,0.879304,0,0
KTY_PB,D,20071127,000000,0.879304,0.879304,0.86222,0.879304,0,0
KTY_PB,D,20071128,000000,0.879304,0.883471,0.85372,0.85372,0,0
KTY_PB,D,20071129,000000,0.870887,0.904806,0.85372,0.85372,0,0
KTY_PB,D,20071130,000000,0.858053,0.879304,0.85372,0.870887,0,0
KTY_PB,D,20071203,000000,0.870887,0.887805,0.86222,0.86222,0,0
KTY_PB,D,20071204,000000,0.866553,0.870887,0.849635,0.85372,0,0
KTY_PB,D,20071205,000000,0.836719,0.85372,0.836719,0.845302,0,0
