<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LAB_MV,D,20140227,000000,4.85903,4.85903,4.85903,4.85903,0,0
LAB_MV,D,20140304,000000,8.10463,9.7281,8.10463,9.7281,0,0
LAB_MV,D,20140305,000000,11.6722,13.9404,11.6722,12.3823,0,0
LAB_MV,D,20140306,000000,12.8347,15.2033,12.8347,13.9404,0,0
LAB_MV,D,20140307,000000,14.0698,14.0698,11.3499,13.2583,0,0
LAB_MV,D,20140310,000000,12.3553,12.963,11.9954,12.963,0,0
LAB_MV,D,20140311,000000,12.3185,12.3185,12.3185,12.3185,0,0
LAB_MV,D,20140312,000000,12.087,12.226,11.4136,12.226,0,0
LAB_MV,D,20140313,000000,11.9954,12.8705,11.9954,12.8705,0,0
LAB_MV,D,20140314,000000,12.5482,13.2959,12.5482,12.6408,0,0
LAB_MV,D,20140317,000000,12.8067,12.8067,12.6408,12.6408,0,0
LAB_MV,D,20140318,000000,12.6408,12.6775,12.6408,12.6775,0,0
LAB_MV,D,20140319,000000,12.5482,12.5482,12.5482,12.5482,0,0
LAB_MV,D,20140320,000000,12.963,14.2356,12.963,14.2356,0,0
LAB_MV,D,20140321,000000,14.2637,14.2637,12.8067,13.6182,0,0
LAB_MV,D,20140324,000000,12.7701,12.9351,12.7701,12.9351,0,0
LAB_MV,D,20140325,000000,13.0924,13.7108,12.963,13.2959,0,0
LAB_MV,D,20140326,000000,13.2959,13.2959,13.2959,13.2959,0,0
LAB_MV,D,20140327,000000,13.2959,13.2959,13.2959,13.2959,0,0
LAB_MV,D,20140328,000000,13.2959,13.6182,13.2959,13.6182,0,0
LAB_MV,D,20140331,000000,13.3239,13.3239,13.3239,13.3239,0,0
LAB_MV,D,20140401,000000,13.3597,14.4296,12.5482,14.4296,0,0
LAB_MV,D,20140402,000000,14.033,14.4296,14.033,14.4296,0,0
LAB_MV,D,20140403,000000,15.2033,18.2184,14.9457,17.8971,0,0
LAB_MV,D,20140404,000000,17.4726,21.4273,17.4726,21.4273,0,0
LAB_MV,D,20140407,000000,22.6632,22.6632,18.1547,20.4229,0,0
LAB_MV,D,20140408,000000,20.7452,20.7452,18.8638,18.8638,0,0
LAB_MV,D,20140410,000000,19.6752,21.9811,19.4543,19.4543,0,0
LAB_MV,D,20140411,000000,18.9661,18.9661,18.8377,18.8377,0,0
LAB_MV,D,20140414,000000,18.7991,19.5189,16.8541,19.5189,0,0
LAB_MV,D,20140415,000000,21.0394,21.0394,19.2883,19.2883,0,0
LAB_MV,D,20140416,000000,19.7765,20.1006,19.7765,20.1006,0,0
LAB_MV,D,20140417,000000,20.4876,22.6632,20.4876,22.6632,0,0
LAB_MV,D,20140422,000000,22.5986,22.5986,20.229,20.229,0,0
LAB_MV,D,20140423,000000,20.1006,20.3583,18.6428,20.3583,0,0
LAB_MV,D,20140424,000000,19.4543,21.3637,18.6428,21.3637,0,0
LAB_MV,D,20140425,000000,21.3356,21.3356,21.3356,21.3356,0,0
LAB_MV,D,20140428,000000,20.8745,20.8745,20.8745,20.8745,0,0
LAB_MV,D,20140429,000000,19.4822,19.4822,19.4822,19.4822,0,0
LAB_MV,D,20140430,000000,20.3303,20.3303,20.3303,20.3303,0,0
LAB_MV,D,20140502,000000,20.3303,20.3303,20.3303,20.3303,0,0
LAB_MV,D,20140505,000000,20.3303,20.3303,20.3303,20.3303,0,0
LAB_MV,D,20140506,000000,20.3303,20.3303,20.3303,20.3303,0,0
LAB_MV,D,20140507,000000,20.3303,20.3303,18.1547,20.1923,0,0
LAB_MV,D,20140509,000000,18.1547,20.1923,16.4403,20.1923,0,0
LAB_MV,D,20140512,000000,18.9661,19.4185,17.0471,17.0471,0,0
LAB_MV,D,20140513,000000,19.0954,19.0954,19.0954,19.0954,0,0
LAB_MV,D,20140519,000000,17.0201,17.0201,16.6978,16.6978,0,0
LAB_MV,D,20140520,000000,16.2096,17.5092,15.242,17.5092,0,0
LAB_MV,D,20140521,000000,17.5092,19.4543,14.7528,19.4543,0,0
LAB_MV,D,20140522,000000,19.4543,19.4543,19.4543,19.4543,0,0
LAB_MV,D,20140523,000000,19.4543,19.4543,16.2096,19.1224,0,0
LAB_MV,D,20140526,000000,18.1547,18.1547,16.8917,18.1547,0,0
LAB_MV,D,20140527,000000,16.5318,17.9878,15.7205,17.9878,0,0
LAB_MV,D,20140530,000000,16.0436,17.8971,14.9738,17.8971,0,0
LAB_MV,D,20140603,000000,16.3379,17.8971,16.3379,17.8971,0,0
LAB_MV,D,20140605,000000,17.9878,17.9878,17.9878,17.9878,0,0
LAB_MV,D,20140606,000000,17.7301,19.1224,17.7301,19.1224,0,0
LAB_MV,D,20140609,000000,18.7991,18.7991,18.6428,18.6428,0,0
LAB_MV,D,20140610,000000,17.8315,17.8315,17.8315,17.8315,0,0
LAB_MV,D,20140612,000000,17.3423,17.9617,16.5049,17.9617,0,0
LAB_MV,D,20140613,000000,16.5049,19.1224,16.2096,19.1224,0,0
LAB_MV,D,20140616,000000,17.1773,19.1224,17.1773,19.1224,0,0
LAB_MV,D,20140618,000000,19.1224,19.1224,19.1224,19.1224,0,0
LAB_MV,D,20140620,000000,19.1224,19.1224,19.1224,19.1224,0,0
LAB_MV,D,20140623,000000,18.2839,19.1224,17.3423,19.1224,0,0
LAB_MV,D,20140624,000000,19.1224,22.2387,17.7949,18.7991,0,0
LAB_MV,D,20140625,000000,21.0684,22.3409,20.4229,22.3409,0,0
LAB_MV,D,20140626,000000,21.0684,21.0684,20.7172,21.0684,0,0
LAB_MV,D,20140627,000000,21.1967,21.1967,21.1967,21.1967,0,0
LAB_MV,D,20140630,000000,21.1967,21.9444,19.1224,21.9444,0,0
LAB_MV,D,20140701,000000,20.5889,24.7009,20.5889,24.7009,0,0
LAB_MV,D,20140702,000000,24.7009,24.7009,23.3453,23.3453,0,0
LAB_MV,D,20140703,000000,23.0144,27.5586,23.0144,26.5812,0,0
LAB_MV,D,20140704,000000,28.205,32.4173,28.205,32.4173,0,0
LAB_MV,D,20140707,000000,38.8999,38.8999,34.0411,34.0411,0,0
LAB_MV,D,20140708,000000,33.1004,35.6262,30.2147,32.3817,0,0
LAB_MV,D,20140709,000000,32.4173,34.0411,32.4173,34.0411,0,0
LAB_MV,D,20140714,000000,31.9301,34.3633,30.7955,34.3633,0,0
LAB_MV,D,20140715,000000,32.4173,32.4173,32.4173,32.4173,0,0
LAB_MV,D,20140716,000000,32.4173,34.6866,31.4497,34.6866,0,0
LAB_MV,D,20140721,000000,34.6866,34.6866,30.7955,34.6866,0,0
LAB_MV,D,20140722,000000,34.6866,34.6866,34.6866,34.6866,0,0
LAB_MV,D,20140724,000000,31.2837,34.1328,31.2837,34.1328,0,0
LAB_MV,D,20140728,000000,31.1834,34.6866,31.1834,34.6866,0,0
LAB_MV,D,20140729,000000,34.6866,34.6866,34.6866,34.6866,0,0
LAB_MV,D,20140801,000000,34.6866,34.6866,32.4173,32.4173,0,0
LAB_MV,D,20140804,000000,33.4603,33.4603,33.4603,33.4603,0,0
LAB_MV,D,20140808,000000,32.0951,33.4603,31.1178,33.4603,0,0
LAB_MV,D,20140814,000000,31.7728,38.5776,31.7728,38.5776,0,0
LAB_MV,D,20140818,000000,38.2534,45.3814,38.2534,45.3814,0,0
LAB_MV,D,20140819,000000,44.736,44.736,41.0755,41.0755,0,0
LAB_MV,D,20140821,000000,38.5776,38.8999,38.5776,38.8999,0,0
LAB_MV,D,20140822,000000,38.8999,38.8999,38.5776,38.8999,0,0
LAB_MV,D,20140825,000000,36.8622,37.9601,36.8622,37.9601,0,0
LAB_MV,D,20140826,000000,36.3094,37.9601,36.3094,37.9601,0,0
LAB_MV,D,20140828,000000,35.332,37.9601,35.332,37.9601,0,0
LAB_MV,D,20140902,000000,36.0517,40.3567,36.0517,40.3567,0,0
LAB_MV,D,20140903,000000,37.637,44.736,37.637,44.736,0,0
LAB_MV,D,20140904,000000,44.2468,44.2468,43.4363,43.4363,0,0
LAB_MV,D,20140905,000000,42.9578,42.9578,42.9578,42.9578,0,0
LAB_MV,D,20140908,000000,42.9578,45.3814,42.1454,45.3814,0,0
LAB_MV,D,20140909,000000,45.3814,53.8176,38.8999,53.8176,0,0
LAB_MV,D,20140910,000000,50.2498,50.2498,50.2498,50.2498,0,0
LAB_MV,D,20140911,000000,46.1928,46.1928,46.1928,46.1928,0,0
LAB_MV,D,20140912,000000,46.3587,52.8412,46.3587,52.8412,0,0
LAB_MV,D,20140915,000000,46.0355,49.1161,46.0355,49.1161,0,0
LAB_MV,D,20140916,000000,42.1454,51.8359,42.1454,51.8359,0,0
LAB_MV,D,20140917,000000,51.8359,51.8359,51.8359,51.8359,0,0
LAB_MV,D,20140918,000000,51.2174,51.2174,51.2174,51.2174,0,0
LAB_MV,D,20140919,000000,51.2174,51.2174,51.2174,51.2174,0,0
LAB_MV,D,20140922,000000,51.2174,51.2174,51.2174,51.2174,0,0
LAB_MV,D,20140923,000000,51.2174,51.2174,51.2174,51.2174,0,0
LAB_MV,D,20140924,000000,51.2174,51.2174,51.2174,51.2174,0,0
LAB_MV,D,20140925,000000,51.2174,51.2174,51.2174,51.2174,0,0
LAB_MV,D,20140926,000000,51.2174,51.2174,51.2174,51.2174,0,0
LAB_MV,D,20140929,000000,51.2174,51.2174,49.9275,51.2174,0,0
LAB_MV,D,20140930,000000,51.2174,51.2174,51.2174,51.2174,0,0
LAB_MV,D,20141001,000000,51.2174,51.2174,51.2174,51.2174,0,0
LAB_MV,D,20141002,000000,51.2174,51.2174,49.9275,49.9275,0,0
LAB_MV,D,20141003,000000,49.8899,49.8899,49.8899,49.8899,0,0
LAB_MV,D,20141006,000000,49.8899,49.8899,49.2734,49.2734,0,0
