<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LAB_PE,D,20140304,000000,14.3832,14.3832,14.3832,14.3832,0,0
LAB_PE,D,20140305,000000,17.2419,20.6526,17.2419,18.3487,0,0
LAB_PE,D,20140306,000000,18.9931,22.4963,18.9931,20.6526,0,0
LAB_PE,D,20140307,000000,20.8378,20.8378,16.7808,19.6395,0,0
LAB_PE,D,20140310,000000,18.256,19.1783,17.7949,19.1783,0,0
LAB_PE,D,20140311,000000,18.256,18.256,18.256,18.256,0,0
LAB_PE,D,20140312,000000,17.8874,18.0707,16.8724,18.0707,0,0
LAB_PE,D,20140313,000000,17.7032,18.9931,17.7032,18.9931,0,0
LAB_PE,D,20140314,000000,18.5329,19.6395,18.5329,18.7162,0,0
LAB_PE,D,20140317,000000,18.9931,18.9931,18.7162,18.7162,0,0
LAB_PE,D,20140318,000000,18.7162,18.8088,18.7162,18.7162,0,0
LAB_PE,D,20140319,000000,18.5329,18.5329,18.5329,18.5329,0,0
LAB_PE,D,20140320,000000,19.1783,21.0221,19.1783,21.0221,0,0
LAB_PE,D,20140321,000000,21.1137,21.1137,18.9015,20.1006,0,0
LAB_PE,D,20140324,000000,18.8088,19.1783,18.8088,19.1783,0,0
LAB_PE,D,20140325,000000,19.4543,20.3766,19.27,19.6395,0,0
LAB_PE,D,20140326,000000,19.6395,19.6395,19.6395,19.6395,0,0
LAB_PE,D,20140327,000000,19.6395,19.6395,19.6395,19.6395,0,0
LAB_PE,D,20140328,000000,19.6395,20.1006,19.6395,20.1006,0,0
LAB_PE,D,20140331,000000,19.6395,19.7311,19.6395,19.7311,0,0
LAB_PE,D,20140401,000000,19.7311,21.3906,18.5329,21.2989,0,0
LAB_PE,D,20140402,000000,20.7452,21.2989,20.7452,21.2989,0,0
LAB_PE,D,20140403,000000,22.4963,26.9228,22.036,26.4626,0,0
LAB_PE,D,20140404,000000,25.8172,31.7179,25.8172,31.7179,0,0
LAB_PE,D,20140407,000000,33.5617,33.5617,26.8302,30.2417,0,0
LAB_PE,D,20140408,000000,30.7038,30.7038,27.9378,27.9378,0,0
LAB_PE,D,20140410,000000,29.136,32.5476,28.7675,28.7675,0,0
