<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEN_MV,D,20070813,000000,114.856,114.856,114.856,114.856,0,0
LEN_MV,D,20070814,000000,107.377,107.377,107.377,107.377,0,0
LEN_MV,D,20070816,000000,102.968,102.968,102.968,102.968,0,0
LEN_MV,D,20070817,000000,110.651,110.651,110.651,110.651,0,0
LEN_MV,D,20070820,000000,110.143,110.143,110.143,110.143,0,0
LEN_MV,D,20070821,000000,106.555,106.555,106.555,106.555,0,0
LEN_MV,D,20070822,000000,110.651,110.651,110.651,110.651,0,0
LEN_MV,D,20070823,000000,112.2,112.2,112.2,112.2,0,0
LEN_MV,D,20070824,000000,111.683,111.683,111.683,111.683,0,0
LEN_MV,D,20070827,000000,111.683,111.683,111.683,111.683,0,0
LEN_MV,D,20070828,000000,111.481,111.481,111.481,111.481,0,0
LEN_MV,D,20070829,000000,113.224,113.224,113.224,113.224,0,0
LEN_MV,D,20070830,000000,113.224,113.224,113.224,113.224,0,0
LEN_MV,D,20070831,000000,117.521,117.521,117.521,117.521,0,0
LEN_MV,D,20070903,000000,115.787,115.787,115.787,115.787,0,0
LEN_MV,D,20070904,000000,112.716,112.716,112.716,112.716,0,0
LEN_MV,D,20070905,000000,110.862,110.862,110.862,110.862,0,0
LEN_MV,D,20070906,000000,112.716,112.716,112.716,112.716,0,0
LEN_MV,D,20070907,000000,108.612,108.612,108.612,108.612,0,0
LEN_MV,D,20070910,000000,108.501,108.501,108.501,108.501,0,0
LEN_MV,D,20070911,000000,112.494,112.494,112.494,112.494,0,0
LEN_MV,D,20070912,000000,112.716,112.716,112.716,112.716,0,0
LEN_MV,D,20070913,000000,112.494,112.494,112.494,112.494,0,0
LEN_MV,D,20070914,000000,111.785,111.785,111.785,111.785,0,0
LEN_MV,D,20070917,000000,111.591,111.591,111.591,111.591,0,0
LEN_MV,D,20070918,000000,111.683,111.683,111.683,111.683,0,0
LEN_MV,D,20070919,000000,107.589,107.589,107.589,107.589,0,0
LEN_MV,D,20070920,000000,107.469,107.469,107.469,107.469,0,0
LEN_MV,D,20070921,000000,104.711,104.711,104.711,104.711,0,0
LEN_MV,D,20070924,000000,106.555,106.555,106.555,106.555,0,0
LEN_MV,D,20070925,000000,106.555,106.555,106.555,106.555,0,0
LEN_MV,D,20070926,000000,106.962,106.962,106.962,106.962,0,0
LEN_MV,D,20070927,000000,106.962,106.962,106.962,106.962,0,0
LEN_MV,D,20070928,000000,107.589,107.589,107.589,107.589,0,0
