<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEN_PE,D,20070813,000000,14.1047,14.1047,14.1047,14.1047,0,0
LEN_PE,D,20070814,000000,13.1917,13.1917,13.1917,13.1917,0,0
LEN_PE,D,20070816,000000,12.6522,12.6522,12.6522,12.6522,0,0
LEN_PE,D,20070817,000000,13.6031,13.6031,13.6031,13.6031,0,0
LEN_PE,D,20070820,000000,13.5237,13.5237,13.5237,13.5237,0,0
LEN_PE,D,20070821,000000,13.106,13.106,13.106,13.106,0,0
LEN_PE,D,20070822,000000,13.6031,13.6031,13.6031,13.6031,0,0
LEN_PE,D,20070823,000000,13.7736,13.7736,13.7736,13.7736,0,0
LEN_PE,D,20070824,000000,14.2689,14.2689,14.2689,14.2689,0,0
LEN_PE,D,20070827,000000,14.2689,14.2689,14.2689,14.2689,0,0
LEN_PE,D,20070828,000000,14.2274,14.2274,14.2274,14.2274,0,0
LEN_PE,D,20070829,000000,14.4755,14.4755,14.4755,14.4755,0,0
LEN_PE,D,20070830,000000,13.3983,13.3983,13.3983,13.3983,0,0
LEN_PE,D,20070831,000000,13.8945,13.8945,13.8945,13.8945,0,0
LEN_PE,D,20070903,000000,13.7303,13.7303,13.7303,13.7303,0,0
LEN_PE,D,20070904,000000,13.3559,13.3559,13.3559,13.3559,0,0
LEN_PE,D,20070905,000000,13.106,13.106,13.106,13.106,0,0
LEN_PE,D,20070906,000000,13.3559,13.3559,13.3559,13.3559,0,0
LEN_PE,D,20070907,000000,12.8588,12.8588,12.8588,12.8588,0,0
LEN_PE,D,20070910,000000,12.8588,12.8588,12.8588,12.8588,0,0
LEN_PE,D,20070911,000000,13.318,13.318,13.318,13.318,0,0
LEN_PE,D,20070912,000000,13.3559,13.3559,13.3559,13.3559,0,0
LEN_PE,D,20070913,000000,13.318,13.318,13.318,13.318,0,0
LEN_PE,D,20070914,000000,13.2332,13.2332,13.2332,13.2332,0,0
LEN_PE,D,20070917,000000,13.2332,13.2332,13.2332,13.2332,0,0
LEN_PE,D,20070918,000000,13.2332,13.2332,13.2332,13.2332,0,0
LEN_PE,D,20070919,000000,12.7361,12.7361,12.7361,12.7361,0,0
LEN_PE,D,20070920,000000,12.7361,12.7361,12.7361,12.7361,0,0
LEN_PE,D,20070921,000000,12.4041,12.4041,12.4041,12.4041,0,0
LEN_PE,D,20070924,000000,12.6098,12.6098,12.6098,12.6098,0,0
LEN_PE,D,20070925,000000,12.6098,12.6098,12.6098,12.6098,0,0
LEN_PE,D,20070926,000000,12.6522,12.6522,12.6522,12.6522,0,0
LEN_PE,D,20070927,000000,12.6522,12.6522,12.6522,12.6522,0,0
LEN_PE,D,20070928,000000,12.7361,12.7361,12.7361,12.7361,0,0
LEN_PE,D,20071001,000000,12.2354,12.2354,12.2354,12.2354,0,0
LEN_PE,D,20071002,000000,12.3608,12.3608,12.3608,12.3608,0,0
LEN_PE,D,20071003,000000,12.1136,12.1136,12.1136,12.1136,0,0
LEN_PE,D,20071004,000000,11.8203,11.8203,11.8203,11.8203,0,0
LEN_PE,D,20071005,000000,12.0702,12.0702,12.0702,12.0702,0,0
LEN_PE,D,20071008,000000,11.9854,11.9854,11.9854,11.9854,0,0
LEN_PE,D,20071009,000000,12.3183,12.3183,12.3183,12.3183,0,0
LEN_PE,D,20071010,000000,12.3183,12.3183,12.3183,12.3183,0,0
LEN_PE,D,20071011,000000,12.1136,12.1136,12.1136,12.1136,0,0
LEN_PE,D,20071012,000000,11.9485,11.9485,11.9485,11.9485,0,0
LEN_PE,D,20071015,000000,12.6098,12.6098,12.6098,12.6098,0,0
LEN_PE,D,20071016,000000,12.1136,12.1136,12.1136,12.1136,0,0
LEN_PE,D,20071017,000000,12.1136,12.1136,12.1136,12.1136,0,0
LEN_PE,D,20071018,000000,13.6879,13.6879,13.6879,13.6879,0,0
LEN_PE,D,20071019,000000,13.7303,13.7303,13.7303,13.7303,0,0
LEN_PE,D,20071022,000000,13.6879,13.6879,13.6879,13.6879,0,0
LEN_PE,D,20071023,000000,13.6454,13.6454,13.6454,13.6454,0,0
LEN_PE,D,20071024,000000,13.6031,13.6031,13.6031,13.6031,0,0
LEN_PE,D,20071025,000000,13.6031,13.6031,13.6031,13.6031,0,0
LEN_PE,D,20071026,000000,13.6031,13.6031,13.6031,13.6031,0,0
LEN_PE,D,20071029,000000,13.5661,13.5661,13.5661,13.5661,0,0
LEN_PE,D,20071030,000000,13.5661,13.5661,13.5661,13.5661,0,0
LEN_PE,D,20071031,000000,13.1493,13.1493,13.1493,13.1493,0,0
LEN_PE,D,20071102,000000,12.9427,12.9427,12.9427,12.9427,0,0
LEN_PE,D,20071105,000000,13.5661,13.5661,13.5661,13.5661,0,0
LEN_PE,D,20071106,000000,13.4397,13.4397,13.4397,13.4397,0,0
LEN_PE,D,20071107,000000,13.2765,13.2765,13.2765,13.2765,0,0
LEN_PE,D,20071108,000000,12.8994,12.8994,12.8994,12.8994,0,0
LEN_PE,D,20071109,000000,12.3608,13.0266,11.8203,11.8203,0,0
LEN_PE,D,20071112,000000,11.9485,11.9485,11.8203,11.9485,0,0
LEN_PE,D,20071113,000000,12.0702,12.2354,11.658,11.9061,0,0
LEN_PE,D,20071114,000000,12.4041,12.4041,10.8668,11.1573,0,0
LEN_PE,D,20071115,000000,11.1573,13.8152,10.2055,13.8152,0,0
LEN_PE,D,20071116,000000,15.0989,15.0989,12.3608,12.4041,0,0
LEN_PE,D,20071119,000000,12.1136,12.6937,11.9485,12.489,0,0
LEN_PE,D,20071120,000000,11.7807,12.3608,11.0346,11.658,0,0
LEN_PE,D,20071121,000000,10.7026,10.7026,10.7026,10.7026,0,0
LEN_PE,D,20071122,000000,10.5799,10.8668,9.70749,9.70749,0,0
LEN_PE,D,20071123,000000,10.247,11.0346,10.247,10.828,0,0
LEN_PE,D,20071126,000000,11.0346,11.5731,10.8668,10.8668,0,0
LEN_PE,D,20071127,000000,10.8668,10.8668,10.2903,10.7865,0,0
LEN_PE,D,20071128,000000,10.8668,10.8668,10.495,10.828,0,0
LEN_PE,D,20071129,000000,11.4477,11.4477,10.6602,10.828,0,0
LEN_PE,D,20071130,000000,10.9506,10.9921,10.6177,10.6177,0,0
LEN_PE,D,20071203,000000,10.9506,10.9506,10.4535,10.495,0,0
LEN_PE,D,20071204,000000,10.4535,10.7451,10.4535,10.7026,0,0
LEN_PE,D,20071205,000000,10.7451,10.9083,10.5375,10.8668,0,0
LEN_PE,D,20071206,000000,11.0346,11.0346,10.4121,10.4121,0,0
LEN_PE,D,20071207,000000,10.5375,10.5375,10.2055,10.2055,0,0
LEN_PE,D,20071210,000000,10.6602,10.6602,10.4121,10.495,0,0
LEN_PE,D,20071211,000000,10.5799,10.5799,10.2055,10.2055,0,0
LEN_PE,D,20071212,000000,10.0367,10.0367,9.74994,10.0367,0,0
LEN_PE,D,20071213,000000,9.95646,9.95646,9.666,9.74994,0,0
LEN_PE,D,20071214,000000,9.58206,9.74994,9.4179,9.70749,0,0
LEN_PE,D,20071217,000000,9.2058,9.62261,9.16891,9.53962,0,0
LEN_PE,D,20071218,000000,9.04256,9.58206,9.04256,9.53962,0,0
LEN_PE,D,20071219,000000,9.29064,10.0782,9.29064,10.0782,0,0
LEN_PE,D,20071220,000000,10.0782,10.2903,9.83018,10.0367,0,0
LEN_PE,D,20071221,000000,9.74994,10.1631,9.74994,9.87253,0,0
LEN_PE,D,20071227,000000,9.58206,10.247,9.58206,10.247,0,0
LEN_PE,D,20071228,000000,10.2055,10.247,9.37641,9.37641,0,0
LEN_PE,D,20080102,000000,9.70749,9.99891,9.70749,9.95646,0,0
LEN_PE,D,20080103,000000,9.91412,10.1206,9.91412,10.0782,0,0
LEN_PE,D,20080104,000000,10.1206,10.2055,9.37641,9.62261,0,0
LEN_PE,D,20080107,000000,9.4179,9.53962,9.29064,9.46033,0,0
LEN_PE,D,20080108,000000,9.46033,9.46033,9.04256,9.37641,0,0
LEN_PE,D,20080109,000000,9.70749,9.70749,8.8784,8.92175,0,0
LEN_PE,D,20080110,000000,9.16891,9.16891,8.25404,8.46044,0,0
LEN_PE,D,20080111,000000,8.09127,8.4194,8.09127,8.38196,0,0
LEN_PE,D,20080114,000000,8.29647,8.29647,8.29647,8.29647,0,0
LEN_PE,D,20080115,000000,8.29647,8.29647,7.71619,8.29647,0,0
LEN_PE,D,20080116,000000,7.75815,8.213,7.50998,7.75815,0,0
LEN_PE,D,20080117,000000,7.75815,8.09127,7.55203,7.71619,0,0
LEN_PE,D,20080118,000000,7.71619,8.29647,7.71619,8.29647,0,0
LEN_PE,D,20080121,000000,8.58688,8.58688,7.55203,7.55203,0,0
LEN_PE,D,20080122,000000,7.34112,8.00577,7.34112,7.71619,0,0
LEN_PE,D,20080123,000000,7.96464,7.96464,7.87989,7.87989,0,0
LEN_PE,D,20080124,000000,7.71619,8.25404,7.71619,7.83801,0,0
LEN_PE,D,20080125,000000,8.17104,8.17104,7.79938,7.79938,0,0
LEN_PE,D,20080128,000000,7.67349,7.71619,7.55203,7.63153,0,0
LEN_PE,D,20080129,000000,7.63153,8.00577,7.63153,8.00577,0,0
LEN_PE,D,20080130,000000,8.00577,8.04847,7.87989,7.87989,0,0
LEN_PE,D,20080131,000000,7.96464,8.09127,7.92185,8.09127,0,0
LEN_PE,D,20080201,000000,8.25404,8.62958,8.00577,8.4194,0,0
LEN_PE,D,20080204,000000,8.79355,8.79355,8.54501,8.54501,0,0
LEN_PE,D,20080205,000000,8.79355,8.95863,8.46044,8.70981,0,0
LEN_PE,D,20080206,000000,8.79355,8.79355,8.62958,8.79355,0,0
LEN_PE,D,20080207,000000,8.83597,8.83597,8.58688,8.70981,0,0
LEN_PE,D,20080208,000000,8.70981,8.83597,8.62958,8.79355,0,0
LEN_PE,D,20080211,000000,8.79355,9.04256,8.70981,8.79355,0,0
LEN_PE,D,20080212,000000,8.79355,8.79355,8.70981,8.75169,0,0
LEN_PE,D,20080213,000000,8.92175,8.92175,8.29647,8.29647,0,0
LEN_PE,D,20080214,000000,8.66794,8.79355,8.38196,8.46044,0,0
LEN_PE,D,20080215,000000,8.46044,8.58688,8.29647,8.50314,0,0
LEN_PE,D,20080218,000000,8.12907,8.25404,7.71619,8.213,0,0
LEN_PE,D,20080219,000000,8.213,8.25404,7.87989,7.87989,0,0
LEN_PE,D,20080220,000000,7.87989,7.92185,7.75815,7.92185,0,0
LEN_PE,D,20080221,000000,8.09127,8.09127,7.75815,7.87989,0,0
LEN_PE,D,20080222,000000,7.87989,7.92185,7.63153,7.92185,0,0
LEN_PE,D,20080225,000000,7.92185,7.92185,7.63153,7.87989,0,0
LEN_PE,D,20080226,000000,7.87989,7.87989,7.79938,7.87989,0,0
LEN_PE,D,20080227,000000,7.87989,7.87989,7.87989,7.87989,0,0
LEN_PE,D,20080228,000000,7.87989,7.87989,7.79938,7.83801,0,0
LEN_PE,D,20080229,000000,7.83801,7.83801,7.58883,7.63153,0,0
LEN_PE,D,20080303,000000,7.55203,7.55203,6.2632,6.2632,0,0
LEN_PE,D,20080304,000000,6.09813,6.2632,6.09813,6.22059,0,0
LEN_PE,D,20080305,000000,6.2632,6.38909,6.18251,6.38909,0,0
LEN_PE,D,20080306,000000,6.38909,6.4696,6.22059,6.4696,0,0
LEN_PE,D,20080307,000000,6.30508,6.43124,6.2632,6.43124,0,0
LEN_PE,D,20080310,000000,6.4696,6.75974,6.4696,6.7223,0,0
LEN_PE,D,20080311,000000,6.7223,6.84394,6.38909,6.7223,0,0
LEN_PE,D,20080312,000000,6.84394,6.84394,6.43124,6.7223,0,0
LEN_PE,D,20080313,000000,6.7223,6.7223,6.43124,6.7223,0,0
LEN_PE,D,20080314,000000,6.7223,6.7223,6.43124,6.7223,0,0
LEN_PE,D,20080317,000000,6.67914,6.67914,6.34741,6.55362,0,0
LEN_PE,D,20080318,000000,6.59521,6.59521,6.59521,6.59521,0,0
LEN_PE,D,20080319,000000,6.55362,6.55362,6.43124,6.4696,0,0
LEN_PE,D,20080320,000000,6.30508,6.30508,6.09813,6.2632,0,0
LEN_PE,D,20080325,000000,6.2632,6.2632,6.14036,6.14036,0,0
LEN_PE,D,20080326,000000,6.14036,6.14036,5.97214,5.97214,0,0
LEN_PE,D,20080327,000000,6.01429,6.09813,5.80854,6.01429,0,0
LEN_PE,D,20080328,000000,6.09813,6.14036,5.89182,5.89182,0,0
LEN_PE,D,20080331,000000,6.09813,6.09813,6.09813,6.09813,0,0
LEN_PE,D,20080401,000000,6.09813,6.14036,6.05662,6.05662,0,0
LEN_PE,D,20080402,000000,6.2632,6.2632,6.01429,6.01429,0,0
LEN_PE,D,20080403,000000,6.09813,6.09813,5.92991,6.05662,0,0
LEN_PE,D,20080404,000000,6.14036,6.14036,5.97214,6.01429,0,0
LEN_PE,D,20080407,000000,6.01429,6.01429,5.92991,5.92991,0,0
LEN_PE,D,20080408,000000,6.14036,6.14036,5.85013,5.97214,0,0
LEN_PE,D,20080409,000000,6.05662,6.09813,6.05662,6.05662,0,0
LEN_PE,D,20080410,000000,6.14036,6.14036,5.68145,5.97214,0,0
LEN_PE,D,20080411,000000,5.97214,5.97214,5.51729,5.51729,0,0
