<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPP_PE,D,20070813,000000,41.8641,41.8641,41.8641,41.8641,0,0
LPP_PE,D,20070814,000000,27.3884,27.3884,27.3884,27.3884,0,0
LPP_PE,D,20070816,000000,26.6836,26.6836,26.6836,26.6836,0,0
LPP_PE,D,20070817,000000,27.0752,27.0752,27.0752,27.0752,0,0
LPP_PE,D,20070820,000000,27.2305,27.2305,27.2305,27.2305,0,0
LPP_PE,D,20070821,000000,27.6997,27.6997,27.6997,27.6997,0,0
LPP_PE,D,20070822,000000,28.326,28.326,28.326,28.326,0,0
LPP_PE,D,20070823,000000,30.0479,30.0479,30.0479,30.0479,0,0
LPP_PE,D,20070824,000000,30.205,30.205,30.205,30.205,0,0
LPP_PE,D,20070827,000000,30.6733,30.6733,30.6733,30.6733,0,0
LPP_PE,D,20070828,000000,32.0813,32.0813,32.0813,32.0813,0,0
LPP_PE,D,20070829,000000,30.0479,30.0479,30.0479,30.0479,0,0
LPP_PE,D,20070830,000000,30.8304,30.8304,30.8304,30.8304,0,0
LPP_PE,D,20070831,000000,32.4739,32.4739,32.4739,32.4739,0,0
LPP_PE,D,20070903,000000,32.63,32.63,32.63,32.63,0,0
LPP_PE,D,20070904,000000,33.1778,33.1778,33.1778,33.1778,0,0
LPP_PE,D,20070905,000000,33.4124,33.4124,33.4124,33.4124,0,0
LPP_PE,D,20070906,000000,32.3159,32.3159,32.3159,32.3159,0,0
LPP_PE,D,20070907,000000,31.3782,31.3782,31.3782,31.3782,0,0
LPP_PE,D,20070910,000000,30.205,30.205,30.205,30.205,0,0
LPP_PE,D,20070911,000000,29.4992,29.4992,29.4992,29.4992,0,0
LPP_PE,D,20070912,000000,28.9505,28.9505,28.9505,28.9505,0,0
LPP_PE,D,20070913,000000,27.7782,27.7782,27.7782,27.7782,0,0
LPP_PE,D,20070914,000000,27.0752,27.0752,27.0752,27.0752,0,0
LPP_PE,D,20070917,000000,27.5436,27.5436,27.5436,27.5436,0,0
LPP_PE,D,20070918,000000,28.6392,28.6392,28.6392,28.6392,0,0
LPP_PE,D,20070919,000000,28.9505,28.9505,28.9505,28.9505,0,0
LPP_PE,D,20070920,000000,28.4045,28.4045,28.4045,28.4045,0,0
LPP_PE,D,20070921,000000,27.309,27.309,27.309,27.309,0,0
LPP_PE,D,20070924,000000,27.309,27.309,27.309,27.309,0,0
LPP_PE,D,20070925,000000,26.8406,26.8406,26.8406,26.8406,0,0
LPP_PE,D,20070926,000000,27.309,27.309,27.309,27.309,0,0
LPP_PE,D,20070927,000000,27.9352,27.9352,27.9352,27.9352,0,0
LPP_PE,D,20070928,000000,28.0138,28.0138,28.0138,28.0138,0,0
LPP_PE,D,20071001,000000,27.9352,27.9352,27.9352,27.9352,0,0
LPP_PE,D,20071002,000000,28.9505,28.9505,28.9505,28.9505,0,0
LPP_PE,D,20071003,000000,29.4992,29.4992,29.4992,29.4992,0,0
LPP_PE,D,20071004,000000,30.0479,30.0479,30.0479,30.0479,0,0
LPP_PE,D,20071005,000000,30.205,30.205,30.205,30.205,0,0
LPP_PE,D,20071008,000000,30.4406,30.4406,30.4406,30.4406,0,0
LPP_PE,D,20071009,000000,30.7519,30.7519,30.7519,30.7519,0,0
LPP_PE,D,20071010,000000,31.3782,31.3782,31.3782,31.3782,0,0
LPP_PE,D,20071011,000000,32.3944,32.3944,32.3944,32.3944,0,0
LPP_PE,D,20071012,000000,32.3944,32.3944,32.3944,32.3944,0,0
LPP_PE,D,20071015,000000,33.3339,33.3339,33.3339,33.3339,0,0
LPP_PE,D,20071016,000000,33.0216,33.0216,33.0216,33.0216,0,0
LPP_PE,D,20071017,000000,32.9441,32.9441,32.9441,32.9441,0,0
LPP_PE,D,20071018,000000,33.3339,33.3339,33.3339,33.3339,0,0
LPP_PE,D,20071019,000000,33.2563,33.2563,33.2563,33.2563,0,0
LPP_PE,D,20071022,000000,32.4739,32.4739,32.4739,32.4739,0,0
LPP_PE,D,20071023,000000,32.63,32.63,32.63,32.63,0,0
LPP_PE,D,20071024,000000,32.9441,32.9441,32.9441,32.9441,0,0
LPP_PE,D,20071025,000000,33.2563,33.2563,33.2563,33.2563,0,0
LPP_PE,D,20071026,000000,33.3339,33.3339,33.3339,33.3339,0,0
LPP_PE,D,20071029,000000,33.2563,33.2563,33.2563,33.2563,0,0
LPP_PE,D,20071030,000000,32.9441,32.9441,32.9441,32.9441,0,0
LPP_PE,D,20071031,000000,32.8627,32.8627,32.8627,32.8627,0,0
LPP_PE,D,20071102,000000,32.2383,32.2383,32.2383,32.2383,0,0
LPP_PE,D,20071105,000000,31.3782,31.3782,31.3782,31.3782,0,0
LPP_PE,D,20071106,000000,31.768,31.768,31.768,31.768,0,0
LPP_PE,D,20071107,000000,29.8133,29.8133,29.8133,29.8133,0,0
LPP_PE,D,20071108,000000,29.7338,29.7338,29.7338,29.7338,0,0
LPP_PE,D,20071109,000000,29.6563,31.6128,29.6563,31.2212,0,0
LPP_PE,D,20071112,000000,29.8133,31.2212,29.8133,29.8919,0,0
