<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LWB_MV,D,20090722,000000,1475.75,1475.75,1475.75,1475.75,0,0
LWB_MV,D,20090723,000000,1473.35,1525.27,1473.35,1515.61,0,0
LWB_MV,D,20090724,000000,1526.46,1642.41,1526.46,1615.84,0,0
LWB_MV,D,20090727,000000,1647.26,1660.54,1596.52,1630.33,0,0
LWB_MV,D,20090728,000000,1642.41,1642.41,1608.58,1615.84,0,0
LWB_MV,D,20090729,000000,1601.36,1642.41,1601.36,1642.41,0,0
LWB_MV,D,20090730,000000,1643.62,1653.28,1642.41,1650.86,0,0
LWB_MV,D,20090731,000000,1665.36,1666.57,1653.28,1666.57,0,0
LWB_MV,D,20090803,000000,1671.38,1678.64,1642.41,1654.49,0,0
LWB_MV,D,20090804,000000,1668.98,1668.98,1612.22,1631.55,0,0
LWB_MV,D,20090805,000000,1620.68,1626.72,1618.27,1618.27,0,0
LWB_MV,D,20090806,000000,1620.68,1623.08,1612.22,1623.08,0,0
LWB_MV,D,20090807,000000,1608.58,1681.06,1608.58,1678.64,0,0
LWB_MV,D,20090810,000000,1678.64,1690.72,1666.57,1690.72,0,0
LWB_MV,D,20090811,000000,1678.64,1714.87,1678.64,1690.72,0,0
LWB_MV,D,20090812,000000,1678.64,1690.72,1639.99,1678.64,0,0
LWB_MV,D,20090813,000000,1678.64,1761.97,1678.64,1751.12,0,0
LWB_MV,D,20090814,000000,1763.17,1763.17,1741.44,1741.44,0,0
LWB_MV,D,20090817,000000,1712.45,1712.45,1682.27,1690.72,0,0
LWB_MV,D,20090818,000000,1690.72,1690.72,1666.57,1683.48,0,0
LWB_MV,D,20090819,000000,1722.12,1722.12,1676.23,1714.87,0,0
LWB_MV,D,20090820,000000,1714.87,1739.02,1714.87,1739.02,0,0
LWB_MV,D,20090821,000000,1751.12,1763.17,1726.95,1763.17,0,0
LWB_MV,D,20090824,000000,1763.17,1763.17,1734.19,1739.02,0,0
LWB_MV,D,20090825,000000,1760.75,1760.75,1687.09,1697.97,0,0
LWB_MV,D,20090826,000000,1697.97,1714.87,1685.89,1688.3,0,0
LWB_MV,D,20090827,000000,1685.89,1690.72,1662.94,1690.72,0,0
LWB_MV,D,20090828,000000,1690.72,1724.53,1690.72,1710.03,0,0
LWB_MV,D,20090831,000000,1710.03,1722.12,1685.89,1722.12,0,0
LWB_MV,D,20090901,000000,1714.87,1714.87,1648.44,1685.89,0,0
LWB_MV,D,20090902,000000,1644.82,1685.89,1594.1,1630.33,0,0
LWB_MV,D,20090903,000000,1608.58,1666.57,1608.58,1664.16,0,0
LWB_MV,D,20090904,000000,1664.16,1690.72,1654.49,1666.57,0,0
LWB_MV,D,20090907,000000,1637.57,1661.74,1637.57,1644.82,0,0
LWB_MV,D,20090908,000000,1688.3,1688.3,1606.18,1617.06,0,0
LWB_MV,D,20090909,000000,1617.06,1617.06,1591.69,1594.1,0,0
LWB_MV,D,20090910,000000,1595.32,1623.08,1531.3,1550.64,0,0
LWB_MV,D,20090911,000000,1569.95,1594.1,1557.89,1594.1,0,0
LWB_MV,D,20090914,000000,1586.86,1586.86,1531.3,1538.56,0,0
LWB_MV,D,20090915,000000,1548.21,1582.03,1538.56,1557.89,0,0
LWB_MV,D,20090916,000000,1582.03,1598.94,1569.95,1598.94,0,0
LWB_MV,D,20090917,000000,1607.38,1661.74,1598.94,1659.31,0,0
LWB_MV,D,20090918,000000,1647.26,1685.89,1647.26,1685.89,0,0
LWB_MV,D,20090921,000000,1666.57,1726.95,1666.57,1717.28,0,0
LWB_MV,D,20090922,000000,1693.13,1775.24,1693.13,1775.24,0,0
LWB_MV,D,20090923,000000,1763.17,1782.5,1761.97,1775.24,0,0
LWB_MV,D,20090924,000000,1745.05,1787.34,1745.05,1784.92,0,0
LWB_MV,D,20090925,000000,1763.17,1775.24,1743.86,1775.24,0,0
LWB_MV,D,20090928,000000,1746.26,1776.45,1746.26,1776.45,0,0
LWB_MV,D,20090929,000000,1776.45,1776.45,1763.17,1775.24,0,0
LWB_MV,D,20090930,000000,1747.48,1781.29,1746.26,1780.09,0,0
LWB_MV,D,20091001,000000,1780.09,1780.09,1753.51,1764.38,0,0
LWB_MV,D,20091002,000000,1751.12,1780.09,1743.86,1780.09,0,0
LWB_MV,D,20091005,000000,1763.17,1809.07,1760.75,1784.92,0,0
