<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LWB_PE,D,20090722,000000,9.44471,9.44471,9.44471,9.44471,0,0
LWB_PE,D,20090723,000000,9.44471,9.72826,9.44471,9.72826,0,0
LWB_PE,D,20090724,000000,9.79889,10.51,9.79889,10.3669,0,0
LWB_PE,D,20090727,000000,10.5807,10.6513,10.2265,10.4385,0,0
LWB_PE,D,20090728,000000,10.51,10.51,10.2954,10.3669,0,0
LWB_PE,D,20090729,000000,10.2954,10.51,10.2954,10.51,0,0
LWB_PE,D,20090730,000000,10.51,10.5807,10.51,10.5807,0,0
LWB_PE,D,20090731,000000,10.6513,10.722,10.5807,10.722,0,0
LWB_PE,D,20090803,000000,10.722,10.7935,10.5807,10.6513,0,0
LWB_PE,D,20090804,000000,10.722,10.722,10.3669,10.4385,0,0
LWB_PE,D,20090805,000000,10.3669,10.4385,10.3669,10.3669,0,0
LWB_PE,D,20090806,000000,10.3669,10.4385,10.2954,10.4385,0,0
LWB_PE,D,20090807,000000,10.3669,10.7935,10.3669,10.7935,0,0
LWB_PE,D,20090810,000000,10.7935,10.8642,10.722,10.8642,0,0
LWB_PE,D,20090811,000000,10.7935,11.0064,10.7935,10.8642,0,0
LWB_PE,D,20090812,000000,10.7935,10.8642,10.51,10.7935,0,0
LWB_PE,D,20090813,000000,10.7935,11.3606,10.7935,11.2194,0,0
LWB_PE,D,20090814,000000,11.2909,11.2909,11.1496,11.1496,0,0
LWB_PE,D,20090817,000000,10.9366,10.9366,10.7935,10.8642,0,0
LWB_PE,D,20090818,000000,10.8642,10.8642,10.722,10.7935,0,0
LWB_PE,D,20090819,000000,11.0064,11.0064,10.722,11.0064,0,0
LWB_PE,D,20090820,000000,11.0064,11.1496,11.0064,11.1496,0,0
LWB_PE,D,20090821,000000,11.2194,11.2909,11.0762,11.2909,0,0
LWB_PE,D,20090824,000000,11.2909,11.2909,11.0762,11.1496,0,0
LWB_PE,D,20090825,000000,11.2909,11.2909,10.7935,10.8642,0,0
LWB_PE,D,20090826,000000,10.8642,11.0064,10.7935,10.8642,0,0
LWB_PE,D,20090827,000000,10.8642,10.8642,10.722,10.8642,0,0
LWB_PE,D,20090828,000000,10.8642,11.0762,10.8642,11.0064,0,0
LWB_PE,D,20090831,000000,11.0064,11.0762,10.8642,11.0762,0,0
LWB_PE,D,20090901,000000,11.0064,11.0064,10.5807,10.7935,0,0
LWB_PE,D,20090902,000000,10.51,10.7935,10.2265,10.4385,0,0
LWB_PE,D,20090903,000000,10.2954,10.6513,10.2954,10.6513,0,0
LWB_PE,D,20090904,000000,10.6513,10.7935,8.87672,8.87672,0,0
LWB_PE,D,20090907,000000,8.73359,8.87672,8.73359,8.80516,0,0
LWB_PE,D,20090908,000000,9.01804,9.01804,8.59227,8.66383,0,0
LWB_PE,D,20090909,000000,8.66383,8.66383,8.52161,8.52161,0,0
LWB_PE,D,20090910,000000,8.52161,8.66383,8.16623,8.30828,0,0
LWB_PE,D,20090911,000000,8.37813,8.52161,8.37813,8.52161,0,0
LWB_PE,D,20090914,000000,8.45076,8.45076,8.16623,8.23681,0,0
LWB_PE,D,20090915,000000,8.30828,8.45076,8.23681,8.30828,0,0
LWB_PE,D,20090916,000000,8.45076,8.52161,8.37813,8.52161,0,0
LWB_PE,D,20090917,000000,8.59227,8.87672,8.52161,8.87672,0,0
LWB_PE,D,20090918,000000,8.80516,9.01804,8.80516,9.01804,0,0
LWB_PE,D,20090921,000000,8.94737,9.23181,8.94737,9.16116,0,0
LWB_PE,D,20090922,000000,9.01804,9.44471,9.01804,9.44471,0,0
LWB_PE,D,20090923,000000,9.37315,9.51534,9.37315,9.44471,0,0
LWB_PE,D,20090924,000000,9.30248,9.51534,9.30248,9.51534,0,0
LWB_PE,D,20090925,000000,9.37315,9.44471,9.30248,9.44471,0,0
LWB_PE,D,20090928,000000,9.30248,9.51534,9.30248,9.51534,0,0
LWB_PE,D,20090929,000000,9.51534,9.51534,9.44471,9.44471,0,0
LWB_PE,D,20090930,000000,9.30248,9.51534,9.30248,9.51534,0,0
LWB_PE,D,20091001,000000,9.51534,9.51534,9.37315,9.44471,0,0
LWB_PE,D,20091002,000000,9.37315,9.51534,9.30248,9.51534,0,0
LWB_PE,D,20091005,000000,9.44471,9.65754,9.44471,9.51534,0,0
LWB_PE,D,20091006,000000,9.58691,9.65754,9.51534,9.65754,0,0
LWB_PE,D,20091007,000000,9.65754,9.65754,9.37315,9.58691,0,0
LWB_PE,D,20091008,000000,9.51534,9.58691,9.37315,9.58691,0,0
LWB_PE,D,20091009,000000,9.58691,9.79889,9.51534,9.65754,0,0
LWB_PE,D,20091012,000000,9.72826,10.0118,9.51534,10.0118,0,0
LWB_PE,D,20091013,000000,10.0834,10.0834,9.72826,9.79889,0,0
LWB_PE,D,20091014,000000,9.87046,9.87046,9.79889,9.87046,0,0
LWB_PE,D,20091015,000000,9.94203,9.94203,9.72826,9.79889,0,0
LWB_PE,D,20091016,000000,9.72826,9.79889,9.65754,9.72826,0,0
LWB_PE,D,20091019,000000,9.79889,9.79889,9.51534,9.58691,0,0
LWB_PE,D,20091020,000000,9.51534,9.58691,9.23181,9.51534,0,0
LWB_PE,D,20091021,000000,9.51534,9.58691,9.30248,9.51534,0,0
LWB_PE,D,20091022,000000,9.23181,9.58691,9.23181,9.58691,0,0
LWB_PE,D,20091023,000000,9.51534,9.51534,9.51534,9.51534,0,0
LWB_PE,D,20091026,000000,9.37315,9.65754,9.37315,9.65754,0,0
LWB_PE,D,20091027,000000,9.51534,9.51534,9.44471,9.51534,0,0
LWB_PE,D,20091028,000000,9.72826,9.72826,9.44471,9.51534,0,0
LWB_PE,D,20091029,000000,9.51534,9.72826,9.44471,9.72826,0,0
LWB_PE,D,20091030,000000,9.72826,9.72826,9.65754,9.72826,0,0
LWB_PE,D,20091102,000000,9.72826,9.79889,9.65754,9.79889,0,0
LWB_PE,D,20091103,000000,9.79889,9.79889,9.65754,9.72826,0,0
LWB_PE,D,20091104,000000,9.72826,9.72826,9.58691,9.58691,0,0
LWB_PE,D,20091105,000000,9.51534,9.58691,9.51534,9.51534,0,0
LWB_PE,D,20091106,000000,9.51534,9.51534,9.37315,9.44471,0,0
LWB_PE,D,20091109,000000,9.51534,9.65754,9.44471,9.58691,0,0
LWB_PE,D,20091110,000000,9.65754,9.65754,9.58691,9.65754,0,0
LWB_PE,D,20091112,000000,9.65754,9.72826,8.87672,8.87672,0,0
LWB_PE,D,20091113,000000,8.87672,8.87672,8.73359,8.80516,0,0
LWB_PE,D,20091116,000000,8.87672,8.87672,8.80516,8.87672,0,0
LWB_PE,D,20091117,000000,8.80516,8.80516,8.66383,8.73359,0,0
LWB_PE,D,20091118,000000,8.73359,8.73359,8.66383,8.66383,0,0
LWB_PE,D,20091119,000000,8.66383,8.66383,8.59227,8.66383,0,0
LWB_PE,D,20091120,000000,8.66383,8.73359,8.59227,8.73359,0,0
LWB_PE,D,20091123,000000,8.73359,8.73359,8.59227,8.59227,0,0
LWB_PE,D,20091124,000000,8.52161,8.52161,8.30828,8.37813,0,0
LWB_PE,D,20091125,000000,8.37813,8.37813,8.23681,8.37813,0,0
LWB_PE,D,20091126,000000,8.45076,8.45076,8.16623,8.16623,0,0
LWB_PE,D,20091127,000000,7.88269,8.23681,7.88269,8.23681,0,0
LWB_PE,D,20091130,000000,8.23681,8.37813,8.23681,8.37813,0,0
LWB_PE,D,20091201,000000,8.45076,8.45076,8.30828,8.30828,0,0
LWB_PE,D,20091202,000000,8.37813,8.45076,8.30828,8.37813,0,0
LWB_PE,D,20091203,000000,8.52161,8.52161,8.37813,8.37813,0,0
