<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBR_PB,D,20100811,000000,4.30948,4.74411,4.30948,4.7217,0,0
MBR_PB,D,20100813,000000,4.06221,4.63922,4.06221,4.30948,0,0
MBR_PB,D,20100816,000000,4.30948,4.30948,4.30948,4.30948,0,0
MBR_PB,D,20100818,000000,4.51182,4.51182,4.51182,4.51182,0,0
MBR_PB,D,20100823,000000,4.51182,4.7217,4.51182,4.7217,0,0
MBR_PB,D,20100824,000000,4.7217,4.7217,4.7217,4.7217,0,0
MBR_PB,D,20100830,000000,4.7217,4.7217,4.7217,4.7217,0,0
MBR_PB,D,20100901,000000,4.7217,4.7217,4.6992,4.7217,0,0
MBR_PB,D,20100902,000000,4.7217,4.81916,4.7217,4.81916,0,0
MBR_PB,D,20100903,000000,4.81916,4.81916,4.75918,4.81916,0,0
MBR_PB,D,20100906,000000,4.81916,4.81916,4.81916,4.81916,0,0
MBR_PB,D,20100907,000000,4.81916,4.84157,4.81916,4.84157,0,0
MBR_PB,D,20100908,000000,4.84157,4.87151,4.84157,4.87151,0,0
MBR_PB,D,20100909,000000,4.87151,4.90155,4.87151,4.90155,0,0
MBR_PB,D,20100910,000000,4.90155,4.90155,4.90155,4.90155,0,0
MBR_PB,D,20100913,000000,4.92405,4.92405,4.92405,4.92405,0,0
MBR_PB,D,20100914,000000,4.92405,5.1264,4.92405,5.1264,0,0
MBR_PB,D,20100915,000000,5.30634,5.30634,5.30634,5.30634,0,0
MBR_PB,D,20100916,000000,5.31378,5.31378,5.31378,5.31378,0,0
MBR_PB,D,20100920,000000,5.29137,5.29137,5.29137,5.29137,0,0
MBR_PB,D,20100922,000000,5.26877,5.26877,5.23129,5.23129,0,0
MBR_PB,D,20100923,000000,5.23129,5.23129,5.23129,5.23129,0,0
MBR_PB,D,20100924,000000,5.1264,5.17131,5.08902,5.1264,0,0
MBR_PB,D,20100927,000000,5.29137,5.29137,5.29137,5.29137,0,0
MBR_PB,D,20100928,000000,5.20888,5.32875,5.20888,5.32875,0,0
MBR_PB,D,20100929,000000,5.29137,5.29137,5.2538,5.29137,0,0
MBR_PB,D,20100930,000000,5.33628,5.33628,5.29137,5.33628,0,0
MBR_PB,D,20101001,000000,5.34372,5.34372,5.34372,5.34372,0,0
MBR_PB,D,20101004,000000,5.34372,5.34372,5.34372,5.34372,0,0
MBR_PB,D,20101005,000000,5.26877,5.26877,5.26877,5.26877,0,0
MBR_PB,D,20101006,000000,5.35116,5.39617,5.35116,5.39617,0,0
MBR_PB,D,20101007,000000,5.41114,5.41867,5.39617,5.39617,0,0
MBR_PB,D,20101008,000000,5.17131,5.39617,5.1264,5.39617,0,0
MBR_PB,D,20101011,000000,5.43364,5.46358,5.37366,5.46358,0,0
MBR_PB,D,20101012,000000,5.47855,5.50869,5.47855,5.50869,0,0
MBR_PB,D,20101013,000000,5.56857,5.71094,5.56857,5.69587,0,0
MBR_PB,D,20101014,000000,5.7035,5.74098,5.54607,5.71094,0,0
MBR_PB,D,20101015,000000,5.72591,5.74098,5.72591,5.74098,0,0
MBR_PB,D,20101018,000000,5.53863,5.72591,5.50115,5.53863,0,0
MBR_PB,D,20101019,000000,5.53863,5.53863,5.50115,5.53863,0,0
MBR_PB,D,20101020,000000,5.45614,5.53863,5.33628,5.53863,0,0
MBR_PB,D,20101021,000000,5.53863,5.61358,5.53863,5.61358,0,0
MBR_PB,D,20101022,000000,5.53863,5.53863,5.53863,5.53863,0,0
MBR_PB,D,20101025,000000,5.7035,5.7035,5.62102,5.62102,0,0
MBR_PB,D,20101026,000000,5.69587,5.69587,5.69587,5.69587,0,0
MBR_PB,D,20101027,000000,5.7035,5.7035,5.53863,5.53863,0,0
MBR_PB,D,20101028,000000,5.7035,5.7035,5.7035,5.7035,0,0
MBR_PB,D,20101029,000000,5.64343,5.64343,5.45614,5.64343,0,0
MBR_PB,D,20101102,000000,5.53863,5.62102,5.53863,5.62102,0,0
MBR_PB,D,20101103,000000,5.53863,5.62102,5.45614,5.61358,0,0
MBR_PB,D,20101104,000000,5.41867,5.63608,5.41867,5.63608,0,0
MBR_PB,D,20101105,000000,5.53863,5.63608,5.51612,5.63608,0,0
MBR_PB,D,20101108,000000,5.63608,5.69587,5.08139,5.08139,0,0
MBR_PB,D,20101109,000000,5.08139,5.08139,5.08139,5.08139,0,0
MBR_PB,D,20101110,000000,5.06642,5.08139,4.93893,5.08139,0,0
MBR_PB,D,20101112,000000,5.08139,5.08902,4.93893,5.08902,0,0
MBR_PB,D,20101115,000000,5.08902,5.08902,5.08902,5.08902,0,0
