<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCI_PE,D,20070813,000000,15.8237,15.8237,15.8237,15.8237,0,0
MCI_PE,D,20070814,000000,15.2623,15.2623,15.2623,15.2623,0,0
MCI_PE,D,20070816,000000,13.1085,13.1085,13.1085,13.1085,0,0
MCI_PE,D,20070817,000000,14.606,14.606,14.606,14.606,0,0
MCI_PE,D,20070820,000000,15.0745,15.0745,15.0745,15.0745,0,0
MCI_PE,D,20070821,000000,14.606,14.606,14.606,14.606,0,0
MCI_PE,D,20070822,000000,16.6659,16.6659,16.6659,16.6659,0,0
MCI_PE,D,20070823,000000,17.2283,17.2283,17.2283,17.2283,0,0
MCI_PE,D,20070824,000000,18.5389,18.5389,18.5389,18.5389,0,0
MCI_PE,D,20070827,000000,18.1643,18.1643,18.1643,18.1643,0,0
MCI_PE,D,20070828,000000,17.4151,17.4151,17.4151,17.4151,0,0
MCI_PE,D,20070829,000000,18.0704,18.0704,18.0704,18.0704,0,0
MCI_PE,D,20070830,000000,18.1643,18.1643,18.1643,18.1643,0,0
MCI_PE,D,20070831,000000,18.8196,18.8196,18.8196,18.8196,0,0
MCI_PE,D,20070903,000000,19.0074,19.0074,19.0074,19.0074,0,0
MCI_PE,D,20070904,000000,18.9135,18.9135,18.9135,18.9135,0,0
MCI_PE,D,20070905,000000,18.1643,18.1643,18.1643,18.1643,0,0
MCI_PE,D,20070906,000000,17.8836,17.8836,17.8836,17.8836,0,0
MCI_PE,D,20070907,000000,17.1344,17.1344,17.1344,17.1344,0,0
MCI_PE,D,20070910,000000,16.479,16.479,16.479,16.479,0,0
MCI_PE,D,20070911,000000,17.7897,17.7897,17.7897,17.7897,0,0
MCI_PE,D,20070912,000000,17.8836,17.8836,17.8836,17.8836,0,0
MCI_PE,D,20070913,000000,17.8836,17.8836,17.8836,17.8836,0,0
MCI_PE,D,20070914,000000,18.1643,18.1643,18.1643,18.1643,0,0
MCI_PE,D,20070917,000000,17.8836,17.8836,17.8836,17.8836,0,0
MCI_PE,D,20070918,000000,18.1643,18.1643,18.1643,18.1643,0,0
MCI_PE,D,20070919,000000,19.1004,19.1004,19.1004,19.1004,0,0
MCI_PE,D,20070920,000000,18.445,18.445,18.445,18.445,0,0
MCI_PE,D,20070921,000000,18.2582,18.2582,18.2582,18.2582,0,0
MCI_PE,D,20070924,000000,17.509,17.509,17.509,17.509,0,0
MCI_PE,D,20070925,000000,17.0405,17.0405,17.0405,17.0405,0,0
MCI_PE,D,20070926,000000,17.0405,17.0405,17.0405,17.0405,0,0
MCI_PE,D,20070927,000000,16.8537,16.8537,16.8537,16.8537,0,0
MCI_PE,D,20070928,000000,16.479,16.479,16.479,16.479,0,0
MCI_PE,D,20071001,000000,16.5729,16.5729,16.5729,16.5729,0,0
MCI_PE,D,20071002,000000,16.5729,16.5729,16.5729,16.5729,0,0
MCI_PE,D,20071003,000000,16.3851,16.3851,16.3851,16.3851,0,0
MCI_PE,D,20071004,000000,16.5729,16.5729,16.5729,16.5729,0,0
MCI_PE,D,20071005,000000,17.1344,17.1344,17.1344,17.1344,0,0
