<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCR_PB,D,20070813,000000,3.66607,3.66607,3.66607,3.66607,0,0
MCR_PB,D,20070814,000000,3.54735,3.54735,3.54735,3.54735,0,0
MCR_PB,D,20070816,000000,3.05901,3.05901,3.05901,3.05901,0,0
MCR_PB,D,20070817,000000,3.05901,3.05901,3.05901,3.05901,0,0
MCR_PB,D,20070820,000000,3.05901,3.05901,3.05901,3.05901,0,0
MCR_PB,D,20070821,000000,2.98436,2.98436,2.98436,2.98436,0,0
MCR_PB,D,20070822,000000,3.19798,3.19798,3.19798,3.19798,0,0
MCR_PB,D,20070823,000000,3.32683,3.32683,3.32683,3.32683,0,0
MCR_PB,D,20070824,000000,3.41518,3.41518,3.41518,3.41518,0,0
MCR_PB,D,20070827,000000,3.42181,3.42181,3.42181,3.42181,0,0
MCR_PB,D,20070828,000000,3.40827,3.40827,3.40827,3.40827,0,0
MCR_PB,D,20070829,000000,3.80182,3.80182,3.80182,3.80182,0,0
MCR_PB,D,20070830,000000,3.97109,3.97109,3.97109,3.97109,0,0
MCR_PB,D,20070831,000000,3.97109,3.97109,3.97109,3.97109,0,0
MCR_PB,D,20070903,000000,4.09322,4.09322,4.09322,4.09322,0,0
MCR_PB,D,20070904,000000,4.09322,4.09322,4.09322,4.09322,0,0
MCR_PB,D,20070905,000000,4.08318,4.08318,4.08318,4.08318,0,0
MCR_PB,D,20070906,000000,4.12726,4.12726,4.12726,4.12726,0,0
MCR_PB,D,20070907,000000,4.1373,4.1373,4.1373,4.1373,0,0
MCR_PB,D,20070910,000000,4.09322,4.09322,4.09322,4.09322,0,0
MCR_PB,D,20070911,000000,4.12027,4.12027,4.12027,4.12027,0,0
MCR_PB,D,20070912,000000,4.08318,4.08318,4.08318,4.08318,0,0
MCR_PB,D,20070913,000000,4.09322,4.09322,4.09322,4.09322,0,0
MCR_PB,D,20070914,000000,4.00513,4.00513,4.00513,4.00513,0,0
MCR_PB,D,20070917,000000,4.04931,4.04931,4.04931,4.04931,0,0
MCR_PB,D,20070918,000000,4.08318,4.08318,4.08318,4.08318,0,0
MCR_PB,D,20070919,000000,4.00513,4.00513,4.00513,4.00513,0,0
MCR_PB,D,20070920,000000,3.9916,3.9916,3.9916,3.9916,0,0
MCR_PB,D,20070921,000000,4.04931,4.04931,4.04931,4.04931,0,0
MCR_PB,D,20070924,000000,4.06597,4.06597,4.06597,4.06597,0,0
MCR_PB,D,20070925,000000,4.09322,4.09322,4.09322,4.09322,0,0
MCR_PB,D,20070926,000000,4.09322,4.09322,4.09322,4.09322,0,0
MCR_PB,D,20070927,000000,4.06597,4.06597,4.06597,4.06597,0,0
MCR_PB,D,20070928,000000,4.11015,4.11015,4.11015,4.11015,0,0
MCR_PB,D,20071001,000000,4.1373,4.1373,4.1373,4.1373,0,0
MCR_PB,D,20071002,000000,4.10361,4.10361,4.10361,4.10361,0,0
MCR_PB,D,20071003,000000,4.01517,4.01517,4.01517,4.01517,0,0
MCR_PB,D,20071004,000000,3.94743,3.94743,3.94743,3.94743,0,0
MCR_PB,D,20071005,000000,4.04931,4.04931,4.04931,4.04931,0,0
MCR_PB,D,20071008,000000,3.8865,3.8865,3.8865,3.8865,0,0
MCR_PB,D,20071009,000000,3.97798,3.97798,3.97798,3.97798,0,0
MCR_PB,D,20071010,000000,3.97798,3.97798,3.97798,3.97798,0,0
MCR_PB,D,20071011,000000,4.08318,4.08318,4.08318,4.08318,0,0
MCR_PB,D,20071012,000000,4.1373,4.1373,4.1373,4.1373,0,0
MCR_PB,D,20071015,000000,4.18157,4.18157,4.18157,4.18157,0,0
MCR_PB,D,20071016,000000,4.00513,4.00513,4.00513,4.00513,0,0
MCR_PB,D,20071017,000000,4.17144,4.17144,4.17144,4.17144,0,0
MCR_PB,D,20071018,000000,4.09322,4.09322,4.09322,4.09322,0,0
MCR_PB,D,20071019,000000,4.21875,4.21875,4.21875,4.21875,0,0
MCR_PB,D,20071022,000000,4.21526,4.21526,4.21526,4.21526,0,0
MCR_PB,D,20071023,000000,4.25593,4.25593,4.25593,4.25593,0,0
MCR_PB,D,20071024,000000,4.24581,4.24581,4.24581,4.24581,0,0
MCR_PB,D,20071025,000000,4.22574,4.22574,4.22574,4.22574,0,0
MCR_PB,D,20071026,000000,4.17144,4.17144,4.17144,4.17144,0,0
MCR_PB,D,20071029,000000,4.15442,4.15442,4.15442,4.15442,0,0
MCR_PB,D,20071030,000000,4.1373,4.1373,4.1373,4.1373,0,0
MCR_PB,D,20071031,000000,4.12726,4.12726,4.12726,4.12726,0,0
MCR_PB,D,20071102,000000,4.21526,4.21526,4.21526,4.21526,0,0
MCR_PB,D,20071105,000000,4.16095,4.16095,4.16095,4.16095,0,0
MCR_PB,D,20071106,000000,4.04931,4.04931,4.04931,4.04931,0,0
MCR_PB,D,20071107,000000,4.11015,4.11015,4.11015,4.11015,0,0
MCR_PB,D,20071108,000000,4.00513,4.00513,4.00513,4.00513,0,0
MCR_PB,D,20071109,000000,3.52029,4.08318,3.52029,4.04931,0,0
MCR_PB,D,20071112,000000,4.08318,4.08318,3.87297,4.03238,0,0
MCR_PB,D,20071113,000000,4.03892,4.08318,4.03892,4.07646,0,0
MCR_PB,D,20071114,000000,4.11015,4.12027,4.05943,4.07646,0,0
MCR_PB,D,20071115,000000,3.96105,3.96105,1.56332,1.56332,0,0
MCR_PB,D,20071116,000000,1.59738,1.59738,1.4515,1.55651,0,0
MCR_PB,D,20071119,000000,1.55651,1.56332,1.45481,1.56332,0,0
MCR_PB,D,20071120,000000,1.55651,1.55651,1.53627,1.53627,0,0
MCR_PB,D,20071121,000000,1.49218,1.53967,1.45481,1.52282,0,0
MCR_PB,D,20071122,000000,1.49218,1.49218,1.38358,1.45481,0,0
MCR_PB,D,20071123,000000,1.52282,1.52282,1.47533,1.49218,0,0
MCR_PB,D,20071126,000000,1.53967,1.53967,1.47533,1.52614,0,0
MCR_PB,D,20071127,000000,1.52614,1.52614,1.52614,1.52614,0,0
MCR_PB,D,20071128,000000,1.52614,1.52614,1.51933,1.52614,0,0
MCR_PB,D,20071129,000000,1.52614,1.52614,1.46512,1.52614,0,0
MCR_PB,D,20071130,000000,1.52614,1.52614,1.49218,1.52614,0,0
MCR_PB,D,20071203,000000,1.52614,1.56682,1.52614,1.56682,0,0
MCR_PB,D,20071205,000000,1.56332,1.56332,1.47533,1.56332,0,0
MCR_PB,D,20071206,000000,1.56332,1.63125,1.56332,1.59738,0,0
MCR_PB,D,20071207,000000,1.56332,1.6075,1.56332,1.6075,0,0
MCR_PB,D,20071210,000000,1.6075,1.6075,1.59389,1.59738,0,0
MCR_PB,D,20071211,000000,1.54989,1.59738,1.54989,1.56001,0,0
MCR_PB,D,20071212,000000,1.58035,1.61422,1.58035,1.604,0,0
MCR_PB,D,20071213,000000,1.59738,1.604,1.58035,1.604,0,0
MCR_PB,D,20071214,000000,1.52614,1.61422,1.52614,1.61091,0,0
MCR_PB,D,20071218,000000,1.54989,1.62104,1.54989,1.61422,0,0
MCR_PB,D,20071219,000000,1.52614,1.63125,1.52614,1.63125,0,0
