<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCR_PE,D,20070813,000000,15.024,15.024,15.024,15.024,0,0
MCR_PE,D,20070814,000000,14.5481,14.5481,14.5481,14.5481,0,0
MCR_PE,D,20070816,000000,12.5473,12.5473,12.5473,12.5473,0,0
MCR_PE,D,20070817,000000,12.5473,12.5473,12.5473,12.5473,0,0
MCR_PE,D,20070820,000000,12.5473,12.5473,12.5473,12.5473,0,0
MCR_PE,D,20070821,000000,12.2427,12.2427,12.2427,12.2427,0,0
MCR_PE,D,20070822,000000,13.5652,13.5652,13.5652,13.5652,0,0
MCR_PE,D,20070823,000000,14.0732,14.0732,14.0732,14.0732,0,0
MCR_PE,D,20070824,000000,14.4818,14.4818,14.4818,14.4818,0,0
MCR_PE,D,20070827,000000,14.4818,14.4818,14.4818,14.4818,0,0
MCR_PE,D,20070828,000000,14.4469,14.4469,14.4469,14.4469,0,0
MCR_PE,D,20070829,000000,16.1091,16.1091,16.1091,16.1091,0,0
MCR_PE,D,20070830,000000,16.1763,16.1763,16.1763,16.1763,0,0
MCR_PE,D,20070831,000000,16.2104,16.2104,16.2104,16.2104,0,0
MCR_PE,D,20070903,000000,16.6853,16.6853,16.6853,16.6853,0,0
MCR_PE,D,20070904,000000,16.6853,16.6853,16.6853,16.6853,0,0
MCR_PE,D,20070905,000000,16.6512,16.6512,16.6512,16.6512,0,0
MCR_PE,D,20070906,000000,16.8214,16.8214,16.8214,16.8214,0,0
MCR_PE,D,20070907,000000,16.8887,16.8887,16.8887,16.8887,0,0
MCR_PE,D,20070910,000000,16.6853,16.6853,16.6853,16.6853,0,0
MCR_PE,D,20070911,000000,16.7864,16.7864,16.7864,16.7864,0,0
MCR_PE,D,20070912,000000,16.6512,16.6512,16.6512,16.6512,0,0
MCR_PE,D,20070913,000000,16.6853,16.6853,16.6853,16.6853,0,0
MCR_PE,D,20070914,000000,16.3465,16.3465,16.3465,16.3465,0,0
MCR_PE,D,20070917,000000,16.5149,16.5149,16.5149,16.5149,0,0
MCR_PE,D,20070918,000000,16.6512,16.6512,16.6512,16.6512,0,0
MCR_PE,D,20070919,000000,16.3465,16.3465,16.3465,16.3465,0,0
MCR_PE,D,20070920,000000,16.2784,16.2784,16.2784,16.2784,0,0
MCR_PE,D,20070921,000000,16.5149,16.5149,16.5149,16.5149,0,0
MCR_PE,D,20070924,000000,16.584,16.584,16.584,16.584,0,0
MCR_PE,D,20070925,000000,16.6853,16.6853,16.6853,16.6853,0,0
MCR_PE,D,20070926,000000,16.6853,16.6853,16.6853,16.6853,0,0
MCR_PE,D,20070927,000000,16.584,16.584,16.584,16.584,0,0
MCR_PE,D,20070928,000000,16.7524,16.7524,16.7524,16.7524,0,0
MCR_PE,D,20071001,000000,16.8887,16.8887,16.8887,16.8887,0,0
MCR_PE,D,20071002,000000,16.7193,16.7193,16.7193,16.7193,0,0
MCR_PE,D,20071003,000000,16.3797,16.3797,16.3797,16.3797,0,0
MCR_PE,D,20071004,000000,16.1091,16.1091,16.1091,16.1091,0,0
MCR_PE,D,20071005,000000,16.5149,16.5149,16.5149,16.5149,0,0
MCR_PE,D,20071008,000000,15.8376,15.8376,15.8376,15.8376,0,0
MCR_PE,D,20071009,000000,16.2104,16.2104,16.2104,16.2104,0,0
MCR_PE,D,20071010,000000,16.2104,16.2104,16.2104,16.2104,0,0
MCR_PE,D,20071011,000000,16.6512,16.6512,16.6512,16.6512,0,0
MCR_PE,D,20071012,000000,16.8546,16.8546,16.8546,16.8546,0,0
MCR_PE,D,20071015,000000,17.0589,17.0589,17.0589,17.0589,0,0
MCR_PE,D,20071016,000000,16.3465,16.3465,16.3465,16.3465,0,0
MCR_PE,D,20071017,000000,16.9898,16.9898,16.9898,16.9898,0,0
MCR_PE,D,20071018,000000,16.6853,16.6853,16.6853,16.6853,0,0
MCR_PE,D,20071019,000000,17.195,17.195,17.195,17.195,0,0
MCR_PE,D,20071022,000000,17.195,17.195,17.195,17.195,0,0
MCR_PE,D,20071023,000000,17.3626,17.3626,17.3626,17.3626,0,0
MCR_PE,D,20071024,000000,17.3295,17.3295,17.3295,17.3295,0,0
MCR_PE,D,20071025,000000,17.2273,17.2273,17.2273,17.2273,0,0
MCR_PE,D,20071026,000000,17.0248,17.0248,17.0248,17.0248,0,0
MCR_PE,D,20071029,000000,16.9558,16.9558,16.9558,16.9558,0,0
MCR_PE,D,20071030,000000,16.8887,16.8887,16.8887,16.8887,0,0
MCR_PE,D,20071031,000000,16.8214,16.8214,16.8214,16.8214,0,0
MCR_PE,D,20071102,000000,17.195,17.195,17.195,17.195,0,0
MCR_PE,D,20071105,000000,16.9558,16.9558,16.9558,16.9558,0,0
MCR_PE,D,20071106,000000,16.5149,16.5149,16.5149,16.5149,0,0
MCR_PE,D,20071107,000000,16.7524,16.7524,16.7524,16.7524,0,0
MCR_PE,D,20071108,000000,16.3465,16.3465,16.3465,16.3465,0,0
MCR_PE,D,20071109,000000,14.3797,16.6853,14.3797,16.5149,0,0
MCR_PE,D,20071112,000000,16.6512,16.6512,15.8035,16.4487,0,0
MCR_PE,D,20071113,000000,16.48,16.6512,16.48,16.6172,0,0
MCR_PE,D,20071114,000000,16.7524,16.7864,16.5499,16.6172,0,0
MCR_PE,D,20071115,000000,16.1422,16.6172,11.1916,11.1916,0,0
MCR_PE,D,20071116,000000,11.4631,11.4631,10.3771,11.1235,0,0
MCR_PE,D,20071119,000000,11.1235,11.1916,10.4112,11.1916,0,0
MCR_PE,D,20071120,000000,11.1584,11.1584,10.9882,10.9882,0,0
MCR_PE,D,20071121,000000,10.6486,11.0222,10.4112,10.8861,0,0
MCR_PE,D,20071122,000000,10.6486,10.6486,9.90216,10.4112,0,0
MCR_PE,D,20071123,000000,10.8861,10.8861,10.5482,10.6826,0,0
MCR_PE,D,20071126,000000,11.0563,11.0563,10.5482,10.9209,0,0
MCR_PE,D,20071127,000000,10.9209,10.9209,10.9209,10.9209,0,0
MCR_PE,D,20071128,000000,10.9209,10.9209,10.8861,10.9209,0,0
MCR_PE,D,20071129,000000,10.9209,10.9209,10.4783,10.9209,0,0
MCR_PE,D,20071130,000000,10.9209,10.9209,10.6826,10.9209,0,0
MCR_PE,D,20071203,000000,10.9209,11.1916,10.9209,11.1916,0,0
MCR_PE,D,20071205,000000,11.1584,11.1916,10.5482,11.1916,0,0
MCR_PE,D,20071206,000000,11.1916,11.6656,11.1916,11.429,0,0
MCR_PE,D,20071207,000000,11.1916,11.4971,11.1916,11.4971,0,0
MCR_PE,D,20071210,000000,11.4971,11.4971,11.394,11.429,0,0
MCR_PE,D,20071211,000000,11.0895,11.429,11.0895,11.1584,0,0
MCR_PE,D,20071212,000000,11.2929,11.5644,11.2929,11.4971,0,0
MCR_PE,D,20071213,000000,11.4631,11.4971,11.3269,11.4971,0,0
MCR_PE,D,20071214,000000,10.9541,11.5644,10.9541,11.5303,0,0
MCR_PE,D,20071218,000000,11.0895,11.5984,11.0895,11.5644,0,0
MCR_PE,D,20071219,000000,10.9209,11.6656,10.9209,11.6656,0,0
MCR_PE,D,20071220,000000,11.1584,11.8009,11.0563,11.8009,0,0
MCR_PE,D,20071221,000000,11.1916,12.1746,11.1916,12.1746,0,0
MCR_PE,D,20071227,000000,11.6997,12.0733,11.6997,12.0733,0,0
