<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MEX_MV,D,20120525,000000,50.6308,50.6308,50.6308,50.6308,0,0
MEX_MV,D,20120528,000000,50.329,50.6308,50.329,50.329,0,0
MEX_MV,D,20120531,000000,50.329,50.329,40.8066,40.8066,0,0
MEX_MV,D,20120601,000000,44.0807,44.0807,44.0807,44.0807,0,0
MEX_MV,D,20120613,000000,43.8281,44.5811,42.0667,43.8281,0,0
MEX_MV,D,20120614,000000,43.8281,43.8281,40.2995,41.4101,0,0
MEX_MV,D,20120615,000000,41.4574,41.4574,40.8066,40.8066,0,0
MEX_MV,D,20120618,000000,40.8548,40.8548,40.7526,40.7526,0,0
MEX_MV,D,20120619,000000,40.2995,40.2995,40.0459,40.0459,0,0
MEX_MV,D,20120620,000000,40.2995,40.2995,38.7936,38.7936,0,0
MEX_MV,D,20120621,000000,40.2995,40.2995,39.1426,39.6969,0,0
MEX_MV,D,20120622,000000,39.7451,39.7451,37.5807,39.5465,0,0
MEX_MV,D,20120625,000000,39.7451,39.7451,39.5465,39.5465,0,0
MEX_MV,D,20120626,000000,38.7936,38.7936,36.9299,38.7936,0,0
MEX_MV,D,20120627,000000,38.7936,38.7936,36.9299,38.7936,0,0
MEX_MV,D,20120628,000000,38.7936,38.7936,38.7936,38.7936,0,0
MEX_MV,D,20120629,000000,37.787,37.787,35.8212,37.5325,0,0
MEX_MV,D,20120702,000000,37.5325,37.5325,35.7161,37.5325,0,0
MEX_MV,D,20120703,000000,37.5325,37.5325,34.0049,37.279,0,0
MEX_MV,D,20120704,000000,37.5325,37.5325,37.5325,37.5325,0,0
MEX_MV,D,20120705,000000,37.5325,37.5325,35.5195,35.7643,0,0
MEX_MV,D,20120706,000000,35.5195,35.5195,33.7503,35.5195,0,0
MEX_MV,D,20120709,000000,35.5195,35.5195,35.5195,35.5195,0,0
MEX_MV,D,20120710,000000,35.5195,35.5195,34.861,35.5195,0,0
MEX_MV,D,20120711,000000,35.5195,35.5195,35.5195,35.5195,0,0
MEX_MV,D,20120712,000000,35.5195,35.5195,33.4968,35.0114,0,0
MEX_MV,D,20120716,000000,34.2584,34.2584,34.2584,34.2584,0,0
