<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGT_PB,D,20070813,000000,1.47788,1.47788,1.47788,1.47788,0,0
MGT_PB,D,20070814,000000,1.54185,1.54185,1.54185,1.54185,0,0
MGT_PB,D,20070816,000000,1.38831,1.38831,1.38831,1.38831,0,0
MGT_PB,D,20070817,000000,1.47152,1.47152,1.47152,1.47152,0,0
MGT_PB,D,20070820,000000,1.46517,1.46517,1.46517,1.46517,0,0
MGT_PB,D,20070821,000000,1.45246,1.45246,1.45246,1.45246,0,0
MGT_PB,D,20070822,000000,1.47152,1.47152,1.47152,1.47152,0,0
MGT_PB,D,20070823,000000,1.47152,1.47152,1.47152,1.47152,0,0
MGT_PB,D,20070824,000000,1.42034,1.42034,1.42034,1.42034,0,0
MGT_PB,D,20070827,000000,1.46517,1.46517,1.46517,1.46517,0,0
MGT_PB,D,20070828,000000,1.43313,1.43313,1.43313,1.43313,0,0
MGT_PB,D,20070829,000000,1.45246,1.45246,1.45246,1.45246,0,0
MGT_PB,D,20070830,000000,1.45246,1.45246,1.45246,1.45246,0,0
MGT_PB,D,20070831,000000,1.44593,1.44593,1.44593,1.44593,0,0
MGT_PB,D,20070903,000000,1.43957,1.43957,1.43957,1.43957,0,0
MGT_PB,D,20070904,000000,1.45872,1.45872,1.45872,1.45872,0,0
MGT_PB,D,20070905,000000,1.49076,1.49076,1.49076,1.49076,0,0
MGT_PB,D,20070906,000000,1.49076,1.49076,1.49076,1.49076,0,0
MGT_PB,D,20070907,000000,1.49711,1.49711,1.49711,1.49711,0,0
MGT_PB,D,20070910,000000,1.49711,1.49711,1.49711,1.49711,0,0
MGT_PB,D,20070911,000000,1.50346,1.50346,1.50346,1.50346,0,0
MGT_PB,D,20070912,000000,1.50346,1.50346,1.50346,1.50346,0,0
MGT_PB,D,20070913,000000,1.50346,1.50346,1.50346,1.50346,0,0
MGT_PB,D,20070914,000000,1.50346,1.50346,1.50346,1.50346,0,0
MGT_PB,D,20070917,000000,1.50991,1.50991,1.50991,1.50991,0,0
MGT_PB,D,20070918,000000,1.49076,1.49076,1.49076,1.49076,0,0
MGT_PB,D,20070919,000000,1.56118,1.56118,1.56118,1.56118,0,0
MGT_PB,D,20070920,000000,1.54185,1.54185,1.54185,1.54185,0,0
MGT_PB,D,20070921,000000,1.56118,1.56118,1.56118,1.56118,0,0
MGT_PB,D,20070924,000000,1.47152,1.47152,1.47152,1.47152,0,0
MGT_PB,D,20070925,000000,1.47152,1.47152,1.47152,1.47152,0,0
MGT_PB,D,20070926,000000,1.47152,1.47152,1.47152,1.47152,0,0
MGT_PB,D,20070927,000000,1.52279,1.52279,1.52279,1.52279,0,0
MGT_PB,D,20070928,000000,1.4844,1.4844,1.4844,1.4844,0,0
MGT_PB,D,20071001,000000,1.43957,1.43957,1.43957,1.43957,0,0
MGT_PB,D,20071002,000000,1.49711,1.49711,1.49711,1.49711,0,0
MGT_PB,D,20071003,000000,1.47788,1.47788,1.47788,1.47788,0,0
MGT_PB,D,20071004,000000,1.44593,1.44593,1.44593,1.44593,0,0
MGT_PB,D,20071005,000000,1.47788,1.47788,1.47788,1.47788,0,0
MGT_PB,D,20071008,000000,1.45246,1.45246,1.45246,1.45246,0,0
MGT_PB,D,20071009,000000,1.47788,1.47788,1.47788,1.47788,0,0
MGT_PB,D,20071010,000000,1.45872,1.45872,1.45872,1.45872,0,0
MGT_PB,D,20071011,000000,1.44593,1.44593,1.44593,1.44593,0,0
MGT_PB,D,20071012,000000,1.44593,1.44593,1.44593,1.44593,0,0
MGT_PB,D,20071015,000000,1.47152,1.47152,1.47152,1.47152,0,0
MGT_PB,D,20071016,000000,1.50991,1.50991,1.50991,1.50991,0,0
MGT_PB,D,20071017,000000,1.50991,1.50991,1.50991,1.50991,0,0
MGT_PB,D,20071018,000000,1.54185,1.54185,1.54185,1.54185,0,0
MGT_PB,D,20071019,000000,1.54185,1.54185,1.54185,1.54185,0,0
MGT_PB,D,20071022,000000,1.50991,1.50991,1.50991,1.50991,0,0
MGT_PB,D,20071023,000000,1.52279,1.52279,1.52279,1.52279,0,0
MGT_PB,D,20071024,000000,1.60592,1.60592,1.60592,1.60592,0,0
MGT_PB,D,20071025,000000,1.65711,1.65711,1.65711,1.65711,0,0
MGT_PB,D,20071026,000000,1.65711,1.65711,1.65711,1.65711,0,0
MGT_PB,D,20071029,000000,1.65711,1.65711,1.65711,1.65711,0,0
MGT_PB,D,20071030,000000,1.65711,1.65711,1.65711,1.65711,0,0
MGT_PB,D,20071031,000000,1.68269,1.68269,1.68269,1.68269,0,0
MGT_PB,D,20071102,000000,1.66998,1.66998,1.66998,1.66998,0,0
MGT_PB,D,20071105,000000,1.65711,1.65711,1.65711,1.65711,0,0
MGT_PB,D,20071106,000000,1.61219,1.61219,1.61219,1.61219,0,0
MGT_PB,D,20071107,000000,1.54185,1.54185,1.54185,1.54185,0,0
MGT_PB,D,20071108,000000,1.52279,1.52279,1.52279,1.52279,0,0
MGT_PB,D,20071109,000000,1.47788,1.58024,1.47788,1.58024,0,0
MGT_PB,D,20071112,000000,1.47788,1.58024,1.44593,1.44593,0,0
MGT_PB,D,20071113,000000,1.50991,1.50991,1.44593,1.49711,0,0
MGT_PB,D,20071114,000000,1.44593,1.57397,1.44593,1.57397,0,0
MGT_PB,D,20071115,000000,1.44593,1.57397,1.44593,1.49711,0,0
