<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGT_PE,D,20070813,000000,9.85282,9.85282,9.85282,9.85282,0,0
MGT_PE,D,20070814,000000,10.301,10.301,10.301,10.301,0,0
MGT_PE,D,20070816,000000,9.2139,9.2139,9.2139,9.2139,0,0
MGT_PE,D,20070817,000000,9.7884,9.7884,9.7884,9.7884,0,0
MGT_PE,D,20070820,000000,9.7248,9.7248,9.7248,9.7248,0,0
MGT_PE,D,20070821,000000,9.66129,9.66129,9.66129,9.66129,0,0
MGT_PE,D,20070822,000000,9.7884,9.7884,9.7884,9.7884,0,0
MGT_PE,D,20070823,000000,9.7884,9.7884,9.7884,9.7884,0,0
MGT_PE,D,20070824,000000,9.46894,9.46894,9.46894,9.46894,0,0
MGT_PE,D,20070827,000000,9.7248,9.7248,9.7248,9.7248,0,0
MGT_PE,D,20070828,000000,9.53245,9.53245,9.53245,9.53245,0,0
MGT_PE,D,20070829,000000,9.66129,9.66129,9.66129,9.66129,0,0
MGT_PE,D,20070830,000000,9.66129,9.66129,9.66129,9.66129,0,0
MGT_PE,D,20070831,000000,9.59769,9.59769,9.59769,9.59769,0,0
MGT_PE,D,20070903,000000,9.59769,9.59769,9.59769,9.59769,0,0
MGT_PE,D,20070904,000000,9.7248,9.7248,9.7248,9.7248,0,0
MGT_PE,D,20070905,000000,9.91724,9.91724,9.91724,9.91724,0,0
MGT_PE,D,20070906,000000,9.91724,9.91724,9.91724,9.91724,0,0
MGT_PE,D,20070907,000000,9.98157,9.98157,9.98157,9.98157,0,0
MGT_PE,D,20070910,000000,9.98157,9.98157,9.98157,9.98157,0,0
MGT_PE,D,20070911,000000,9.98157,9.98157,9.98157,9.98157,0,0
MGT_PE,D,20070912,000000,9.98157,9.98157,9.98157,9.98157,0,0
MGT_PE,D,20070913,000000,9.98157,9.98157,9.98157,9.98157,0,0
MGT_PE,D,20070914,000000,9.98157,9.98157,9.98157,9.98157,0,0
MGT_PE,D,20070917,000000,10.0443,10.0443,10.0443,10.0443,0,0
MGT_PE,D,20070918,000000,9.91724,9.91724,9.91724,9.91724,0,0
MGT_PE,D,20070919,000000,10.4281,10.4281,10.4281,10.4281,0,0
MGT_PE,D,20070920,000000,10.301,10.301,10.301,10.301,0,0
MGT_PE,D,20070921,000000,10.3655,10.3655,10.3655,10.3655,0,0
MGT_PE,D,20070924,000000,9.7884,9.7884,9.7884,9.7884,0,0
MGT_PE,D,20070925,000000,9.7884,9.7884,9.7884,9.7884,0,0
MGT_PE,D,20070926,000000,9.7884,9.7884,9.7884,9.7884,0,0
MGT_PE,D,20070927,000000,10.1087,10.1087,10.1087,10.1087,0,0
MGT_PE,D,20070928,000000,9.85282,9.85282,9.85282,9.85282,0,0
MGT_PE,D,20071001,000000,9.59769,9.59769,9.59769,9.59769,0,0
MGT_PE,D,20071002,000000,9.98157,9.98157,9.98157,9.98157,0,0
MGT_PE,D,20071003,000000,9.85282,9.85282,9.85282,9.85282,0,0
