<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEU_MV,D,20070813,000000,239.607,239.607,239.607,239.607,0,0
NEU_MV,D,20070814,000000,240.433,240.433,240.433,240.433,0,0
NEU_MV,D,20070816,000000,237.669,237.669,237.669,237.669,0,0
NEU_MV,D,20070817,000000,237.531,237.531,237.531,237.531,0,0
NEU_MV,D,20070820,000000,245.952,245.952,245.952,245.952,0,0
NEU_MV,D,20070821,000000,245.116,245.116,245.116,245.116,0,0
NEU_MV,D,20070822,000000,234.895,234.895,234.895,234.895,0,0
NEU_MV,D,20070823,000000,243.188,243.188,243.188,243.188,0,0
NEU_MV,D,20070824,000000,237.128,237.128,237.128,237.128,0,0
NEU_MV,D,20070827,000000,241.25,241.25,241.25,241.25,0,0
NEU_MV,D,20070828,000000,247.349,247.349,247.349,247.349,0,0
NEU_MV,D,20070829,000000,236.282,236.282,236.282,236.282,0,0
NEU_MV,D,20070830,000000,237.944,237.944,237.944,237.944,0,0
NEU_MV,D,20070831,000000,242.912,242.912,242.912,242.912,0,0
NEU_MV,D,20070903,000000,240.433,240.433,240.433,240.433,0,0
NEU_MV,D,20070904,000000,248.44,248.44,248.44,248.44,0,0
NEU_MV,D,20070905,000000,248.44,248.44,248.44,248.44,0,0
NEU_MV,D,20070906,000000,247.594,247.594,247.594,247.594,0,0
NEU_MV,D,20070907,000000,247.594,247.594,247.594,247.594,0,0
NEU_MV,D,20070910,000000,245.952,245.952,245.952,245.952,0,0
NEU_MV,D,20070911,000000,247.899,247.899,247.899,247.899,0,0
NEU_MV,D,20070912,000000,247.349,247.349,247.349,247.349,0,0
NEU_MV,D,20070913,000000,247.594,247.594,247.594,247.594,0,0
NEU_MV,D,20070914,000000,245.952,245.952,245.952,245.952,0,0
NEU_MV,D,20070917,000000,237.669,237.669,237.669,237.669,0,0
NEU_MV,D,20070918,000000,240.158,240.158,240.158,240.158,0,0
NEU_MV,D,20070919,000000,240.158,240.158,240.158,240.158,0,0
NEU_MV,D,20070920,000000,237.669,237.669,237.669,237.669,0,0
NEU_MV,D,20070921,000000,237.669,237.669,237.669,237.669,0,0
NEU_MV,D,20070924,000000,237.669,237.669,237.669,237.669,0,0
NEU_MV,D,20070925,000000,237.128,237.128,237.128,237.128,0,0
NEU_MV,D,20070926,000000,240.433,240.433,240.433,240.433,0,0
NEU_MV,D,20070927,000000,244.575,244.575,244.575,244.575,0,0
NEU_MV,D,20070928,000000,235.869,235.869,235.869,235.869,0,0
NEU_MV,D,20071001,000000,241.928,241.928,241.928,241.928,0,0
NEU_MV,D,20071002,000000,240.433,240.433,240.433,240.433,0,0
NEU_MV,D,20071003,000000,232.131,232.131,232.131,232.131,0,0
NEU_MV,D,20071004,000000,237.531,237.531,237.531,237.531,0,0
NEU_MV,D,20071005,000000,235.731,235.731,235.731,235.731,0,0
NEU_MV,D,20071008,000000,237.531,237.531,237.531,237.531,0,0
NEU_MV,D,20071009,000000,237.531,237.531,237.531,237.531,0,0
NEU_MV,D,20071010,000000,234.629,234.629,234.629,234.629,0,0
NEU_MV,D,20071011,000000,234.777,234.777,234.777,234.777,0,0
NEU_MV,D,20071012,000000,227.026,227.026,227.026,227.026,0,0
NEU_MV,D,20071015,000000,230.203,230.203,230.203,230.203,0,0
NEU_MV,D,20071016,000000,221.064,221.064,221.064,221.064,0,0
NEU_MV,D,20071017,000000,229.229,229.229,229.229,229.229,0,0
NEU_MV,D,20071018,000000,217.907,217.907,217.907,217.907,0,0
NEU_MV,D,20071019,000000,220.818,220.818,220.818,220.818,0,0
NEU_MV,D,20071022,000000,223.563,223.563,223.563,223.563,0,0
NEU_MV,D,20071023,000000,220.818,220.818,220.818,220.818,0,0
NEU_MV,D,20071024,000000,220.818,220.818,220.818,220.818,0,0
NEU_MV,D,20071025,000000,220.956,220.956,220.956,220.956,0,0
NEU_MV,D,20071026,000000,221.064,221.064,221.064,221.064,0,0
NEU_MV,D,20071029,000000,229.357,229.357,229.357,229.357,0,0
NEU_MV,D,20071030,000000,229.357,229.357,229.357,229.357,0,0
NEU_MV,D,20071031,000000,234.059,234.059,234.059,234.059,0,0
NEU_MV,D,20071102,000000,230.606,230.606,230.606,230.606,0,0
NEU_MV,D,20071105,000000,223.858,223.858,223.858,223.858,0,0
NEU_MV,D,20071106,000000,227.586,227.586,227.586,227.586,0,0
NEU_MV,D,20071107,000000,221.064,221.064,221.064,221.064,0,0
NEU_MV,D,20071108,000000,222.048,222.048,222.048,222.048,0,0
NEU_MV,D,20071109,000000,221.064,223.858,221.064,221.615,0,0
NEU_MV,D,20071112,000000,216.087,221.615,215.546,215.546,0,0
