<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEU_PB,D,20070813,000000,1.46383,1.46383,1.46383,1.46383,0,0
NEU_PB,D,20070814,000000,1.46383,1.46383,1.46383,1.46383,0,0
NEU_PB,D,20070816,000000,1.44947,1.44947,1.44947,1.44947,0,0
NEU_PB,D,20070817,000000,1.44947,1.44947,1.44947,1.44947,0,0
NEU_PB,D,20070820,000000,1.50003,1.50003,1.50003,1.50003,0,0
NEU_PB,D,20070821,000000,1.49294,1.49294,1.49294,1.49294,0,0
NEU_PB,D,20070822,000000,1.45665,1.45665,1.45665,1.45665,0,0
NEU_PB,D,20070823,000000,1.51429,1.51429,1.51429,1.51429,0,0
NEU_PB,D,20070824,000000,1.4713,1.4713,1.4713,1.4713,0,0
NEU_PB,D,20070827,000000,1.50003,1.50003,1.50003,1.50003,0,0
NEU_PB,D,20070828,000000,1.53593,1.53593,1.53593,1.53593,0,0
NEU_PB,D,20070829,000000,1.4713,1.4713,1.4713,1.4713,0,0
NEU_PB,D,20070830,000000,1.47848,1.47848,1.47848,1.47848,0,0
NEU_PB,D,20070831,000000,1.51429,1.51429,1.51429,1.51429,0,0
NEU_PB,D,20070903,000000,1.49294,1.49294,1.49294,1.49294,0,0
NEU_PB,D,20070904,000000,1.54341,1.54341,1.54341,1.54341,0,0
NEU_PB,D,20070905,000000,1.54341,1.54341,1.54341,1.54341,0,0
NEU_PB,D,20070906,000000,1.54341,1.54341,1.54341,1.54341,0,0
NEU_PB,D,20070907,000000,1.54341,1.54341,1.54341,1.54341,0,0
NEU_PB,D,20070910,000000,1.52885,1.52885,1.52885,1.52885,0,0
NEU_PB,D,20070911,000000,1.54341,1.54341,1.54341,1.54341,0,0
NEU_PB,D,20070912,000000,1.53593,1.53593,1.53593,1.53593,0,0
NEU_PB,D,20070913,000000,1.54341,1.54341,1.54341,1.54341,0,0
NEU_PB,D,20070914,000000,1.52885,1.52885,1.52885,1.52885,0,0
NEU_PB,D,20070917,000000,1.47848,1.47848,1.47848,1.47848,0,0
NEU_PB,D,20070918,000000,1.49294,1.49294,1.49294,1.49294,0,0
NEU_PB,D,20070919,000000,1.49294,1.49294,1.49294,1.49294,0,0
NEU_PB,D,20070920,000000,1.47848,1.47848,1.47848,1.47848,0,0
NEU_PB,D,20070921,000000,1.47848,1.47848,1.47848,1.47848,0,0
NEU_PB,D,20070924,000000,1.47848,1.47848,1.47848,1.47848,0,0
NEU_PB,D,20070925,000000,1.4713,1.4713,1.4713,1.4713,0,0
NEU_PB,D,20070926,000000,1.49294,1.49294,1.49294,1.49294,0,0
NEU_PB,D,20070927,000000,1.52157,1.52157,1.52157,1.52157,0,0
NEU_PB,D,20070928,000000,1.46383,1.46383,1.46383,1.46383,0,0
NEU_PB,D,20071001,000000,1.50711,1.50711,1.50711,1.50711,0,0
NEU_PB,D,20071002,000000,1.49294,1.49294,1.49294,1.49294,0,0
NEU_PB,D,20071003,000000,1.44219,1.44219,1.44219,1.44219,0,0
NEU_PB,D,20071004,000000,1.47848,1.47848,1.47848,1.47848,0,0
NEU_PB,D,20071005,000000,1.46383,1.46383,1.46383,1.46383,0,0
NEU_PB,D,20071008,000000,1.47848,1.47848,1.47848,1.47848,0,0
NEU_PB,D,20071009,000000,1.47848,1.47848,1.47848,1.47848,0,0
NEU_PB,D,20071010,000000,1.45665,1.45665,1.45665,1.45665,0,0
NEU_PB,D,20071011,000000,1.45665,1.45665,1.45665,1.45665,0,0
NEU_PB,D,20071012,000000,1.40608,1.40608,1.40608,1.40608,0,0
NEU_PB,D,20071015,000000,1.42792,1.42792,1.42792,1.42792,0,0
NEU_PB,D,20071016,000000,1.37018,1.37018,1.37018,1.37018,0,0
NEU_PB,D,20071017,000000,1.42074,1.42074,1.42074,1.42074,0,0
NEU_PB,D,20071018,000000,1.34864,1.34864,1.34864,1.34864,0,0
NEU_PB,D,20071019,000000,1.37018,1.37018,1.37018,1.37018,0,0
NEU_PB,D,20071022,000000,1.38464,1.38464,1.38464,1.38464,0,0
NEU_PB,D,20071023,000000,1.37018,1.37018,1.37018,1.37018,0,0
NEU_PB,D,20071024,000000,1.37018,1.37018,1.37018,1.37018,0,0
NEU_PB,D,20071025,000000,1.37018,1.37018,1.37018,1.37018,0,0
NEU_PB,D,20071026,000000,1.37018,1.37018,1.37018,1.37018,0,0
NEU_PB,D,20071029,000000,1.42074,1.42074,1.42074,1.42074,0,0
NEU_PB,D,20071030,000000,1.42074,1.42074,1.42074,1.42074,0,0
NEU_PB,D,20071031,000000,1.45665,1.45665,1.45665,1.45665,0,0
NEU_PB,D,20071102,000000,1.43501,1.43501,1.43501,1.43501,0,0
NEU_PB,D,20071105,000000,1.39192,1.39192,1.39192,1.39192,0,0
NEU_PB,D,20071106,000000,1.41346,1.41346,1.41346,1.41346,0,0
NEU_PB,D,20071107,000000,1.37018,1.37018,1.37018,1.37018,0,0
NEU_PB,D,20071108,000000,1.37736,1.37736,1.37736,1.37736,0,0
NEU_PB,D,20071109,000000,1.37018,1.39192,1.37018,1.37736,0,0
NEU_PB,D,20071112,000000,1.34146,1.37736,1.33408,1.33408,0,0
NEU_PB,D,20071113,000000,1.33408,1.37018,1.33408,1.37018,0,0
NEU_PB,D,20071114,000000,1.34146,1.37018,1.34146,1.37018,0,0
NEU_PB,D,20071115,000000,1.37018,1.37018,1.3269,1.3269,0,0
NEU_PB,D,20071116,000000,1.30526,1.3269,1.2908,1.3269,0,0
NEU_PB,D,20071119,000000,1.2908,1.3269,1.27643,1.27643,0,0
NEU_PB,D,20071120,000000,1.30526,1.30526,1.25479,1.25479,0,0
NEU_PB,D,20071121,000000,1.22607,1.22607,1.18987,1.18987,0,0
NEU_PB,D,20071122,000000,1.18987,1.25479,1.18987,1.25479,0,0
NEU_PB,D,20071123,000000,1.25479,1.25479,1.25479,1.25479,0,0
NEU_PB,D,20071126,000000,1.25479,1.25479,1.25479,1.25479,0,0
NEU_PB,D,20071127,000000,1.25479,1.25479,1.24761,1.24761,0,0
NEU_PB,D,20071128,000000,1.24761,1.24761,1.24043,1.24761,0,0
NEU_PB,D,20071129,000000,1.24761,1.24761,1.20433,1.24043,0,0
NEU_PB,D,20071130,000000,1.24761,1.24761,1.24761,1.24761,0,0
NEU_PB,D,20071203,000000,1.24043,1.25479,1.20433,1.25479,0,0
NEU_PB,D,20071204,000000,1.24761,1.24761,1.24761,1.24761,0,0
NEU_PB,D,20071205,000000,1.24761,1.24761,1.24761,1.24761,0,0
NEU_PB,D,20071206,000000,1.24761,1.24761,1.21889,1.21889,0,0
NEU_PB,D,20071207,000000,1.24761,1.24761,1.24761,1.24761,0,0
NEU_PB,D,20071210,000000,1.24043,1.24043,1.18987,1.24043,0,0
NEU_PB,D,20071211,000000,1.18987,1.21889,1.17551,1.21889,0,0
NEU_PB,D,20071212,000000,1.17551,1.21889,1.17551,1.21889,0,0
NEU_PB,D,20071213,000000,1.17551,1.24043,1.17551,1.21889,0,0
NEU_PB,D,20071214,000000,1.24043,1.24043,1.21889,1.21889,0,0
NEU_PB,D,20071217,000000,1.21889,1.21889,1.21889,1.21889,0,0
NEU_PB,D,20071218,000000,1.17551,1.20433,1.16852,1.20433,0,0
NEU_PB,D,20071219,000000,1.20433,1.20433,1.15377,1.20433,0,0
NEU_PB,D,20071220,000000,1.16852,1.18987,1.14669,1.16852,0,0
