<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ODL_MV,D,20070813,000000,78.465,78.465,78.465,78.465,0,0
ODL_MV,D,20070814,000000,76.6511,76.6511,76.6511,76.6511,0,0
ODL_MV,D,20070816,000000,67.3905,67.3905,67.3905,67.3905,0,0
ODL_MV,D,20070817,000000,69.2081,69.2081,69.2081,69.2081,0,0
ODL_MV,D,20070820,000000,71.8911,71.8911,71.8911,71.8911,0,0
ODL_MV,D,20070821,000000,69.2081,69.2081,69.2081,69.2081,0,0
ODL_MV,D,20070822,000000,69.2081,69.2081,69.2081,69.2081,0,0
ODL_MV,D,20070823,000000,70.5957,70.5957,70.5957,70.5957,0,0
ODL_MV,D,20070824,000000,72.6707,72.6707,72.6707,72.6707,0,0
ODL_MV,D,20070827,000000,72.584,72.584,72.584,72.584,0,0
ODL_MV,D,20070828,000000,69.8142,69.8142,69.8142,69.8142,0,0
ODL_MV,D,20070829,000000,69.8142,69.8142,69.8142,69.8142,0,0
ODL_MV,D,20070830,000000,69.2081,69.2081,69.2081,69.2081,0,0
ODL_MV,D,20070831,000000,71.5433,71.5433,71.5433,71.5433,0,0
ODL_MV,D,20070903,000000,73.5335,73.5335,73.5335,73.5335,0,0
ODL_MV,D,20070904,000000,73.4477,73.4477,73.4477,73.4477,0,0
ODL_MV,D,20070905,000000,72.6707,72.6707,72.6707,72.6707,0,0
ODL_MV,D,20070906,000000,70.9362,70.9362,70.9362,70.9362,0,0
ODL_MV,D,20070907,000000,69.2081,69.2081,69.2081,69.2081,0,0
ODL_MV,D,20070910,000000,68.3436,68.3436,68.3436,68.3436,0,0
ODL_MV,D,20070911,000000,68.7808,68.7808,68.7808,68.7808,0,0
ODL_MV,D,20070912,000000,69.9018,69.9018,69.9018,69.9018,0,0
ODL_MV,D,20070913,000000,69.2975,69.2975,69.2975,69.2975,0,0
ODL_MV,D,20070914,000000,68.6922,68.6922,68.6922,68.6922,0,0
ODL_MV,D,20070917,000000,67.3037,67.3037,67.3037,67.3037,0,0
ODL_MV,D,20070918,000000,69.1195,69.1195,69.1195,69.1195,0,0
ODL_MV,D,20070919,000000,69.2081,69.2081,69.2081,69.2081,0,0
ODL_MV,D,20070920,000000,69.6453,69.6453,69.6453,69.6453,0,0
ODL_MV,D,20070921,000000,71.8062,71.8062,71.8062,71.8062,0,0
ODL_MV,D,20070924,000000,76.3015,76.3015,76.3015,76.3015,0,0
ODL_MV,D,20070925,000000,76.3846,76.3846,76.3846,76.3846,0,0
ODL_MV,D,20070926,000000,76.1334,76.1334,76.1334,76.1334,0,0
ODL_MV,D,20070927,000000,75.2661,75.2661,75.2661,75.2661,0,0
ODL_MV,D,20070928,000000,71.8062,71.8062,71.8062,71.8062,0,0
ODL_MV,D,20071001,000000,70.9362,70.9362,70.9362,70.9362,0,0
ODL_MV,D,20071002,000000,71.3708,71.3708,71.3708,71.3708,0,0
ODL_MV,D,20071003,000000,71.8062,71.8062,71.8062,71.8062,0,0
ODL_MV,D,20071004,000000,71.3708,71.3708,71.3708,71.3708,0,0
ODL_MV,D,20071005,000000,72.2344,72.2344,72.2344,72.2344,0,0
ODL_MV,D,20071008,000000,70.9362,70.9362,70.9362,70.9362,0,0
ODL_MV,D,20071009,000000,72.6707,72.6707,72.6707,72.6707,0,0
ODL_MV,D,20071010,000000,71.9779,71.9779,71.9779,71.9779,0,0
ODL_MV,D,20071011,000000,72.3275,72.3275,72.3275,72.3275,0,0
ODL_MV,D,20071012,000000,72.3275,72.3275,72.3275,72.3275,0,0
ODL_MV,D,20071015,000000,71.8062,71.8062,71.8062,71.8062,0,0
ODL_MV,D,20071016,000000,71.4638,71.4638,71.4638,71.4638,0,0
ODL_MV,D,20071017,000000,76.1334,76.1334,76.1334,76.1334,0,0
ODL_MV,D,20071018,000000,73.5335,73.5335,73.5335,73.5335,0,0
ODL_MV,D,20071019,000000,73.4477,73.4477,73.4477,73.4477,0,0
ODL_MV,D,20071022,000000,72.2344,72.2344,72.2344,72.2344,0,0
ODL_MV,D,20071023,000000,72.2344,72.2344,72.2344,72.2344,0,0
ODL_MV,D,20071024,000000,72.4123,72.4123,72.4123,72.4123,0,0
ODL_MV,D,20071025,000000,71.8062,71.8062,71.8062,71.8062,0,0
