<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ODL_PB,D,20070813,000000,1.89837,1.89837,1.89837,1.89837,0,0
ODL_PB,D,20070814,000000,1.85754,1.85754,1.85754,1.85754,0,0
ODL_PB,D,20070816,000000,1.63304,1.63304,1.63304,1.63304,0,0
ODL_PB,D,20070817,000000,1.67387,1.67387,1.67387,1.67387,0,0
ODL_PB,D,20070820,000000,1.7419,1.7419,1.7419,1.7419,0,0
ODL_PB,D,20070821,000000,1.67387,1.67387,1.67387,1.67387,0,0
ODL_PB,D,20070822,000000,1.67387,1.67387,1.67387,1.67387,0,0
ODL_PB,D,20070823,000000,1.70794,1.70794,1.70794,1.70794,0,0
ODL_PB,D,20070824,000000,1.76231,1.76231,1.76231,1.76231,0,0
ODL_PB,D,20070827,000000,1.75554,1.75554,1.75554,1.75554,0,0
ODL_PB,D,20070828,000000,1.6943,1.6943,1.6943,1.6943,0,0
ODL_PB,D,20070829,000000,1.6943,1.6943,1.6943,1.6943,0,0
ODL_PB,D,20070830,000000,1.67387,1.67387,1.67387,1.67387,0,0
ODL_PB,D,20070831,000000,1.73512,1.73512,1.73512,1.73512,0,0
ODL_PB,D,20070903,000000,1.78274,1.78274,1.78274,1.78274,0,0
ODL_PB,D,20070904,000000,1.78274,1.78274,1.78274,1.78274,0,0
ODL_PB,D,20070905,000000,1.76231,1.76231,1.76231,1.76231,0,0
ODL_PB,D,20070906,000000,1.72139,1.72139,1.72139,1.72139,0,0
ODL_PB,D,20070907,000000,1.67387,1.67387,1.67387,1.67387,0,0
ODL_PB,D,20070910,000000,1.65355,1.65355,1.65355,1.65355,0,0
ODL_PB,D,20070911,000000,1.66701,1.66701,1.66701,1.66701,0,0
ODL_PB,D,20070912,000000,1.6943,1.6943,1.6943,1.6943,0,0
ODL_PB,D,20070913,000000,1.68074,1.68074,1.68074,1.68074,0,0
ODL_PB,D,20070914,000000,1.66701,1.66701,1.66701,1.66701,0,0
