<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPL_MV,D,20070813,000000,13959.9,13959.9,13959.9,13959.9,0,0
OPL_MV,D,20070814,000000,13959.9,13959.9,13959.9,13959.9,0,0
OPL_MV,D,20070816,000000,13328.4,13328.4,13328.4,13328.4,0,0
OPL_MV,D,20070817,000000,13693.9,13693.9,13693.9,13693.9,0,0
OPL_MV,D,20070820,000000,13693.9,13693.9,13693.9,13693.9,0,0
OPL_MV,D,20070821,000000,13760.5,13760.5,13760.5,13760.5,0,0
OPL_MV,D,20070822,000000,14358.7,14358.7,14358.7,14358.7,0,0
OPL_MV,D,20070823,000000,14259.1,14259.1,14259.1,14259.1,0,0
OPL_MV,D,20070824,000000,14551.6,14551.6,14551.6,14551.6,0,0
OPL_MV,D,20070827,000000,14505,14505,14505,14505,0,0
OPL_MV,D,20070828,000000,14345.5,14345.5,14345.5,14345.5,0,0
OPL_MV,D,20070829,000000,14259.1,14259.1,14259.1,14259.1,0,0
OPL_MV,D,20070830,000000,14092.8,14092.8,14092.8,14092.8,0,0
OPL_MV,D,20070831,000000,14425.2,14425.2,14425.2,14425.2,0,0
OPL_MV,D,20070903,000000,14558.2,14558.2,14558.2,14558.2,0,0
OPL_MV,D,20070904,000000,15016.8,15016.8,15016.8,15016.8,0,0
OPL_MV,D,20070905,000000,14618,14618,14618,14618,0,0
OPL_MV,D,20070906,000000,14671.2,14671.2,14671.2,14671.2,0,0
OPL_MV,D,20070907,000000,14458.4,14458.4,14458.4,14458.4,0,0
OPL_MV,D,20070910,000000,14491.7,14491.7,14491.7,14491.7,0,0
OPL_MV,D,20070911,000000,14418.6,14418.6,14418.6,14418.6,0,0
OPL_MV,D,20070912,000000,14624.6,14624.6,14624.6,14624.6,0,0
OPL_MV,D,20070913,000000,14790.9,14790.9,14790.9,14790.9,0,0
OPL_MV,D,20070914,000000,14770.9,14770.9,14770.9,14770.9,0,0
OPL_MV,D,20070917,000000,14624.6,14624.6,14624.6,14624.6,0,0
OPL_MV,D,20070918,000000,14691.1,14691.1,14691.1,14691.1,0,0
OPL_MV,D,20070919,000000,14890.5,14890.5,14890.5,14890.5,0,0
OPL_MV,D,20070920,000000,14957,14957,14957,14957,0,0
OPL_MV,D,20070921,000000,14325.5,14325.5,14325.5,14325.5,0,0
OPL_MV,D,20070924,000000,14026.4,14026.4,14026.4,14026.4,0,0
OPL_MV,D,20070925,000000,14059.6,14059.6,14059.6,14059.6,0,0
OPL_MV,D,20070926,000000,14026.4,14026.4,14026.4,14026.4,0,0
OPL_MV,D,20070927,000000,13959.9,13959.9,13959.9,13959.9,0,0
OPL_MV,D,20070928,000000,13926.6,13926.6,13926.6,13926.6,0,0
OPL_MV,D,20071001,000000,14292.3,14292.3,14292.3,14292.3,0,0
OPL_MV,D,20071002,000000,14358.7,14358.7,14358.7,14358.7,0,0
OPL_MV,D,20071003,000000,14159.3,14159.3,14159.3,14159.3,0,0
OPL_MV,D,20071004,000000,14013,14013,14013,14013,0,0
OPL_MV,D,20071005,000000,13926.6,13926.6,13926.6,13926.6,0,0
OPL_MV,D,20071008,000000,13826.9,13826.9,13826.9,13826.9,0,0
OPL_MV,D,20071009,000000,14458.4,14458.4,14458.4,14458.4,0,0
OPL_MV,D,20071010,000000,14026.4,14026.4,14026.4,14026.4,0,0
OPL_MV,D,20071011,000000,14458.4,14458.4,14458.4,14458.4,0,0
OPL_MV,D,20071012,000000,14292.3,14292.3,14292.3,14292.3,0,0
OPL_MV,D,20071015,000000,14544.8,14544.8,14544.8,14544.8,0,0
OPL_MV,D,20071016,000000,14551.6,14551.6,14551.6,14551.6,0,0
OPL_MV,D,20071017,000000,14551.6,14551.6,14551.6,14551.6,0,0
OPL_MV,D,20071018,000000,14318.8,14318.8,14318.8,14318.8,0,0
OPL_MV,D,20071019,000000,14558.2,14558.2,14558.2,14558.2,0,0
OPL_MV,D,20071022,000000,14757.6,14757.6,14757.6,14757.6,0,0
OPL_MV,D,20071023,000000,15156.4,15156.4,15156.4,15156.4,0,0
OPL_MV,D,20071024,000000,15156.4,15156.4,15156.4,15156.4,0,0
OPL_MV,D,20071025,000000,15555.3,15555.3,15555.3,15555.3,0,0
OPL_MV,D,20071026,000000,15661.6,15661.6,15661.6,15661.6,0,0
