<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPN_MV,D,20071114,000000,96.6495,96.6495,96.6495,96.6495,0,0
OPN_MV,D,20071115,000000,101.756,101.756,90.2816,93.456,0,0
OPN_MV,D,20071116,000000,98.5467,98.767,91.6431,98.767,0,0
OPN_MV,D,20071119,000000,100.051,100.051,93.456,93.456,0,0
OPN_MV,D,20071120,000000,95.4805,95.4805,95.4805,95.4805,0,0
OPN_MV,D,20071121,000000,94.6335,94.6335,90.8076,91.3336,0,0
OPN_MV,D,20071122,000000,93.2528,94.5224,90.2816,94.5224,0,0
OPN_MV,D,20071123,000000,94.5224,96.5345,93.456,96.5345,0,0
OPN_MV,D,20071126,000000,98.2305,98.2305,94.5224,96.4291,0,0
OPN_MV,D,20071127,000000,98.2305,98.2305,93.456,95.5572,0,0
OPN_MV,D,20071128,000000,93.456,96.4291,93.456,95.5572,0,0
OPN_MV,D,20071129,000000,95.5572,95.5572,95.5572,95.5572,0,0
OPN_MV,D,20071130,000000,97.5118,103.548,97.5118,103.548,0,0
OPN_MV,D,20071203,000000,103.021,103.021,100.904,103.021,0,0
OPN_MV,D,20071204,000000,102.906,102.906,102.791,102.791,0,0
OPN_MV,D,20071205,000000,103.97,110.447,102.695,106.202,0,0
OPN_MV,D,20071206,000000,105.877,106.202,105.158,106.202,0,0
OPN_MV,D,20071207,000000,106.087,106.202,104.171,106.202,0,0
OPN_MV,D,20071210,000000,106.202,106.202,103.021,105.685,0,0
OPN_MV,D,20071211,000000,105.57,105.57,105.474,105.474,0,0
OPN_MV,D,20071212,000000,103.347,103.347,97.8089,101.325,0,0
OPN_MV,D,20071213,000000,101.756,101.756,95.5572,98.1442,0,0
OPN_MV,D,20071214,000000,95.5572,95.5572,91.4247,93.66,0,0
OPN_MV,D,20071217,000000,93.66,93.66,87.3918,91.0155,0,0
OPN_MV,D,20071218,000000,89.0982,89.0982,85.4927,86.3435,0,0
OPN_MV,D,20071219,000000,86.3435,87.0794,82.8376,87.0794,0,0
OPN_MV,D,20071220,000000,88.5847,91.0155,87.1906,91.0155,0,0
OPN_MV,D,20071221,000000,90.6888,92.1979,88.143,90.2816,0,0
OPN_MV,D,20071227,000000,90.2816,90.2816,90.2816,90.2816,0,0
OPN_MV,D,20071228,000000,88.9909,90.2816,88.9909,90.2816,0,0
OPN_MV,D,20080102,000000,90.2816,93.3544,90.2816,92.4087,0,0
OPN_MV,D,20080103,000000,90.4799,92.4087,88.143,92.4087,0,0
OPN_MV,D,20080104,000000,92.4087,92.4087,88.5847,89.2142,0,0
OPN_MV,D,20080107,000000,89.2142,89.2142,82.9488,89.0982,0,0
OPN_MV,D,20080108,000000,88.9009,90.8076,85.2829,90.8076,0,0
OPN_MV,D,20080109,000000,87.1906,90.2816,87.0794,90.0554,0,0
OPN_MV,D,20080110,000000,89.2142,89.2142,86.1251,88.9909,0,0
OPN_MV,D,20080111,000000,88.6814,92.4087,88.6814,92.4087,0,0
OPN_MV,D,20080114,000000,87.501,87.501,87.501,87.501,0,0
OPN_MV,D,20080115,000000,85.1717,87.294,84.9619,87.294,0,0
OPN_MV,D,20080116,000000,87.0794,87.0794,81.2442,81.2442,0,0
OPN_MV,D,20080117,000000,84.8536,84.8536,81.4541,83.791,0,0
OPN_MV,D,20080118,000000,83.3694,83.3694,79.6508,81.775,0,0
OPN_MV,D,20080121,000000,80.0791,83.3694,79.6508,80.1826,0,0
OPN_MV,D,20080122,000000,81.6735,84.2212,81.6735,82.8376,0,0
OPN_MV,D,20080123,000000,86.6645,86.6645,82.3068,82.3068,0,0
OPN_MV,D,20080124,000000,83.791,95.5572,83.3694,95.5572,0,0
OPN_MV,D,20080125,000000,95.3751,95.4805,92.4087,94.5224,0,0
OPN_MV,D,20080128,000000,93.9944,93.9944,93.9944,93.9944,0,0
OPN_MV,D,20080129,000000,96.1033,96.6495,93.9944,95.5572,0,0
OPN_MV,D,20080130,000000,95.5572,97.3873,95.5572,96.8699,0,0
OPN_MV,D,20080131,000000,96.7645,100.904,94.5224,100.904,0,0
OPN_MV,D,20080201,000000,100.808,105.992,99.1886,104.066,0,0
OPN_MV,D,20080204,000000,101.948,106.087,101.948,106.087,0,0
OPN_MV,D,20080205,000000,106.087,126.276,106.087,111.511,0,0
OPN_MV,D,20080206,000000,108.741,115.544,106.202,113.954,0,0
OPN_MV,D,20080207,000000,113.954,113.954,106.202,111.424,0,0
OPN_MV,D,20080208,000000,113.417,113.417,109.393,113.111,0,0
OPN_MV,D,20080211,000000,113.532,117.882,113.111,116.723,0,0
OPN_MV,D,20080212,000000,117.355,117.882,113.628,117.882,0,0
OPN_MV,D,20080213,000000,117.882,117.882,115.985,116.723,0,0
OPN_MV,D,20080214,000000,117.882,121.274,116.723,121.083,0,0
OPN_MV,D,20080215,000000,122.347,122.347,118.936,120.431,0,0
OPN_MV,D,20080218,000000,120.326,121.6,117.461,121.6,0,0
OPN_MV,D,20080219,000000,121.715,124.273,121.485,124.273,0,0
OPN_MV,D,20080220,000000,122.759,122.759,120.009,122.012,0,0
OPN_MV,D,20080221,000000,122.012,122.012,120.536,120.536,0,0
OPN_MV,D,20080222,000000,120.536,120.536,117.557,120.431,0,0
OPN_MV,D,20080225,000000,118.428,121.916,118.428,120.536,0,0
OPN_MV,D,20080226,000000,120.862,125.318,120.862,124.053,0,0
OPN_MV,D,20080227,000000,122.127,127.358,122.127,126.161,0,0
OPN_MV,D,20080228,000000,125.318,126.697,124.149,126.697,0,0
OPN_MV,D,20080229,000000,126.487,126.487,123.191,126.161,0,0
OPN_MV,D,20080303,000000,126.487,131.469,123.191,131.469,0,0
OPN_MV,D,20080304,000000,131.68,148.687,131.469,143.379,0,0
OPN_MV,D,20080305,000000,143.379,168.741,143.379,155.806,0,0
OPN_MV,D,20080306,000000,164.487,164.487,149.53,151.859,0,0
OPN_MV,D,20080307,000000,148.783,151.236,146.56,151.236,0,0
OPN_MV,D,20080310,000000,153.459,162.485,153.459,161.852,0,0
OPN_MV,D,20080311,000000,152.175,166.212,152.175,161.967,0,0
OPN_MV,D,20080312,000000,164.602,164.602,157.397,162.906,0,0
OPN_MV,D,20080313,000000,159.313,162.906,155.049,162.389,0,0
OPN_MV,D,20080314,000000,161.967,164.602,161.967,163.567,0,0
OPN_MV,D,20080317,000000,163.567,169.92,160.357,169.92,0,0
OPN_MV,D,20080318,000000,169.92,184.8,169.92,180.546,0,0
OPN_MV,D,20080319,000000,184.465,185.854,182.663,184.8,0,0
OPN_MV,D,20080320,000000,183.717,201.779,183.717,199.671,0,0
OPN_MV,D,20080325,000000,199.671,199.671,173.111,176.407,0,0
OPN_MV,D,20080326,000000,175.774,175.774,160.779,160.779,0,0
OPN_MV,D,20080327,000000,162.485,175.228,160.779,173.532,0,0
OPN_MV,D,20080328,000000,177.029,186.908,169.719,181.063,0,0
OPN_MV,D,20080331,000000,179.789,179.789,179.789,179.789,0,0
OPN_MV,D,20080401,000000,180.019,180.019,175.774,177.346,0,0
OPN_MV,D,20080402,000000,178.428,178.428,171.616,177.346,0,0
OPN_MV,D,20080403,000000,173.743,173.743,167.266,172.478,0,0
OPN_MV,D,20080404,000000,169.077,171.932,162.705,171.52,0,0
OPN_MV,D,20080407,000000,171.52,177.892,171.52,176.301,0,0
OPN_MV,D,20080408,000000,176.301,176.301,173.226,175.774,0,0
OPN_MV,D,20080409,000000,174.174,176.301,171.079,176.301,0,0
OPN_MV,D,20080410,000000,176.301,176.301,172.785,176.177,0,0
OPN_MV,D,20080411,000000,176.522,176.723,172.267,174.5,0,0
OPN_MV,D,20080414,000000,171.932,171.932,166.854,168.626,0,0
OPN_MV,D,20080415,000000,167.908,169.92,164.602,169.834,0,0
OPN_MV,D,20080416,000000,169.834,169.834,164.602,165.139,0,0
OPN_MV,D,20080417,000000,168.004,168.004,162.485,166.212,0,0
OPN_MV,D,20080418,000000,166.729,166.729,160.357,163.443,0,0
OPN_MV,D,20080421,000000,169.92,169.92,153.986,154.628,0,0
OPN_MV,D,20080422,000000,154.733,154.733,140.514,140.514,0,0
OPN_MV,D,20080423,000000,143.379,153.459,143.379,153.353,0,0
OPN_MV,D,20080424,000000,155.806,155.806,151.945,154.532,0,0
OPN_MV,D,20080425,000000,157.713,167.697,157.713,161.641,0,0
OPN_MV,D,20080428,000000,165.675,165.675,160.884,163.567,0,0
OPN_MV,D,20080429,000000,162.485,165.139,159.514,163.979,0,0
OPN_MV,D,20080430,000000,161.44,167.582,161.44,166.518,0,0
OPN_MV,D,20080505,000000,166.95,166.95,162.705,164.286,0,0
OPN_MV,D,20080506,000000,161.526,163.567,158.23,162.81,0,0
OPN_MV,D,20080507,000000,159.744,164.19,159.744,164.094,0,0
OPN_MV,D,20080508,000000,163.979,163.979,158.345,161.316,0,0
