<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPN_PB,D,20071114,000000,9.06945,9.06945,9.06945,9.06945,0,0
OPN_PB,D,20071115,000000,9.55093,9.55093,8.47913,8.7752,0,0
OPN_PB,D,20071116,000000,9.25582,9.27402,8.60695,9.27402,0,0
OPN_PB,D,20071119,000000,9.39092,9.39092,8.7752,8.7752,0,0
OPN_PB,D,20071120,000000,8.96099,8.96099,8.96099,8.96099,0,0
OPN_PB,D,20071121,000000,8.88587,8.88587,8.53011,8.58108,0,0
OPN_PB,D,20071122,000000,8.75796,8.87658,8.47913,8.87658,0,0
OPN_PB,D,20071123,000000,8.87658,9.06198,8.7752,9.06198,0,0
OPN_PB,D,20071126,000000,9.22132,9.22132,8.87658,9.05364,0,0
OPN_PB,D,20071127,000000,9.22132,9.22132,8.7752,8.97019,0,0
OPN_PB,D,20071128,000000,8.7752,9.05364,8.7752,8.87658,0,0
OPN_PB,D,20071129,000000,8.87658,8.87658,8.87658,8.87658,0,0
OPN_PB,D,20071130,000000,9.05364,9.618,9.05364,9.618,0,0
OPN_PB,D,20071203,000000,9.56722,9.56722,9.36409,9.56722,0,0
OPN_PB,D,20071204,000000,9.55093,9.55093,9.54326,9.54326,0,0
OPN_PB,D,20071205,000000,9.65249,10.2581,9.53464,9.86329,0,0
OPN_PB,D,20071206,000000,9.82879,9.86329,9.76172,9.86329,0,0
OPN_PB,D,20071207,000000,9.85371,9.86329,9.67741,9.86329,0,0
OPN_PB,D,20071210,000000,9.86329,9.86329,9.56722,9.81251,0,0
OPN_PB,D,20071211,000000,9.80388,9.80388,9.79526,9.79526,0,0
OPN_PB,D,20071212,000000,9.59213,9.59213,9.07865,9.40816,0,0
OPN_PB,D,20071213,000000,9.44936,9.44936,8.87658,9.11209,0,0
OPN_PB,D,20071214,000000,8.87658,8.87658,8.48795,8.69893,0,0
OPN_PB,D,20071217,000000,8.69893,8.69893,8.20184,8.45614,0,0
OPN_PB,D,20071218,000000,8.26977,8.26977,7.93231,8.01644,0,0
OPN_PB,D,20071219,000000,8.01644,8.08399,7.45179,8.08399,0,0
OPN_PB,D,20071220,000000,8.22733,8.45614,8.22733,8.45614,0,0
OPN_PB,D,20071221,000000,8.42183,8.42183,8.29478,8.37958,0,0
OPN_PB,D,20071227,000000,8.37958,8.37958,8.37958,8.37958,0,0
OPN_PB,D,20071228,000000,8.26096,8.37958,8.26096,8.37958,0,0
OPN_PB,D,20080102,000000,8.37958,8.67431,8.37958,8.58108,0,0
OPN_PB,D,20080103,000000,8.40497,8.58108,8.28597,8.58108,0,0
OPN_PB,D,20080104,000000,8.58108,8.58108,8.28597,8.28597,0,0
OPN_PB,D,20080107,000000,8.28597,8.33646,7.69632,8.26977,0,0
OPN_PB,D,20080108,000000,8.25243,8.43055,8.25243,8.43055,0,0
OPN_PB,D,20080109,000000,8.09242,8.37958,8.09242,8.36166,0,0
OPN_PB,D,20080110,000000,8.28597,8.28597,7.99967,8.26096,0,0
OPN_PB,D,20080111,000000,8.23557,8.58108,8.23557,8.58108,0,0
OPN_PB,D,20080114,000000,8.12615,8.12615,8.12615,8.12615,0,0
OPN_PB,D,20080115,000000,7.90702,8.10938,7.89006,8.10938,0,0
OPN_PB,D,20080116,000000,8.08399,8.08399,7.40111,7.54454,0,0
OPN_PB,D,20080117,000000,7.87329,7.87329,7.56141,7.78044,0,0
OPN_PB,D,20080118,000000,7.73838,7.73838,7.40111,7.5867,0,0
OPN_PB,D,20080121,000000,7.43512,7.73838,7.40111,7.45179,0,0
OPN_PB,D,20080122,000000,7.57818,7.81427,7.4265,7.68779,0,0
