<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OTS_MV,D,20130830,000000,234.699,234.699,234.699,234.699,0,0
OTS_MV,D,20130902,000000,234.647,234.647,234.647,234.647,0,0
OTS_MV,D,20130903,000000,234.647,241.369,230.145,231.852,0,0
OTS_MV,D,20130904,000000,232.418,232.418,232.418,232.418,0,0
OTS_MV,D,20130905,000000,232.418,232.94,232.366,232.366,0,0
OTS_MV,D,20130906,000000,232.94,232.94,232.94,232.94,0,0
OTS_MV,D,20130909,000000,233.506,235.787,233.506,233.506,0,0
OTS_MV,D,20130910,000000,233.506,233.506,233.506,233.506,0,0
OTS_MV,D,20130911,000000,232.418,232.418,232.418,232.418,0,0
OTS_MV,D,20130912,000000,233.506,233.506,232.418,232.418,0,0
OTS_MV,D,20130913,000000,232.366,235.787,232.366,235.787,0,0
OTS_MV,D,20130916,000000,235.787,238.06,235.787,238.06,0,0
OTS_MV,D,20130917,000000,238.06,240.35,237.607,239.209,0,0
OTS_MV,D,20130918,000000,233.506,246.036,233.506,244.904,0,0
OTS_MV,D,20130919,000000,243.754,248.317,243.754,248.317,0,0
OTS_MV,D,20130920,000000,246.036,247.751,246.036,247.751,0,0
OTS_MV,D,20130923,000000,247.751,251.73,247.751,250.598,0,0
OTS_MV,D,20130924,000000,250.598,250.598,250.598,250.598,0,0
OTS_MV,D,20130926,000000,250.816,250.816,249.449,249.449,0,0
OTS_MV,D,20130927,000000,249.449,249.449,249.449,249.449,0,0
OTS_MV,D,20130930,000000,250.598,250.598,250.598,250.598,0,0
OTS_MV,D,20131002,000000,250.598,252.871,250.598,252.871,0,0
OTS_MV,D,20131003,000000,252.871,252.871,252.871,252.871,0,0
OTS_MV,D,20131004,000000,252.871,252.871,252.871,252.871,0,0
OTS_MV,D,20131011,000000,247.168,252.871,247.168,252.871,0,0
OTS_MV,D,20131014,000000,252.644,256.284,252.644,256.284,0,0
OTS_MV,D,20131015,000000,257.529,263.128,257.529,263.128,0,0
OTS_MV,D,20131016,000000,263.128,273.367,263.128,271.095,0,0
OTS_MV,D,20131017,000000,273.367,273.367,267.673,267.673,0,0
OTS_MV,D,20131021,000000,271.095,271.095,271.095,271.095,0,0
OTS_MV,D,20131022,000000,267.621,267.621,267.621,267.621,0,0
OTS_MV,D,20131025,000000,271.095,271.095,271.095,271.095,0,0
OTS_MV,D,20131028,000000,271.095,271.095,259.767,259.767,0,0
OTS_MV,D,20131029,000000,258.165,267.621,258.165,267.621,0,0
OTS_MV,D,20131030,000000,271.669,285.74,271.669,285.74,0,0
OTS_MV,D,20131031,000000,296.154,320.072,296.154,318.992,0,0
OTS_MV,D,20131104,000000,307.542,323.494,307.542,321.213,0,0
OTS_MV,D,20131105,000000,318.94,318.94,318.94,318.94,0,0
OTS_MV,D,20131106,000000,318.94,330.32,318.94,330.32,0,0
OTS_MV,D,20131107,000000,330.564,339.445,313.246,313.246,0,0
OTS_MV,D,20131108,000000,316.65,318.94,313.246,318.94,0,0
OTS_MV,D,20131112,000000,314.377,318.94,314.377,318.94,0,0
OTS_MV,D,20131113,000000,318.94,336.023,315.518,336.023,0,0
OTS_MV,D,20131114,000000,336.023,339.445,308.683,320.072,0,0
OTS_MV,D,20131115,000000,324.634,324.634,313.246,313.246,0,0
OTS_MV,D,20131118,000000,302.701,305.845,275.709,300.716,0,0
OTS_MV,D,20131119,000000,300.716,318.94,300.716,318.94,0,0
