<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OTS_PB,D,20130830,000000,1.14089,1.14089,1.14089,1.14089,0,0
OTS_PB,D,20130902,000000,1.14089,1.14089,1.14089,1.14089,0,0
OTS_PB,D,20130903,000000,1.14089,1.17284,1.11694,1.12495,0,0
OTS_PB,D,20130904,000000,1.13288,1.13288,1.13288,1.13288,0,0
OTS_PB,D,20130905,000000,1.13288,1.13288,1.13288,1.13288,0,0
OTS_PB,D,20130906,000000,1.13288,1.13288,1.13288,1.13288,0,0
OTS_PB,D,20130909,000000,1.13288,1.1489,1.13288,1.13288,0,0
OTS_PB,D,20130910,000000,1.13288,1.13288,1.13288,1.13288,0,0
OTS_PB,D,20130911,000000,1.13288,1.13288,1.13288,1.13288,0,0
OTS_PB,D,20130912,000000,1.13288,1.13288,1.13288,1.13288,0,0
OTS_PB,D,20130913,000000,1.13288,1.1489,1.13288,1.1489,0,0
OTS_PB,D,20130916,000000,1.1489,1.15682,1.1489,1.15682,0,0
OTS_PB,D,20130917,000000,1.15682,1.17284,1.15682,1.16492,0,0
OTS_PB,D,20130918,000000,1.13288,1.19679,1.13288,1.18886,0,0
OTS_PB,D,20130919,000000,1.18886,1.21281,1.18886,1.21281,0,0
OTS_PB,D,20130920,000000,1.19679,1.20471,1.19679,1.20471,0,0
OTS_PB,D,20130923,000000,1.20471,1.22865,1.20471,1.22064,0,0
OTS_PB,D,20130924,000000,1.22064,1.22064,1.22064,1.22064,0,0
OTS_PB,D,20130926,000000,1.22064,1.22064,1.21281,1.21281,0,0
OTS_PB,D,20130927,000000,1.21281,1.21281,1.21281,1.21281,0,0
OTS_PB,D,20130930,000000,1.22064,1.22064,1.22064,1.22064,0,0
OTS_PB,D,20131002,000000,1.22064,1.22865,1.22064,1.22865,0,0
OTS_PB,D,20131003,000000,1.22865,1.22865,1.22865,1.22865,0,0
OTS_PB,D,20131004,000000,1.22865,1.22865,1.22865,1.22865,0,0
OTS_PB,D,20131011,000000,1.20471,1.22865,1.20471,1.22865,0,0
OTS_PB,D,20131014,000000,1.22865,1.24459,1.22865,1.24459,0,0
OTS_PB,D,20131015,000000,1.2526,1.28455,1.2526,1.28455,0,0
OTS_PB,D,20131016,000000,1.28455,1.33244,1.28455,1.31651,0,0
OTS_PB,D,20131017,000000,1.33244,1.33244,1.30049,1.30049,0,0
OTS_PB,D,20131021,000000,1.31651,1.31651,1.31651,1.31651,0,0
OTS_PB,D,20131022,000000,1.30049,1.30049,1.30049,1.30049,0,0
OTS_PB,D,20131025,000000,1.31651,1.31651,1.31651,1.31651,0,0
OTS_PB,D,20131028,000000,1.31651,1.31651,1.26061,1.26061,0,0
OTS_PB,D,20131029,000000,1.26061,1.30049,1.26061,1.30049,0,0
OTS_PB,D,20131030,000000,1.32435,1.38826,1.32435,1.38826,0,0
OTS_PB,D,20131031,000000,1.44407,1.55578,1.44407,1.55578,0,0
OTS_PB,D,20131104,000000,1.50005,1.57171,1.50005,1.56379,0,0
OTS_PB,D,20131105,000000,1.55578,1.55578,1.55578,1.55578,0,0
OTS_PB,D,20131106,000000,1.55578,1.61168,1.55578,1.61168,0,0
OTS_PB,D,20131107,000000,1.61168,1.65156,1.524,1.524,0,0
OTS_PB,D,20131108,000000,1.53976,1.55578,1.524,1.55578,0,0
OTS_PB,D,20131112,000000,1.53183,1.55578,1.53183,1.55578,0,0
OTS_PB,D,20131113,000000,1.55578,1.63562,1.53976,1.63562,0,0
OTS_PB,D,20131114,000000,1.63562,1.65156,1.50005,1.55578,0,0
OTS_PB,D,20131115,000000,1.57972,1.57972,1.524,1.524,0,0
OTS_PB,D,20131118,000000,1.47602,1.49196,1.34037,1.46009,0,0
OTS_PB,D,20131119,000000,1.46009,1.55578,1.46009,1.55578,0,0
OTS_PB,D,20131120,000000,1.55578,1.57171,1.55578,1.57171,0,0
OTS_PB,D,20131121,000000,1.53183,1.53183,1.53183,1.53183,0,0
OTS_PB,D,20131126,000000,1.56379,1.56379,1.56379,1.56379,0,0
OTS_PB,D,20131127,000000,1.53183,1.53183,1.35639,1.35639,0,0
OTS_PB,D,20131128,000000,1.35639,1.35639,1.34829,1.34829,0,0
OTS_PB,D,20131129,000000,1.38033,1.39627,1.38033,1.39627,0,0
OTS_PB,D,20131203,000000,1.35639,1.35639,1.35639,1.35639,0,0
OTS_PB,D,20131205,000000,1.33244,1.33244,1.33244,1.33244,0,0
OTS_PB,D,20131209,000000,1.26853,1.27654,1.26853,1.27654,0,0
OTS_PB,D,20131210,000000,1.27654,1.27654,1.27654,1.27654,0,0
OTS_PB,D,20131211,000000,1.27654,1.27654,1.2526,1.26061,0,0
OTS_PB,D,20131216,000000,1.18077,1.30049,1.18077,1.30049,0,0
OTS_PB,D,20131217,000000,1.30049,1.30049,1.30049,1.30049,0,0
OTS_PB,D,20131223,000000,1.3085,1.37223,1.30049,1.37223,0,0
OTS_PB,D,20131227,000000,1.37223,1.39627,1.37223,1.39627,0,0
OTS_PB,D,20131230,000000,1.39627,1.45208,1.39627,1.42813,0,0
OTS_PB,D,20140107,000000,1.40428,1.40428,1.39627,1.39627,0,0
OTS_PB,D,20140108,000000,1.39627,1.39627,1.39627,1.39627,0,0
OTS_PB,D,20140109,000000,1.34037,1.34037,1.34037,1.34037,0,0
OTS_PB,D,20140113,000000,1.28455,1.28455,1.28455,1.28455,0,0
OTS_PB,D,20140120,000000,1.30049,1.37223,1.30049,1.37223,0,0
OTS_PB,D,20140121,000000,1.37223,1.42813,1.37223,1.42813,0,0
OTS_PB,D,20140122,000000,1.43606,1.43606,1.42813,1.43606,0,0
OTS_PB,D,20140130,000000,1.39627,1.45208,1.37223,1.45208,0,0
OTS_PB,D,20140131,000000,1.46009,1.46009,1.39627,1.45208,0,0
OTS_PB,D,20140204,000000,1.42813,1.42813,1.42813,1.42813,0,0
OTS_PB,D,20140207,000000,1.38033,1.38033,1.38033,1.38033,0,0
OTS_PB,D,20140217,000000,1.34037,1.34037,1.34037,1.34037,0,0
OTS_PB,D,20140218,000000,1.34037,1.34037,1.34037,1.34037,0,0
OTS_PB,D,20140220,000000,1.33244,1.33244,1.33244,1.33244,0,0
