<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCO_MV,D,20210526,000000,25875,25875,25875,25875,0,0
PCO_MV,D,20210527,000000,25875,25875,25300,25300,0,0
PCO_MV,D,20210528,000000,25633.5,25679.5,25170.63,25670.88,0,0
PCO_MV,D,20210531,000000,25670.88,25670.88,25193.63,25300,0,0
PCO_MV,D,20210601,000000,25294.25,25406.38,25185,25300,0,0
PCO_MV,D,20210602,000000,25300,25354.63,25018.25,25147.63,0,0
PCO_MV,D,20210604,000000,25156.25,25285.63,25049.88,25210.88,0,0
PCO_MV,D,20210607,000000,25205.13,25380.5,25193.63,25242.5,0,0
PCO_MV,D,20210608,000000,25300,25386.25,25242.5,25242.5,0,0
PCO_MV,D,20210609,000000,25242.5,25386.25,25196.5,25245.38,0,0
PCO_MV,D,20210610,000000,25300,25300,25029.75,25124.63,0,0
PCO_MV,D,20210611,000000,25070,25205.13,25018.25,25070,0,0
PCO_MV,D,20210614,000000,25041.25,25164.88,24497.88,24840,0,0
PCO_MV,D,20210615,000000,24955,24955,24451.88,24638.75,0,0
PCO_MV,D,20210616,000000,24725,25009.63,24397.25,25009.63,0,0
PCO_MV,D,20210617,000000,24897.5,25179.25,24509.38,25179.25,0,0
PCO_MV,D,20210618,000000,25139,25297.13,24874.5,25297.13,0,0
PCO_MV,D,20210621,000000,25288.5,25463.88,25159.13,25323,0,0
PCO_MV,D,20210622,000000,25300,26268.88,25300,26191.25,0,0
PCO_MV,D,20210623,000000,26231.5,26996.25,26116.5,26996.25,0,0
PCO_MV,D,20210624,000000,26996.25,29451.5,26743.25,28502.75,0,0
PCO_MV,D,20210625,000000,28002.5,29394,28002.5,29037.5,0,0
PCO_MV,D,20210628,000000,29083.5,29813.75,29083.5,29497.5,0,0
PCO_MV,D,20210629,000000,29497.5,29854,29210,29325,0,0
PCO_MV,D,20210630,000000,29100.75,29279,28175,28175,0,0
PCO_MV,D,20210701,000000,28175,28997.25,28060,28928.25,0,0
PCO_MV,D,20210702,000000,29037.5,29704.5,28882.25,29555,0,0
PCO_MV,D,20210705,000000,29785,30342.75,29555,29831,0,0
PCO_MV,D,20210706,000000,29900,30383,29681.5,29681.5,0,0
PCO_MV,D,20210707,000000,29733.25,30371.5,29727.5,30187.5,0,0
PCO_MV,D,20210708,000000,30360,30360,29641.25,29900,0,0
PCO_MV,D,20210709,000000,30015,30015,29583.75,29779.25,0,0
PCO_MV,D,20210712,000000,29894.25,30101.25,29762,30032.25,0,0
PCO_MV,D,20210713,000000,30038,30613,30032.25,30549.75,0,0
PCO_MV,D,20210714,000000,30618.75,30952.25,29779.25,29900,0,0
PCO_MV,D,20210715,000000,30469.25,30469.25,29733.25,29900,0,0
PCO_MV,D,20210716,000000,29900,30659,29900,30417.5,0,0
PCO_MV,D,20210719,000000,30417.5,30475,29244.5,30475,0,0
PCO_MV,D,20210720,000000,30245,30739.5,30153,30498,0,0
PCO_MV,D,20210721,000000,30498,31032.75,30498,30906.25,0,0
PCO_MV,D,20210722,000000,30762.5,31561.75,30762.5,31372,0,0
PCO_MV,D,20210723,000000,31613.5,31613.5,31107.5,31239.75,0,0
