<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCX_PE,D,20120920,000000,48.0461,48.0461,48.0461,48.0461,0,0
PCX_PE,D,20120921,000000,48.0461,48.0461,45.9546,48.0461,0,0
PCX_PE,D,20120924,000000,48.2561,48.5333,48.2561,48.5333,0,0
PCX_PE,D,20120925,000000,48.4632,48.4632,48.0461,48.0461,0,0
PCX_PE,D,20120926,000000,47.559,49.1604,47.559,49.1604,0,0
PCX_PE,D,20120927,000000,49.1604,49.1604,48.6752,48.9523,0,0
PCX_PE,D,20120928,000000,48.9523,50.1366,48.9523,50.1366,0,0
PCX_PE,D,20121001,000000,50.0686,50.1366,49.8585,50.1366,0,0
PCX_PE,D,20121002,000000,50.2767,50.3467,48.4632,50.3467,0,0
PCX_PE,D,20121003,000000,50.2767,51.4639,50.2767,51.0458,0,0
PCX_PE,D,20121004,000000,51.4639,51.4639,51.0458,51.4639,0,0
PCX_PE,D,20121005,000000,51.4639,51.671,51.1838,51.4639,0,0
PCX_PE,D,20121008,000000,51.4639,52.6492,50.2767,52.6492,0,0
PCX_PE,D,20121009,000000,52.5801,52.6492,52.5801,52.6492,0,0
PCX_PE,D,20121010,000000,52.5801,52.5801,51.4639,51.4639,0,0
PCX_PE,D,20121011,000000,51.882,53.2763,51.4639,53.0673,0,0
PCX_PE,D,20121012,000000,53.2763,61.7833,52.7882,61.7833,0,0
PCX_PE,D,20121015,000000,62.8995,62.8995,61.7133,62.8995,0,0
PCX_PE,D,20121016,000000,62.8995,66.3163,62.8995,66.3163,0,0
PCX_PE,D,20121017,000000,68.6159,74.3362,68.6159,74.133,0,0
PCX_PE,D,20121018,000000,74.061,77.8142,73.1538,77.8142,0,0
PCX_PE,D,20121019,000000,77.7607,77.7607,74.7533,74.8253,0,0
PCX_PE,D,20121022,000000,72.7347,82.3492,72.7347,82.3492,0,0
PCX_PE,D,20121023,000000,82.285,85.0698,74.5433,82.3492,0,0
PCX_PE,D,20121024,000000,81.2427,86.4719,81.2427,86.4719,0,0
PCX_PE,D,20121025,000000,86.8861,87.5823,86.68,87.3781,0,0
PCX_PE,D,20121026,000000,87.9956,90.8688,87.8118,90.8688,0,0
PCX_PE,D,20121029,000000,90.7803,92.1863,90.5168,92.1863,0,0
PCX_PE,D,20121030,000000,92.6015,94.2885,92.6015,94.2885,0,0
PCX_PE,D,20121031,000000,94.2049,97.7005,94.0007,97.7005,0,0
PCX_PE,D,20121102,000000,97.6227,99.1006,97.399,99.1006,0,0
PCX_PE,D,20121105,000000,99.0326,101.813,99.0326,101.813,0,0
PCX_PE,D,20121106,000000,101.745,102.65,100.831,102.514,0,0
PCX_PE,D,20121107,000000,102.436,102.436,93.7975,93.7975,0,0
PCX_PE,D,20121108,000000,93.3065,101.6,78.8663,101.6,0,0
PCX_PE,D,20121109,000000,101.531,101.531,94.9099,96.0864,0,0
PCX_PE,D,20121112,000000,91.7031,93.7139,91.2111,91.4921,0,0
PCX_PE,D,20121113,000000,90.3058,91.2908,87.102,91.2908,0,0
PCX_PE,D,20121114,000000,91.2111,92.1863,91.2111,92.1863,0,0
PCX_PE,D,20121115,000000,91.7031,92.4071,91.7031,92.1863,0,0
PCX_PE,D,20121116,000000,92.1241,93.5748,92.1241,93.5748,0,0
PCX_PE,D,20121119,000000,93.3065,93.5009,91.2111,93.0926,0,0
PCX_PE,D,20121120,000000,93.0187,93.0926,89.1906,92.6667,0,0
PCX_PE,D,20121121,000000,91.4221,92.4625,86.8861,92.4625,0,0
PCX_PE,D,20121122,000000,91.4221,91.4221,82.285,86.0577,0,0
PCX_PE,D,20121123,000000,87.9956,87.9956,82.7731,85.7777,0,0
PCX_PE,D,20121126,000000,84.3863,85.7777,81.8689,83.2622,0,0
PCX_PE,D,20121127,000000,83.1874,83.1874,70.0151,70.0151,0,0
PCX_PE,D,20121128,000000,71.3385,71.3385,60.319,71.1955,0,0
