<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKN_PE,D,20070813,000000,8.10865,8.10865,8.10865,8.10865,0,0
PKN_PE,D,20070814,000000,7.04049,7.04049,7.04049,7.04049,0,0
PKN_PE,D,20070816,000000,6.72442,6.72442,6.72442,6.72442,0,0
PKN_PE,D,20070817,000000,6.72442,6.72442,6.72442,6.72442,0,0
PKN_PE,D,20070820,000000,6.97494,6.97494,6.97494,6.97494,0,0
PKN_PE,D,20070821,000000,6.91571,6.91571,6.91571,6.91571,0,0
PKN_PE,D,20070822,000000,7.29215,7.29215,7.29215,7.29215,0,0
PKN_PE,D,20070823,000000,7.29215,7.29215,7.29215,7.29215,0,0
PKN_PE,D,20070824,000000,7.54144,7.54144,7.54144,7.54144,0,0
PKN_PE,D,20070827,000000,7.3563,7.3563,7.3563,7.3563,0,0
PKN_PE,D,20070828,000000,7.16605,7.16605,7.16605,7.16605,0,0
PKN_PE,D,20070829,000000,7.66666,7.66666,7.66666,7.66666,0,0
PKN_PE,D,20070830,000000,7.92315,7.92315,7.92315,7.92315,0,0
PKN_PE,D,20070831,000000,8.10865,8.10865,8.10865,8.10865,0,0
PKN_PE,D,20070903,000000,8.30021,8.30021,8.30021,8.30021,0,0
PKN_PE,D,20070904,000000,8.23325,8.23325,8.23325,8.23325,0,0
PKN_PE,D,20070905,000000,8.04925,8.04925,8.04925,8.04925,0,0
PKN_PE,D,20070906,000000,7.98238,7.98238,7.98238,7.98238,0,0
PKN_PE,D,20070907,000000,7.92315,7.92315,7.92315,7.92315,0,0
PKN_PE,D,20070910,000000,7.73247,7.73247,7.73247,7.73247,0,0
PKN_PE,D,20070911,000000,7.79196,7.79196,7.79196,7.79196,0,0
PKN_PE,D,20070912,000000,7.92315,7.92315,7.92315,7.92315,0,0
PKN_PE,D,20070913,000000,8.10865,8.10865,8.10865,8.10865,0,0
PKN_PE,D,20070914,000000,7.98238,7.98238,7.98238,7.98238,0,0
PKN_PE,D,20070917,000000,7.79196,7.79196,7.79196,7.79196,0,0
PKN_PE,D,20070918,000000,7.92315,7.92315,7.92315,7.92315,0,0
PKN_PE,D,20070919,000000,8.30021,8.30021,8.30021,8.30021,0,0
PKN_PE,D,20070920,000000,8.30021,8.30021,8.30021,8.30021,0,0
PKN_PE,D,20070921,000000,8.30021,8.30021,8.30021,8.30021,0,0
PKN_PE,D,20070924,000000,8.10865,8.10865,8.10865,8.10865,0,0
PKN_PE,D,20070925,000000,8.10865,8.10865,8.10865,8.10865,0,0
PKN_PE,D,20070926,000000,8.30021,8.30021,8.30021,8.30021,0,0
PKN_PE,D,20070927,000000,7.98238,7.98238,7.98238,7.98238,0,0
PKN_PE,D,20070928,000000,7.85654,7.85654,7.85654,7.85654,0,0
PKN_PE,D,20071001,000000,7.79196,7.79196,7.79196,7.79196,0,0
PKN_PE,D,20071002,000000,8.04925,8.04925,8.04925,8.04925,0,0
PKN_PE,D,20071003,000000,7.92315,7.92315,7.92315,7.92315,0,0
PKN_PE,D,20071004,000000,7.92315,7.92315,7.92315,7.92315,0,0
PKN_PE,D,20071005,000000,7.85654,7.85654,7.85654,7.85654,0,0
PKN_PE,D,20071008,000000,7.85654,7.85654,7.85654,7.85654,0,0
PKN_PE,D,20071009,000000,7.98238,7.98238,7.98238,7.98238,0,0
PKN_PE,D,20071010,000000,7.79196,7.79196,7.79196,7.79196,0,0
PKN_PE,D,20071011,000000,7.98238,7.98238,7.98238,7.98238,0,0
PKN_PE,D,20071012,000000,7.92315,7.92315,7.92315,7.92315,0,0
PKN_PE,D,20071015,000000,7.92315,7.92315,7.92315,7.92315,0,0
PKN_PE,D,20071016,000000,7.92315,7.92315,7.92315,7.92315,0,0
PKN_PE,D,20071017,000000,8.04925,8.04925,8.04925,8.04925,0,0
PKN_PE,D,20071018,000000,7.98238,7.98238,7.98238,7.98238,0,0
PKN_PE,D,20071019,000000,7.92315,7.92315,7.92315,7.92315,0,0
PKN_PE,D,20071022,000000,7.79196,7.79196,7.79196,7.79196,0,0
PKN_PE,D,20071023,000000,8.04925,8.04925,8.04925,8.04925,0,0
PKN_PE,D,20071024,000000,7.98238,7.98238,7.98238,7.98238,0,0
PKN_PE,D,20071025,000000,8.04925,8.04925,8.04925,8.04925,0,0
PKN_PE,D,20071026,000000,8.10865,8.10865,8.10865,8.10865,0,0
PKN_PE,D,20071029,000000,8.30021,8.30021,8.30021,8.30021,0,0
PKN_PE,D,20071030,000000,8.23325,8.23325,8.23325,8.23325,0,0
PKN_PE,D,20071031,000000,8.17394,8.17394,8.17394,8.17394,0,0
PKN_PE,D,20071102,000000,7.98238,7.98238,7.98238,7.98238,0,0
PKN_PE,D,20071105,000000,7.92315,7.92315,7.92315,7.92315,0,0
PKN_PE,D,20071106,000000,7.79196,7.79196,7.79196,7.79196,0,0
PKN_PE,D,20071107,000000,7.48169,7.48169,7.48169,7.48169,0,0
PKN_PE,D,20071108,000000,7.2324,7.2324,7.2324,7.2324,0,0
PKN_PE,D,20071109,000000,7.29215,7.29215,6.91571,6.97494,0,0
PKN_PE,D,20071112,000000,6.97494,7.10059,6.91571,6.97494,0,0
PKN_PE,D,20071113,000000,7.10059,7.3563,7.10059,7.2324,0,0
PKN_PE,D,20071114,000000,7.3563,7.48169,7.2324,7.2324,0,0
PKN_PE,D,20071115,000000,7.2324,9.17285,7.10059,9.17285,0,0
PKN_PE,D,20071116,000000,9.05159,9.36622,9.05159,9.11574,0,0
PKN_PE,D,20071119,000000,9.24144,9.36622,9.11574,9.24144,0,0
PKN_PE,D,20071120,000000,9.36622,9.36622,9.36622,9.36622,0,0
PKN_PE,D,20071121,000000,9.17285,9.55684,9.17285,9.55684,0,0
PKN_PE,D,20071122,000000,9.43123,9.55684,9.36622,9.36622,0,0
PKN_PE,D,20071123,000000,9.43123,9.55684,9.36622,9.43123,0,0
PKN_PE,D,20071126,000000,9.6166,9.6166,9.17285,9.17285,0,0
PKN_PE,D,20071127,000000,9.24144,9.24144,8.99096,8.99096,0,0
PKN_PE,D,20071128,000000,9.11574,9.11574,8.99096,9.05159,0,0
PKN_PE,D,20071129,000000,9.24144,9.24144,9.05159,9.05159,0,0
PKN_PE,D,20071130,000000,9.24144,9.4909,9.24144,9.4909,0,0
