<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTG_PB,D,20211124,000000,17,17,17,17,0,0
PTG_PB,D,20211125,000000,17.02,17.4,16.37,16.61,0,0
PTG_PB,D,20211126,000000,16.34,16.61,16.07,16.61,0,0
PTG_PB,D,20211129,000000,16.61,16.61,16.07,16.47,0,0
PTG_PB,D,20211130,000000,16.45,16.47,16.07,16.07,0,0
PTG_PB,D,20211201,000000,15.93,16.21,15.93,16.21,0,0
PTG_PB,D,20211202,000000,16.31,16.43,15.2,16.43,0,0
PTG_PB,D,20211203,000000,16.4,16.43,16.2,16.2,0,0
PTG_PB,D,20211206,000000,17.08,17.38,16.49,16.49,0,0
PTG_PB,D,20211207,000000,16.49,16.49,15.9,16.35,0,0
PTG_PB,D,20211208,000000,16.64,16.64,16.64,16.64,0,0
PTG_PB,D,20211209,000000,16.64,17.36,15.9,16.2,0,0
PTG_PB,D,20211210,000000,16.79,17.11,16.79,16.79,0,0
PTG_PB,D,20211213,000000,17.65,17.67,17.08,17.08,0,0
PTG_PB,D,20211214,000000,17.64,19.11,17.64,19,0,0
PTG_PB,D,20211215,000000,19.06,20.5,19.06,20.09,0,0
PTG_PB,D,20211216,000000,20.12,20.41,19.2,20.32,0,0
PTG_PB,D,20211217,000000,20.43,20.73,19.32,20.73,0,0
PTG_PB,D,20211220,000000,20.76,20.88,20.32,20.76,0,0
PTG_PB,D,20211221,000000,20.79,28.58,20.32,28.58,0,0
PTG_PB,D,20211222,000000,28.45,28.45,27.63,28,0,0
PTG_PB,D,20211223,000000,27.49,27.49,26.43,26.8,0,0
PTG_PB,D,20211227,000000,27.63,28.44,26.56,28.44,0,0
PTG_PB,D,20211228,000000,28.04,28.04,26.62,27.83,0,0
PTG_PB,D,20211229,000000,27.63,28.86,26.92,28.86,0,0
PTG_PB,D,20211230,000000,28.45,28.57,28.04,28.37,0,0
PTG_PB,D,20220103,000000,28.37,29.69,28.37,29.48,0,0
PTG_PB,D,20220104,000000,29.69,30.06,29.07,29.85,0,0
PTG_PB,D,20220105,000000,29.85,29.89,29.52,29.85,0,0
PTG_PB,D,20220107,000000,29.85,29.89,29.44,29.69,0,0
PTG_PB,D,20220110,000000,29.69,29.69,28.41,28.82,0,0
PTG_PB,D,20220111,000000,29.05,29.05,28.04,28.53,0,0
PTG_PB,D,20220112,000000,28.57,29.03,28.04,28.04,0,0
PTG_PB,D,20220113,000000,28.45,28.85,27.05,28.45,0,0
PTG_PB,D,20220114,000000,28.86,28.86,27.54,28.04,0,0
PTG_PB,D,20220117,000000,28.33,28.66,28.04,28.66,0,0
PTG_PB,D,20220118,000000,28.66,28.66,28.04,28.04,0,0
PTG_PB,D,20220119,000000,28.04,28.04,26.8,27.22,0,0
PTG_PB,D,20220120,000000,27.23,27.61,26.23,27.16,0,0
PTG_PB,D,20220121,000000,27.16,27.21,26.39,26.43,0,0
PTG_PB,D,20220124,000000,26.39,26.74,23.75,25.15,0,0
PTG_PB,D,20220125,000000,24.33,24.7,23.92,24.37,0,0
PTG_PB,D,20220126,000000,24.37,24.5,24.2,24.33,0,0
PTG_PB,D,20220127,000000,24.35,24.66,23.97,24.66,0,0
PTG_PB,D,20220128,000000,24.66,24.66,23.83,24.33,0,0
PTG_PB,D,20220131,000000,24.33,24.33,23.11,23.92,0,0
PTG_PB,D,20220201,000000,23.3,24.2,23.3,23.92,0,0
PTG_PB,D,20220202,000000,24.29,24.29,24,24,0,0
PTG_PB,D,20220203,000000,24,25.15,23.63,25.15,0,0
PTG_PB,D,20220204,000000,25,25.98,25,25.57,0,0
PTG_PB,D,20220207,000000,26.78,26.78,25.16,26.18,0,0
PTG_PB,D,20220208,000000,25.56,26.31,23.67,25.56,0,0
PTG_PB,D,20220209,000000,25.98,25.98,24.74,25.56,0,0
PTG_PB,D,20220210,000000,25.97,25.97,25.56,25.56,0,0
PTG_PB,D,20220211,000000,25.56,25.56,25.15,25.15,0,0
PTG_PB,D,20220214,000000,24.74,25.15,23.92,25.15,0,0
PTG_PB,D,20220215,000000,24.02,25.15,24.02,24.53,0,0
PTG_PB,D,20220216,000000,24.74,24.9,24.72,24.72,0,0
PTG_PB,D,20220217,000000,23.71,24.9,23.71,23.92,0,0
PTG_PB,D,20220218,000000,23.71,24.9,23.71,23.92,0,0
PTG_PB,D,20220221,000000,23.71,24.95,23.21,23.59,0,0
PTG_PB,D,20220222,000000,23.26,23.63,23.24,23.63,0,0
PTG_PB,D,20220223,000000,23.84,24.49,23.84,24.33,0,0
PTG_PB,D,20220224,000000,20.66,22.27,18.97,20.7,0,0
PTG_PB,D,20220225,000000,21.28,23.5,20,23.5,0,0
PTG_PB,D,20220228,000000,22.68,22.68,20.41,21.43,0,0
PTG_PB,D,20220301,000000,21.43,21.44,20.41,21.16,0,0
PTG_PB,D,20220302,000000,20.45,21.4,19.38,21.4,0,0
PTG_PB,D,20220303,000000,21.4,21.4,19.79,21.03,0,0
PTG_PB,D,20220304,000000,21.01,21.01,19.85,20.41,0,0
PTG_PB,D,20220307,000000,20.2,20.2,18.31,19.79,0,0
PTG_PB,D,20220308,000000,19.79,20.2,19.09,19.38,0,0
PTG_PB,D,20220309,000000,20.2,20.2,20.2,20.2,0,0
PTG_PB,D,20220310,000000,19.47,20.2,19.46,19.46,0,0
PTG_PB,D,20220311,000000,19.38,20.16,19.38,19.54,0,0
PTG_PB,D,20220314,000000,20.12,20.12,20,20,0,0
PTG_PB,D,20220315,000000,19.38,19.87,18.97,19.87,0,0
PTG_PB,D,20220316,000000,19.87,19.96,19.18,19.18,0,0
PTG_PB,D,20220317,000000,19.38,19.38,18.97,19.3,0,0
PTG_PB,D,20220318,000000,19.34,19.94,18.76,19.94,0,0
PTG_PB,D,20220321,000000,19.77,19.77,19.38,19.75,0,0
PTG_PB,D,20220322,000000,19.49,19.73,19.49,19.66,0,0
PTG_PB,D,20220323,000000,19.66,20.08,19.38,19.38,0,0
PTG_PB,D,20220324,000000,19.77,19.77,19.38,19.75,0,0
