<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PZU_PB,D,20100512,000000,1.13127,1.13127,1.13127,1.13127,0,0
PZU_PB,D,20100513,000000,1.1232,1.13547,1.11086,1.1232,0,0
PZU_PB,D,20100514,000000,1.11507,1.12732,1.11507,1.11507,0,0
PZU_PB,D,20100517,000000,1.08626,1.10273,1.08626,1.10273,0,0
PZU_PB,D,20100518,000000,1.10273,1.11507,1.10273,1.11086,0,0
PZU_PB,D,20100519,000000,1.09869,1.10273,1.08626,1.08626,0,0
PZU_PB,D,20100520,000000,1.08214,1.08214,0.97157,0.97157,0,0
PZU_PB,D,20100521,000000,0.97157,0.987942,0.97157,0.987942,0,0
PZU_PB,D,20100524,000000,0.987942,1.00843,0.987942,1.00431,0,0
PZU_PB,D,20100525,000000,0.983826,0.991965,0.967454,0.967454,0,0
PZU_PB,D,20100526,000000,0.983826,1.04126,0.983826,1.04126,0,0
PZU_PB,D,20100527,000000,1.02086,1.03303,1.02086,1.02891,0,0
PZU_PB,D,20100528,000000,1.02891,1.02891,1.01665,1.02891,0,0
PZU_PB,D,20100531,000000,1.01639,1.029,1.0079,1.029,0,0
PZU_PB,D,20100601,000000,1.01245,1.02489,1.0002,1.02489,0,0
PZU_PB,D,20100602,000000,1.02086,1.02891,1.01665,1.02489,0,0
PZU_PB,D,20100604,000000,1.02489,1.02891,1.00431,1.00431,0,0
PZU_PB,D,20100607,000000,0.987942,1.00431,0.987942,1.0002,0,0
PZU_PB,D,20100608,000000,1.0002,1.00843,0.996081,0.996081,0,0
PZU_PB,D,20100609,000000,0.996081,1.02086,0.996081,1.02086,0,0
PZU_PB,D,20100610,000000,1.01245,1.02891,1.01245,1.02891,0,0
PZU_PB,D,20100611,000000,1.02489,1.02891,1.02086,1.02489,0,0
PZU_PB,D,20100614,000000,1.02489,1.03706,1.02489,1.03303,0,0
PZU_PB,D,20100615,000000,1.02891,1.03706,1.02891,1.03706,0,0
