<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBW_PB,D,20071122,000000,11.8578,11.8578,11.8578,11.8578,0,0
RBW_PB,D,20071123,000000,11.8739,11.9266,11.7057,11.8739,0,0
RBW_PB,D,20071126,000000,11.8578,11.9105,11.6225,11.8739,0,0
RBW_PB,D,20071127,000000,11.8739,11.8739,11.6682,11.8739,0,0
RBW_PB,D,20071128,000000,11.8739,12.3819,11.5993,12.3819,0,0
RBW_PB,D,20071129,000000,12.7235,12.7235,11.8882,12.6698,0,0
RBW_PB,D,20071130,000000,12.5866,12.5866,12.1161,12.5571,0,0
RBW_PB,D,20071203,000000,12.7235,12.7235,12.2986,12.7074,0,0
RBW_PB,D,20071204,000000,12.7235,12.7235,12.5571,12.5571,0,0
RBW_PB,D,20071205,000000,12.4202,12.693,12.4202,12.6698,0,0
RBW_PB,D,20071206,000000,12.693,12.693,7.30299,7.30299,0,0
RBW_PB,D,20071207,000000,7.10553,7.30299,7.10553,7.30299,0,0
RBW_PB,D,20071210,000000,7.28779,7.30299,7.25729,7.30299,0,0
RBW_PB,D,20071211,000000,7.30299,7.48462,7.24977,7.43231,0,0
RBW_PB,D,20071212,000000,7.43231,7.56118,7.01448,7.56118,0,0
RBW_PB,D,20071213,000000,7.56118,7.59086,7.56118,7.5838,0,0
RBW_PB,D,20071214,000000,7.59086,7.59086,7.5838,7.59086,0,0
RBW_PB,D,20071217,000000,7.59086,7.59086,7.49241,7.49241,0,0
RBW_PB,D,20071218,000000,7.5534,7.59086,7.49241,7.49241,0,0
RBW_PB,D,20071219,000000,7.51584,7.51584,7.30299,7.30299,0,0
RBW_PB,D,20071220,000000,7.31068,7.43231,7.00688,7.10553,0,0
RBW_PB,D,20071221,000000,7.28018,7.28018,6.99176,6.99176,0,0
RBW_PB,D,20071227,000000,7.0828,7.10553,7.0524,7.10553,0,0
RBW_PB,D,20071228,000000,7.00688,7.56118,6.99936,7.56118,0,0
RBW_PB,D,20080102,000000,7.53068,7.53068,7.30299,7.47765,0,0
RBW_PB,D,20080103,000000,7.25729,7.38644,7.12073,7.28779,0,0
RBW_PB,D,20080104,000000,7.28018,7.5534,7.28018,7.5534,0,0
RBW_PB,D,20080107,000000,7.54642,7.5534,7.31837,7.5534,0,0
RBW_PB,D,20080108,000000,7.44715,7.54642,7.44715,7.45484,0,0
RBW_PB,D,20080109,000000,7.45484,7.45484,7.21195,7.34815,0,0
RBW_PB,D,20080110,000000,7.13602,7.38644,7.13602,7.16633,0,0
RBW_PB,D,20080111,000000,7.12073,7.43231,7.12073,7.43231,0,0
RBW_PB,D,20080114,000000,7.30299,7.30299,7.30299,7.30299,0,0
RBW_PB,D,20080115,000000,7.11321,7.38644,7.11321,7.30299,0,0
RBW_PB,D,20080116,000000,6.32362,6.90063,6.32362,6.61974,0,0
RBW_PB,D,20080117,000000,6.521,7.18154,6.521,7.18154,0,0
RBW_PB,D,20080118,000000,7.10553,7.17394,6.8323,7.17394,0,0
RBW_PB,D,20080121,000000,7.17394,7.17394,6.66533,6.8095,0,0
RBW_PB,D,20080122,000000,6.34651,6.8019,6.34651,6.71837,0,0
RBW_PB,D,20080123,000000,6.8095,7.30299,6.8095,6.87792,0,0
RBW_PB,D,20080124,000000,7.43231,7.43231,6.8323,6.8323,0,0
RBW_PB,D,20080125,000000,6.90815,7.00688,6.7867,6.7867,0,0
RBW_PB,D,20080128,000000,7.20435,7.20435,7.11321,7.11321,0,0
RBW_PB,D,20080129,000000,7.28779,7.34815,7.11321,7.16633,0,0
RBW_PB,D,20080130,000000,7.37873,7.37873,7.34815,7.34815,0,0
RBW_PB,D,20080131,000000,7.34815,7.54642,7.34815,7.53068,0,0
RBW_PB,D,20080201,000000,7.49241,7.76562,7.49241,7.76562,0,0
RBW_PB,D,20080204,000000,7.77375,8.15348,7.77375,7.80372,0,0
RBW_PB,D,20080205,000000,8.14597,8.14597,7.59874,7.62905,0,0
RBW_PB,D,20080206,000000,7.13602,7.76562,7.13602,7.76562,0,0
RBW_PB,D,20080207,000000,7.76562,7.92561,7.45484,7.92561,0,0
RBW_PB,D,20080208,000000,7.93366,7.96353,7.87955,7.94743,0,0
RBW_PB,D,20080211,000000,7.94743,8.35855,7.94743,8.35855,0,0
RBW_PB,D,20080212,000000,8.27465,8.27465,8.00959,8.25991,0,0
RBW_PB,D,20080213,000000,8.35855,8.56308,8.03195,8.56308,0,0
