<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAN_PB,D,20141203,000000,1.11367,1.11367,1.11367,1.11367,0,0
SAN_PB,D,20141204,000000,1.12298,1.12298,1.11367,1.12298,0,0
SAN_PB,D,20141205,000000,1.12298,1.12298,1.08603,1.10445,0,0
SAN_PB,D,20141208,000000,1.09524,1.11367,1.09524,1.09524,0,0
SAN_PB,D,20141209,000000,1.10445,1.10445,1.0676,1.0676,0,0
SAN_PB,D,20141210,000000,1.0676,1.0676,1.04927,1.04927,0,0
SAN_PB,D,20141211,000000,1.04927,1.04927,1.04927,1.04927,0,0
SAN_PB,D,20141212,000000,1.03085,1.03085,1.02163,1.03085,0,0
SAN_PB,D,20141215,000000,1.00311,1.02163,1.00311,1.01242,0,0
SAN_PB,D,20141216,000000,1.00311,1.00311,0.966354,0.966354,0,0
SAN_PB,D,20141217,000000,1.02163,1.02163,0.993991,1.01242,0,0
SAN_PB,D,20141218,000000,1.03085,1.05849,1.03085,1.05849,0,0
SAN_PB,D,20141219,000000,1.0676,1.0676,1.04927,1.05849,0,0
SAN_PB,D,20141222,000000,1.0676,1.0676,1.04006,1.05849,0,0
SAN_PB,D,20141223,000000,1.05849,1.0676,1.05849,1.0676,0,0
SAN_PB,D,20141229,000000,1.07681,1.07681,1.03085,1.05849,0,0
SAN_PB,D,20150102,000000,1.03085,1.05849,1.03085,1.05849,0,0
SAN_PB,D,20150105,000000,1.01242,1.05849,1.01242,1.05849,0,0
SAN_PB,D,20150107,000000,0.993991,1.00311,0.993991,0.993991,0,0
SAN_PB,D,20150108,000000,1.01242,1.04006,0.98478,0.993991,0,0
SAN_PB,D,20150109,000000,0.93881,0.98478,0.865198,0.874315,0,0
SAN_PB,D,20150112,000000,0.901956,0.901956,0.855984,0.883529,0,0
SAN_PB,D,20150113,000000,0.920382,0.975663,0.883529,0.975663,0,0
SAN_PB,D,20150114,000000,0.93881,0.993991,0.93881,0.948023,0,0
SAN_PB,D,20150115,000000,0.975663,0.975663,0.957236,0.957236,0,0
SAN_PB,D,20150116,000000,0.993991,0.993991,0.98478,0.98478,0,0
SAN_PB,D,20150119,000000,1.00311,1.00311,0.966354,0.975663,0,0
SAN_PB,D,20150120,000000,1.00311,1.00311,0.993991,0.993991,0,0
SAN_PB,D,20150121,000000,0.993991,0.993991,0.957236,0.957236,0,0
SAN_PB,D,20150122,000000,0.966354,1.02163,0.966354,1.02163,0,0
SAN_PB,D,20150123,000000,1.02163,1.04006,1.02163,1.04006,0,0
SAN_PB,D,20150126,000000,1.04006,1.04006,1.00311,1.00311,0,0
SAN_PB,D,20150127,000000,1.02163,1.02163,1.00311,1.00311,0,0
SAN_PB,D,20150128,000000,1.01242,1.01242,1.00311,1.00311,0,0
SAN_PB,D,20150129,000000,0.975663,1.00311,0.975663,1.00311,0,0
SAN_PB,D,20150130,000000,0.993991,0.993991,0.975663,0.975663,0,0
SAN_PB,D,20150202,000000,0.975663,0.975663,0.948023,0.966354,0,0
SAN_PB,D,20150203,000000,1.00311,1.01242,0.98478,1.01242,0,0
SAN_PB,D,20150204,000000,1.01242,1.01242,0.975663,1.01242,0,0
