<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEK_MV,D,20070813,000000,73.9366,73.9366,73.9366,73.9366,0,0
SEK_MV,D,20070814,000000,73.6354,73.6354,73.6354,73.6354,0,0
SEK_MV,D,20070816,000000,71.5134,71.5134,71.5134,71.5134,0,0
SEK_MV,D,20070817,000000,70.2527,70.2527,70.2527,70.2527,0,0
SEK_MV,D,20070820,000000,70.8994,70.8994,70.8994,70.8994,0,0
SEK_MV,D,20070821,000000,70.9417,70.9417,70.9417,70.9417,0,0
SEK_MV,D,20070822,000000,73.5103,73.5103,73.5103,73.5103,0,0
SEK_MV,D,20070823,000000,74.7604,74.7604,74.7604,74.7604,0,0
SEK_MV,D,20070824,000000,75.8931,75.8931,75.8931,75.8931,0,0
SEK_MV,D,20070827,000000,73.7239,73.7239,73.7239,73.7239,0,0
SEK_MV,D,20070828,000000,73.4603,73.4603,73.4603,73.4603,0,0
SEK_MV,D,20070829,000000,73.7239,73.7239,73.7239,73.7239,0,0
SEK_MV,D,20070830,000000,73.7239,73.7239,73.7239,73.7239,0,0
SEK_MV,D,20070831,000000,75.4591,75.4591,75.4591,75.4591,0,0
SEK_MV,D,20070903,000000,75.026,75.026,75.026,75.026,0,0
SEK_MV,D,20070904,000000,74.9808,74.9808,74.9808,74.9808,0,0
SEK_MV,D,20070905,000000,73.7239,73.7239,73.7239,73.7239,0,0
SEK_MV,D,20070906,000000,73.2447,73.2447,73.2447,73.2447,0,0
SEK_MV,D,20070907,000000,74.8489,74.8489,74.8489,74.8489,0,0
SEK_MV,D,20070910,000000,74.107,74.107,74.107,74.107,0,0
SEK_MV,D,20070911,000000,74.1589,74.1589,74.1589,74.1589,0,0
SEK_MV,D,20070912,000000,74.5025,74.5025,74.5025,74.5025,0,0
SEK_MV,D,20070913,000000,74.5025,74.5025,74.5025,74.5025,0,0
SEK_MV,D,20070914,000000,74.107,74.107,74.107,74.107,0,0
SEK_MV,D,20070917,000000,74.5025,74.5025,74.5025,74.5025,0,0
SEK_MV,D,20070918,000000,74.5487,74.5487,74.5487,74.5487,0,0
SEK_MV,D,20070919,000000,78.4915,78.4915,78.4915,78.4915,0,0
SEK_MV,D,20070920,000000,79.5799,79.5799,79.5799,79.5799,0,0
SEK_MV,D,20070921,000000,81.0928,81.0928,81.0928,81.0928,0,0
SEK_MV,D,20070924,000000,81.3093,81.3093,81.3093,81.3093,0,0
SEK_MV,D,20070925,000000,80.3614,80.3614,80.3614,80.3614,0,0
SEK_MV,D,20070926,000000,79.7108,79.7108,79.7108,79.7108,0,0
SEK_MV,D,20070927,000000,80.8839,80.8839,80.8839,80.8839,0,0
SEK_MV,D,20070928,000000,80.8839,80.8839,80.8839,80.8839,0,0
SEK_MV,D,20071001,000000,79.3624,79.3624,79.3624,79.3624,0,0
SEK_MV,D,20071002,000000,78.9236,78.9236,78.9236,78.9236,0,0
SEK_MV,D,20071003,000000,79.3095,79.3095,79.3095,79.3095,0,0
SEK_MV,D,20071004,000000,79.7868,79.7868,79.7868,79.7868,0,0
SEK_MV,D,20071005,000000,79.5799,79.5799,79.5799,79.5799,0,0
SEK_MV,D,20071008,000000,77.968,77.968,77.968,77.968,0,0
SEK_MV,D,20071009,000000,79.3095,79.3095,79.3095,79.3095,0,0
SEK_MV,D,20071010,000000,80.2324,80.2324,80.2324,80.2324,0,0
SEK_MV,D,20071011,000000,80.2324,80.2324,80.2324,80.2324,0,0
SEK_MV,D,20071012,000000,79.9649,79.9649,79.9649,79.9649,0,0
SEK_MV,D,20071015,000000,80.0101,80.0101,80.0101,80.0101,0,0
SEK_MV,D,20071016,000000,83.6122,83.6122,83.6122,83.6122,0,0
SEK_MV,D,20071017,000000,84.5217,84.5217,84.5217,84.5217,0,0
SEK_MV,D,20071018,000000,85.4302,85.4302,85.4302,85.4302,0,0
SEK_MV,D,20071019,000000,86.7322,86.7322,86.7322,86.7322,0,0
SEK_MV,D,20071022,000000,88.86,88.86,88.86,88.86,0,0
SEK_MV,D,20071023,000000,91.4546,91.4546,91.4546,91.4546,0,0
SEK_MV,D,20071024,000000,93.1859,93.1859,93.1859,93.1859,0,0
SEK_MV,D,20071025,000000,94.1117,94.1117,94.1117,94.1117,0,0
SEK_MV,D,20071026,000000,93.8865,93.8865,93.8865,93.8865,0,0
SEK_MV,D,20071029,000000,94.1492,94.1492,94.1492,94.1492,0,0
SEK_MV,D,20071030,000000,92.5902,92.5902,92.5902,92.5902,0,0
SEK_MV,D,20071031,000000,93.2417,93.2417,93.2417,93.2417,0,0
SEK_MV,D,20071102,000000,93.2417,93.2417,93.2417,93.2417,0,0
SEK_MV,D,20071105,000000,93.4572,93.4572,93.4572,93.4572,0,0
SEK_MV,D,20071106,000000,93.2417,93.2417,93.2417,93.2417,0,0
SEK_MV,D,20071107,000000,83.2619,83.2619,83.2619,83.2619,0,0
SEK_MV,D,20071108,000000,83.2619,83.2619,83.2619,83.2619,0,0
SEK_MV,D,20071109,000000,84.2214,84.2214,82.3958,83.2196,0,0
SEK_MV,D,20071112,000000,84.2214,84.2214,83.2196,83.2196,0,0
SEK_MV,D,20071113,000000,84.2214,90.9282,83.2196,90.9282,0,0
SEK_MV,D,20071114,000000,90.9811,90.9811,85.256,86.7322,0,0
SEK_MV,D,20071115,000000,90.9811,90.9811,85.8642,85.8642,0,0
SEK_MV,D,20071116,000000,85.8642,85.8642,78.0989,84.3465,0,0
SEK_MV,D,20071119,000000,84.3465,86.2568,84.3465,86.2068,0,0
SEK_MV,D,20071120,000000,81.5268,86.1221,81.5268,86.1221,0,0
SEK_MV,D,20071121,000000,79.3624,87.9169,79.3624,86.7322,0,0
SEK_MV,D,20071122,000000,86.7322,86.7322,79.8427,85.9893,0,0
SEK_MV,D,20071123,000000,85.9893,85.9893,82.3958,83.2619,0,0
SEK_MV,D,20071126,000000,83.2619,84.5217,80.6664,84.5217,0,0
SEK_MV,D,20071127,000000,84.5217,84.5217,80.0101,83.0868,0,0
SEK_MV,D,20071128,000000,83.3457,83.3457,83.3457,83.3457,0,0
SEK_MV,D,20071129,000000,83.3457,85.1799,83.0454,85.1799,0,0
SEK_MV,D,20071130,000000,85.205,88.8927,85.205,88.8927,0,0
SEK_MV,D,20071203,000000,89.1054,89.1054,89.1054,89.1054,0,0
SEK_MV,D,20071204,000000,84.5717,87.4665,84.5717,87.4665,0,0
SEK_MV,D,20071205,000000,87.7745,88.86,83.3948,88.4173,0,0
SEK_MV,D,20071206,000000,88.4173,88.4173,84.5717,87.9419,0,0
SEK_MV,D,20071207,000000,84.5967,86.7322,83.2196,84.0877,0,0
SEK_MV,D,20071210,000000,84.5717,84.5717,80.2324,81.5749,0,0
SEK_MV,D,20071211,000000,84.3465,84.5717,81.7847,84.5717,0,0
SEK_MV,D,20071212,000000,84.5217,84.5217,82.8298,82.8298,0,0
SEK_MV,D,20071214,000000,83.2196,83.2196,83.2196,83.2196,0,0
SEK_MV,D,20071217,000000,75.026,83.695,75.026,82.3487,0,0
SEK_MV,D,20071218,000000,77.405,81.8405,77.405,80.2324,0,0
SEK_MV,D,20071219,000000,80.2324,80.2324,80.2324,80.2324,0,0
SEK_MV,D,20071220,000000,78.0989,83.695,78.0989,83.695,0,0
SEK_MV,D,20071221,000000,83.695,83.695,82.3958,83.695,0,0
SEK_MV,D,20071228,000000,82.7894,82.7894,81.9695,81.9695,0,0
SEK_MV,D,20080102,000000,81.9695,81.9695,81.9695,81.9695,0,0
SEK_MV,D,20080103,000000,80.6664,80.6664,78.0594,78.0594,0,0
SEK_MV,D,20080104,000000,78.0594,78.0594,78.0594,78.0594,0,0
SEK_MV,D,20080107,000000,75.026,77.4444,74.1589,77.3752,0,0
SEK_MV,D,20080109,000000,69.3904,69.3904,67.6505,67.6505,0,0
SEK_MV,D,20080110,000000,69.3904,73.7239,69.3904,71.5605,0,0
SEK_MV,D,20080111,000000,68.5175,69.3413,67.2222,67.2222,0,0
SEK_MV,D,20080114,000000,61.3181,61.3181,61.3181,61.3181,0,0
SEK_MV,D,20080115,000000,60.3653,60.7128,57.6784,60.2816,0,0
SEK_MV,D,20080116,000000,56.3754,58.5012,56.3754,57.2425,0,0
SEK_MV,D,20080117,000000,56.3754,61.7945,56.3754,61.6636,0,0
SEK_MV,D,20080118,000000,65.4851,65.4851,64.6171,64.6171,0,0
SEK_MV,D,20080121,000000,68.9063,68.9063,60.757,67.2222,0,0
SEK_MV,D,20080122,000000,67.176,67.176,64.9173,64.9173,0,0
SEK_MV,D,20080123,000000,65.0473,65.0473,58.5455,63.9656,0,0
SEK_MV,D,20080124,000000,65.8701,68.9063,65.8701,68.9063,0,0
SEK_MV,D,20080125,000000,68.1249,68.5175,68.1249,68.5175,0,0
SEK_MV,D,20080129,000000,69.7234,69.7234,69.3904,69.3904,0,0
SEK_MV,D,20080130,000000,64.1811,69.8215,64.1811,69.8215,0,0
SEK_MV,D,20080131,000000,66.4744,69.6474,65.8701,65.8701,0,0
SEK_MV,D,20080201,000000,68.3847,68.3847,66.3522,68.3376,0,0
SEK_MV,D,20080204,000000,68.4723,68.4723,64.1811,64.1811,0,0
SEK_MV,D,20080205,000000,64.2648,64.2648,57.8045,57.8045,0,0
SEK_MV,D,20080206,000000,57.6351,60.2816,55.9433,57.586,0,0
SEK_MV,D,20080207,000000,56.9355,59.7129,56.9355,59.4136,0,0
SEK_MV,D,20080208,000000,60.6666,60.6666,57.894,57.894,0,0
SEK_MV,D,20080211,000000,56.6362,56.8123,55.9837,56.2897,0,0
SEK_MV,D,20080212,000000,58.5859,60.3201,58.5859,60.1892,0,0
SEK_MV,D,20080213,000000,59.4136,60.0593,56.8123,58.8458,0,0
SEK_MV,D,20080214,000000,58.8458,59.1932,56.9355,56.9807,0,0
SEK_MV,D,20080215,000000,58.9295,58.9295,58.9295,58.9295,0,0
SEK_MV,D,20080218,000000,58.8929,58.8929,56.5496,58.0643,0,0
SEK_MV,D,20080219,000000,56.8979,57.458,56.8979,57.458,0,0
SEK_MV,D,20080220,000000,56.8508,56.8508,56.8123,56.8123,0,0
SEK_MV,D,20080221,000000,58.5455,58.5455,56.8123,58.2857,0,0
SEK_MV,D,20080225,000000,58.4156,58.4156,58.4156,58.4156,0,0
SEK_MV,D,20080226,000000,57.458,58.4156,55.1166,57.586,0,0
SEK_MV,D,20080227,000000,56.8508,57.0269,56.59,57.0269,0,0
SEK_MV,D,20080228,000000,56.3754,56.8123,56.3754,56.8123,0,0
SEK_MV,D,20080229,000000,57.2425,57.2425,56.3754,56.8123,0,0
SEK_MV,D,20080303,000000,57.6351,57.6351,55.5083,57.586,0,0
SEK_MV,D,20080305,000000,56.8508,57.6351,56.3754,57.6351,0,0
SEK_MV,D,20080306,000000,55.5545,55.5545,55.5083,55.5083,0,0
SEK_MV,D,20080307,000000,53.1197,56.3754,52.1236,53.0822,0,0
SEK_MV,D,20080310,000000,52.038,56.3273,52.038,56.3273,0,0
SEK_MV,D,20080311,000000,56.3273,57.2425,52.906,56.3273,0,0
SEK_MV,D,20080312,000000,53.5585,58.3251,52.5596,58.3251,0,0
SEK_MV,D,20080317,000000,52.5144,52.9503,52.5144,52.9503,0,0
SEK_MV,D,20080318,000000,56.3754,56.3754,52.6905,52.6905,0,0
SEK_MV,D,20080319,000000,49.9987,55.0319,49.9593,55.0319,0,0
SEK_MV,D,20080320,000000,50.2191,54.3794,50.2191,50.6098,0,0
SEK_MV,D,20080325,000000,53.597,53.597,50.8658,53.0822,0,0
SEK_MV,D,20080326,000000,53.5585,53.5585,52.038,53.5114,0,0
SEK_MV,D,20080328,000000,53.4661,53.5585,53.4661,53.5585,0,0
SEK_MV,D,20080331,000000,55.899,55.899,55.899,55.899,0,0
SEK_MV,D,20080401,000000,52.0852,56.2897,52.0852,52.1236,0,0
SEK_MV,D,20080402,000000,55.6844,55.6844,52.3835,54.9857,0,0
SEK_MV,D,20080407,000000,52.038,52.1689,52.038,52.1689,0,0
SEK_MV,D,20080408,000000,52.4287,56.1146,52.4287,56.1146,0,0
SEK_MV,D,20080409,000000,52.2526,52.2526,51.6088,52.038,0,0
SEK_MV,D,20080410,000000,52.038,52.9898,51.8243,52.9898,0,0
SEK_MV,D,20080411,000000,51.8243,51.8243,50.4347,50.4347,0,0
SEK_MV,D,20080414,000000,50.4347,51.6088,50.4347,51.6088,0,0
SEK_MV,D,20080417,000000,47.7006,48.6553,45.5363,48.6553,0,0
SEK_MV,D,20080418,000000,48.6553,48.6553,48.3069,48.3069,0,0
SEK_MV,D,20080422,000000,47.8325,47.8325,47.8325,47.8325,0,0
SEK_MV,D,20080423,000000,43.4113,46.9192,43.3661,46.9192,0,0
SEK_MV,D,20080424,000000,45.5363,45.5363,45.5363,45.5363,0,0
SEK_MV,D,20080425,000000,45.5363,45.5363,43.3661,45.0984,0,0
SEK_MV,D,20080428,000000,43.3661,45.0984,43.3661,45.0984,0,0
SEK_MV,D,20080429,000000,43.3661,45.5363,43.3661,45.5363,0,0
SEK_MV,D,20080505,000000,45.5363,47.2704,45.5363,47.2704,0,0
SEK_MV,D,20080506,000000,49.4367,49.4367,49.4367,49.4367,0,0
SEK_MV,D,20080507,000000,45.0984,48.1385,45.0984,48.1385,0,0
SEK_MV,D,20080508,000000,49.3915,49.3915,43.5798,47.9624,0,0
SEK_MV,D,20080509,000000,43.7106,48.0086,43.7106,48.0086,0,0
SEK_MV,D,20080512,000000,48.0086,48.0086,45.5363,47.9624,0,0
SEK_MV,D,20080515,000000,44.0176,47.7006,44.0176,47.7006,0,0
SEK_MV,D,20080516,000000,44.0571,46.8354,43.8021,43.8021,0,0
SEK_MV,D,20080519,000000,46.8354,46.8354,43.3661,45.2302,0,0
SEK_MV,D,20080520,000000,43.3661,45.0984,43.3661,45.0984,0,0
SEK_MV,D,20080521,000000,43.3661,45.9674,43.3661,45.9674,0,0
SEK_MV,D,20080523,000000,47.6563,47.6563,45.9674,47.6563,0,0
SEK_MV,D,20080526,000000,47.3965,47.3965,47.3965,47.3965,0,0
SEK_MV,D,20080527,000000,45.5363,47.2252,45.5363,47.2252,0,0
SEK_MV,D,20080529,000000,47.2704,47.2704,47.2252,47.2704,0,0
SEK_MV,D,20080530,000000,43.5422,47.5255,43.5422,47.5255,0,0
SEK_MV,D,20080603,000000,46.8354,46.8354,44.6692,44.6692,0,0
SEK_MV,D,20080604,000000,47.2252,47.2252,44.6692,46.7902,0,0
SEK_MV,D,20080605,000000,43.8021,46.7902,43.8021,46.7902,0,0
SEK_MV,D,20080606,000000,42.8051,42.8051,42.8051,42.8051,0,0
SEK_MV,D,20080609,000000,45.491,45.491,42.8051,45.491,0,0
SEK_MV,D,20080610,000000,43.3661,45.491,42.4971,44.5402,0,0
SEK_MV,D,20080611,000000,44.4921,44.4921,42.4971,43.8021,0,0
SEK_MV,D,20080612,000000,44.2313,44.2313,44.2313,44.2313,0,0
SEK_MV,D,20080613,000000,44.0176,44.0176,44.0176,44.0176,0,0
SEK_MV,D,20080616,000000,44.4921,44.4921,42.4971,43.3661,0,0
SEK_MV,D,20080617,000000,44.4921,44.4921,43.3661,44.4921,0,0
SEK_MV,D,20080618,000000,44.5402,44.5402,44.5402,44.5402,0,0
SEK_MV,D,20080619,000000,44.2313,44.2313,44.2313,44.2313,0,0
