<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNK_PB,D,20070813,000000,1.70534,1.70534,1.70534,1.70534,0,0
SNK_PB,D,20070814,000000,1.68785,1.68785,1.68785,1.68785,0,0
SNK_PB,D,20070816,000000,1.65269,1.65269,1.65269,1.65269,0,0
SNK_PB,D,20070817,000000,1.606,1.606,1.606,1.606,0,0
SNK_PB,D,20070820,000000,1.64107,1.64107,1.64107,1.64107,0,0
SNK_PB,D,20070821,000000,1.64107,1.64107,1.64107,1.64107,0,0
SNK_PB,D,20070822,000000,1.64683,1.64683,1.64683,1.64683,0,0
SNK_PB,D,20070823,000000,1.65269,1.65269,1.65269,1.65269,0,0
SNK_PB,D,20070824,000000,1.71101,1.71101,1.71101,1.71101,0,0
SNK_PB,D,20070827,000000,1.69371,1.69371,1.69371,1.69371,0,0
SNK_PB,D,20070828,000000,1.62358,1.62358,1.62358,1.62358,0,0
SNK_PB,D,20070829,000000,1.62358,1.62358,1.62358,1.62358,0,0
SNK_PB,D,20070830,000000,1.64107,1.64107,1.64107,1.64107,0,0
SNK_PB,D,20070831,000000,1.64107,1.64107,1.64107,1.64107,0,0
SNK_PB,D,20070903,000000,1.68209,1.68209,1.68209,1.68209,0,0
SNK_PB,D,20070904,000000,1.67027,1.67027,1.67027,1.67027,0,0
SNK_PB,D,20070905,000000,1.63521,1.63521,1.63521,1.63521,0,0
SNK_PB,D,20070906,000000,1.65269,1.65269,1.65269,1.65269,0,0
SNK_PB,D,20070907,000000,1.60023,1.60023,1.60023,1.60023,0,0
SNK_PB,D,20070910,000000,1.60023,1.60023,1.60023,1.60023,0,0
SNK_PB,D,20070911,000000,1.60023,1.60023,1.60023,1.60023,0,0
SNK_PB,D,20070912,000000,1.60023,1.60023,1.60023,1.60023,0,0
SNK_PB,D,20070913,000000,1.5594,1.5594,1.5594,1.5594,0,0
SNK_PB,D,20070914,000000,1.54172,1.54172,1.54172,1.54172,0,0
SNK_PB,D,20070917,000000,1.54172,1.54172,1.54172,1.54172,0,0
SNK_PB,D,20070918,000000,1.61762,1.61762,1.61762,1.61762,0,0
SNK_PB,D,20070919,000000,1.63521,1.63521,1.63521,1.63521,0,0
SNK_PB,D,20070920,000000,1.62925,1.62925,1.62925,1.62925,0,0
SNK_PB,D,20070921,000000,1.62925,1.62925,1.62925,1.62925,0,0
SNK_PB,D,20070924,000000,1.58284,1.58284,1.58284,1.58284,0,0
SNK_PB,D,20070925,000000,1.58284,1.58284,1.58284,1.58284,0,0
SNK_PB,D,20070926,000000,1.59437,1.59437,1.59437,1.59437,0,0
SNK_PB,D,20070927,000000,1.60023,1.60023,1.60023,1.60023,0,0
SNK_PB,D,20070928,000000,1.59437,1.59437,1.59437,1.59437,0,0
SNK_PB,D,20071001,000000,1.55335,1.55335,1.55335,1.55335,0,0
SNK_PB,D,20071002,000000,1.56507,1.56507,1.56507,1.56507,0,0
SNK_PB,D,20071003,000000,1.58851,1.58851,1.58851,1.58851,0,0
SNK_PB,D,20071004,000000,1.56507,1.56507,1.56507,1.56507,0,0
SNK_PB,D,20071005,000000,1.58284,1.58284,1.58284,1.58284,0,0
