<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNT_PB,D,20110809,000000,17.8581,17.8581,17.8581,17.8581,0,0
SNT_PB,D,20110810,000000,21.2159,21.2159,17.5681,17.6342,0,0
SNT_PB,D,20110811,000000,19.5227,19.5227,19.5227,19.5227,0,0
SNT_PB,D,20110812,000000,21.0473,21.0473,19.5227,20.8323,0,0
SNT_PB,D,20110816,000000,21.0473,23.8637,21.0473,23.8637,0,0
SNT_PB,D,20110818,000000,8.33488,8.40963,8.33488,8.33488,0,0
SNT_PB,D,20110902,000000,8.25057,8.95221,8.25057,8.95221,0,0
SNT_PB,D,20110905,000000,8.95221,8.95221,8.95221,8.95221,0,0
SNT_PB,D,20110906,000000,8.95221,8.95221,8.95221,8.95221,0,0
SNT_PB,D,20110907,000000,8.64355,9.94427,8.64355,9.94427,0,0
SNT_PB,D,20110908,000000,9.56066,9.56066,9.32645,9.32645,0,0
SNT_PB,D,20110909,000000,9.41076,9.78451,8.37216,8.37216,0,0
SNT_PB,D,20110912,000000,8.91483,8.91483,7.80158,8.91483,0,0
SNT_PB,D,20110913,000000,8.42837,8.83998,8.42837,8.83998,0,0
SNT_PB,D,20110915,000000,8.42837,9.13977,8.42837,9.13977,0,0
SNT_PB,D,20110919,000000,8.82125,8.83062,8.82125,8.83062,0,0
SNT_PB,D,20110920,000000,8.79324,8.83062,8.79324,8.83062,0,0
SNT_PB,D,20110921,000000,8.71829,8.71829,8.02612,8.27867,0,0
SNT_PB,D,20110922,000000,8.18509,8.18509,8.18509,8.18509,0,0
SNT_PB,D,20110923,000000,8.48448,8.5687,8.48448,8.5687,0,0
SNT_PB,D,20110926,000000,8.5687,9.56066,8.48448,9.56066,0,0
SNT_PB,D,20110927,000000,9.56066,9.58827,9.32645,9.32645,0,0
SNT_PB,D,20110928,000000,8.86799,9.17715,8.5687,9.17715,0,0
SNT_PB,D,20110929,000000,8.48448,9.17715,8.11034,9.17715,0,0
