<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNT_PE,D,20110809,000000,35.6402,35.6402,35.6402,35.6402,0,0
SNT_PE,D,20110810,000000,42.3756,42.3756,35.0791,35.2655,0,0
SNT_PE,D,20110811,000000,39.0079,39.0079,39.0079,39.0079,0,0
SNT_PE,D,20110812,000000,42.0018,42.0018,39.0079,41.6271,0,0
SNT_PE,D,20110816,000000,42.0945,47.7076,42.0945,47.7076,0,0
SNT_PE,D,20110818,000000,35.7339,36.1086,35.7339,35.7339,0,0
SNT_PE,D,20110902,000000,35.3601,38.3531,35.3601,38.3531,0,0
SNT_PE,D,20110905,000000,38.3531,38.3531,38.3531,38.3531,0,0
SNT_PE,D,20110906,000000,38.3531,38.3531,38.3531,38.3531,0,0
SNT_PE,D,20110907,000000,37.0445,42.6566,37.0445,42.6566,0,0
SNT_PE,D,20110908,000000,40.9723,40.9723,40.0374,40.0374,0,0
SNT_PE,D,20110909,000000,40.4112,42.0018,35.9203,35.9203,0,0
SNT_PE,D,20110912,000000,38.1667,38.2594,33.4894,38.2594,0,0
SNT_PE,D,20110913,000000,36.2013,37.8856,36.2013,37.8856,0,0
SNT_PE,D,20110915,000000,36.1086,39.1952,36.1086,39.1952,0,0
SNT_PE,D,20110919,000000,37.8856,37.8856,37.8856,37.8856,0,0
SNT_PE,D,20110920,000000,37.6993,37.8856,37.6993,37.8856,0,0
SNT_PE,D,20110921,000000,37.4172,37.4172,34.4243,35.5465,0,0
SNT_PE,D,20110922,000000,35.1738,35.1738,35.0791,35.0791,0,0
SNT_PE,D,20110923,000000,36.3887,36.7634,36.3887,36.7634,0,0
SNT_PE,D,20110926,000000,36.7634,41.066,36.3887,40.9723,0,0
SNT_PE,D,20110927,000000,40.9723,41.066,39.9427,40.0374,0,0
SNT_PE,D,20110928,000000,38.072,39.3826,36.7634,39.3826,0,0
SNT_PE,D,20110929,000000,36.3887,39.3826,34.798,39.3826,0,0
SNT_PE,D,20110930,000000,39.3826,39.3826,39.3826,39.3826,0,0
SNT_PE,D,20111003,000000,39.3826,39.3826,39.3826,39.3826,0,0
SNT_PE,D,20111004,000000,37.2308,39.3826,36.1086,39.3826,0,0
SNT_PE,D,20111005,000000,39.2879,39.3826,39.2879,39.3826,0,0
SNT_PE,D,20111006,000000,40.0374,40.0374,39.3826,39.3826,0,0
SNT_PE,D,20111007,000000,40.0374,40.0374,40.0374,40.0374,0,0
SNT_PE,D,20111010,000000,39.7564,44.34,39.7564,44.34,0,0
SNT_PE,D,20111011,000000,44.0599,44.0599,42.6566,43.9652,0,0
SNT_PE,D,20111012,000000,44.34,44.34,42.6566,42.6566,0,0
SNT_PE,D,20111013,000000,42.6566,42.6566,42.6566,42.6566,0,0
SNT_PE,D,20111014,000000,43.3104,43.3104,43.124,43.124,0,0
SNT_PE,D,20111017,000000,42.9367,42.9367,42.9367,42.9367,0,0
SNT_PE,D,20111018,000000,42.9367,42.9367,42.9367,42.9367,0,0
SNT_PE,D,20111019,000000,42.9367,42.9367,42.9367,42.9367,0,0
SNT_PE,D,20111020,000000,42.9367,42.9367,42.9367,42.9367,0,0
SNT_PE,D,20111021,000000,42.9367,42.9367,42.9367,42.9367,0,0
SNT_PE,D,20111024,000000,42.6566,42.9367,42.6566,42.9367,0,0
SNT_PE,D,20111025,000000,42.6566,42.6566,42.6566,42.6566,0,0
SNT_PE,D,20111026,000000,42.6566,42.6566,42.6566,42.6566,0,0
SNT_PE,D,20111027,000000,42.6566,42.6566,42.6566,42.6566,0,0
SNT_PE,D,20111028,000000,42.6566,42.6566,42.6566,42.6566,0,0
SNT_PE,D,20111031,000000,42.6566,42.6566,42.6566,42.6566,0,0
SNT_PE,D,20111103,000000,42.6566,45.6496,42.6566,45.6496,0,0
SNT_PE,D,20111104,000000,45.6496,45.6496,45.6496,45.6496,0,0
SNT_PE,D,20111107,000000,45.6496,45.6496,43.6852,43.9652,0,0
SNT_PE,D,20111108,000000,43.9652,44.34,43.9652,44.34,0,0
SNT_PE,D,20111109,000000,44.34,44.7147,44.34,44.62,0,0
SNT_PE,D,20111110,000000,44.62,44.9957,44.62,44.9957,0,0
SNT_PE,D,20111114,000000,44.9957,44.9957,44.9957,44.9957,0,0
SNT_PE,D,20111115,000000,44.9957,44.9957,44.9011,44.9957,0,0
SNT_PE,D,20111116,000000,44.9957,44.9957,44.9011,44.9011,0,0
SNT_PE,D,20111117,000000,44.8074,44.8074,44.8074,44.8074,0,0
SNT_PE,D,20111118,000000,44.8074,44.8074,44.8074,44.8074,0,0
SNT_PE,D,20111121,000000,45.5559,45.5559,45.3695,45.4632,0,0
SNT_PE,D,20111122,000000,45.6496,46.7718,39.851,39.851,0,0
SNT_PE,D,20111123,000000,40.0374,40.0374,39.9427,39.9427,0,0
SNT_PE,D,20111124,000000,39.9427,39.9427,39.9427,39.9427,0,0
SNT_PE,D,20111125,000000,39.9427,39.9427,39.9427,39.9427,0,0
SNT_PE,D,20111128,000000,39.851,39.9427,39.851,39.9427,0,0
SNT_PE,D,20111129,000000,39.9427,39.9427,39.9427,39.9427,0,0
