<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPH_MV,D,20111128,000000,753.71,753.71,753.71,753.71,0,0
SPH_MV,D,20111129,000000,713.533,753.71,708.48,723.563,0,0
SPH_MV,D,20111201,000000,703.465,703.465,703.465,703.465,0,0
SPH_MV,D,20111202,000000,703.465,703.465,703.465,703.465,0,0
SPH_MV,D,20111205,000000,723.563,723.563,723.563,723.563,0,0
SPH_MV,D,20111206,000000,753.71,753.71,718.529,718.529,0,0
SPH_MV,D,20111207,000000,753.71,753.71,718.529,753.71,0,0
SPH_MV,D,20111212,000000,728.569,728.569,713.533,713.533,0,0
SPH_MV,D,20111223,000000,673.309,713.533,653.202,653.202,0,0
SPH_MV,D,20111227,000000,603.958,653.202,603.958,603.958,0,0
SPH_MV,D,20111229,000000,602.975,653.202,602.975,653.202,0,0
SPH_MV,D,20120113,000000,653.202,653.202,653.202,653.202,0,0
SPH_MV,D,20120120,000000,780.844,780.844,778.832,778.832,0,0
SPH_MV,D,20120124,000000,773.799,773.799,773.799,773.799,0,0
SPH_MV,D,20120125,000000,683.367,773.799,683.367,683.367,0,0
SPH_MV,D,20120126,000000,693.416,693.416,680.336,680.336,0,0
SPH_MV,D,20120131,000000,653.211,680.336,653.211,661.258,0,0
SPH_MV,D,20120206,000000,653.202,661.258,613.015,613.015,0,0
SPH_MV,D,20120208,000000,629.099,629.099,615.018,629.099,0,0
SPH_MV,D,20120209,000000,653.202,653.202,613.015,613.015,0,0
SPH_MV,D,20120214,000000,604.978,604.978,604.978,604.978,0,0
SPH_MV,D,20120216,000000,604.978,604.978,592.917,592.917,0,0
SPH_MV,D,20120223,000000,546.677,546.677,546.677,546.677,0,0
SPH_MV,D,20120227,000000,580.875,580.875,580.875,580.875,0,0
SPH_MV,D,20120315,000000,602.975,602.975,602.975,602.975,0,0
SPH_MV,D,20120319,000000,643.153,643.153,602.975,643.153,0,0
SPH_MV,D,20120327,000000,578.863,643.153,578.863,578.863,0,0
SPH_MV,D,20120328,000000,581.867,581.867,527.59,527.59,0,0
SPH_MV,D,20120507,000000,502.467,502.467,502.467,502.467,0,0
SPH_MV,D,20120508,000000,484.39,484.39,484.39,484.39,0,0
SPH_MV,D,20120514,000000,502.467,502.467,484.39,502.467,0,0
SPH_MV,D,20120517,000000,502.467,502.467,502.467,502.467,0,0
SPH_MV,D,20120523,000000,502.467,502.467,502.467,502.467,0,0
SPH_MV,D,20120627,000000,487.412,487.412,449.2,449.2,0,0
SPH_MV,D,20120730,000000,436.722,436.722,436.722,436.722,0,0
SPH_MV,D,20120820,000000,393.059,426.34,393.059,426.34,0,0
SPH_MV,D,20120822,000000,426.34,426.34,426.34,426.34,0,0
SPH_MV,D,20120907,000000,380.582,426.34,363.951,363.951,0,0
SPH_MV,D,20120913,000000,363.951,400.327,363.951,400.327,0,0
SPH_MV,D,20120914,000000,400.327,400.327,400.327,400.327,0,0
SPH_MV,D,20121015,000000,415.948,415.948,415.948,415.948,0,0
SPH_MV,D,20121016,000000,415.948,415.948,415.948,415.948,0,0
SPH_MV,D,20121112,000000,415.948,415.948,415.948,415.948,0,0
SPH_MV,D,20121116,000000,415.948,415.948,415.948,415.948,0,0
SPH_MV,D,20121213,000000,415.948,415.948,415.948,415.948,0,0
SPH_MV,D,20130207,000000,426.34,426.34,415.948,426.34,0,0
SPH_MV,D,20130528,000000,571.92,571.92,571.92,571.92,0,0
SPH_MV,D,20130529,000000,571.92,571.92,571.92,571.92,0,0
