<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STF_PB,D,20070813,000000,2.74233,2.74233,2.74233,2.74233,0,0
STF_PB,D,20070814,000000,2.64278,2.64278,2.64278,2.64278,0,0
STF_PB,D,20070816,000000,2.23795,2.23795,2.23795,2.23795,0,0
STF_PB,D,20070817,000000,2.13126,2.13126,2.13126,2.13126,0,0
STF_PB,D,20070820,000000,2.12421,2.12421,2.12421,2.12421,0,0
STF_PB,D,20070821,000000,1.98219,1.98219,1.98219,1.98219,0,0
STF_PB,D,20070822,000000,2.0318,2.0318,2.0318,2.0318,0,0
STF_PB,D,20070823,000000,2.10994,2.10994,2.10994,2.10994,0,0
STF_PB,D,20070824,000000,2.19531,2.19531,2.19531,2.19531,0,0
STF_PB,D,20070827,000000,2.33716,2.33716,2.33716,2.33716,0,0
STF_PB,D,20070828,000000,2.2591,2.2591,2.2591,2.2591,0,0
STF_PB,D,20070829,000000,2.23795,2.23795,2.23795,2.23795,0,0
STF_PB,D,20070830,000000,2.23795,2.23795,2.23795,2.23795,0,0
STF_PB,D,20070831,000000,2.28042,2.28042,2.28042,2.28042,0,0
STF_PB,D,20070903,000000,2.39408,2.39408,2.39408,2.39408,0,0
STF_PB,D,20070904,000000,2.41539,2.41539,2.41539,2.41539,0,0
STF_PB,D,20070905,000000,2.41539,2.41539,2.41539,2.41539,0,0
STF_PB,D,20070906,000000,2.33716,2.33716,2.33716,2.33716,0,0
STF_PB,D,20070907,000000,2.2591,2.2591,2.2591,2.2591,0,0
STF_PB,D,20070910,000000,2.22368,2.22368,2.22368,2.22368,0,0
STF_PB,D,20070911,000000,2.23795,2.23795,2.23795,2.23795,0,0
STF_PB,D,20070912,000000,2.21638,2.21638,2.21638,2.21638,0,0
STF_PB,D,20070913,000000,2.21638,2.21638,2.21638,2.21638,0,0
STF_PB,D,20070914,000000,2.25205,2.25205,2.25205,2.25205,0,0
STF_PB,D,20070917,000000,2.23795,2.23795,2.23795,2.23795,0,0
STF_PB,D,20070918,000000,2.23795,2.23795,2.23795,2.23795,0,0
STF_PB,D,20070919,000000,2.42261,2.42261,2.42261,2.42261,0,0
STF_PB,D,20070920,000000,2.3798,2.3798,2.3798,2.3798,0,0
STF_PB,D,20070921,000000,2.39408,2.39408,2.39408,2.39408,0,0
STF_PB,D,20070924,000000,2.33019,2.33019,2.33019,2.33019,0,0
STF_PB,D,20070925,000000,2.36578,2.36578,2.36578,2.36578,0,0
STF_PB,D,20070926,000000,2.3229,2.3229,2.3229,2.3229,0,0
STF_PB,D,20070927,000000,2.31584,2.31584,2.31584,2.31584,0,0
STF_PB,D,20070928,000000,2.30896,2.30896,2.30896,2.30896,0,0
STF_PB,D,20071001,000000,2.17382,2.17382,2.17382,2.17382,0,0
STF_PB,D,20071002,000000,2.11708,2.11708,2.11708,2.11708,0,0
STF_PB,D,20071003,000000,2.13126,2.13126,2.13126,2.13126,0,0
STF_PB,D,20071004,000000,2.10281,2.10281,2.10281,2.10281,0,0
STF_PB,D,20071005,000000,2.20941,2.20941,2.20941,2.20941,0,0
STF_PB,D,20071008,000000,2.25205,2.25205,2.25205,2.25205,0,0
STF_PB,D,20071009,000000,2.28042,2.28042,2.28042,2.28042,0,0
STF_PB,D,20071010,000000,2.28042,2.28042,2.28042,2.28042,0,0
STF_PB,D,20071011,000000,2.33716,2.33716,2.33716,2.33716,0,0
STF_PB,D,20071012,000000,2.30896,2.30896,2.30896,2.30896,0,0
STF_PB,D,20071015,000000,2.3229,2.3229,2.3229,2.3229,0,0
STF_PB,D,20071016,000000,2.31584,2.31584,2.31584,2.31584,0,0
STF_PB,D,20071017,000000,2.37284,2.37284,2.37284,2.37284,0,0
STF_PB,D,20071018,000000,2.42967,2.42967,2.42967,2.42967,0,0
STF_PB,D,20071019,000000,2.44393,2.44393,2.44393,2.44393,0,0
STF_PB,D,20071022,000000,2.40121,2.40121,2.40121,2.40121,0,0
STF_PB,D,20071023,000000,2.54331,2.54331,2.54331,2.54331,0,0
STF_PB,D,20071024,000000,2.47927,2.47927,2.47927,2.47927,0,0
STF_PB,D,20071025,000000,2.38694,2.38694,2.38694,2.38694,0,0
STF_PB,D,20071026,000000,2.37284,2.37284,2.37284,2.37284,0,0
STF_PB,D,20071029,000000,2.35857,2.35857,2.35857,2.35857,0,0
STF_PB,D,20071030,000000,2.3229,2.3229,2.3229,2.3229,0,0
STF_PB,D,20071031,000000,2.3229,2.3229,2.3229,2.3229,0,0
STF_PB,D,20071102,000000,2.24483,2.24483,2.24483,2.24483,0,0
STF_PB,D,20071105,000000,2.13126,2.13126,2.13126,2.13126,0,0
STF_PB,D,20071106,000000,1.96079,1.96079,1.96079,1.96079,0,0
STF_PB,D,20071107,000000,1.84705,1.84705,1.84705,1.84705,0,0
STF_PB,D,20071108,000000,1.75464,1.75464,1.75464,1.75464,0,0
STF_PB,D,20071109,000000,1.87542,1.87542,1.6623,1.67649,0,0
STF_PB,D,20071112,000000,1.71216,1.71216,1.6482,1.66952,0,0
STF_PB,D,20071113,000000,1.66952,1.71216,1.65534,1.67649,0,0
STF_PB,D,20071114,000000,1.74054,1.74054,1.60548,1.65534,0,0
STF_PB,D,20071115,000000,1.61992,1.65534,1.44222,1.44222,0,0
STF_PB,D,20071116,000000,1.42081,1.44222,1.32135,1.41377,0,0
STF_PB,D,20071119,000000,1.41377,1.41377,1.31422,1.31422,0,0
STF_PB,D,20071120,000000,1.3284,1.3284,1.25033,1.30708,0,0
STF_PB,D,20071121,000000,1.29994,1.29994,1.17211,1.23607,0,0
STF_PB,D,20071122,000000,1.23607,1.30708,1.17211,1.28592,0,0
STF_PB,D,20071123,000000,1.32135,1.33562,1.29994,1.29994,0,0
STF_PB,D,20071126,000000,1.37826,1.44936,1.37095,1.39244,0,0
