<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STF_PE,D,20070813,000000,14.0729,14.0729,14.0729,14.0729,0,0
STF_PE,D,20070814,000000,13.5105,13.5105,13.5105,13.5105,0,0
STF_PE,D,20070816,000000,11.4233,11.4233,11.4233,11.4233,0,0
STF_PE,D,20070817,000000,10.7273,10.7273,10.7273,10.7273,0,0
STF_PE,D,20070820,000000,10.7273,10.7273,10.7273,10.7273,0,0
STF_PE,D,20070821,000000,9.96152,9.96152,9.96152,9.96152,0,0
STF_PE,D,20070822,000000,10.2453,10.2453,10.2453,10.2453,0,0
STF_PE,D,20070823,000000,10.6576,10.6576,10.6576,10.6576,0,0
STF_PE,D,20070824,000000,11.0757,11.0757,11.0757,11.0757,0,0
STF_PE,D,20070827,000000,11.7725,11.7725,11.7725,11.7725,0,0
STF_PE,D,20070828,000000,11.3527,11.3527,11.3527,11.3527,0,0
STF_PE,D,20070829,000000,11.2889,11.2889,11.2889,11.2889,0,0
STF_PE,D,20070830,000000,11.2889,11.2889,11.2889,11.2889,0,0
STF_PE,D,20070831,000000,11.4955,11.4955,11.4955,11.4955,0,0
STF_PE,D,20070903,000000,12.1193,12.1193,12.1193,12.1193,0,0
STF_PE,D,20070904,000000,12.1914,12.1914,12.1914,12.1914,0,0
STF_PE,D,20070905,000000,12.1914,12.1914,12.1914,12.1914,0,0
STF_PE,D,20070906,000000,11.8422,11.8422,11.8422,11.8422,0,0
STF_PE,D,20070907,000000,11.4233,11.4233,11.4233,11.4233,0,0
STF_PE,D,20070910,000000,11.2167,11.2167,11.2167,11.2167,0,0
STF_PE,D,20070911,000000,11.2889,11.2889,11.2889,11.2889,0,0
STF_PE,D,20070912,000000,11.2167,11.2167,11.2167,11.2167,0,0
STF_PE,D,20070913,000000,11.2167,11.2167,11.2167,11.2167,0,0
STF_PE,D,20070914,000000,11.3527,11.3527,11.3527,11.3527,0,0
STF_PE,D,20070917,000000,11.2889,11.2889,11.2889,11.2889,0,0
STF_PE,D,20070918,000000,11.2889,11.2889,11.2889,11.2889,0,0
STF_PE,D,20070919,000000,12.262,12.262,12.262,12.262,0,0
STF_PE,D,20070920,000000,12.0554,12.0554,12.0554,12.0554,0,0
STF_PE,D,20070921,000000,12.1193,12.1193,12.1193,12.1193,0,0
STF_PE,D,20070924,000000,11.7725,11.7725,11.7725,11.7725,0,0
STF_PE,D,20070925,000000,11.984,11.984,11.984,11.984,0,0
STF_PE,D,20070926,000000,11.7078,11.7078,11.7078,11.7078,0,0
STF_PE,D,20070927,000000,11.7078,11.7078,11.7078,11.7078,0,0
STF_PE,D,20070928,000000,11.6373,11.6373,11.6373,11.6373,0,0
STF_PE,D,20071001,000000,11.0043,11.0043,11.0043,11.0043,0,0
STF_PE,D,20071002,000000,10.7273,10.7273,10.7273,10.7273,0,0
STF_PE,D,20071003,000000,10.7986,10.7986,10.7986,10.7986,0,0
STF_PE,D,20071004,000000,10.6576,10.6576,10.6576,10.6576,0,0
STF_PE,D,20071005,000000,11.147,11.147,11.147,11.147,0,0
