<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STH_PE,D,20211210,000000,19.9851,19.9851,19.9851,19.9851,0,0
STH_PE,D,20211213,000000,20.6545,21.5151,20.6545,20.7501,0,0
STH_PE,D,20211214,000000,20.9414,20.9414,20.272,20.6545,0,0
STH_PE,D,20211215,000000,20.7501,20.7501,20.4632,20.4632,0,0
STH_PE,D,20211216,000000,20.6545,20.8458,20.4632,20.5588,0,0
STH_PE,D,20211217,000000,20.5588,20.6545,19.8895,20.1763,0,0
STH_PE,D,20211220,000000,19.8895,19.8895,19.4114,19.6026,0,0
STH_PE,D,20211221,000000,19.7939,20.272,19.507,20.1763,0,0
STH_PE,D,20211222,000000,20.1763,20.3676,20.0807,20.272,0,0
STH_PE,D,20211223,000000,20.3676,20.3676,19.507,20.3676,0,0
STH_PE,D,20211227,000000,20.3676,20.3676,19.7939,19.7939,0,0
STH_PE,D,20211228,000000,19.6983,20.1763,19.6983,20.1763,0,0
STH_PE,D,20211229,000000,19.8895,20.272,19.8895,20.1763,0,0
STH_PE,D,20211230,000000,20.1763,20.1763,19.7939,19.7939,0,0
STH_PE,D,20220103,000000,20.1763,20.1763,19.7939,19.8895,0,0
STH_PE,D,20220104,000000,19.9851,19.9851,19.6983,19.6983,0,0
STH_PE,D,20220105,000000,19.6983,19.6983,18.9332,18.9332,0,0
STH_PE,D,20220107,000000,18.9332,19.3158,18.742,19.2202,0,0
STH_PE,D,20220110,000000,19.2202,19.7939,19.1246,19.2202,0,0
STH_PE,D,20220111,000000,19.3158,19.6983,19.3158,19.507,0,0
STH_PE,D,20220112,000000,19.6983,20.1763,19.6983,20.1763,0,0
STH_PE,D,20220113,000000,20.1763,20.272,19.9851,19.9851,0,0
STH_PE,D,20220114,000000,19.9851,20.0807,19.7939,19.7939,0,0
STH_PE,D,20220117,000000,20.1763,20.1763,19.8895,20.0807,0,0
STH_PE,D,20220118,000000,20.1763,20.1763,19.6026,19.7939,0,0
STH_PE,D,20220119,000000,19.7939,19.7939,19.4114,19.6026,0,0
STH_PE,D,20220120,000000,19.6983,19.6983,19.3158,19.3158,0,0
STH_PE,D,20220121,000000,19.3158,20.0807,19.3158,20.0807,0,0
STH_PE,D,20220124,000000,20.0807,20.0807,19.2202,19.4114,0,0
STH_PE,D,20220125,000000,19.1246,19.4114,18.3595,18.3595,0,0
STH_PE,D,20220126,000000,18.2639,18.8376,17.9771,18.8376,0,0
STH_PE,D,20220127,000000,18.5508,18.8376,17.9771,18.3595,0,0
STH_PE,D,20220128,000000,18.0727,18.742,17.5946,18.742,0,0
STH_PE,D,20220131,000000,18.6464,18.742,17.9771,18.5508,0,0
STH_PE,D,20220201,000000,18.5508,18.5508,18.2639,18.2639,0,0
STH_PE,D,20220202,000000,18.2639,18.3595,17.9771,17.9771,0,0
STH_PE,D,20220203,000000,17.9771,17.9771,17.499,17.5946,0,0
STH_PE,D,20220204,000000,17.9771,17.9771,16.9252,16.9252,0,0
STH_PE,D,20220207,000000,17.0208,17.212,16.9252,17.1164,0,0
STH_PE,D,20220208,000000,17.0208,17.7858,17.0208,17.7858,0,0
STH_PE,D,20220209,000000,17.7858,17.7858,17.0208,17.212,0,0
STH_PE,D,20220210,000000,17.212,17.5946,17.1164,17.499,0,0
STH_PE,D,20220211,000000,17.212,17.5946,17.0208,17.5946,0,0
STH_PE,D,20220214,000000,17.212,17.212,16.8296,16.9252,0,0
STH_PE,D,20220215,000000,16.8296,17.1164,16.6383,16.7339,0,0
STH_PE,D,20220216,000000,16.5427,17.0208,15.5864,15.5864,0,0
STH_PE,D,20220217,000000,15.204,15.8734,14.6303,14.8215,0,0
STH_PE,D,20220218,000000,14.8215,15.4908,14.7259,15.0127,0,0
STH_PE,D,20220221,000000,15.204,15.8734,14.439,14.439,0,0
STH_PE,D,20220222,000000,14.439,15.4908,14.3434,15.3952,0,0
STH_PE,D,20220223,000000,15.5864,15.6821,14.5347,14.7259,0,0
STH_PE,D,20220224,000000,14.2478,14.2478,12.8134,13.0047,0,0
STH_PE,D,20220225,000000,13.7696,13.7696,13.1959,13.3871,0,0
STH_PE,D,20220228,000000,13.3871,13.7696,13.1003,13.7696,0,0
STH_PE,D,20220301,000000,13.7696,14.1522,13.1959,13.2915,0,0
STH_PE,D,20220302,000000,13.4828,13.674,12.8134,13.2915,0,0
STH_PE,D,20220303,000000,12.8134,13.4828,12.8134,13.1959,0,0
STH_PE,D,20220304,000000,13.2915,13.2915,12.431,12.6222,0,0
STH_PE,D,20220307,000000,11.6659,11.9528,11.4747,11.7616,0,0
STH_PE,D,20220308,000000,11.7616,12.0484,11.5703,11.7616,0,0
STH_PE,D,20220309,000000,11.9528,12.3353,11.6659,11.9528,0,0
STH_PE,D,20220310,000000,11.9528,13.8652,11.9528,13.8652,0,0
STH_PE,D,20220311,000000,13.9608,14.3434,13.1003,14.3434,0,0
STH_PE,D,20220314,000000,14.3434,14.7259,14.2478,14.3434,0,0
STH_PE,D,20220315,000000,14.5347,14.5347,13.4828,13.4828,0,0
STH_PE,D,20220316,000000,13.5784,14.0566,13.3871,14.0566,0,0
STH_PE,D,20220317,000000,14.0566,14.439,14.0566,14.3434,0,0
STH_PE,D,20220318,000000,14.5347,14.9171,14.2478,14.8215,0,0
STH_PE,D,20220321,000000,15.1084,15.2996,14.439,14.7259,0,0
STH_PE,D,20220322,000000,14.7259,14.7259,14.439,14.6303,0,0
STH_PE,D,20220323,000000,14.5347,14.6303,14.3434,14.6303,0,0
STH_PE,D,20220324,000000,14.5347,14.9171,14.2478,14.9171,0,0
STH_PE,D,20220325,000000,15.1084,15.1084,14.3434,14.3434,0,0
STH_PE,D,20220328,000000,14.439,14.439,13.9608,13.9608,0,0
STH_PE,D,20220329,000000,13.9608,14.5347,13.9608,13.9608,0,0
STH_PE,D,20220330,000000,15.1084,15.1084,14.439,14.5347,0,0
STH_PE,D,20220331,000000,14.5347,14.7259,14.3434,14.6303,0,0
STH_PE,D,20220401,000000,14.6303,15.0127,14.6303,14.7259,0,0
STH_PE,D,20220404,000000,14.9171,14.9171,14.5347,14.6303,0,0
STH_PE,D,20220405,000000,14.9171,14.9171,14.439,14.5347,0,0
STH_PE,D,20220406,000000,14.7259,14.7259,14.0566,14.2478,0,0
STH_PE,D,20220407,000000,13.9608,14.1522,13.674,13.8652,0,0
STH_PE,D,20220408,000000,13.5784,13.9608,13.2915,13.2915,0,0
STH_PE,D,20220411,000000,12.9091,13.4828,12.9091,13.1959,0,0
STH_PE,D,20220412,000000,13.1959,13.8652,13.1003,13.4828,0,0
STH_PE,D,20220413,000000,13.5784,13.5784,12.9091,12.9091,0,0
STH_PE,D,20220414,000000,13.2915,13.5784,13.0047,13.4828,0,0
STH_PE,D,20220419,000000,13.4828,14.0566,13.2915,13.8652,0,0
STH_PE,D,20220420,000000,13.8652,14.6303,13.8652,14.1522,0,0
STH_PE,D,20220421,000000,14.0566,14.3434,13.9608,13.9608,0,0
STH_PE,D,20220422,000000,13.9608,13.9608,13.4828,13.674,0,0
STH_PE,D,20220425,000000,13.8652,13.8652,13.1959,13.4828,0,0
STH_PE,D,20220426,000000,13.5784,13.5784,13.1959,13.3871,0,0
STH_PE,D,20220427,000000,13.3871,13.4828,13.0047,13.2915,0,0
STH_PE,D,20220428,000000,13.1003,13.1003,12.5266,12.6222,0,0
STH_PE,D,20220429,000000,12.7178,12.7178,12.2396,12.6222,0,0
STH_PE,D,20220502,000000,12.6222,12.6222,12.144,12.431,0,0
STH_PE,D,20220504,000000,12.7178,12.7178,12.0484,12.0484,0,0
STH_PE,D,20220505,000000,12.144,12.3353,11.5703,11.5703,0,0
STH_PE,D,20220506,000000,11.3791,11.7616,10.9966,11.7616,0,0
STH_PE,D,20220509,000000,11.9528,12.0484,11.4747,11.7616,0,0
STH_PE,D,20220510,000000,11.4747,11.4747,10.8054,10.901,0,0
STH_PE,D,20220511,000000,10.8054,10.8054,10.2316,10.5184,0,0
STH_PE,D,20220512,000000,10.3272,10.7097,9.9447,10.7097,0,0
STH_PE,D,20220513,000000,10.8054,10.8054,10.0404,10.4228,0,0
STH_PE,D,20220516,000000,10.2316,10.5184,10.136,10.2316,0,0
STH_PE,D,20220517,000000,10.2316,10.5184,10.2316,10.3272,0,0
STH_PE,D,20220518,000000,10.3272,10.6141,10.2316,10.4228,0,0
STH_PE,D,20220519,000000,10.136,13.8652,10.0404,13.8652,0,0
STH_PE,D,20220520,000000,14.1522,14.1522,13.674,13.9608,0,0
STH_PE,D,20220523,000000,14.439,14.8215,14.1522,14.8215,0,0
STH_PE,D,20220524,000000,14.8215,15.3952,14.2478,14.2478,0,0
STH_PE,D,20220525,000000,14.2478,14.8215,13.9608,14.5347,0,0
