<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STX_PB,D,20070813,000000,3.42708,3.42708,3.42708,3.42708,0,0
STX_PB,D,20070814,000000,3.20134,3.20134,3.20134,3.20134,0,0
STX_PB,D,20070816,000000,2.58765,2.58765,2.58765,2.58765,0,0
STX_PB,D,20070817,000000,2.54716,2.54716,2.54716,2.54716,0,0
STX_PB,D,20070820,000000,2.62823,2.62823,2.62823,2.62823,0,0
STX_PB,D,20070821,000000,2.4661,2.4661,2.4661,2.4661,0,0
STX_PB,D,20070822,000000,2.61662,2.61662,2.61662,2.61662,0,0
STX_PB,D,20070823,000000,1.89874,1.89874,1.89874,1.89874,0,0
STX_PB,D,20070824,000000,2.12457,2.12457,2.12457,2.12457,0,0
STX_PB,D,20070827,000000,2.13609,2.13609,2.13609,2.13609,0,0
STX_PB,D,20070828,000000,2.07824,2.07824,2.07824,2.07824,0,0
STX_PB,D,20070829,000000,2.21715,2.21715,2.21715,2.21715,0,0
STX_PB,D,20070830,000000,2.18827,2.18827,2.18827,2.18827,0,0
STX_PB,D,20070831,000000,2.25773,2.25773,2.25773,2.25773,0,0
STX_PB,D,20070903,000000,2.26349,2.26349,2.26349,2.26349,0,0
STX_PB,D,20070904,000000,2.2867,2.2867,2.2867,2.2867,0,0
STX_PB,D,20070905,000000,2.19979,2.19979,2.19979,2.19979,0,0
STX_PB,D,20070906,000000,2.12457,2.12457,2.12457,2.12457,0,0
STX_PB,D,20070907,000000,2.01472,2.01472,2.01472,2.01472,0,0
STX_PB,D,20070910,000000,1.95669,1.95669,1.95669,1.95669,0,0
STX_PB,D,20070911,000000,2.02039,2.02039,2.02039,2.02039,0,0
STX_PB,D,20070912,000000,1.99726,1.99726,1.99726,1.99726,0,0
STX_PB,D,20070913,000000,2.02614,2.02614,2.02614,2.02614,0,0
STX_PB,D,20070914,000000,2.01472,2.01472,2.01472,2.01472,0,0
STX_PB,D,20070917,000000,2.02039,2.02039,2.02039,2.02039,0,0
STX_PB,D,20070918,000000,2.05502,2.05502,2.05502,2.05502,0,0
STX_PB,D,20070919,000000,2.14779,2.14779,2.14779,2.14779,0,0
STX_PB,D,20070920,000000,2.08409,2.08409,2.08409,2.08409,0,0
STX_PB,D,20070921,000000,2.06096,2.06096,2.06096,2.06096,0,0
STX_PB,D,20070924,000000,2.00293,2.00293,2.00293,2.00293,0,0
STX_PB,D,20070925,000000,1.95669,1.95669,1.95669,1.95669,0,0
STX_PB,D,20070926,000000,1.93347,1.93347,1.93347,1.93347,0,0
STX_PB,D,20070927,000000,1.88138,1.88138,1.88138,1.88138,0,0
STX_PB,D,20070928,000000,1.86411,1.86411,1.86411,1.86411,0,0
STX_PB,D,20071001,000000,1.82362,1.82362,1.82362,1.82362,0,0
STX_PB,D,20071002,000000,1.88723,1.88723,1.88723,1.88723,0,0
STX_PB,D,20071003,000000,1.92196,1.92196,1.92196,1.92196,0,0
STX_PB,D,20071004,000000,1.88723,1.88723,1.88723,1.88723,0,0
STX_PB,D,20071005,000000,1.88723,1.88723,1.88723,1.88723,0,0
STX_PB,D,20071008,000000,1.91611,1.91611,1.91611,1.91611,0,0
STX_PB,D,20071009,000000,1.92196,1.92196,1.92196,1.92196,0,0
STX_PB,D,20071010,000000,1.90459,1.90459,1.90459,1.90459,0,0
STX_PB,D,20071011,000000,1.91044,1.91044,1.91044,1.91044,0,0
STX_PB,D,20071012,000000,1.88723,1.88723,1.88723,1.88723,0,0
STX_PB,D,20071015,000000,1.91044,1.91044,1.91044,1.91044,0,0
STX_PB,D,20071016,000000,1.89299,1.89299,1.89299,1.89299,0,0
STX_PB,D,20071017,000000,1.91044,1.91044,1.91044,1.91044,0,0
STX_PB,D,20071018,000000,1.85241,1.85241,1.85241,1.85241,0,0
STX_PB,D,20071019,000000,1.84674,1.84674,1.84674,1.84674,0,0
STX_PB,D,20071022,000000,1.80616,1.80616,1.80616,1.80616,0,0
STX_PB,D,20071023,000000,1.86411,1.86411,1.86411,1.86411,0,0
STX_PB,D,20071024,000000,1.82938,1.82938,1.82938,1.82938,0,0
STX_PB,D,20071025,000000,1.84674,1.84674,1.84674,1.84674,0,0
STX_PB,D,20071026,000000,1.85826,1.85826,1.85826,1.85826,0,0
STX_PB,D,20071029,000000,1.86411,1.86411,1.86411,1.86411,0,0
STX_PB,D,20071030,000000,1.88138,1.88138,1.88138,1.88138,0,0
STX_PB,D,20071031,000000,1.97414,1.97414,1.97414,1.97414,0,0
STX_PB,D,20071102,000000,2.14194,2.14194,2.14194,2.14194,0,0
STX_PB,D,20071105,000000,2.17081,2.17081,2.17081,2.17081,0,0
STX_PB,D,20071106,000000,2.11872,2.11872,2.11872,2.11872,0,0
STX_PB,D,20071107,000000,2.07824,2.07824,2.07824,2.07824,0,0
STX_PB,D,20071108,000000,2.0956,2.0956,2.0956,2.0956,0,0
STX_PB,D,20071109,000000,2.11872,2.12457,2.05502,2.08984,0,0
STX_PB,D,20071112,000000,2.06096,2.13609,2.01472,2.01472,0,0
STX_PB,D,20071113,000000,2.0319,2.05502,2.01472,2.03775,0,0
STX_PB,D,20071114,000000,2.07824,2.11306,1.97414,1.97414,0,0
STX_PB,D,20071115,000000,1.9682,1.99726,1.80031,1.80031,0,0
STX_PB,D,20071116,000000,1.79456,1.80031,1.65574,1.71944,0,0
STX_PB,D,20071119,000000,1.7251,1.7251,1.55146,1.55146,0,0
STX_PB,D,20071120,000000,1.40679,1.40679,1.40679,1.40679,0,0
STX_PB,D,20071121,000000,1.3546,1.37196,1.27948,1.29684,0,0
STX_PB,D,20071122,000000,1.29684,1.45312,1.2389,1.45312,0,0
STX_PB,D,20071123,000000,1.46464,1.47615,1.42415,1.43566,0,0
STX_PB,D,20071126,000000,1.46464,1.51097,1.38933,1.44142,0,0
STX_PB,D,20071127,000000,1.38933,1.46464,1.38933,1.40094,0,0
STX_PB,D,20071128,000000,1.42991,1.51673,1.39509,1.51673,0,0
STX_PB,D,20071129,000000,1.60921,1.60921,1.52239,1.55721,0,0
STX_PB,D,20071130,000000,1.56882,1.62091,1.56882,1.60921,0,0
STX_PB,D,20071203,000000,1.60921,1.61516,1.56297,1.57458,0,0
STX_PB,D,20071204,000000,1.55721,1.56882,1.52239,1.52834,0,0
STX_PB,D,20071205,000000,1.55721,1.58619,1.55721,1.57458,0,0
STX_PB,D,20071206,000000,1.60921,1.60921,1.55721,1.55721,0,0
STX_PB,D,20071207,000000,1.56882,1.56882,1.53409,1.55721,0,0
STX_PB,D,20071210,000000,1.56297,1.61516,1.52239,1.56297,0,0
STX_PB,D,20071211,000000,1.56882,1.56882,1.52239,1.53409,0,0
STX_PB,D,20071212,000000,1.50512,1.53409,1.48776,1.50512,0,0
STX_PB,D,20071213,000000,1.49351,1.49351,1.42991,1.42991,0,0
STX_PB,D,20071214,000000,1.44727,1.45312,1.4183,1.42415,0,0
STX_PB,D,20071217,000000,1.40679,1.40679,1.33139,1.33139,0,0
STX_PB,D,20071218,000000,1.33724,1.38357,1.26769,1.37772,0,0
STX_PB,D,20071219,000000,1.38357,1.38933,1.3546,1.38357,0,0
STX_PB,D,20071220,000000,1.38933,1.4183,1.38357,1.40094,0,0
STX_PB,D,20071221,000000,1.41254,1.41254,1.36054,1.37772,0,0
STX_PB,D,20071227,000000,1.37772,1.42991,1.37772,1.4183,0,0
STX_PB,D,20071228,000000,1.4183,1.46464,1.4183,1.44727,0,0
STX_PB,D,20080102,000000,1.47039,1.47039,1.4183,1.42415,0,0
STX_PB,D,20080103,000000,1.42991,1.47615,1.37196,1.46464,0,0
STX_PB,D,20080104,000000,1.46464,1.47039,1.41254,1.41254,0,0
STX_PB,D,20080107,000000,1.38933,1.38933,1.36054,1.36054,0,0
STX_PB,D,20080108,000000,1.3663,1.39509,1.34309,1.39509,0,0
STX_PB,D,20080109,000000,1.37196,1.37196,1.27363,1.2909,0,0
STX_PB,D,20080110,000000,1.31987,1.31987,1.1635,1.20993,0,0
STX_PB,D,20080111,000000,1.22729,1.28505,1.18671,1.23305,0,0
STX_PB,D,20080114,000000,1.22729,1.22729,1.22729,1.22729,0,0
STX_PB,D,20080115,000000,1.23305,1.26211,1.18671,1.18671,0,0
STX_PB,D,20080116,000000,1.1115,1.16944,1.0998,1.12886,0,0
STX_PB,D,20080117,000000,1.16944,1.18671,1.15199,1.18671,0,0
STX_PB,D,20080118,000000,1.18096,1.25626,1.1752,1.25626,0,0
STX_PB,D,20080121,000000,1.19256,1.25041,1.15784,1.1635,0,0
STX_PB,D,20080122,000000,1.11726,1.1752,1.11726,1.16944,0,0
STX_PB,D,20080123,000000,1.20993,1.20993,1.13471,1.1752,0,0
STX_PB,D,20080124,000000,1.22729,1.25041,1.20408,1.2389,0,0
STX_PB,D,20080125,000000,1.27363,1.27363,1.22729,1.23305,0,0
STX_PB,D,20080128,000000,1.18671,1.19832,1.16944,1.16944,0,0
STX_PB,D,20080129,000000,1.19832,1.22729,1.19832,1.22144,0,0
STX_PB,D,20080130,000000,1.21569,1.22729,1.20993,1.20993,0,0
STX_PB,D,20080131,000000,1.20993,1.22144,1.1635,1.1635,0,0
STX_PB,D,20080201,000000,1.19256,1.51097,1.19256,1.51097,0,0
STX_PB,D,20080204,000000,1.49351,1.55146,1.46464,1.46464,0,0
STX_PB,D,20080205,000000,1.45312,1.51673,1.37772,1.38933,0,0
STX_PB,D,20080206,000000,1.36054,1.49936,1.34884,1.49936,0,0
STX_PB,D,20080207,000000,1.49351,1.63252,1.49351,1.60921,0,0
STX_PB,D,20080208,000000,1.67876,1.67876,1.59779,1.63252,0,0
STX_PB,D,20080211,000000,1.63837,1.74256,1.61516,1.6614,0,0
STX_PB,D,20080212,000000,1.70198,1.70783,1.67301,1.67301,0,0
STX_PB,D,20080213,000000,1.67301,1.69046,1.64413,1.64413,0,0
STX_PB,D,20080214,000000,1.69613,1.69613,1.64413,1.64989,0,0
STX_PB,D,20080215,000000,1.62667,1.65574,1.56882,1.59779,0,0
STX_PB,D,20080218,000000,1.62667,1.65574,1.59204,1.65574,0,0
STX_PB,D,20080219,000000,1.64413,1.71944,1.60364,1.70783,0,0
STX_PB,D,20080220,000000,1.67876,1.74256,1.67301,1.70783,0,0
STX_PB,D,20080221,000000,1.75407,1.78304,1.70783,1.74822,0,0
STX_PB,D,20080222,000000,1.73671,1.75983,1.71944,1.71944,0,0
STX_PB,D,20080225,000000,1.75407,1.75407,1.67301,1.69613,0,0
STX_PB,D,20080226,000000,1.70198,1.70783,1.64989,1.65574,0,0
STX_PB,D,20080227,000000,1.67876,1.67876,1.59779,1.62667,0,0
STX_PB,D,20080228,000000,1.63252,1.63252,1.56882,1.56882,0,0
STX_PB,D,20080229,000000,1.53985,1.58619,1.37196,1.37196,0,0
STX_PB,D,20080303,000000,1.30836,1.30836,1.26211,1.27948,0,0
STX_PB,D,20080304,000000,1.30251,1.49351,1.27948,1.48776,0,0
STX_PB,D,20080305,000000,1.49936,1.49936,1.40094,1.42415,0,0
STX_PB,D,20080306,000000,1.42415,1.45312,1.40094,1.42415,0,0
STX_PB,D,20080307,000000,1.37772,1.44142,1.3663,1.39509,0,0
STX_PB,D,20080310,000000,1.34309,1.4183,1.34309,1.37772,0,0
STX_PB,D,20080311,000000,1.38357,1.43566,1.38357,1.42415,0,0
STX_PB,D,20080312,000000,1.45879,1.45879,1.42415,1.45312,0,0
STX_PB,D,20080313,000000,1.42415,1.45312,1.36054,1.36054,0,0
STX_PB,D,20080314,000000,1.37772,1.45312,1.37772,1.40679,0,0
STX_PB,D,20080317,000000,1.37772,1.42415,1.30836,1.30836,0,0
STX_PB,D,20080318,000000,1.33724,1.34884,1.32572,1.34309,0,0
STX_PB,D,20080319,000000,1.3663,1.3663,1.31421,1.31987,0,0
STX_PB,D,20080320,000000,1.31421,1.33724,1.30836,1.32572,0,0
STX_PB,D,20080325,000000,1.3663,1.3663,1.36054,1.36054,0,0
STX_PB,D,20080326,000000,1.37196,1.44727,1.37196,1.40679,0,0
STX_PB,D,20080327,000000,1.42991,1.46464,1.40679,1.43566,0,0
STX_PB,D,20080328,000000,1.44727,1.46464,1.41254,1.41254,0,0
STX_PB,D,20080331,000000,1.44142,1.44142,1.44142,1.44142,0,0
STX_PB,D,20080401,000000,1.46464,1.50512,1.46464,1.48776,0,0
STX_PB,D,20080402,000000,1.50512,1.50512,1.44142,1.45879,0,0
STX_PB,D,20080403,000000,1.46464,1.46464,1.40679,1.40679,0,0
STX_PB,D,20080404,000000,1.40679,1.44727,1.40679,1.42415,0,0
STX_PB,D,20080407,000000,1.44142,1.45312,1.42991,1.44142,0,0
STX_PB,D,20080408,000000,1.43566,1.44142,1.4183,1.42991,0,0
STX_PB,D,20080409,000000,1.42415,1.482,1.42415,1.47039,0,0
STX_PB,D,20080410,000000,1.47039,1.47039,1.43566,1.45312,0,0
STX_PB,D,20080411,000000,1.47039,1.47039,1.40094,1.40679,0,0
STX_PB,D,20080414,000000,1.37772,1.41254,1.3663,1.39509,0,0
STX_PB,D,20080415,000000,1.38357,1.40094,1.3663,1.39509,0,0
STX_PB,D,20080416,000000,1.40094,1.40094,1.36054,1.3663,0,0
STX_PB,D,20080417,000000,1.38357,1.38357,1.31987,1.32572,0,0
STX_PB,D,20080418,000000,1.31421,1.34309,1.31421,1.34309,0,0
STX_PB,D,20080421,000000,1.3663,1.3663,1.30836,1.30836,0,0
STX_PB,D,20080422,000000,1.30251,1.30251,1.20993,1.2389,0,0
STX_PB,D,20080423,000000,1.2389,1.25626,1.1752,1.20408,0,0
STX_PB,D,20080424,000000,1.22729,1.2389,1.21569,1.21569,0,0
STX_PB,D,20080425,000000,1.24466,1.32572,1.24466,1.30251,0,0
STX_PB,D,20080428,000000,1.32572,1.32572,1.26211,1.26211,0,0
STX_PB,D,20080429,000000,1.24466,1.25626,1.22144,1.22144,0,0
STX_PB,D,20080430,000000,1.22144,1.24466,1.22144,1.23305,0,0
STX_PB,D,20080505,000000,1.23305,1.28505,1.23305,1.26769,0,0
STX_PB,D,20080506,000000,1.26769,1.2909,1.25041,1.28505,0,0
STX_PB,D,20080507,000000,1.2909,1.3663,1.2909,1.3663,0,0
STX_PB,D,20080508,000000,1.33139,1.36054,1.31987,1.34884,0,0
STX_PB,D,20080509,000000,1.34309,1.3663,1.32572,1.32572,0,0
STX_PB,D,20080512,000000,1.30836,1.30836,1.27363,1.27363,0,0
STX_PB,D,20080513,000000,1.28505,1.28505,1.2389,1.24466,0,0
STX_PB,D,20080514,000000,1.25041,1.27363,1.25041,1.27363,0,0
STX_PB,D,20080515,000000,1.27363,1.27363,1.23305,1.23305,0,0
STX_PB,D,20080516,000000,1.24466,1.25041,1.22144,1.22144,0,0
STX_PB,D,20080519,000000,1.22144,1.2389,1.19256,1.20993,0,0
STX_PB,D,20080520,000000,1.20993,1.20993,1.18096,1.18671,0,0
STX_PB,D,20080521,000000,1.18096,1.22144,1.18096,1.19832,0,0
STX_PB,D,20080523,000000,1.19832,1.19832,1.16944,1.18096,0,0
STX_PB,D,20080526,000000,1.18096,1.19832,1.16944,1.1752,0,0
STX_PB,D,20080527,000000,1.18096,1.20408,1.18096,1.18096,0,0
STX_PB,D,20080528,000000,1.18671,1.22729,1.18671,1.19832,0,0
STX_PB,D,20080529,000000,1.20993,1.20993,1.18096,1.19832,0,0
STX_PB,D,20080530,000000,1.19832,1.20408,1.19256,1.20408,0,0
STX_PB,D,20080602,000000,1.19832,1.19832,1.18671,1.19832,0,0
STX_PB,D,20080603,000000,1.19832,1.19832,1.1635,1.18096,0,0
STX_PB,D,20080604,000000,1.18671,1.18671,1.12311,1.12886,0,0
STX_PB,D,20080605,000000,1.14047,1.1635,1.11726,1.14047,0,0
STX_PB,D,20080606,000000,1.15199,1.15199,1.10565,1.10565,0,0
STX_PB,D,20080609,000000,1.08838,1.10565,1.04204,1.05941,0,0
STX_PB,D,20080610,000000,1.03619,1.05941,0.926157,0.9321,0,0
STX_PB,D,20080611,000000,0.937857,0.937857,0.908793,0.908793,0,0
STX_PB,D,20080612,000000,0.920586,0.98995,0.920586,0.984193,0,0
STX_PB,D,20080613,000000,0.966829,1.01883,0.949464,1.01883,0,0
STX_PB,D,20080616,000000,1.03044,1.08253,0.995707,1.00731,0,0
STX_PB,D,20080617,000000,1.02468,1.02468,0.972493,0.984193,0,0
STX_PB,D,20080618,000000,0.972493,0.972493,0.926157,0.926157,0,0
STX_PB,D,20080619,000000,0.920586,0.966829,0.914643,0.943614,0,0
STX_PB,D,20080620,000000,0.943614,0.972493,0.937857,0.937857,0,0
STX_PB,D,20080623,000000,0.955129,0.955129,0.9321,0.943614,0,0
STX_PB,D,20080624,000000,0.949464,0.949464,0.885764,0.914643,0,0
STX_PB,D,20080625,000000,0.914643,0.943614,0.914643,0.9321,0,0
STX_PB,D,20080626,000000,0.9321,0.949464,0.920586,0.9321,0,0
STX_PB,D,20080627,000000,0.897279,0.9321,0.897279,0.9321,0,0
STX_PB,D,20080630,000000,0.9321,0.9321,0.897279,0.914643,0,0
STX_PB,D,20080701,000000,0.914643,0.914643,0.8684,0.885764,0,0
STX_PB,D,20080702,000000,0.897279,0.897279,0.879914,0.879914,0,0
STX_PB,D,20080703,000000,0.8684,0.879914,0.856886,0.874064,0,0
STX_PB,D,20080704,000000,0.86255,0.879914,0.856886,0.856886,0,0
STX_PB,D,20080707,000000,0.86255,0.86255,0.8047,0.827729,0,0
STX_PB,D,20080708,000000,0.810457,0.821971,0.793186,0.8047,0,0
STX_PB,D,20080709,000000,0.816307,0.86255,0.816307,0.845186,0,0
STX_PB,D,20080710,000000,0.827729,0.86255,0.827729,0.833671,0,0
STX_PB,D,20080711,000000,0.851036,0.851036,0.79885,0.8047,0,0
STX_PB,D,20080714,000000,0.8047,0.810457,0.775729,0.775729,0,0
STX_PB,D,20080715,000000,0.764121,0.764121,0.729486,0.729486,0,0
STX_PB,D,20080716,000000,0.729486,0.752607,0.700514,0.729486,0,0
STX_PB,D,20080717,000000,0.764121,0.769879,0.741,0.758364,0,0
STX_PB,D,20080718,000000,0.758364,0.787243,0.741,0.752607,0,0
STX_PB,D,20080721,000000,0.758364,0.781486,0.758364,0.769879,0,0
STX_PB,D,20080722,000000,0.769879,0.793186,0.769879,0.787243,0,0
STX_PB,D,20080723,000000,0.8047,0.827729,0.787243,0.8047,0,0
STX_PB,D,20080724,000000,0.821971,0.821971,0.787243,0.787243,0,0
STX_PB,D,20080725,000000,0.764121,0.821971,0.764121,0.821971,0,0
STX_PB,D,20080728,000000,0.810457,0.839429,0.810457,0.821971,0,0
STX_PB,D,20080729,000000,0.8047,0.816307,0.79885,0.816307,0,0
STX_PB,D,20080730,000000,0.839429,0.8684,0.839429,0.86255,0,0
STX_PB,D,20080731,000000,0.86255,0.86255,0.821971,0.833671,0,0
STX_PB,D,20080801,000000,0.821971,0.839429,0.821971,0.827729,0,0
STX_PB,D,20080804,000000,0.821971,0.845186,0.821971,0.839429,0,0
STX_PB,D,20080805,000000,0.86255,0.897279,0.86255,0.8684,0,0
STX_PB,D,20080806,000000,0.897279,0.914643,0.845186,0.845186,0,0
STX_PB,D,20080807,000000,0.856886,0.8684,0.8047,0.8047,0,0
STX_PB,D,20080808,000000,0.79885,0.821971,0.79885,0.816307,0,0
STX_PB,D,20080811,000000,0.827729,0.839429,0.821971,0.827729,0,0
STX_PB,D,20080812,000000,0.821971,0.827729,0.8047,0.816307,0,0
STX_PB,D,20080813,000000,0.810457,0.821971,0.79885,0.8047,0,0
STX_PB,D,20080814,000000,0.8047,0.816307,0.8047,0.810457,0,0
STX_PB,D,20080818,000000,0.816307,0.833671,0.79885,0.810457,0,0
STX_PB,D,20080819,000000,0.816307,0.821971,0.787243,0.787243,0,0
STX_PB,D,20080820,000000,0.79885,0.8047,0.793186,0.793186,0,0
STX_PB,D,20080821,000000,0.8047,0.821971,0.79885,0.821971,0,0
STX_PB,D,20080822,000000,0.827729,0.9321,0.821971,0.926157,0,0
STX_PB,D,20080825,000000,0.920586,0.966829,0.903221,0.908793,0,0
STX_PB,D,20080826,000000,0.891429,0.903221,0.879914,0.879914,0,0
STX_PB,D,20080827,000000,0.885764,0.914643,0.879914,0.908793,0,0
STX_PB,D,20080828,000000,0.908793,0.960886,0.908793,0.943614,0,0
STX_PB,D,20080829,000000,0.955129,1.00146,0.955129,0.978343,0,0
STX_PB,D,20080901,000000,0.972493,1.01307,0.972493,1.00146,0,0
STX_PB,D,20080902,000000,1.00146,1.01307,0.972493,0.972493,0,0
STX_PB,D,20080903,000000,0.960886,0.972493,0.955129,0.972493,0,0
STX_PB,D,20080904,000000,0.984193,0.984193,0.937857,0.937857,0,0
STX_PB,D,20080905,000000,0.914643,0.920586,0.8684,0.879914,0,0
STX_PB,D,20080908,000000,0.914643,0.914643,0.897279,0.897279,0,0
STX_PB,D,20080909,000000,0.897279,0.908793,0.891429,0.897279,0,0
STX_PB,D,20080910,000000,0.879914,0.885764,0.845186,0.86255,0,0
STX_PB,D,20080911,000000,0.856886,0.856886,0.827729,0.827729,0,0
STX_PB,D,20080912,000000,0.845186,0.851036,0.827729,0.833671,0,0
STX_PB,D,20080915,000000,0.816307,0.816307,0.764121,0.775729,0,0
STX_PB,D,20080916,000000,0.764121,0.775729,0.741,0.752607,0,0
STX_PB,D,20080917,000000,0.769879,0.769879,0.746757,0.746757,0,0
STX_PB,D,20080918,000000,0.729486,0.775729,0.723543,0.775729,0,0
STX_PB,D,20080919,000000,0.8047,0.856886,0.775729,0.845186,0,0
STX_PB,D,20080922,000000,0.86255,0.8684,0.833671,0.839429,0,0
STX_PB,D,20080923,000000,0.821971,0.845186,0.810457,0.845186,0,0
STX_PB,D,20080924,000000,0.845186,0.856886,0.839429,0.851036,0,0
STX_PB,D,20080925,000000,0.856886,0.874064,0.851036,0.8684,0,0
STX_PB,D,20080926,000000,0.856886,0.86255,0.810457,0.833671,0,0
STX_PB,D,20080929,000000,0.833671,0.833671,0.769879,0.769879,0,0
STX_PB,D,20080930,000000,0.73515,0.787243,0.73515,0.769879,0,0
STX_PB,D,20081001,000000,0.781486,0.821971,0.775729,0.8047,0,0
STX_PB,D,20081002,000000,0.810457,0.816307,0.775729,0.775729,0,0
STX_PB,D,20081003,000000,0.781486,0.793186,0.769879,0.787243,0,0
STX_PB,D,20081006,000000,0.758364,0.781486,0.741,0.746757,0,0
STX_PB,D,20081007,000000,0.764121,0.769879,0.73515,0.758364,0,0
STX_PB,D,20081008,000000,0.717879,0.758364,0.700514,0.729486,0,0
STX_PB,D,20081009,000000,0.73515,0.752607,0.712121,0.717879,0,0
