<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWG_PE,D,20071205,000000,19.8454,19.8454,19.8454,19.8454,0,0
SWG_PE,D,20071206,000000,20.5926,20.5926,19.8454,20.4266,0,0
SWG_PE,D,20071207,000000,20.4266,20.4266,20.2607,20.4266,0,0
SWG_PE,D,20071210,000000,20.5926,20.5926,20.0113,20.4266,0,0
SWG_PE,D,20071211,000000,20.5092,21.2574,20.5092,21.2574,0,0
SWG_PE,D,20071212,000000,21.2574,22.3366,21.2574,22.3366,0,0
SWG_PE,D,20071213,000000,23.0838,23.0838,23.0838,23.0838,0,0
SWG_PE,D,20071214,000000,24.4114,24.4114,22.254,23.0838,0,0
SWG_PE,D,20071217,000000,23.0014,23.0014,22.0862,22.8344,0,0
SWG_PE,D,20071218,000000,22.8344,22.8344,22.8344,22.8344,0,0
SWG_PE,D,20071219,000000,23.2498,23.2498,22.254,22.254,0,0
SWG_PE,D,20071220,000000,22.0862,22.0862,21.4224,21.5068,0,0
SWG_PE,D,20071221,000000,21.3408,22.3366,21.3408,22.3366,0,0
SWG_PE,D,20071227,000000,22.254,23.0838,22.254,23.0838,0,0
SWG_PE,D,20071228,000000,23.2498,23.2498,23.2498,23.2498,0,0
SWG_PE,D,20080102,000000,23.3322,23.3322,23.2498,23.2498,0,0
SWG_PE,D,20080103,000000,22.8344,22.8344,22.254,22.8344,0,0
SWG_PE,D,20080107,000000,21.5068,22.585,21.5068,22.5025,0,0
SWG_PE,D,20080109,000000,21.9212,22.0037,21.7552,22.0037,0,0
SWG_PE,D,20080110,000000,22.0037,22.0037,22.0037,22.0037,0,0
SWG_PE,D,20080111,000000,22.0037,22.0037,22.0037,22.0037,0,0
SWG_PE,D,20080115,000000,21.5068,22.0037,21.5068,21.5068,0,0
SWG_PE,D,20080116,000000,20.2607,20.2607,19.5144,19.5144,0,0
SWG_PE,D,20080117,000000,20.2607,20.2607,19.265,19.265,0,0
SWG_PE,D,20080118,000000,19.6794,22.7528,19.6794,22.7528,0,0
SWG_PE,D,20080121,000000,22.7528,22.7528,22.7528,22.7528,0,0
SWG_PE,D,20080122,000000,22.5025,22.5025,22.5025,22.5025,0,0
SWG_PE,D,20080123,000000,22.5025,23.6652,22.5025,23.5816,0,0
SWG_PE,D,20080124,000000,24.163,24.163,23.3322,23.9146,0,0
SWG_PE,D,20080125,000000,23.6652,23.9146,23.6652,23.9146,0,0
SWG_PE,D,20080128,000000,23.9146,24.163,23.9146,24.163,0,0
SWG_PE,D,20080129,000000,24.4114,24.7434,24.4114,24.7434,0,0
SWG_PE,D,20080130,000000,24.7434,24.8268,24.7434,24.8268,0,0
SWG_PE,D,20080131,000000,24.9937,24.9937,23.831,24.7434,0,0
SWG_PE,D,20080201,000000,24.9937,25.3246,24.9937,25.3246,0,0
SWG_PE,D,20080204,000000,25.907,25.907,25.3246,25.3246,0,0
SWG_PE,D,20080205,000000,25.575,25.907,25.3246,25.907,0,0
SWG_PE,D,20080206,000000,25.3246,25.907,25.3246,25.3246,0,0
SWG_PE,D,20080207,000000,25.575,25.575,25.575,25.575,0,0
SWG_PE,D,20080208,000000,25.575,25.575,24.4958,25.3246,0,0
SWG_PE,D,20080211,000000,25.3246,25.3246,25.3246,25.3246,0,0
SWG_PE,D,20080212,000000,24.9102,24.9102,24.9102,24.9102,0,0
SWG_PE,D,20080213,000000,24.2464,25.9894,24.2464,25.907,0,0
SWG_PE,D,20080214,000000,25.907,26.4882,25.907,25.907,0,0
SWG_PE,D,20080215,000000,25.3246,25.907,25.3246,25.907,0,0
SWG_PE,D,20080218,000000,25.4091,26.4882,25.0762,26.4882,0,0
SWG_PE,D,20080219,000000,25.907,26.4882,25.8235,25.907,0,0
SWG_PE,D,20080220,000000,26.0729,26.0729,26.0729,26.0729,0,0
SWG_PE,D,20080221,000000,26.4882,26.4882,26.0729,26.4882,0,0
SWG_PE,D,20080222,000000,26.2398,26.6542,26.2398,26.6542,0,0
SWG_PE,D,20080226,000000,26.4048,26.5708,26.4048,26.5708,0,0
SWG_PE,D,20080227,000000,26.0729,26.4882,26.0729,26.4882,0,0
