<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TAR_MV,D,20130710,000000,93.1928,93.1928,93.1928,93.1928,0,0
TAR_MV,D,20130711,000000,93.8037,103.131,93.1928,102.866,0,0
TAR_MV,D,20130712,000000,102.429,103.66,101.116,102.866,0,0
TAR_MV,D,20130715,000000,109.021,109.021,105.675,107.006,0,0
TAR_MV,D,20130716,000000,107.088,107.088,105.502,106.386,0,0
TAR_MV,D,20130717,000000,105.502,106.386,103.751,103.751,0,0
TAR_MV,D,20130718,000000,101.554,101.554,99.7946,100.588,0,0
TAR_MV,D,20130719,000000,100.24,103.222,100.24,103.222,0,0
TAR_MV,D,20130722,000000,103.222,113.434,103.222,111.83,0,0
TAR_MV,D,20130723,000000,112.45,119.58,112.45,115.613,0,0
TAR_MV,D,20130724,000000,115.613,117.638,115.613,117.556,0,0
TAR_MV,D,20130725,000000,116.589,121.941,116.589,121.941,0,0
TAR_MV,D,20130726,000000,122.653,123.09,114.291,123.09,0,0
TAR_MV,D,20130729,000000,123.09,123.09,121.339,122.132,0,0
TAR_MV,D,20130730,000000,122.917,122.999,122.132,122.196,0,0
TAR_MV,D,20130731,000000,123.09,123.965,120.017,120.446,0,0
TAR_MV,D,20130801,000000,120.373,120.373,117.82,119.479,0,0
TAR_MV,D,20130802,000000,119.133,122.653,118.075,122.653,0,0
TAR_MV,D,20130805,000000,122.479,127.485,122.479,126.527,0,0
TAR_MV,D,20130806,000000,129.244,129.244,125.807,126.527,0,0
TAR_MV,D,20130807,000000,127.485,128.715,126.965,128.715,0,0
TAR_MV,D,20130808,000000,130.12,133.02,130.12,133.02,0,0
TAR_MV,D,20130809,000000,135.745,135.745,133.02,135.39,0,0
TAR_MV,D,20130812,000000,135.846,136.101,131.879,133.466,0,0
TAR_MV,D,20130813,000000,133.466,135.226,133.466,135.226,0,0
TAR_MV,D,20130814,000000,136.284,136.284,131.524,131.879,0,0
TAR_MV,D,20130816,000000,128.798,131.879,119.133,123.09,0,0
TAR_MV,D,20130819,000000,123.09,123.09,115.175,120.893,0,0
TAR_MV,D,20130820,000000,120.446,121.339,118.33,121.339,0,0
TAR_MV,D,20130821,000000,122.132,123.09,121.595,122.917,0,0
TAR_MV,D,20130822,000000,122.734,123.364,121.339,123.09,0,0
TAR_MV,D,20130823,000000,123.09,123.09,121.422,122.999,0,0
TAR_MV,D,20130826,000000,123.09,123.09,120.446,121.777,0,0
TAR_MV,D,20130827,000000,121.777,122.917,117.82,120.446,0,0
TAR_MV,D,20130828,000000,117.82,120.446,113.325,115.175,0,0
TAR_MV,D,20130829,000000,113.434,113.434,109.021,110.872,0,0
TAR_MV,D,20130830,000000,112.796,112.979,107.881,109.377,0,0
TAR_MV,D,20130902,000000,110.343,116.497,109.021,114.647,0,0
TAR_MV,D,20130903,000000,116.497,118.266,115.002,115.002,0,0
TAR_MV,D,20130904,000000,116.497,116.497,109.896,112.979,0,0
TAR_MV,D,20130905,000000,111.675,111.675,102.429,109.896,0,0
TAR_MV,D,20130906,000000,107.444,112.541,107.444,112.541,0,0
TAR_MV,D,20130909,000000,115.613,119.133,112.623,119.133,0,0
TAR_MV,D,20130910,000000,119.324,122.999,119.324,122.196,0,0
TAR_MV,D,20130911,000000,122.653,122.653,120.099,121.339,0,0
TAR_MV,D,20130912,000000,121.075,121.339,119.58,119.58,0,0
TAR_MV,D,20130913,000000,118.522,120.182,118.522,120.099,0,0
TAR_MV,D,20130916,000000,118.522,118.686,116.936,116.936,0,0
TAR_MV,D,20130917,000000,116.936,118.686,114.291,118.522,0,0
TAR_MV,D,20130918,000000,118.686,118.686,113.434,115.094,0,0
TAR_MV,D,20130919,000000,115.531,118.266,114.291,114.291,0,0
TAR_MV,D,20130920,000000,115.175,115.175,113.434,113.434,0,0
TAR_MV,D,20130923,000000,113.434,113.434,109.56,111.218,0,0
TAR_MV,D,20130924,000000,112.887,114.219,112.45,113.325,0,0
TAR_MV,D,20130925,000000,114.291,114.748,114.219,114.748,0,0
TAR_MV,D,20130926,000000,114.748,116.936,114.748,116.936,0,0
TAR_MV,D,20130927,000000,117.729,118.686,116.936,118.522,0,0
TAR_MV,D,20130930,000000,118.686,118.686,117.82,117.82,0,0
TAR_MV,D,20131001,000000,117.82,118.075,117.82,117.984,0,0
TAR_MV,D,20131002,000000,117.902,119.041,117.82,118.686,0,0
TAR_MV,D,20131003,000000,119.133,119.133,117.82,118.686,0,0
TAR_MV,D,20131004,000000,119.324,119.324,117.82,118.686,0,0
TAR_MV,D,20131007,000000,118.686,118.96,118.266,118.266,0,0
TAR_MV,D,20131008,000000,118.266,118.266,116.051,116.051,0,0
TAR_MV,D,20131009,000000,116.497,116.497,114.291,114.291,0,0
TAR_MV,D,20131010,000000,114.291,117.292,114.291,116.936,0,0
TAR_MV,D,20131011,000000,116.845,120.017,116.845,119.58,0,0
TAR_MV,D,20131014,000000,119.58,119.58,118.686,118.686,0,0
TAR_MV,D,20131015,000000,119.479,119.479,116.936,116.936,0,0
TAR_MV,D,20131016,000000,117.82,118.686,114.82,116.497,0,0
TAR_MV,D,20131017,000000,116.497,121.686,116.497,121.686,0,0
TAR_MV,D,20131018,000000,121.868,126.527,120.893,125.023,0,0
TAR_MV,D,20131021,000000,126.345,126.345,124.859,124.859,0,0
TAR_MV,D,20131022,000000,126.345,134.962,125.378,127.932,0,0
TAR_MV,D,20131023,000000,130.822,130.913,127.485,130.12,0,0
TAR_MV,D,20131024,000000,131.351,134.342,131.351,134.177,0,0
TAR_MV,D,20131025,000000,134.177,134.259,133.201,133.994,0,0
TAR_MV,D,20131028,000000,134.177,134.177,131.879,133.639,0,0
TAR_MV,D,20131029,000000,132.764,133.639,130.211,133.639,0,0
TAR_MV,D,20131030,000000,133.639,134.87,131.004,131.879,0,0
TAR_MV,D,20131031,000000,132.764,136.284,132.326,136.01,0,0
TAR_MV,D,20131104,000000,135.846,139.802,135.846,138.043,0,0
TAR_MV,D,20131105,000000,139.802,140.231,136.284,136.284,0,0
TAR_MV,D,20131106,000000,136.712,137.952,136.284,136.284,0,0
TAR_MV,D,20131107,000000,137.159,137.159,131.879,131.879,0,0
TAR_MV,D,20131108,000000,129.244,131.879,129.244,131.879,0,0
TAR_MV,D,20131112,000000,131.879,131.879,129.418,131.004,0,0
TAR_MV,D,20131113,000000,133.639,133.639,129.691,130.12,0,0
TAR_MV,D,20131114,000000,130.12,132.673,130.12,131.178,0,0
TAR_MV,D,20131115,000000,132.235,132.235,131.096,131.178,0,0
TAR_MV,D,20131118,000000,131.178,131.879,131.178,131.269,0,0
TAR_MV,D,20131119,000000,131.451,132.235,131.178,131.879,0,0
TAR_MV,D,20131120,000000,131.879,133.639,131.879,133.201,0,0
TAR_MV,D,20131121,000000,132.764,132.764,126.427,131.879,0,0
TAR_MV,D,20131122,000000,131.879,133.201,130.038,133.201,0,0
TAR_MV,D,20131125,000000,133.201,133.201,130.12,132.326,0,0
TAR_MV,D,20131126,000000,130.649,134.342,128.023,128.451,0,0
TAR_MV,D,20131127,000000,128.798,129.418,127.129,127.129,0,0
TAR_MV,D,20131128,000000,127.485,131.004,127.129,127.576,0,0
TAR_MV,D,20131129,000000,127.667,131.096,127.038,130.038,0,0
TAR_MV,D,20131202,000000,131.004,131.096,127.485,127.576,0,0
TAR_MV,D,20131203,000000,128.369,128.369,127.23,127.23,0,0
TAR_MV,D,20131204,000000,127.932,127.932,125.278,127.485,0,0
TAR_MV,D,20131205,000000,125.734,126.172,125.278,125.278,0,0
TAR_MV,D,20131206,000000,124.859,126.61,124.859,126.61,0,0
TAR_MV,D,20131209,000000,127.485,128.369,127.485,127.576,0,0
TAR_MV,D,20131210,000000,128.287,128.369,125.634,125.734,0,0
TAR_MV,D,20131211,000000,125.734,125.734,121.504,123.883,0,0
TAR_MV,D,20131212,000000,124.066,124.576,123.181,123.792,0,0
TAR_MV,D,20131213,000000,124.859,124.859,123.255,123.619,0,0
TAR_MV,D,20131216,000000,123.619,123.883,120.017,120.893,0,0
TAR_MV,D,20131217,000000,122.041,122.196,120.893,120.975,0,0
TAR_MV,D,20131218,000000,122.132,122.132,118.266,118.266,0,0
TAR_MV,D,20131219,000000,118.33,122.132,118.266,121.339,0,0
