<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TAR_PB,D,20130710,000000,1.4335,1.4335,1.4335,1.4335,0,0
TAR_PB,D,20130711,000000,1.44125,1.58075,1.4335,1.58075,0,0
TAR_PB,D,20130712,000000,1.57291,1.58841,1.54966,1.58075,0,0
TAR_PB,D,20130715,000000,1.67375,1.67375,1.6195,1.64266,0,0
TAR_PB,D,20130716,000000,1.64266,1.64266,1.6195,1.63491,0,0
TAR_PB,D,20130717,000000,1.6195,1.63491,1.59616,1.59616,0,0
TAR_PB,D,20130718,000000,1.55741,1.55741,1.53407,1.54191,0,0
TAR_PB,D,20130719,000000,1.54191,1.58841,1.54191,1.58841,0,0
TAR_PB,D,20130722,000000,1.58841,1.74341,1.58841,1.72025,0,0
TAR_PB,D,20130723,000000,1.72791,1.83632,1.72791,1.77441,0,0
TAR_PB,D,20130724,000000,1.77441,1.80541,1.77441,1.80541,0,0
TAR_PB,D,20130725,000000,1.78982,1.87507,1.78982,1.87507,0,0
TAR_PB,D,20130726,000000,1.88292,1.89057,1.75891,1.89057,0,0
TAR_PB,D,20130729,000000,1.89057,1.89057,1.86742,1.87507,0,0
TAR_PB,D,20130730,000000,1.89057,1.89057,1.87507,1.87507,0,0
TAR_PB,D,20130731,000000,1.89057,1.90616,1.84416,1.85191,0,0
TAR_PB,D,20130801,000000,1.85191,1.85191,1.81316,1.83632,0,0
TAR_PB,D,20130802,000000,1.82858,1.88292,1.81316,1.88292,0,0
TAR_PB,D,20130805,000000,1.88292,1.96042,1.88292,1.94491,0,0
TAR_PB,D,20130806,000000,1.98357,1.98357,1.92932,1.94491,0,0
TAR_PB,D,20130807,000000,1.96042,1.97592,1.95257,1.97592,0,0
TAR_PB,D,20130808,000000,1.99916,2.04567,1.99916,2.04567,0,0
TAR_PB,D,20130809,000000,2.08423,2.08423,2.04567,2.07658,0,0
TAR_PB,D,20130812,000000,2.08423,2.09208,2.02232,2.05332,0,0
TAR_PB,D,20130813,000000,2.05332,2.07658,2.05332,2.07658,0,0
TAR_PB,D,20130814,000000,2.09208,2.09208,2.02232,2.02232,0,0
TAR_PB,D,20130816,000000,1.97592,2.02232,1.82858,1.89057,0,0
TAR_PB,D,20130819,000000,1.89057,1.89057,1.76666,1.85966,0,0
TAR_PB,D,20130820,000000,1.85191,1.86742,1.82082,1.86742,0,0
TAR_PB,D,20130821,000000,1.87507,1.89057,1.86742,1.89057,0,0
TAR_PB,D,20130822,000000,1.88292,1.89841,1.86742,1.89057,0,0
TAR_PB,D,20130823,000000,1.89057,1.89057,1.86742,1.89057,0,0
TAR_PB,D,20130826,000000,1.89057,1.89057,1.85191,1.86742,0,0
TAR_PB,D,20130827,000000,1.86742,1.89057,1.81316,1.85191,0,0
TAR_PB,D,20130828,000000,1.81316,1.85191,1.74341,1.76666,0,0
TAR_PB,D,20130829,000000,1.74341,1.74341,1.67375,1.70466,0,0
TAR_PB,D,20130830,000000,1.73566,1.73566,1.65816,1.68141,0,0
TAR_PB,D,20130902,000000,1.69691,1.78982,1.67375,1.75891,0,0
TAR_PB,D,20130903,000000,1.78982,1.81316,1.76666,1.76666,0,0
TAR_PB,D,20130904,000000,1.78982,1.78982,1.68916,1.73566,0,0
TAR_PB,D,20130905,000000,1.7125,1.7125,1.57291,1.68916,0,0
TAR_PB,D,20130906,000000,1.6505,1.72791,1.6505,1.72791,0,0
TAR_PB,D,20130909,000000,1.77441,1.82858,1.72791,1.82858,0,0
TAR_PB,D,20130910,000000,1.82858,1.89057,1.82858,1.87507,0,0
TAR_PB,D,20130911,000000,1.88292,1.88292,1.84416,1.86742,0,0
TAR_PB,D,20130912,000000,1.85966,1.86742,1.83632,1.83632,0,0
TAR_PB,D,20130913,000000,1.82082,1.84416,1.82082,1.84416,0,0
TAR_PB,D,20130916,000000,1.82082,1.82082,1.79757,1.79757,0,0
