<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TAR_PE,D,20130710,000000,8.60062,8.60062,8.60062,8.60062,0,0
TAR_PE,D,20130711,000000,8.67921,9.53081,8.60062,9.53081,0,0
TAR_PE,D,20130712,000000,9.45422,9.6074,9.37581,9.53081,0,0
TAR_PE,D,20130715,000000,10.0724,10.0724,9.76238,9.91832,0,0
TAR_PE,D,20130716,000000,9.91832,9.91832,9.76238,9.84083,0,0
TAR_PE,D,20130717,000000,9.76238,9.84083,9.6074,9.6074,0,0
TAR_PE,D,20130718,000000,9.37581,9.37581,9.22081,9.29922,0,0
TAR_PE,D,20130719,000000,9.29922,9.53081,9.29922,9.53081,0,0
TAR_PE,D,20130722,000000,9.53081,10.4599,9.53081,10.3824,0,0
TAR_PE,D,20130723,000000,10.4599,11.0799,10.4599,10.6924,0,0
TAR_PE,D,20130724,000000,10.6924,10.8483,10.6924,10.8483,0,0
TAR_PE,D,20130725,000000,10.7699,11.3124,10.7699,11.3124,0,0
TAR_PE,D,20130726,000000,11.3909,11.3909,10.6158,11.3909,0,0
TAR_PE,D,20130729,000000,11.3909,11.3909,11.2359,11.3124,0,0
TAR_PE,D,20130730,000000,11.3909,11.3909,11.3124,11.3124,0,0
TAR_PE,D,20130731,000000,11.3909,11.4674,11.0799,11.1583,0,0
TAR_PE,D,20130801,000000,11.1583,11.1583,10.9258,11.0799,0,0
TAR_PE,D,20130802,000000,11.0799,11.3909,10.9258,11.3909,0,0
TAR_PE,D,20130805,000000,11.3909,11.8558,11.3909,11.7,0,0
TAR_PE,D,20130806,000000,11.9333,11.9333,11.6233,11.7,0,0
TAR_PE,D,20130807,000000,11.7783,11.9333,11.7783,11.9333,0,0
TAR_PE,D,20130808,000000,12.0874,12.3199,12.0874,12.3199,0,0
TAR_PE,D,20130809,000000,12.5525,12.5525,12.3199,12.5525,0,0
TAR_PE,D,20130812,000000,12.629,12.629,12.2434,12.3199,0,0
TAR_PE,D,20130813,000000,12.3199,12.5525,12.3199,12.5525,0,0
TAR_PE,D,20130814,000000,12.629,12.629,12.2434,12.2434,0,0
TAR_PE,D,20130816,000000,11.9333,12.2434,11.0799,11.3909,0,0
TAR_PE,D,20130819,000000,11.3909,11.3909,10.6924,11.1583,0,0
TAR_PE,D,20130820,000000,11.0799,11.2359,10.9258,11.2359,0,0
TAR_PE,D,20130821,000000,11.3124,11.3909,11.2359,11.3909,0,0
TAR_PE,D,20130822,000000,11.3909,11.4674,11.2359,11.3909,0,0
TAR_PE,D,20130823,000000,11.3909,11.3909,11.2359,11.3909,0,0
TAR_PE,D,20130826,000000,11.3909,11.3909,11.1583,11.2359,0,0
TAR_PE,D,20130827,000000,11.2359,11.3124,10.8483,11.1583,0,0
TAR_PE,D,20130828,000000,10.9258,11.1583,10.4599,10.6924,0,0
TAR_PE,D,20130829,000000,10.5374,10.5374,10.1499,10.2283,0,0
TAR_PE,D,20130830,000000,10.3824,10.4599,9.91832,10.1499,0,0
TAR_PE,D,20130902,000000,10.2283,10.8483,10.1499,10.6158,0,0
TAR_PE,D,20130903,000000,10.7699,10.9258,10.6158,10.6158,0,0
TAR_PE,D,20130904,000000,10.7699,10.7699,10.1499,10.4599,0,0
TAR_PE,D,20130905,000000,10.3058,10.3058,9.45422,10.1499,0,0
TAR_PE,D,20130906,000000,9.91832,10.3824,9.91832,10.3824,0,0
TAR_PE,D,20130909,000000,10.6924,11.0024,10.3824,11.0024,0,0
TAR_PE,D,20130910,000000,11.0024,11.3909,11.0024,11.3124,0,0
TAR_PE,D,20130911,000000,11.3909,11.3909,11.0799,11.2359,0,0
