<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEN_PE,D,20180511,000000,42.9435,42.9435,42.9435,42.9435,0,0
TEN_PE,D,20180514,000000,55.9237,59.6086,46.2287,46.2287,0,0
TEN_PE,D,20180515,000000,46.1481,46.1481,40.7006,42.9435,0,0
TEN_PE,D,20180516,000000,43.9849,44.1461,41.9031,44.1461,0,0
TEN_PE,D,20180517,000000,44.3056,44.3056,40.861,40.861,0,0
TEN_PE,D,20180518,000000,40.861,42.6236,40.5401,40.861,0,0
TEN_PE,D,20180521,000000,41.5815,43.5843,41.5815,42.1425,0,0
TEN_PE,D,20180522,000000,43.3441,43.3441,42.3028,42.863,0,0
TEN_PE,D,20180523,000000,42.9435,42.9435,40.861,42.3028,0,0
TEN_PE,D,20180524,000000,42.3028,42.3028,41.5008,42.2222,0,0
TEN_PE,D,20180525,000000,42.2222,42.2222,41.1809,41.9031,0,0
TEN_PE,D,20180528,000000,42.0626,44.3056,41.9031,44.3056,0,0
TEN_PE,D,20180529,000000,48.4717,49.3526,45.8281,46.6293,0,0
TEN_PE,D,20180530,000000,44.9464,45.6678,30.7662,30.7662,0,0
TEN_PE,D,20180601,000000,30.7662,31.6463,30.3648,31.4867,0,0
TEN_PE,D,20180604,000000,31.967,34.3714,31.967,34.2907,0,0
TEN_PE,D,20180605,000000,35.1724,38.377,35.1724,38.377,0,0
TEN_PE,D,20180606,000000,39.2578,42.7831,38.9371,39.0186,0,0
TEN_PE,D,20180607,000000,40.059,41.1809,38.1368,40.861,0,0
TEN_PE,D,20180608,000000,40.62,41.3413,39.6584,40.7803,0,0
TEN_PE,D,20180611,000000,41.5815,41.5815,37.1744,39.0983,0,0
TEN_PE,D,20180612,000000,39.6584,39.9792,39.1781,39.5786,0,0
TEN_PE,D,20180613,000000,39.8196,39.8196,38.6172,39.0186,0,0
TEN_PE,D,20180614,000000,38.377,40.861,37.4952,40.62,0,0
TEN_PE,D,20180615,000000,40.7006,40.7006,39.8994,40.3798,0,0
TEN_PE,D,20180618,000000,40.3,40.3,39.4182,39.8196,0,0
TEN_PE,D,20180619,000000,39.4182,39.4182,37.8966,38.6172,0,0
TEN_PE,D,20180620,000000,38.377,38.7775,36.9351,37.8966,0,0
TEN_PE,D,20180621,000000,37.8966,37.9772,35.5722,35.9736,0,0
TEN_PE,D,20180622,000000,35.7325,36.4539,35.7325,35.8938,0,0
TEN_PE,D,20180625,000000,36.0533,39.3377,35.1724,38.2166,0,0
