<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TXT_MV,D,20140411,000000,330.713,330.713,330.713,330.713,0,0
TXT_MV,D,20140414,000000,328.743,328.743,319.088,321.788,0,0
TXT_MV,D,20140415,000000,321.788,324.812,320.004,321.595,0,0
TXT_MV,D,20140416,000000,321.595,324.1,320.004,320.004,0,0
TXT_MV,D,20140417,000000,318.211,325.359,318.211,321.788,0,0
TXT_MV,D,20140422,000000,326.958,332.322,322.668,331.61,0,0
TXT_MV,D,20140423,000000,330.713,332.508,328.929,331.61,0,0
TXT_MV,D,20140424,000000,331.61,331.61,331.445,331.445,0,0
TXT_MV,D,20140425,000000,328.586,331.445,321.788,331.445,0,0
TXT_MV,D,20140428,000000,331.61,331.61,321.955,330.556,0,0
TXT_MV,D,20140429,000000,330.556,330.556,321.955,330.556,0,0
TXT_MV,D,20140430,000000,331.61,331.61,321.788,328.743,0,0
TXT_MV,D,20140502,000000,330.354,330.354,321.788,321.788,0,0
TXT_MV,D,20140505,000000,328.929,330.019,323.573,323.573,0,0
TXT_MV,D,20140506,000000,323.573,327.133,321.788,323.573,0,0
TXT_MV,D,20140507,000000,321.788,321.788,317.84,320.717,0,0
TXT_MV,D,20140508,000000,320.717,320.874,320.169,320.169,0,0
TXT_MV,D,20140509,000000,320.356,320.356,316.416,316.416,0,0
TXT_MV,D,20140512,000000,316.416,316.416,298.891,307.482,0,0
TXT_MV,D,20140513,000000,310.876,310.876,303.894,307.131,0,0
TXT_MV,D,20140514,000000,304.272,304.272,302.109,304.272,0,0
TXT_MV,D,20140515,000000,303.894,312.846,303.894,312.846,0,0
TXT_MV,D,20140516,000000,312.688,312.688,303.894,312.688,0,0
TXT_MV,D,20140519,000000,311.949,311.949,311.949,311.949,0,0
TXT_MV,D,20140520,000000,305.873,306.41,298.188,306.021,0,0
TXT_MV,D,20140521,000000,305.873,306.233,297.642,304.801,0,0
TXT_MV,D,20140522,000000,306.41,320.717,303.894,320.717,0,0
TXT_MV,D,20140523,000000,319.088,321.595,319.088,321.595,0,0
TXT_MV,D,20140526,000000,321.595,322.668,321.595,322.668,0,0
