<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TXT_PB,D,20140411,000000,42.0772,42.0772,42.0772,42.0772,0,0
TXT_PB,D,20140414,000000,41.8294,41.8294,40.6012,40.9396,0,0
TXT_PB,D,20140415,000000,40.9396,41.3289,40.7095,40.9184,0,0
TXT_PB,D,20140416,000000,40.9184,41.2403,40.7095,40.7095,0,0
TXT_PB,D,20140417,000000,40.4827,41.39,40.4827,40.9396,0,0
TXT_PB,D,20140422,000000,41.5991,42.2788,41.0525,42.1891,0,0
TXT_PB,D,20140423,000000,42.0772,42.3074,41.848,42.1891,0,0
TXT_PB,D,20140424,000000,42.1891,42.1891,42.1677,42.1677,0,0
TXT_PB,D,20140425,000000,41.8052,42.1677,40.9396,42.1677,0,0
TXT_PB,D,20140428,000000,42.1891,42.1891,40.96,42.0558,0,0
TXT_PB,D,20140429,000000,42.0558,42.0558,40.96,42.0558,0,0
TXT_PB,D,20140430,000000,42.1891,42.1891,40.9396,41.8294,0,0
TXT_PB,D,20140502,000000,42.0282,42.0282,40.9396,40.9396,0,0
TXT_PB,D,20140505,000000,41.848,41.9884,41.1682,41.1682,0,0
TXT_PB,D,20140506,000000,41.1682,41.6203,40.9396,41.1682,0,0
TXT_PB,D,20140507,000000,40.9396,40.9396,40.4384,40.8,0,0
TXT_PB,D,20140508,000000,40.8,40.8278,40.7324,40.7324,0,0
TXT_PB,D,20140509,000000,40.7584,40.7584,40.2581,40.2581,0,0
TXT_PB,D,20140512,000000,40.2581,40.2581,38.0293,39.1214,0,0
TXT_PB,D,20140513,000000,39.5515,39.5515,38.6609,39.0715,0,0
TXT_PB,D,20140514,000000,38.7099,38.7099,38.4389,38.7099,0,0
TXT_PB,D,20140515,000000,38.6609,39.7994,38.6609,39.7994,0,0
TXT_PB,D,20140516,000000,39.7799,39.7799,38.6609,39.7799,0,0
TXT_PB,D,20140519,000000,39.6894,39.6894,39.6894,39.6894,0,0
TXT_PB,D,20140520,000000,38.9134,38.98,37.9396,38.9404,0,0
TXT_PB,D,20140521,000000,38.9134,38.9606,37.8702,38.7803,0,0
TXT_PB,D,20140522,000000,38.98,40.8,38.6609,40.8,0,0
TXT_PB,D,20140523,000000,40.6012,40.9184,40.6012,40.9184,0,0
TXT_PB,D,20140526,000000,40.9184,41.0525,40.9184,41.0525,0,0
TXT_PB,D,20140527,000000,40.9396,41.0525,40.369,40.8896,0,0
TXT_PB,D,20140528,000000,40.9184,40.9184,40.9184,40.9184,0,0
TXT_PB,D,20140529,000000,40.4827,40.4827,40.0306,40.2581,0,0
TXT_PB,D,20140530,000000,40.0306,42.0558,39.3489,42.0558,0,0
TXT_PB,D,20140602,000000,41.9588,41.9588,40.4827,40.8,0,0
TXT_PB,D,20140603,000000,40.9396,40.9396,38.7523,40.6012,0,0
TXT_PB,D,20140604,000000,39.1214,40.6012,39.1214,40.4827,0,0
